Market,2026 Q2,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2,2035 Q3,2035 Q4,2036 Q1,2036 Q2
Akron - OH,1240.40356445313,1233.61853027344,1227.25891113281,1238.69201660156,1254.29187011719,1252.43188476563,1250.02648925781,1263.36975097656,1280.375,1278.30212402344,1276.92956542969,1291.5654296875,1308.77648925781,1305.66259765625,1302.95349121094,1316.57556152344,1333.27172851563,1329.64672851563,1326.77294921875,1340.73510742188,1357.80212402344,1354.05786132813,1350.99719238281,1364.99658203125,1382.09729003906,1378.00170898438,1374.6435546875,1388.65124511719,1405.89819335938,1401.52758789063,1397.82299804688,1411.77722167969,1428.95043945313,1424.19799804688,1420.24743652344,1434.58679199219,1452.18640136719,1447.57397460938,1443.72253417969,1458.24426269531,1476.02600097656
Albany - NY,1702.427734375,1697.82287597656,1694.14477539063,1706.92028808594,1724.21496582031,1727.61169433594,1730.40600585938,1746.42333984375,1765.02307128906,1767.45666503906,1771.00073242188,1788.0859375,1806.84838867188,1808.44116210938,1810.83654785156,1826.91638183594,1845.06518554688,1845.97241210938,1848.13146972656,1864.53796386719,1883.15905761719,1884.19641113281,1886.37268066406,1903.02587890625,1921.88818359375,1922.73388671875,1924.77770996094,1941.63610839844,1960.64306640625,1961.32507324219,1963.27893066406,1980.17517089844,1999.36022949219,1999.86853027344,2001.56372070313,2019.390625,2039.71118164063,2041.04357910156,2043.69250488281,2061.43188476563,2081.5009765625
Albuquerque - NM,1307.43713378906,1298.43896484375,1281.13000488281,1285.56823730469,1300.22924804688,1299.46594238281,1289.58532714844,1299.23693847656,1318.21252441406,1319.91674804688,1313.01318359375,1325.05004882813,1344.74389648438,1345.65625,1337.41882324219,1348.71740722656,1368.42224121094,1369.66345214844,1361.83776855469,1373.97827148438,1394.60144042969,1396.23986816406,1388.46240234375,1400.96838378906,1422.05676269531,1423.69885253906,1415.82385253906,1428.56225585938,1450.13696289063,1451.7919921875,1443.73608398438,1456.77990722656,1478.76831054688,1480.4716796875,1472.30493164063,1485.62292480469,1507.95703125,1509.55310058594,1501.04663085938,1514.84387207031,1537.91870117188
Anchorage - AK,1486.0751953125,1478.59350585938,1466.77966308594,1480.40612792969,1505.81359863281,1502.37622070313,1494.38671875,1509.80859375,1536.06103515625,1531.61010742188,1524.08532714844,1540.58190917969,1567.32727050781,1562.32153320313,1554.02160644531,1570.31579589844,1597.15075683594,1592.01501464844,1583.7841796875,1600.68664550781,1628.53100585938,1623.69079589844,1615.53405761719,1632.90051269531,1661.20715332031,1656.07543945313,1647.44897460938,1664.91455078125,1693.61315917969,1688.29211425781,1679.50964355469,1697.32983398438,1726.57958984375,1721.06286621094,1712.01867675781,1730.03015136719,1759.67614746094,1753.90393066406,1744.53540039063,1763.23986816406,1793.79736328125
Asheville - NC,1625.73266601563,1617.11218261719,1603.70471191406,1609.81311035156,1619.2802734375,1620.107421875,1618.12097167969,1630.50573730469,1646.56774902344,1651.10803222656,1653.65710449219,1669.50366210938,1686.30163574219,1689.13757324219,1689.32397460938,1703.16101074219,1718.79382324219,1721.14904785156,1721.47961425781,1736.03283691406,1752.42846679688,1753.11047363281,1753.2490234375,1767.8046875,1784.69396972656,1789.7421875,1791.15612792969,1807.36584472656,1824.53588867188,1827.47473144531,1827.68041992188,1842.85693359375,1860.46997070313,1863.38745117188,1863.96618652344,1880.00964355469,1898.0546875,1901.02807617188,1901.62475585938,1917.53942871094,1935.40942382813
Atlanta - GA,1663.38781738281,1654.6083984375,1638.47875976563,1649.97717285156,1666.90625,1665.27673339844,1656.59765625,1673.25036621094,1693.23828125,1692.81921386719,1686.81689453125,1706.0771484375,1726.79406738281,1725.31359863281,1717.73754882813,1736.20593261719,1756.94848632813,1755.7841796875,1748.96032714844,1768.7978515625,1790.94934082031,1790.70239257813,1784.37145996094,1805.18029785156,1828.11694335938,1828.02087402344,1821.81188964844,1843.22692871094,1866.87292480469,1867.05541992188,1860.96813964844,1883.12646484375,1907.40161132813,1907.73181152344,1901.54919433594,1924.25207519531,1949.14147949219,1949.45227050781,1943.05139160156,1966.17663574219,1991.53930664063
Augusta - GA,1294.5615234375,1287.31188964844,1278.68432617188,1285.54467773438,1294.43054199219,1294.30493164063,1293.70983886719,1305.11450195313,1318.00109863281,1319.88366699219,1322.05163574219,1335.69616699219,1349.11755371094,1350.03186035156,1350.81494140625,1363.38586425781,1376.22863769531,1376.88598632813,1377.87158203125,1391.05322265625,1404.462890625,1403.63940429688,1404.32751464844,1417.44213867188,1431.09594726563,1433.63415527344,1435.23718261719,1449.58654785156,1463.39294433594,1464.04162597656,1464.55432128906,1477.95275878906,1491.87646484375,1492.39758300781,1493.14416503906,1507.28430175781,1521.60583496094,1522.17736816406,1522.99157714844,1537.32592773438,1551.80261230469
Austin - TX,1542.78393554688,1529.11840820313,1511.84191894531,1523.0126953125,1537.29541015625,1529.64929199219,1518.85217285156,1533.07727050781,1551.05322265625,1545.31420898438,1536.96203613281,1552.80407714844,1570.19970703125,1562.30541992188,1551.90405273438,1566.85363769531,1584.4208984375,1577.34313964844,1568.32641601563,1585.12817382813,1604.53344726563,1598.6962890625,1590.52905273438,1608.39978027344,1628.76257324219,1623.42004394531,1615.58532714844,1634.11120605469,1655.24267578125,1650.05627441406,1642.44274902344,1661.54382324219,1683.23010253906,1678.18798828125,1670.513671875,1690.10241699219,1712.21545410156,1707.04455566406,1699.17895507813,1718.99438476563,1741.37426757813
Bakersfield - CA,1423.2490234375,1425.63635253906,1424.58813476563,1430.560546875,1439.87878417969,1447.11352539063,1451.26123046875,1460.18676757813,1471.09143066406,1478.40356445313,1483.95788574219,1494.30102539063,1505.64733886719,1512.59753417969,1517.54772949219,1527.49792480469,1538.689453125,1545.82861328125,1551.19775390625,1561.79760742188,1573.74645996094,1581.46203613281,1587.23645019531,1598.26037597656,1610.61291503906,1618.52099609375,1624.34094238281,1635.5625,1648.11645507813,1656.18774414063,1662.2041015625,1673.71838378906,1686.60168457031,1694.86706542969,1701.02954101563,1712.81372070313,1725.97290039063,1734.30676269531,1740.48852539063,1752.42077636719,1765.75183105469
Baltimore - MD,1749.08837890625,1734.20300292969,1721.5439453125,1740.19140625,1761.34924316406,1755.39599609375,1750.615234375,1773.75634765625,1796.80603027344,1790.62133789063,1787.57360839844,1813.017578125,1837.45617675781,1831.01574707031,1827.0322265625,1852.04528808594,1876.05493164063,1868.79455566406,1864.53393554688,1890.1591796875,1914.86926269531,1907.88623046875,1903.84484863281,1930.07763671875,1955.35888671875,1948.16857910156,1943.97387695313,1970.63562011719,1996.36303710938,1988.9375,1984.43090820313,2011.61120605469,2037.72644042969,2030.01977539063,2025.3369140625,2052.86987304688,2079.35009765625,2071.32397460938,2066.33032226563,2094.25170898438,2121.02685546875
