Market,2026 Q2,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2,2035 Q3,2035 Q4,2036 Q1,2036 Q2
Akron - OH,1,0.9945299784891529,0.989402922002957,0.9986201685478673,1.0111966025107184,1.0096971023441093,1.0077578983811792,1.0185150923309023,1.032224541022254,1.0305534107256606,1.029446868763767,1.0412461449648658,1.0551215159034344,1.0526111300171017,1.0504270775659912,1.0614090440024595,1.0748693140876646,1.0719468781128871,1.0696300681816393,1.0808862098142908,1.0946454548621591,1.0916268705863548,1.0891593922325098,1.100445549455552,1.1142319561524316,1.1109301427974487,1.1082228349557781,1.1195156841793015,1.1334199881787774,1.129896453101968,1.12690985265199,1.1381595975194696,1.1520044608087907,1.1481730937098535,1.144988193539737,1.1565484275471842,1.1707370431553306,1.1670185543586271,1.1639135645471959,1.1756208257416785,1.1899562717133205
Albany - NY,1,0.9972951225444348,0.9951346193338357,1.0026389100813078,1.0127977423096368,1.0147929685662609,1.0164343372229256,1.0258428622727425,1.0367682784121466,1.0381977627308414,1.0402795353143461,1.0503153240489513,1.0613363211773656,1.0622719106331406,1.0636789517038499,1.0731241890315202,1.0837847318225495,1.0843176334806826,1.08558585625078,1.0952229725931388,1.106160936874387,1.1067702746422545,1.1080486076294982,1.117830637084219,1.1289102878127857,1.1294070508224123,1.1306075853302342,1.140510148650309,1.1516747682250645,1.1520753766163456,1.153223065521089,1.163147856978145,1.1744170922040345,1.1747156662762177,1.1757114151091703,1.1861828753285462,1.198119098071117,1.1989017436037446,1.2004577131922114,1.2108777618818742,1.2226662750690362
Albuquerque - NM,1,0.9931177043142162,0.9798788574789751,0.983273462318611,0.9944870116077467,0.9939031933542006,0.9863459540965583,0.993728038541528,1.008241612806095,1.0095450969957178,1.0042648703028116,1.0134713284362868,1.0285342688617096,1.029232087129251,1.022931649008806,1.0315734289402247,1.0466447723150865,1.0475941188690603,1.0416086046202255,1.050894330576705,1.0666680671582431,1.06792122701735,1.0619725923799275,1.0715378564542823,1.087667411261353,1.0889233721036085,1.08290013794842,1.0926431710863906,1.1091446964551284,1.1104105541044929,1.104248951381941,1.1142255865142001,1.1310435296122332,1.1323463602391128,1.1260999810933698,1.1362863164970947,1.153368672404016,1.1545894342247502,1.1480832172092466,1.158636107940554,1.1762850093716288
Anchorage - AK,1,0.9949654704709968,0.9870157766663332,0.9961852082581744,1.0132822372532497,1.0109691793807258,1.0055929359858216,1.0159705232362144,1.0336361443898798,1.0306410552124212,1.0255775292904656,1.03667830136666,1.054675614969957,1.0513071869654593,1.0457220545414743,1.0566866339278513,1.0747442403142207,1.0712883302743388,1.06574969065038,1.0771235873910194,1.0958604322286152,1.0926033898015513,1.0871146108306227,1.0988007321876703,1.1178486516430834,1.114395452314162,1.108590588017281,1.120343409292383,1.139655089138035,1.1360744863942007,1.130164643654868,1.1421560896368075,1.1618386440268087,1.1581263664447514,1.1520404096360666,1.1641605733170115,1.1841097630937214,1.1802255607228809,1.1739213506109154,1.1865078387189394,1.2070703884563798
Asheville - NC,1,0.994697477894956,0.9864504450442295,0.9902077653990395,0.9960310863446303,0.996539871371093,0.9953179913924011,1.0029359509031444,1.0128158112605763,1.0156085725171042,1.0171765254277616,1.0269238583985796,1.0372564142879674,1.0390008200929823,1.0391154769311493,1.0476267386053837,1.057242595398317,1.0586913112041834,1.0588946450075571,1.0678464382269905,1.0779315095462516,1.078351016916797,1.0784362399104577,1.0873895348566516,1.0977782553268827,1.1008834508359404,1.1017531758892944,1.1117238907157345,1.122285309763431,1.124093013351397,1.124219533830975,1.133554717892365,1.1443886252607556,1.1461831887395717,1.1465391730681505,1.1564076203022025,1.1675072582208617,1.1693362112424968,1.1697032332627666,1.1794924644102,1.1904844285201333
Atlanta - GA,1,0.9947219651042511,0.9850251051757899,0.9919377523442786,1.0021152208645643,1.0011355836539684,0.9959178725118393,1.0059291938566965,1.0179455828371744,1.017693646771255,1.0140851561515603,1.025664087838432,1.038118741364695,1.037228709145793,1.0326741189741515,1.04377699203602,1.0562470567402191,1.0555470957158188,1.0514447135366607,1.063370690273266,1.0766877826712753,1.0765393216571935,1.0727332744137124,1.0852431880208475,1.0990323027829771,1.0989745475590083,1.095241813490552,1.108116164762521,1.1223317288340162,1.1224414417435873,1.1187818740770297,1.1321030761224877,1.1466968745323947,1.1468953851814805,1.1431785026103265,1.1568270821070135,1.171790161694816,1.1719770038806083,1.1681289061373403,1.1820314031371173,1.197279002424183
Augusta - GA,1,0.9943999310517049,0.9877354633378407,0.9930348264336042,0.999898821768654,0.9998017925048562,0.9993421057594478,1.008151778285213,1.0181061886754288,1.0195604018011064,1.0212350759751414,1.0317749622632562,1.0421424778086832,1.0428487452390578,1.0434536458486563,1.0531642101006973,1.0630847686875138,1.0635925457385993,1.0643538812837057,1.074536202004932,1.0848946652575264,1.0842585530966047,1.0847900924163683,1.0949206453379599,1.1054676980245672,1.1074283680752808,1.1086666462990098,1.119750990283116,1.1304159113659853,1.130916993492154,1.131313031303581,1.141662819442211,1.1524183577481215,1.1528209018950202,1.1533976083842317,1.1643203312233927,1.1753831760120295,1.1758246638770498,1.1764536096394869,1.1875263553734072,1.1987090487473533
Austin - TX,1,0.9911422934677461,0.9799440376007015,0.987184699179946,0.9964424536293318,0.991486401140135,0.9844879362923644,0.9937083444963217,1.0053599774529922,1.0016400698627985,0.9962263676202939,1.006494844398291,1.0177703247050287,1.0126534143409265,1.0059114675602758,1.0156014731511305,1.0269882009601434,1.0224005470275457,1.0165560969881993,1.027446641947461,1.04002473081032,1.0362412080054493,1.03094737771597,1.0425308063006897,1.0557295391235926,1.052266624340917,1.0471883261966646,1.0591964100763318,1.0728933829574172,1.069531667005046,1.0645967404640062,1.0769776538107474,1.0910342425508828,1.0877660504588884,1.0827917204639825,1.0954887317990443,1.1098219359502344,1.1064702686698338,1.1013719523050463,1.114215895796379,1.128722063702883
Bakersfield - CA,1,1.0016773797573344,1.0009408833634017,1.0051372060104007,1.0116843647656437,1.0167676222222104,1.0196818733545263,1.0259531139894382,1.0336149236280583,1.0387525584822943,1.042655123105627,1.0499223964204956,1.0578945174546317,1.0627778479175705,1.0662559429178002,1.073247126574802,1.0811104928136066,1.0861265933263666,1.0898990467316267,1.0973466917614676,1.10574216742475,1.1111632680507213,1.1152204737592157,1.122966079482257,1.131645192454817,1.1372015504248298,1.1412907478830536,1.1491752132383062,1.1579958446748266,1.163666875485026,1.1678940748877973,1.175984213743997,1.1850362493112752,1.1908436524594725,1.1951735170751925,1.2034532906730961,1.2126991636516122,1.2185546830775462,1.2228980991583032,1.2312819102694048,1.2406485456704974
Baltimore - MD,1,0.9914896375986054,0.9842521201753257,0.9949133658632999,1.0070098597679078,1.00360623125942,1.0008729435785886,1.0141033289383727,1.0272814409738569,1.0237454890703417,1.022003021663351,1.0365500108454935,1.05052220283278,1.0468400391610235,1.0445625553266726,1.0588631829136452,1.072590129958885,1.068439181348095,1.0660032723519786,1.0806539009020604,1.0947813076733877,1.0907889238060118,1.088478359122901,1.1034763365849343,1.1179302946038017,1.1138194059237876,1.111421183970559,1.1266644063746392,1.141373449841201,1.1371280742507328,1.1345515367519883,1.1500912305601174,1.165021999462333,1.1606158956130357,1.1579385801699713,1.1736798996575533,1.1888193431120508,1.1842305966863906,1.1813755938151962,1.1973389876925313,1.2126470457685408
