Market,2026 Q2 EST,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2,2035 Q3,2035 Q4,2036 Q1
Akron - OH,1,0.9924812030075187,0.9924812030075187,1.0,1.0075187969924813,1.0075187969924813,1.0075187969924813,1.0150375939849625,1.0300751879699248,1.0300751879699248,1.0300751879699248,1.0375939849624058,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0601503759398494,1.075187969924812,1.0676691729323307,1.0676691729323307,1.0827067669172932,1.0902255639097744,1.0902255639097744,1.0902255639097744,1.0977443609022555,1.112781954887218,1.112781954887218,1.1052631578947367,1.1203007518796992,1.1353383458646615,1.1278195488721805,1.1278195488721805,1.1353383458646615,1.150375939849624,1.150375939849624,1.1428571428571428,1.1578947368421053,1.1729323308270676,1.1654135338345863,1.1654135338345863,1.1729323308270676
Albany - NY,1,1.0,0.9942857142857143,1.0057142857142858,1.0114285714285713,1.0171428571428571,1.0171428571428571,1.0285714285714287,1.04,1.04,1.04,1.0514285714285714,1.062857142857143,1.062857142857143,1.062857142857143,1.0742857142857143,1.0857142857142856,1.0857142857142856,1.0857142857142856,1.0971428571428572,1.1085714285714285,1.1085714285714285,1.1085714285714285,1.1199999999999999,1.1314285714285715,1.1314285714285715,1.1314285714285715,1.1428571428571428,1.1542857142857144,1.1542857142857144,1.1542857142857144,1.1657142857142857,1.1771428571428573,1.1771428571428573,1.1771428571428573,1.1885714285714286,1.2,1.2,1.2,1.2114285714285715
Albuquerque - NM,1,0.9936708860759493,0.9810126582278481,0.9810126582278481,0.9936708860759493,0.9936708860759493,0.9873417721518988,0.9936708860759493,1.0063291139240507,1.0063291139240507,1.0,1.0126582278481013,1.0253164556962024,1.0253164556962024,1.018987341772152,1.0316455696202531,1.0443037974683542,1.0443037974683542,1.0379746835443038,1.050632911392405,1.0632911392405062,1.0632911392405062,1.0632911392405062,1.0696202531645569,1.0886075949367089,1.0886075949367089,1.0822784810126582,1.0886075949367089,1.1075949367088607,1.1075949367088607,1.10126582278481,1.1139240506329113,1.1265822784810127,1.1329113924050633,1.1265822784810127,1.1329113924050633,1.1518987341772151,1.1518987341772151,1.1455696202531644,1.1582278481012658
Anchorage - AK,1,0.995,0.99,1.0,1.015,1.015,1.005,1.02,1.035,1.03,1.025,1.04,1.055,1.055,1.045,1.06,1.075,1.075,1.065,1.08,1.1,1.095,1.09,1.1,1.12,1.115,1.11,1.12,1.14,1.14,1.13,1.145,1.165,1.16,1.155,1.165,1.185,1.18,1.175,1.19
Asheville - NC,1,0.9935064935064934,0.987012987012987,0.9935064935064934,1.0,1.0,0.9935064935064934,1.0064935064935066,1.012987012987013,1.0194805194805194,1.0194805194805194,1.025974025974026,1.038961038961039,1.038961038961039,1.038961038961039,1.051948051948052,1.0584415584415583,1.0584415584415583,1.0584415584415583,1.0714285714285714,1.077922077922078,1.077922077922078,1.077922077922078,1.0909090909090908,1.0974025974025974,1.103896103896104,1.103896103896104,1.1103896103896103,1.1233766233766234,1.1233766233766234,1.1233766233766234,1.1363636363636362,1.1428571428571428,1.1493506493506493,1.1493506493506493,1.155844155844156,1.1688311688311688,1.1688311688311688,1.1688311688311688,1.1818181818181819
Atlanta - GA,1,0.9936708860759493,0.9873417721518988,0.9936708860759493,1.0,1.0,0.9936708860759493,1.0063291139240507,1.018987341772152,1.018987341772152,1.0126582278481013,1.0253164556962024,1.0379746835443038,1.0379746835443038,1.0316455696202531,1.0443037974683542,1.0569620253164556,1.0569620253164556,1.050632911392405,1.0632911392405062,1.0759493670886076,1.0759493670886076,1.0759493670886076,1.0886075949367089,1.10126582278481,1.10126582278481,1.0949367088607593,1.1075949367088607,1.120253164556962,1.120253164556962,1.120253164556962,1.1329113924050633,1.1455696202531644,1.1455696202531644,1.1455696202531644,1.1582278481012658,1.1708860759493671,1.1708860759493671,1.1708860759493671,1.1835443037974684
Augusta - GA,1,0.9923076923076923,0.9846153846153846,0.9923076923076923,1.0,1.0,1.0,1.0076923076923077,1.0153846153846153,1.023076923076923,1.023076923076923,1.0307692307692309,1.0461538461538462,1.0461538461538462,1.0461538461538462,1.0538461538461539,1.0615384615384613,1.0615384615384613,1.0615384615384613,1.0769230769230769,1.0846153846153845,1.0846153846153845,1.0846153846153845,1.0923076923076922,1.1076923076923075,1.1076923076923075,1.1076923076923075,1.123076923076923,1.1307692307692307,1.1307692307692307,1.1307692307692307,1.146153846153846,1.1538461538461537,1.1538461538461537,1.1538461538461537,1.1692307692307693,1.176923076923077,1.176923076923077,1.176923076923077,1.1923076923076923
Austin - TX,1,0.9940476190476191,0.9821428571428571,0.9880952380952381,1.0,0.9940476190476191,0.9880952380952381,0.9940476190476191,1.005952380952381,1.0,1.0,1.005952380952381,1.0178571428571428,1.0119047619047619,1.005952380952381,1.0178571428571428,1.0297619047619049,1.0238095238095237,1.0178571428571428,1.0297619047619049,1.0416666666666667,1.0357142857142858,1.0297619047619049,1.0416666666666667,1.0595238095238095,1.0535714285714286,1.0476190476190477,1.0595238095238095,1.0714285714285714,1.0714285714285714,1.0654761904761905,1.0773809523809526,1.0952380952380953,1.0892857142857144,1.0833333333333335,1.0952380952380953,1.1130952380952381,1.1071428571428572,1.1011904761904763,1.1130952380952381
Bakersfield - CA,1,1.0,1.0,1.006060606060606,1.0121212121212122,1.0181818181818183,1.0181818181818183,1.0242424242424242,1.0303030303030303,1.0363636363636364,1.0424242424242425,1.0484848484848486,1.0545454545454547,1.0606060606060606,1.0666666666666667,1.0727272727272728,1.0787878787878789,1.084848484848485,1.090909090909091,1.0969696969696972,1.103030303030303,1.1090909090909091,1.1151515151515152,1.1212121212121213,1.1333333333333335,1.1333333333333335,1.1393939393939394,1.1454545454545455,1.1575757575757575,1.1636363636363636,1.1696969696969697,1.1757575757575758,1.1818181818181819,1.187878787878788,1.193939393939394,1.2,1.2121212121212122,1.218181818181818,1.2242424242424244,1.2303030303030302
Baltimore - MD,1,0.9947643979057592,0.9842931937172775,0.9947643979057592,1.0104712041884816,1.0052356020942408,1.0052356020942408,1.0157068062827226,1.031413612565445,1.0261780104712042,1.0261780104712042,1.036649214659686,1.0523560209424083,1.0471204188481675,1.0471204188481675,1.06282722513089,1.0732984293193717,1.068062827225131,1.068062827225131,1.0837696335078533,1.099476439790576,1.094240837696335,1.0890052356020943,1.1047120418848166,1.1204188481675394,1.1151832460732984,1.1151832460732984,1.130890052356021,1.1413612565445028,1.1413612565445028,1.1361256544502618,1.1518324607329844,1.1675392670157068,1.1623036649214662,1.1623036649214662,1.1780104712041886,1.1884816753926701,1.1884816753926701,1.1832460732984293,1.198952879581152
Baton Rouge - LA,1,0.992,0.984,0.992,1.0,1.0,0.992,1.008,1.016,1.016,1.016,1.024,1.04,1.04,1.04,1.048,1.056,1.056,1.056,1.064,1.08,1.08,1.072,1.088,1.096,1.096,1.096,1.1119999999999999,1.1199999999999999,1.1199999999999999,1.1199999999999999,1.128,1.144,1.144,1.136,1.152,1.16,1.16,1.16,1.176
Beaumont - TX,1,0.9921259842519685,0.984251968503937,0.9921259842519685,0.9921259842519685,0.9921259842519685,0.9921259842519685,1.0,1.0078740157480315,1.0078740157480315,1.015748031496063,1.0236220472440944,1.031496062992126,1.031496062992126,1.031496062992126,1.0393700787401574,1.0472440944881891,1.0472440944881891,1.0472440944881891,1.062992125984252,1.0708661417322836,1.0708661417322836,1.0708661417322836,1.078740157480315,1.0866141732283463,1.0866141732283463,1.0944881889763778,1.1023622047244093,1.110236220472441,1.110236220472441,1.110236220472441,1.125984251968504,1.1338582677165354,1.1338582677165354,1.1338582677165354,1.1496062992125984,1.1574803149606299,1.1574803149606299,1.1574803149606299,1.1653543307086613
Birmingham - AL,1,1.0,0.984375,0.9921875,1.0,1.0,1.0,1.0078125,1.0234375,1.0234375,1.015625,1.03125,1.046875,1.046875,1.0390625,1.0546875,1.0625,1.0625,1.0625,1.0703125,1.0859375,1.0859375,1.078125,1.09375,1.109375,1.109375,1.1015625,1.1171875,1.1328125,1.1328125,1.125,1.140625,1.1484375,1.1484375,1.1484375,1.1640625,1.171875,1.171875,1.171875,1.1796875
