Market,1,3,5,10,Geography Name,1 Year Growth,3 Year Growth,5 Year Growth,10 Year Growth
Akron - OH,0.9996033357124652,0.9984335602870253,0.9986729676764347,0.99588122319703,,140.0,140.0,144.0,143.0
Albany - NY,1.0008553115303245,1.002233933941211,1.0055225234975533,1.0262502587325544,,113.0,126.0,127.0,123.0
Albuquerque - NM,1.0017004775219103,1.0058409852764683,1.0128574426113341,1.0332823405471063,,98.0,104.0,103.0,108.0
Anchorage - AK,0.9998019200191025,1.0024436930520055,1.0074771801008309,1.0353250546755015,,133.0,123.0,118.0,104.0
Asheville - NC,1.0026518992469795,1.0120606868601556,1.0244586411584127,1.1662143305515522,,70.0,65.0,60.0,11.0
Atlanta - GA,1.0049992011716997,1.0194299866777081,1.0351525825705212,1.074841300505203,,28.0,27.0,29.0,51.0
Augusta - GA,1.0014312627915738,1.0066974712683505,1.0132692786428,1.0329243168171307,,101.0,97.0,99.0,111.0
Austin - TX,1.0108024647150997,1.036628404953493,1.0631540275060372,1.1286061927255957,,1.0,1.0,2.0,14.0
Bakersfield - CA,1.003661489103119,1.0132299409303727,1.025253112244834,1.051490056327064,,50.0,54.0,51.0,82.0
Baltimore - MD,1.0007618146055615,1.003982305713405,1.0100338553957207,1.0073071456436753,,116.0,113.0,112.0,138.0
Baton Rouge - LA,1.0015661836675311,1.0063948620524419,1.0134733762741759,1.0136805631300068,,100.0,99.0,98.0,134.0
Beaumont - TX,0.9997855918648264,1.0007103928097962,1.0041699316703327,1.0057400617528374,,136.0,132.0,131.0,140.0
Birmingham - AL,1.000735901546473,1.0050323144436304,1.0114029291651951,1.0472490894213635,,117.0,107.0,107.0,91.0
Boise - ID,1.006609616704931,1.025706221310121,1.0464943802209814,1.095601033234989,,7.0,6.0,6.0,29.0
Boston - MA,1.002189594432885,1.007153949075795,1.0148314106028578,1.0962293042223874,,83.0,95.0,96.0,28.0
Brownsville-Harlingen - TX,1.0038223866345581,1.0134584867192333,1.026700781892757,1.0698292124322148,,45.0,51.0,47.0,62.0
Buffalo - NY,1.0006589849016527,1.0017674540381587,1.005843849287659,1.0265374162094323,,118.0,128.0,125.0,121.0
Canton - OH,0.9987769620611197,0.9967203356909753,0.9952097084006881,0.9811760104115759,,147.0,145.0,146.0,146.0
Charleston - SC,1.0051689896995346,1.0204661497676968,1.0374729727886285,1.073060008935179,,24.0,20.0,23.0,56.0
Charlotte - NC,1.0058210262951748,1.0210113874969586,1.0379006614227269,1.0684621042609237,,14.0,19.0,22.0,66.0
Chattanooga - TN,1.003442984604536,1.0133752512692469,1.0247358431356934,1.0295341231102746,,54.0,53.0,57.0,114.0
Chicago - IL,1.000403430419284,1.0028383010956707,1.0062517006588312,1.0330409513393575,,122.0,120.0,123.0,110.0
Cincinnati - OH,1.0014009736213765,1.005916923199936,1.0130017497284391,1.0325013971458246,,104.0,103.0,102.0,113.0
Cleveland - OH,0.9993498284923628,0.9979516880915383,0.9990392312401071,0.9798129896660762,,143.0,144.0,142.0,147.0
Colorado Springs - CO,1.0057424965266748,1.0222768927079955,1.040269493794979,1.0993340497548056,,16.0,15.0,16.0,23.0
Columbia - SC,1.0028842115472254,1.0116441125983937,1.0215832351889407,1.0513828788347563,,64.0,66.0,67.0,84.0
Columbus - OH,1.0030193388233444,1.0123257607311986,1.0233016010023201,1.0350218212049587,,63.0,63.0,64.0,105.0
Corpus Christi - TX,0.9995049180804088,1.0026107920557294,1.0069196514045406,1.025819446404586,,142.0,122.0,121.0,124.0
Dallas-Fort Worth - TX,1.0066912669692099,1.0260024661592615,1.0465655916771146,1.110234331097395,,5.0,5.0,5.0,17.0
Dayton - OH,0.9998259955959864,1.0000524850240367,1.001890091316061,1.0025301564290134,,132.0,134.0,137.0,141.0
Daytona Beach - FL,1.0040910952704423,1.0154199191260624,1.0277213203454083,1.0526387186925323,,40.0,42.0,43.0,79.0
