Market,2026 Q2 EST,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2,2035 Q3,2035 Q4
Akron - OH,341598.6875,341530.5,341500.6875,341463.1875,341426.40625,341389.59375,341350.09375,341293.0,341236.6875,341168.78125,341104.1875,341063.59375,341050.90625,341047.0,341059.21875,341081.78125,341115.125,341141.6875,341158.125,341145.375,334380.0,334363.5,334344.6875,334327.3125,334306.875,334286.28125,334261.1875,334232.90625,334202.09375,334170.1875,334138.6875,334105.59375,334072.5,334037.90625,333999.125,340191.71875,340197.125,333869.1875,333822.125
Albany - NY,478444.09375,478581.78125,478741.6875,478853.3125,478982.59375,479111.0,479214.1875,479287.6875,479332.3125,479368.1875,479409.78125,479512.90625,479686.0,479854.3125,480054.59375,480259.875,480474.40625,480687.71875,480893.1875,481086.3125,473595.0,473782.5,473973.125,474162.90625,474346.71875,474536.59375,474716.625,474891.125,475059.90625,475226.71875,475388.3125,475550.28125,475711.90625,475868.28125,476021.09375,491003.375,491258.0,476472.5,476616.21875
Albuquerque - NM,430412.1875,430692.40625,430957.625,431144.09375,431400.3125,431609.8125,431819.21875,431993.90625,432158.375,432332.09375,432600.90625,432926.21875,433295.28125,433665.0,434052.5,434441.40625,434828.09375,435217.5,435597.59375,435946.1875,427507.125,427838.71875,428170.0,428496.40625,428818.0,429134.3125,429441.40625,429737.6875,430030.90625,430328.1875,430621.0,430911.1875,431204.40625,431495.09375,431783.8125,444737.3125,445062.0,432632.90625,432913.40625
Anchorage - AK,184269.0,184235.109375,184229.203125,184232.5,184280.90625,184344.296875,184401.3125,184451.203125,184509.703125,184571.796875,184638.203125,184719.296875,184823.890625,184933.203125,185050.59375,185168.5,185292.890625,185416.390625,185534.296875,185646.8125,180119.0,180223.203125,180327.703125,180430.5,180532.0,180630.40625,180727.90625,180823.703125,180918.59375,181013.390625,181105.296875,181196.0,181286.703125,181377.296875,181465.296875,190778.3125,190886.90625,181727.0,181812.0
Asheville - NC,190918.59375,191054.796875,191221.5,191424.890625,191640.203125,191856.0,192076.40625,192296.5,192521.8125,192745.296875,192969.296875,193221.203125,193492.09375,193778.203125,194071.90625,194370.296875,194681.5,194992.203125,195297.890625,195588.203125,194554.90625,194835.609375,195120.296875,195398.890625,195680.296875,195959.0,196240.703125,196516.40625,196792.796875,197070.796875,197343.3125,197619.59375,197891.5,198167.09375,198437.8125,222652.0,222960.6875,199252.109375,199519.8125
Atlanta - GA,3142102.0,3146657.0,3152088.0,3157810.0,3163542.0,3169197.0,3174766.0,3180629.0,3186393.0,3192042.0,3197492.0,3203153.0,3209028.0,3215059.0,3221225.0,3227453.0,3233758.0,3240022.0,3246298.0,3252555.0,3207867.0,3213765.0,3219648.0,3225427.0,3231226.0,3237006.0,3242799.0,3248584.0,3254359.0,3260125.0,3265871.0,3271622.0,3277378.0,3283122.0,3288856.0,3377261.0,3383230.0,3306100.0,3311833.0
Augusta - GA,248927.90625,249026.09375,249150.296875,249284.1875,249447.59375,249626.796875,249819.0,250006.609375,250163.5,250307.90625,250441.703125,250595.09375,250776.90625,250969.40625,251170.296875,251382.5,251604.203125,251833.203125,252047.8125,252231.0,249460.203125,249633.0,249803.890625,249973.0,250134.296875,250295.703125,250447.203125,250596.890625,250740.09375,250883.109375,251019.5,251157.890625,251294.296875,251430.609375,251558.0,257123.6875,257261.109375,251938.203125,252057.40625
Austin - TX,1396348.0,1401202.0,1406260.0,1411432.0,1416682.0,1421975.0,1427212.0,1431220.0,1435194.0,1439220.0,1443286.0,1447494.0,1451889.0,1456402.0,1460997.0,1465630.0,1470345.0,1475096.0,1479830.0,1484533.0,1459232.0,1463851.0,1468507.0,1473171.0,1477841.0,1482511.0,1487165.0,1491839.0,1496510.0,1501201.0,1505871.0,1510571.0,1515269.0,1519971.0,1524650.0,1575927.0,1580758.0,1538764.0,1543449.0
Bakersfield - CA,298990.375,299359.90625,299731.28125,300085.125,300436.8125,300791.6875,301150.21875,301517.59375,301879.59375,302221.71875,302565.0,302946.0,303379.6875,303813.125,304266.0,304722.40625,305189.6875,305645.0,306096.71875,306540.8125,304224.625,304664.71875,305103.09375,305553.5,305996.875,306441.3125,306881.71875,307322.0,307760.09375,308195.0,308635.3125,309073.09375,309515.59375,309951.59375,310391.59375,314385.40625,314843.1875,311702.78125,312137.6875
Baltimore - MD,1466236.0,1466494.0,1466960.0,1467353.0,1467856.0,1468349.0,1468806.0,1469312.0,1469878.0,1470521.0,1471215.0,1472075.0,1473113.0,1474164.0,1475289.0,1476428.0,1477581.0,1478716.0,1479824.0,1480948.0,1456800.0,1457830.0,1458851.0,1459870.0,1460881.0,1461864.0,1462847.0,1463812.0,1464774.0,1465722.0,1466665.0,1467607.0,1468542.0,1469469.0,1470390.0,1476950.0,1477901.0,1473158.0,1474072.0
