Market,2026 Q2 EST,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2,2035 Q3,2035 Q4
Akron - OH,1.0,0.9998003871136069,0.9997131136518199,0.9996033357124652,0.9994956618502816,0.9993878965064817,0.9992722637436948,0.9991051268310274,0.9989402769587632,0.9987414874069152,0.9985523949063768,0.9984335602870253,0.998396418750877,0.998384983548861,0.9984207528607674,0.9984868025876124,0.9985844134720219,0.9986621728457314,0.9987102921758152,0.9986729676764347,0.9788679296374638,0.9788196273441478,0.9787645554112382,0.9787136916326705,0.9786538626557223,0.9785935762706933,0.9785201165329419,0.9784373256703452,0.9783471247968422,0.9782537220667746,0.9781615085977168,0.9780646295662363,0.9779677505347558,0.9778664803857011,0.9777529517000852,0.99588122319703,0.9958970495166203,0.9773725711402214,0.9772347998263313
Albany - NY,1.0,1.0002877817947773,1.000622003184672,1.0008553115303245,1.001125523351703,1.0013939063282669,1.0016095793846342,1.0017632023490728,1.0018564734346247,1.0019314560720294,1.0020183915166159,1.002233933941211,1.002595718635099,1.0029475099983927,1.0033661195133103,1.0037951795700268,1.0042435731290704,1.004689419368551,1.0051188713205848,1.0055225234975533,0.9898648686161151,0.9902567639335604,0.9906551908396298,0.9910518542167708,0.9914360422596397,0.9918329015844393,0.992209186405073,0.9925739103138422,0.9929266814154292,0.993275337616183,0.9936130860639347,0.9939516183023213,0.9942894320659591,0.9946162727607085,0.9949356674444265,1.0262502587325544,1.026782452573645,0.9958791554211761,0.996179543181998
Albuquerque - NM,1.0,1.0006510474334558,1.0012672445526418,1.0017004775219103,1.0022957644525343,1.0027825071751715,1.0032690320833446,1.0036748930349468,1.0040570122099528,1.004460622412092,1.0050851690857383,1.0058409852764683,1.0066984482171524,1.0075574358590857,1.0084577356443931,1.0093613026466635,1.0102597147066148,1.0111644433860274,1.0120475358286642,1.0128574426113341,0.9932505105934064,0.994020920353237,0.9947906040648535,0.9955489614243324,0.9962961376413162,0.9970310436434842,0.9977445312233404,0.9984328975349938,0.9991141485741503,0.9998048382400881,1.0004851454165666,1.0011593537880477,1.0018406048272042,1.0025159748758277,1.0031867708207032,1.0332823405471063,1.0340367046414085,1.0051595164228475,1.005811217299696
Anchorage - AK,1.0,0.9998160807026684,0.9997840283769923,0.9998019200191025,1.0000646134184263,1.0004086247551134,1.0007180399307534,1.0009887888087525,1.0013062594630675,1.001643232855228,1.0020036095328027,1.0024436930520055,1.0030113075178135,1.0036045299263576,1.0042415910977973,1.0048814504881451,1.0055564996011266,1.0062267154269031,1.006866574817251,1.0074771801008309,0.9774785775143947,0.9780440721173936,0.9786111778161275,0.979169040913013,0.9797198660653719,0.9802539019042812,0.9807830196614732,0.9813028948168168,0.9818178518904428,0.9823323001969946,0.9828310615187579,0.9833232936630687,0.9838155258073794,0.9843071643901036,0.9847847270837743,1.0353250546755015,1.0359143765364767,0.9862049503714678,0.9866662325187633
Asheville - NC,1.0,1.0007134094292478,1.0015865728112194,1.0026518992469795,1.0037796704911042,1.0049099788113225,1.0060644302750108,1.007217244915413,1.0083973945046931,1.0095679686777497,1.010741243609228,1.0120606868601556,1.0134795671257137,1.0149781606853052,1.016516529050749,1.0180794497654841,1.0197094802349496,1.0213368917871573,1.022938032325623,1.0244586411584127,1.0190464031217494,1.0205166796384912,1.0220078256521308,1.0234670536116914,1.024941012980827,1.0264008138285379,1.0278763281797951,1.0293204155239595,1.030768103879353,1.03222422187467,1.033651613621316,1.0350987290885596,1.0365229290297975,1.0379664434858116,1.0393844234985625,1.1662143305515522,1.1678311845935645,1.043649575776325,1.0450517604443648
Atlanta - GA,1.0,1.001449666497141,1.0031781272536664,1.0049992011716997,1.0068234576726025,1.008623208285409,1.010395588685536,1.0122615370220318,1.0140959777881176,1.0158938188512021,1.01762832651518,1.0194299866777081,1.0212997541136475,1.0232191698423538,1.0251815504398012,1.0271636630510403,1.029170281550376,1.0311638514599462,1.0331612404689599,1.0351525825705212,1.0209302562424771,1.0228073436190168,1.024679657121252,1.0265188717616425,1.0283644515677721,1.0302039844664495,1.0320476547228574,1.0338887789129698,1.0357267205202123,1.0375617978028722,1.0393905099197926,1.0412208133281478,1.043052708027938,1.0448807836282845,1.0467056766457614,1.074841300505203,1.0767409842201177,1.0521937225462445,1.0540182973054344
Augusta - GA,1.0,1.0003944415131238,1.0008933937072393,1.0014312627915738,1.002087702852721,1.0028076025525965,1.0035797262083788,1.004333395725896,1.004963661039912,1.0055437737808877,1.0060812662501555,1.0066974712683505,1.007427853420914,1.008201169691074,1.009008193009698,1.0098606612130294,1.0107512930764466,1.0116712381458839,1.0125333728025923,1.0132692786428,1.0021383575791836,1.0028325219161722,1.0035190284134727,1.0041983792245068,1.0048463454466547,1.0054947510530472,1.0061033610007315,1.0067046897237943,1.0072799692380814,1.0078544955222353,1.0084024076750133,1.0089583542825464,1.0095063292045023,1.0100539275113916,1.0105656846177726,1.0329243168171307,1.0334763717356419,1.0120930470205165,1.0125719130777449
Austin - TX,1.0,1.0034762108013189,1.0070985169886018,1.0108024647150997,1.0145622724421133,1.0183528747847959,1.0221033725117235,1.0249737171536035,1.0278197125644897,1.0307029479757195,1.0336148295410599,1.036628404953493,1.039775901136393,1.043007903473919,1.046298630427372,1.0496165712272298,1.0529932366430146,1.0563956835974986,1.0597859559364857,1.0631540275060372,1.0450346188772426,1.0483425335231618,1.0516769458616333,1.055017087430927,1.0583615259233372,1.0617059644157474,1.0650389444465134,1.0683862475543346,1.0717314022005975,1.0750908799239158,1.078435318416326,1.0818012415243192,1.0851657323246067,1.0885330877403054,1.0918839716173905,1.1286061927255957,1.1320659319883009,1.1019917670953085,1.1053469478955102
Bakersfield - CA,1.0,1.0012359302536076,1.0024780270936815,1.003661489103119,1.0048377393419436,1.0060246504590658,1.0072237902307055,1.0084525087137002,1.0096632500293696,1.0108075176333018,1.011955652418577,1.0132299409303727,1.0146804474893214,1.0161301179009525,1.0176447987665154,1.0191712902129375,1.0207341540676687,1.0222569873695766,1.0237678010537965,1.025253112244834,1.0175064163854772,1.0189783492194355,1.0204445335405863,1.0219509574513896,1.0234338647188894,1.0249203256124884,1.0263933036305934,1.0278658635750397,1.0293311072304585,1.0307856900075796,1.0322583544704407,1.0337225529417127,1.0352025336936013,1.0366607746152363,1.0381323938939506,1.051490056327064,1.053021146583732,1.0425177775371532,1.0439723603142743
Baltimore - MD,1.0,1.0001759607593865,1.0004937813557981,1.0007618146055615,1.0011048698845206,1.0014411049790075,1.0017527874093939,1.0020978887436947,1.0024839111848298,1.0029224490464017,1.0033957698487828,1.003982305713405,1.0046902408616347,1.0054070422496788,1.006174313002818,1.0069511320142188,1.0077374992838806,1.0085115902214923,1.0092672666610287,1.0100338553957207,0.993564473931891,0.994266952932543,0.9949632937671699,0.9956582705649022,0.9963477912150568,0.9970182153486887,0.9976886394823207,0.9983467872839025,0.9990028890301424,0.9996494425181213,1.0002925859138638,1.0009350472911591,1.0015727345393237,1.0022049656399106,1.002833104629814,1.0073071456436753,1.0079557451869958,1.0047209316917605,1.0053442965525332
