Market,2026 Q2 EST,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2,2035 Q3,2035 Q4,2036 Q1,2036 Q2
Akron - OH,222.59977048326,222.607271586592,222.531200994978,223.653285380507,225.398633219696,227.248337385352,228.273519805327,229.370909080596,230.72651621345,232.095674975929,233.471979075958,234.873904704745,236.234586225898,237.317511201287,238.355083651736,239.362552312388,240.346217066303,241.342753876644,242.346249581933,243.356321337637,244.369911870948,245.382506788598,246.390141457188,247.391658104228,248.381480348309,249.364017544282,250.342982260469,251.313949941595,252.285395648488,253.239483641515,254.129247430849,255.008535426089,255.876009099823,256.731556637391,257.585087697753,258.485218052152,259.394972828584,260.294323168631,261.200087839533,262.124950020905,263.038282417091
Albany - NY,221.545789027302,221.723101860584,222.010250651855,223.322245305034,225.335995636895,227.45192585074,228.738737476202,230.081465533252,231.615761709664,233.174447670424,234.721980878306,236.302732085392,237.871524738192,239.138584348498,240.351637450488,241.537366805873,242.69315348721,243.855252195606,245.026822449491,246.205288924555,247.401377156235,248.608752486964,249.816663283119,251.025326068125,252.240771530218,253.45679771384,254.670786119635,255.89123676448,257.106929019656,258.324067378583,259.494557151752,260.650192064109,261.808627115399,262.965049576218,264.111496058358,265.333529045541,266.621850369626,267.904601385117,269.212996109369,270.477025659588,271.725184633978
Albuquerque - NM,251.110446925809,250.488463174542,249.781377718183,250.337236146251,251.812396014018,253.383210957926,254.294376835572,255.509724457062,257.090688917147,258.707261207093,260.342568064938,261.983540047232,263.62326919135,264.86943727784,266.032949966131,267.196954079343,268.345074823658,269.545781367837,270.770150166507,272.022375816928,273.289801961424,274.582361496174,275.867675310277,277.163950767692,278.459388049712,279.768107851008,281.081164046709,282.391260253049,283.711063985514,285.028628723059,286.280256898094,287.541285026322,288.795488617345,290.048877576203,291.30623298336,292.565116280147,293.79972137801,295.028216373475,296.26070943555,297.56824812793,298.880449744938
Anchorage - AK,180.226140305063,180.791194600013,181.20949764085,182.239756694208,183.655868082499,185.076583695127,185.988871855776,186.923700625581,187.996609778879,189.07273275382,190.163934569279,191.282471634784,192.402244014656,193.356612672259,194.293515745674,195.232127665357,196.146549657282,197.084680929897,198.043114670722,199.015299221748,200.006639815089,201.008258930065,202.018543039171,203.027456105655,204.031135320308,205.034255670729,206.034199062294,207.037604251645,208.045732670011,209.05537337386,210.04141930512,211.031637011423,212.024921355835,213.012268465782,214.002195934893,214.991708902952,215.987362487406,216.976670346698,217.970262460555,219.008726887418,220.053855547214
Asheville - NC,330.199504145317,328.972591204579,327.72961595156,329.251906517888,331.635273052366,334.555254012305,336.413839412296,338.602329888349,341.294287420316,344.00584113975,346.66915920861,349.325884305711,351.866733055151,353.853546563938,355.71743744997,357.518865421362,359.252714183403,361.012944984308,362.79949913412,364.613101694966,366.437600621521,367.805990792473,369.434327437907,371.429417584645,373.24319577516,375.568683352709,377.730078850984,379.539400542776,381.464850075055,383.404867978168,385.131632698723,386.853710499845,388.643038729628,390.379514370499,392.125742415264,393.924569375037,395.749383124084,397.524215470562,399.31295240295,401.055216294727,402.771887718141
Atlanta - GA,277.715009741195,278.032598833007,277.876643616573,279.00867633929,281.26061957075,283.517379369659,284.88574631156,286.46698498758,288.364440572732,290.266409381368,292.165283037146,294.063267989658,295.962581387267,297.438984218941,298.802451384443,300.167152520095,301.531735697095,302.938802903207,304.405904213955,305.916670213577,307.483024218659,309.086997215281,310.701897212296,312.342069686652,314.001739939867,315.672979255643,317.370108648367,319.075206757199,320.805534606323,322.552646273516,324.24810408818,325.949475314175,327.648141584785,329.367067347827,331.08792602348,332.814141245913,334.543594041275,336.277688706901,338.009093068578,339.748964975812,341.501751256362
Augusta - GA,258.645174859312,257.684380910225,256.805876367469,257.75269130573,259.504860803172,261.539680329679,262.820928976656,264.301596225212,266.144863481695,268.007682290943,269.872136673646,271.757039965052,273.597814317635,275.083015955527,276.497978429128,277.873164368396,279.215772657555,280.582228107898,281.973247297226,283.369742667329,284.771636270808,285.809581489924,287.042812215298,288.549002944901,289.897188996006,291.644273106383,293.244998577666,294.571071267244,295.986893187328,297.39524064814,298.647235458263,299.876953655664,301.141894227469,302.384437090782,303.63746150118,304.932108058779,306.238310007133,307.517449188986,308.809530049947,310.104557658714,311.373496055285
Austin - TX,241.172890496882,241.90561011493,242.293961486291,243.862985238455,245.838105159452,248.107930903139,249.685139373274,251.279504068511,253.064736306338,254.778486576484,256.37091559274,257.907450538696,259.393585005125,260.404776194703,261.250058928227,262.131378904953,263.013863459716,263.96299203755,264.98467220856,266.078524779034,267.218283292965,268.391635961098,269.591319463756,270.836370628266,272.100406358184,273.388538212651,274.682893767217,275.998486117729,277.339521840942,278.679091444579,279.963032897066,281.247621293473,282.546486674295,283.8475243666,285.142570317339,286.442731664181,287.739704747111,289.03523981068,290.328920494092,291.622075234917,292.912605712192
Bakersfield - CA,233.468108821893,234.323698053843,234.789243736425,236.103847568784,238.103634516783,240.132402569355,241.454737590648,242.879957488961,244.545368780252,246.225368081073,247.921920621951,249.647161383733,251.371701618195,252.818658837306,254.224303097375,255.623249333357,256.993396079282,258.395265026501,259.825574484006,261.278594398816,262.756142621192,264.252937193568,265.764927569357,267.284493299277,268.815177481043,270.350724654595,271.886324849302,273.432349175798,274.986783875618,276.550738535814,278.073773763864,279.604066299685,281.139952067217,282.680870405427,284.225113759631,285.775714311171,287.331095989669,288.878282526254,290.432379235258,291.995597889289,293.568261573846
Baltimore - MD,216.320471534854,216.692629495991,216.882468103933,218.003900007702,219.846741755754,221.831215523977,222.944209667123,224.08643182206,225.551297251709,227.13101580963,228.7605260308,230.433119685656,232.125340527637,233.44597069922,234.653688134455,235.858248945061,237.022198156496,238.183596830071,239.361537242462,240.559682411392,241.763825292675,242.989568030519,244.22104853415,245.446661087649,246.676707077878,247.913161605089,249.149813311156,250.372415771205,251.603342270707,252.834273978725,253.986349401133,255.147253135173,256.301385729535,257.454249738781,258.59453352128,259.729800764058,260.864680143051,261.998642915129,263.116422138137,264.236518369742,265.372090687089
Baton Rouge - LA,161.869792971917,161.292192692504,160.764293358491,161.264304495542,162.244138205493,163.435569731487,164.228756265326,165.140058592159,166.260527460735,167.393628172651,168.52286850939,169.654833774194,170.739562000026,171.629119104775,172.481990131733,173.310839718178,174.115085287158,174.924322385883,175.749210907719,176.583865063141,177.423642821669,178.038738243173,178.780233044601,179.692994720381,180.504979571243,181.553897008542,182.510213197665,183.304461539943,184.168937778868,185.022864022129,185.78302129978,186.533317426599,187.310876793537,188.069959180003,188.836167111477,189.627498081549,190.433506343245,191.215693248791,192.005264083464,192.792003120467,193.565218287526
Beaumont - TX,212.302333223915,211.804851768827,211.230610442702,211.609783079253,212.753459074324,214.002374567302,214.780176536921,215.773735283521,217.043346937097,218.346432294645,219.663939167451,220.984078222548,222.291815331709,223.32049488232,224.295068292158,225.270616363724,226.241405046086,227.256886651203,228.299947823047,229.361620649544,230.430054566009,231.520254956776,232.598655004804,233.687495609153,234.780226900954,235.883542925595,236.979803214247,238.077814963067,239.178281484603,240.277122269171,241.331719270818,242.388279787373,243.446929064208,244.505163204506,245.561954640842,246.621503683023,247.661410008275,248.696037831629,249.725920623212,250.855933571212,251.991587476232
Birmingham - AL,213.950320500495,213.126441049862,212.38383070328,213.111216941842,214.508264149738,216.112163099776,217.092231908693,218.231509891069,219.665551827672,221.119954048894,222.580989656041,224.068219823706,225.515653636636,226.68673335898,227.80434195384,228.899704328253,229.957899681204,231.026159145491,232.114607335106,233.213627735909,234.31658965938,235.119172637355,236.08102510008,237.264545101861,238.315697911378,239.686497140004,240.933081117415,241.954111077215,243.054996137352,244.148089979802,245.112728860885,246.059063804766,247.045024055519,248.013486002834,248.990758060566,249.99323147754,251.01358123248,252.010672067649,253.017585716235,254.008397565913,254.977434433123
Boise - ID,314.833574624929,315.991300109923,316.328170902369,317.906931942316,320.803868400638,323.709071343824,325.481065972971,327.548384963837,330.071707925026,332.585906297232,335.105745247085,337.63181764298,340.125488067976,342.098089211752,343.976878818184,345.826833242495,347.61797445151,349.451561414172,351.334167752321,353.25588886866,355.208806249355,357.189294240175,359.193738366805,361.21038822222,363.251318248844,365.317407155538,367.377407691019,369.460262190989,371.565764703724,373.695351260383,375.743959829783,377.799139241612,379.858002697153,381.921769450084,383.98242589109,386.045575329547,388.09625957607,390.136411829694,392.188674524032,394.177404960722,396.185316389212
Boston - MA,269.799703672521,270.811013843079,271.593841451975,273.050245434106,275.450517049255,278.043999824524,279.621118484611,281.184115313498,282.937598109041,284.703544965046,286.476342029703,288.269089087408,290.07592214057,291.495701581803,292.852677873814,294.205436443044,295.556056079916,296.94280716271,298.368144343592,299.829666860859,301.305980764366,302.79834766026,304.300322453257,305.809946557215,307.311105072703,308.819534913895,310.332413570052,311.84618814559,313.364995980647,314.889167858421,316.346329087001,317.792958234013,319.241768318052,320.68854214336,322.137093566274,323.569173633156,325.005506221211,326.444675244241,327.871024807431,329.305359559638,330.67924969891
Brownsville-Harlingen - TX,179.572641178962,179.102284692969,178.558245651053,178.753640881534,179.570471851127,180.543240237752,181.18134816957,181.997343900841,183.042295438785,184.12253595265,185.221514359495,186.31805640875,187.393704306577,188.275373267198,189.118937030116,189.965925711855,190.819430971035,191.708634340544,192.622700283938,193.560895612493,194.510693114528,195.473859892246,196.432705863693,197.402028275711,198.377588466233,199.360570094546,200.347847281794,201.336946759906,202.333518043211,203.329868105516,204.296537321834,205.270073202867,206.245426777842,207.215554103781,208.188715600607,209.163401300199,210.123966488752,211.078349658064,212.043200932737,213.015891974792,213.992954412927
Buffalo - NY,248.052378768759,248.217008545622,248.496464576532,249.986650453196,252.277252930025,254.606402124069,255.933092522689,257.315274194606,258.927127204568,260.552325152634,262.18088468307,263.863551810838,265.553700291766,266.889824041494,268.160992256562,269.414872680913,270.637261826935,271.869937086852,273.111960623761,274.356617918877,275.619666273937,276.895044141875,278.170208437711,279.449125976795,280.735158477731,282.016648875297,283.304050032572,284.598946828989,285.888066958104,287.176940000674,288.409374160324,289.620500480713,290.833038573558,292.041714848404,293.238935031784,294.529955101506,295.89705357099,297.258677226419,298.648528215681,299.953424379238,301.243279677089
Canton - OH,194.280945650932,194.364524915113,194.287092959839,195.210870614191,196.701299802991,198.265377945636,199.171713646245,200.134453878418,201.301855579329,202.484562913514,203.682256334928,204.900136140466,206.094788433506,207.087929064458,208.0520388928,208.999794666159,209.932900515142,210.873516868989,211.812888397664,212.759334972896,213.703899106687,214.648627297547,215.589301091323,216.52500432096,217.453930619955,218.378162612505,219.286095097062,220.188986049618,221.092241598611,221.970679835548,222.813753469405,223.649375859045,224.474892907897,225.293356638615,226.109383935336,226.968526438361,227.841673324115,228.699102417507,229.569688765133,230.47258701682,231.373350469909
Charleston - SC,273.546110517574,272.736919281771,271.889184425894,273.356993694762,275.563988361559,278.176247601016,279.889310660329,281.87226009273,284.250448599877,286.624045134502,288.941920446129,291.234489292643,293.440672630542,295.174959164143,296.80809424498,298.391310811746,299.917006823361,301.4650868396,303.036170743946,304.630885890874,306.233907030145,307.46177628137,308.905279467707,310.658771792692,312.262041703147,314.275236031573,316.16252742526,317.755332861666,319.462231138301,321.174561742302,322.707686712695,324.219575975878,325.789922167829,327.333910335374,328.895400271295,330.499597026,332.109319805919,333.692223950952,335.290570571255,336.80826001956,338.299553218233
Charlotte - NC,285.173765009695,284.527273346873,284.76556779953,284.889057949749,286.188804660812,287.830730093259,289.741564324387,292.291674108544,294.985975672347,297.1402208697,298.994388805505,300.914891321718,302.750504200241,304.683529867539,306.3793783327,308.009360180731,309.6061665618,311.237188435479,312.915701733627,314.619938022805,316.344799160637,318.089990466257,319.851034855369,321.635356826349,323.431522129078,325.237362129123,327.066099725154,328.901200787572,330.741058735604,332.585659520799,334.436057206745,336.30687386967,338.180229854713,340.053825619247,341.927292851668,343.779804213449,345.633113198857,347.487017527984,349.342399648844,351.201384754966,353.06470002331
Chattanooga - TN,300.925227418689,299.985261991603,299.072550890175,300.497347625638,302.778039146525,305.437515376613,307.10639804249,309.049683644142,311.433057853153,313.820320669451,316.189924042795,318.561941360406,320.857036442445,322.688996404994,324.43132195629,326.128688344096,327.77165147718,329.441761327986,331.139180853476,332.858641709667,334.584832857093,335.891138517361,337.415565941167,339.26896877922,340.947190650886,343.095991607864,345.084629989704,346.751576149026,348.523153863217,350.293227022402,351.872744784227,353.442777637563,355.071731756993,356.656086219368,358.255444033476,359.901529853925,361.55717637117,363.182428330941,364.833081040345,366.420708781505,367.981953385823
Chicago - IL,227.965005780171,229.47851623531,231.321199089358,233.348005902886,235.104172708454,236.563308137428,238.203937142514,240.257037173686,242.219252737136,244.056161734471,245.570650380317,247.058600192505,248.498093150861,249.921038500585,250.971858229407,251.954161006782,252.899713370284,253.865899940798,254.839117717144,255.829604061819,256.827034730504,257.83211506102,258.839337115769,259.845019129742,260.859219800568,261.875381664031,262.898221856653,263.928532242136,264.974980572462,266.028708352066,267.085381374669,268.145479489341,269.210687852473,270.273108279336,271.33834517984,272.408549382135,273.483059303581,274.562035435483,275.629939680419,276.705563628414,277.751009559033
Cincinnati - OH,265.12264327201,264.975968898761,264.349128274379,264.805588112788,266.840488207578,269.310552394207,271.025071137078,272.943123747046,275.282808190111,277.748911639048,280.260916833618,282.577036200798,284.993404916976,287.113307705428,289.191107213443,291.200545161934,293.135025802303,295.060423168489,296.98152072056,298.898325078735,300.812175697689,302.717379305657,304.601999693709,306.47444224037,308.345800840423,310.194534817671,312.021160674631,313.837684400077,315.631606640301,317.411066468038,319.114769854907,320.805285663923,322.471470816314,324.113012914753,325.726822064657,327.319336847027,328.898041496505,330.45201226537,331.988290727244,333.504304862622,335.032602987164
