Market,2026 Q2 EST,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2,2035 Q3,2035 Q4,2036 Q1,2036 Q2
Akron - OH,1,1.0000336977136846,0.9996919606514727,1.0047327762061922,1.0125735203156756,1.020883071406588,1.0254885677094339,1.0304184437505752,1.0365083293327166,1.0426590938169145,1.0488419577841193,1.0551399230773604,1.0612526046771615,1.06611750176595,1.0707786586404449,1.0753045782245703,1.0797235619089625,1.08420037160278,1.088708443210897,1.0932460568549327,1.0977994781415337,1.1023484267565824,1.1068750921093924,1.1113742730603238,1.1158209184541268,1.1202348367337367,1.124632706120851,1.128994649886642,1.133358741119908,1.137644855121534,1.141642001153636,1.1455920860676099,1.1494890967062585,1.1533325307570244,1.1571669060508938,1.1612106225041714,1.165297575399302,1.1693377877413658,1.1734068156156336,1.1775616365274617,1.1816646614057138
Albany - NY,1,1.000800343956256,1.0020964588250232,1.0080184610392802,1.0171080056462998,1.0266587636324254,1.0324670962173585,1.0385278210135518,1.0454532344152163,1.0524887369522016,1.05947389886693,1.0666089981799267,1.0736901196929458,1.0794092968249918,1.0848847026420732,1.0902367761822247,1.0954536962889505,1.1006991072421364,1.10598727028522,1.1113065610748942,1.1167053918851362,1.1221551697212666,1.127607364508892,1.133062953578369,1.1385491578859726,1.1440379834193348,1.1495176109542344,1.155026407353405,1.1605137256207188,1.1660075712237918,1.1712908572582865,1.176507092319358,1.1817359664784026,1.18695575632815,1.1921305172079368,1.197646455888371,1.203461602859755,1.2092516069086832,1.2151573599812036,1.22086286021106,1.2264967247944045
Albuquerque - NM,1,0.997523067005449,0.9947072325190092,0.9969208338839585,1.0027953798689084,1.0090508541557752,1.0126794004341193,1.017519293144155,1.0238151859651816,1.030252880253638,1.036765181425752,1.0433000428876442,1.0498299549808772,1.0547925843805939,1.059426054244294,1.0640614811150682,1.0686336554645257,1.073415242845212,1.0782910606921363,1.0832778131978613,1.0883250988047024,1.0934724733985273,1.0985909932762876,1.1037531658313704,1.1089120005110074,1.1141237303188185,1.119352728999582,1.1245699400809157,1.1298258095543787,1.1350727626528068,1.14005713582548,1.1450789425390835,1.1500735718202522,1.1550649569824485,1.1600721377769956,1.1650854031038615,1.1700019850819414,1.1748942347294757,1.1798024059233216,1.1850094321876106,1.1902350276698872
Anchorage - AK,1,1.0031352516010914,1.0054562414426813,1.0111727210366743,1.0190301349828088,1.0269130958575365,1.0319750039642341,1.0371619805494434,1.0431151078343195,1.0490860672807099,1.0551406929505043,1.0613469905697714,1.067560142435403,1.0728555377425852,1.0780540237770149,1.0832619914896577,1.0883357393398707,1.0935410401415582,1.0988589909072055,1.1042532392075932,1.1097537764307894,1.115311344901604,1.1209169918260506,1.1265150314044174,1.132084030512727,1.1376499287155242,1.143198199293102,1.148765677948821,1.1543593638406653,1.1599614407765637,1.165432600118882,1.1709269069082682,1.1764382291988678,1.181916608241307,1.187409304625058,1.1928997011146243,1.1984241693342104,1.2039134277604155,1.209426457735841,1.2151884655395102,1.2209874504038976
Asheville - NC,1,0.9962843283368528,0.9925200124084074,0.9971302269823762,1.0043481861390595,1.0131912671348866,1.0188199412445034,1.0254477236868715,1.03360024208309,1.0418121069871655,1.0498778915671687,1.057923709515859,1.065618599173603,1.0716356085386824,1.0772803501649804,1.0827359245943085,1.087986837270658,1.0933176472167878,1.0987281766917982,1.1042206215261425,1.1097460657004985,1.1138901972142448,1.1188215693846808,1.1248636443172344,1.1303566210411387,1.1373992953890855,1.1439450214460327,1.1494245017876983,1.1552556720593277,1.1611309622361998,1.166360421090248,1.1715756857393558,1.1769946164382812,1.182253484543991,1.1875418875332229,1.1929895848713186,1.1985159824768217,1.203891012796967,1.2093081527682032,1.2145845504305397,1.2197834420153633
Atlanta - GA,1,1.0011435791393053,1.000582013465994,1.004658252354817,1.0127670802988258,1.0208932518046874,1.0258204861777096,1.031514231998267,1.038346615983995,1.045195251246484,1.0520327414402892,1.058867031579237,1.0657061052014332,1.0710223566818624,1.0759319478731075,1.0808459823609222,1.0857595921016117,1.090826178914558,1.0961089373514004,1.1015489241962952,1.1071890730904501,1.1129646809631277,1.1187796349280572,1.1246855903745578,1.1306617536894672,1.1366795750428518,1.1427906217389077,1.1489303622967586,1.1551609504480311,1.1614519740006333,1.1675570016555807,1.1736833224028118,1.1797999031097495,1.1859894344737327,1.1921859258958445,1.1984017052447593,1.2046291424904945,1.210873294246073,1.217107758718449,1.2233727132445127,1.2296841700223926
Augusta - GA,1,0.99628528175865,0.9928887191000432,0.9965493902831651,1.0033238042980217,1.0111910282955847,1.0161447207341692,1.0218694254357412,1.0289960507728875,1.0361982682906172,1.0434068094270106,1.0506944121918071,1.0578113992130584,1.0635536352269328,1.0690243055163386,1.0743411877663787,1.079532115027594,1.0848152425828879,1.0901933409374565,1.0955926118531525,1.1010127539618988,1.10502576220642,1.1097938029249246,1.1156171890771012,1.1208296816427883,1.1275844340224812,1.1337733199050564,1.1389003155673543,1.1443743087352305,1.1498194033965867,1.1546599917075964,1.1594144519370202,1.1643050924544511,1.169109136697646,1.1739537057528375,1.178959198541571,1.1840093679447485,1.1889549045570158,1.1939504775912464,1.198957443638347,1.2038635409481508
Austin - TX,1,1.0030381508325352,1.0046484121291548,1.011154216943831,1.0193438601368436,1.0287554724412389,1.035295214395177,1.0419060929725834,1.049308385303819,1.0564142845888307,1.0630171370610766,1.0693882301917776,1.0755503426222714,1.0797431488182527,1.0832480316920388,1.0869023394996462,1.0905614761171358,1.0944969457127383,1.0987332434529407,1.1032687970477926,1.1079946951849455,1.1128598882243272,1.117834259515339,1.1229967434161823,1.1282379449762487,1.1335790587797656,1.1389459785521303,1.1444009546392082,1.1499614292035347,1.1555158246452326,1.1608395633533508,1.1661659845516887,1.1715516038812328,1.1769462304896567,1.1823160129227934,1.1877070058497485,1.1930847789496102,1.1984565894416597,1.203820710926237,1.209182651640887,1.2145337111012438
Bakersfield - CA,1,1.0036646942328329,1.005658738237092,1.011289502280167,1.0198550702204314,1.0285447711941935,1.0342086497768643,1.0403132090055522,1.047446565675527,1.054642406295038,1.0619091484185723,1.069298769084486,1.0766853892235886,1.0828830546195714,1.08890376668668,1.0948957895074467,1.10076445719332,1.106768998688486,1.1128953577219425,1.119118991100146,1.125447685112497,1.1318588158657679,1.138335033895796,1.1448436989875208,1.1513999870796718,1.1579771045339595,1.1645544490905921,1.1711764427080391,1.1778344599749964,1.1845332535193818,1.191056779305132,1.1976113898836092,1.2041899576172592,1.210790081060181,1.2174044463454288,1.2240460410341618,1.2307081144383052,1.2373350860807806,1.2439916556518715,1.2506872967050295,1.2574233930930665
Baltimore - MD,1,1.001720401025832,1.0025979814350972,1.0077821043052635,1.0163011396742996,1.0254749074372052,1.030620024472357,1.0359002559124635,1.0426719933224984,1.0499746704418318,1.057507523017495,1.0652395404404809,1.0730622898546913,1.07916726069824,1.0847502618199827,1.0903186705889694,1.0956993412355174,1.1010682213296414,1.106513570094061,1.1120523208208362,1.1176187975982732,1.1232851255659733,1.1289779779108913,1.1346437040661783,1.1403299249841592,1.1460457711009784,1.1517625287304927,1.1574143399131065,1.1631046312238098,1.1687949466122898,1.1741207274514016,1.1794873195534024,1.1848226102273414,1.19015203652281,1.1954233073110454,1.2006713877849966,1.205917675253495,1.2111597254581392,1.216326962821654,1.2215049111852905,1.2267544019491086
