Market,2026 Q2 EST,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2,2035 Q3,2035 Q4,2036 Q1,2036 Q2
Akron - OH,37487,37486,37484,37482,37492,37497,37509,37526,37547,37571,37598,37626,37656,37686,37718,37750,37782,37816,37852,37888,37927,37967,38009,38052,38097,38144,38192,38243,38294,38348,38403,38460,38518,38579,38640,38704,38769,38836,38904,38974,39046
Albany - NY,59936,60006,60077,60655,60842,61026,61051,61097,61159,61233,61317,61408,61505,61606,61710,61816,61924,62032,62141,62249,62357,62465,62572,62678,62784,62890,62994,63098,63202,63304,63406,63507,63608,63708,63807,63906,64004,64102,64199,64296,64393
Albuquerque - NM,56700,56697,56901,56898,57512,57546,57596,57659,57731,57810,57895,57983,58075,58169,58265,58362,58459,58558,58657,58756,58856,58957,59058,59159,59261,59364,59466,59569,59673,59777,59881,59986,60091,60196,60302,60408,60514,60621,60728,60835,60942
Anchorage - AK,13187,13186,13186,13186,13185,13186,13186,13187,13188,13188,13189,13190,13191,13192,13193,13194,13195,13196,13197,13198,13200,13201,13202,13203,13204,13205,13206,13208,13209,13210,13211,13212,13213,13215,13216,13217,13218,13220,13221,13222,13223
Asheville - NC,25082,25191,25513,25600,26402,26483,26887,27267,27463,27677,27905,28142,28387,28636,28887,29140,29393,29646,29897,30148,30397,30646,30893,31140,31386,31631,31875,32119,32364,32608,32852,33096,33340,33584,33827,34069,34312,34554,34797,35039,35281
Atlanta - GA,553881,556216,559451,561922,563614,566529,569013,571398,573595,575559,577760,580146,582478,584789,586989,589108,591189,593253,595296,597321,599330,601326,603314,605293,607266,609233,611195,613153,615107,617057,619005,620951,622894,624837,626778,628717,630655,632592,634528,636463,638395
Augusta - GA,31875,32217,32356,32354,32356,32388,32550,32619,32698,32785,32877,32973,33073,33174,33276,33379,33481,33584,33686,33787,33888,33989,34089,34189,34288,34387,34486,34585,34683,34782,34880,34979,35077,35175,35273,35371,35468,35566,35663,35760,35857
Austin - TX,339800,342007,344895,347359,349478,351097,353128,355226,356992,358735,360375,362117,363940,365822,367739,369671,371602,373524,375435,377336,379232,381127,383023,384923,386829,388739,390654,392573,394498,396428,398362,400301,402244,404190,406141,408094,410050,412009,413969,415931,417892
Bakersfield - CA,26611,26610,27281,27281,27319,27344,27375,27411,27451,27493,27537,27583,27630,27677,27726,27774,27823,27872,27920,27968,28015,28063,28110,28157,28204,28250,28297,28343,28389,28435,28481,28527,28572,28618,28663,28708,28752,28797,28841,28886,28929
Baltimore - MD,216798,217357,217852,218461,218580,218753,219416,220020,220345,220699,221076,221473,221884,222308,222742,223183,223629,224078,224529,224983,225437,225893,226349,226807,227265,227725,228186,228648,229111,229574,230040,230507,230974,231443,231910,232379,232849,233319,233790,234261,234732
