Market,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2026 Q1
Akron - OH,337786.1875,338697.375,338833.3125,339153.40625,339049.09375,341271.90625,340146.40625,339832.09375,339554.1875,338046.5,339375.21875,339592.90625,339994.59375,339478.5,339789.625,339985.09375,340955.1875,300036.5,317068.375,319068.375,320423.40625,322961.90625,324585.21875,327036.8125,327947.90625,332633.09375,335353.3125,338694.40625,340244.375,338916.09375,338338.0,338504.40625,339819.09375,339384.5,339524.59375,338803.0,340945.3125,342094.59375,342061.40625,341977.59375,341754.09375
Albany - NY,459046.21875,460073.90625,463015.6875,463873.40625,464782.0,465637.09375,467201.5,468334.40625,467914.5,469914.3125,470042.5,470569.21875,469635.1875,469988.3125,470700.90625,470225.5,470763.5,406680.375,432621.875,437060.40625,437932.0,440218.0,444876.0,451403.90625,453559.21875,454891.375,458067.90625,459333.09375,462885.71875,464531.90625,465414.71875,467274.09375,469477.21875,471077.90625,472934.28125,472819.09375,476667.59375,477053.71875,478156.0,478376.09375,478369.5
Albuquerque - NM,383956.6875,385539.21875,387176.3125,386139.71875,387518.0,388374.90625,389295.6875,389468.59375,391304.28125,393371.71875,394133.5,394693.5,395778.28125,397789.875,399497.71875,400655.09375,402092.5,357545.09375,372968.40625,375247.09375,377827.59375,383338.28125,390795.09375,396897.78125,399778.09375,400850.1875,406454.59375,410957.6875,412623.40625,414978.21875,415590.5,418034.6875,419888.3125,420657.71875,422391.6875,426263.0,429419.09375,430217.5,430702.59375,430268.5,430201.28125
Anchorage - AK,179829.09375,179322.09375,177978.109375,177496.5,177297.609375,177393.5,176737.5,176041.5,175817.390625,176101.296875,176032.8125,176455.09375,176271.296875,176799.1875,177225.0,176876.296875,176444.703125,155209.796875,160930.40625,165635.5,167512.296875,167342.109375,168840.296875,171096.09375,172732.09375,172572.5,173163.890625,174444.59375,176334.203125,177500.5,178667.203125,179076.703125,180114.109375,181245.5,182113.796875,183850.0,184041.5,184336.0,184761.703125,184450.8125,184329.40625
Asheville - NC,168128.59375,169049.5,170464.0,171373.59375,171971.296875,172267.109375,173871.90625,174643.296875,175817.390625,177167.203125,178364.296875,178519.296875,180198.8125,180395.796875,181390.0,181476.5,180578.203125,152731.203125,166259.0,171436.796875,173346.0,175034.8125,178770.09375,180069.703125,181223.90625,183420.703125,185202.609375,185072.5,187326.0,187857.5,189265.296875,190552.59375,190885.609375,191630.0,192175.5,188733.0,190299.0,190788.0,190903.0,190792.890625,190817.703125
Atlanta - GA,2632685.0,2657750.0,2680577.0,2697753.0,2711328.0,2727979.0,2747629.0,2762434.0,2771545.0,2789575.0,2810163.0,2820685.0,2849997.0,2855762.0,2872385.0,2888424.0,2896786.0,2581359.0,2693489.0,2747056.0,2787837.0,2810082.0,2868419.0,2916776.0,2951598.0,2980420.0,3011795.0,3034590.0,3049043.0,3057205.0,3068904.0,3081367.0,3095588.0,3115198.0,3121908.0,3127456.0,3121378.0,3131271.0,3134346.0,3135449.0,3138053.0
Augusta - GA,230354.09375,232015.0,232006.609375,232435.890625,233988.796875,234749.296875,236449.703125,237296.5,239015.796875,239420.5,238785.0,238813.703125,240009.90625,241937.5,243630.296875,244780.0,245615.796875,222398.109375,233587.0,237250.90625,236884.0,235810.8125,239215.390625,240392.0,240965.8125,242353.609375,244298.40625,244675.59375,245782.109375,244537.796875,244688.5,245196.296875,246143.703125,247392.703125,247966.203125,247363.0,248188.40625,249157.703125,249328.59375,248956.796875,248900.203125
Austin - TX,986068.4375,994150.5625,1006658.0,1013833.0,1023239.0,1032303.9375,1040131.9375,1047959.9375,1059730.0,1072329.0,1082543.0,1092091.0,1102428.0,1112247.0,1126190.0,1137228.0,1146407.0,1033448.0,1085895.0,1110371.0,1124816.0,1151047.0,1187880.0,1219143.0,1238396.0,1259886.0,1292161.0,1306569.0,1317377.0,1325659.0,1333422.0,1343809.0,1350206.0,1357972.0,1367859.0,1370630.0,1376698.0,1378174.0,1381643.0,1386467.0,1391602.0
Bakersfield - CA,255284.1875,254521.703125,254050.203125,255429.90625,256192.6875,258250.890625,259574.890625,259901.0,263210.21875,265367.71875,266996.875,268611.3125,269732.3125,272075.71875,273117.8125,276415.0,278884.625,248389.203125,257213.8125,261889.5,261419.09375,267947.21875,273170.09375,279842.5,284656.71875,285180.59375,286633.3125,287154.0,288483.3125,290761.1875,291146.59375,293101.28125,293965.21875,295108.1875,295968.40625,297832.21875,297812.71875,297297.6875,298272.09375,298443.5,298654.375
Baltimore - MD,1386944.0,1392256.0,1396395.0,1402136.0,1403900.0,1408030.0,1415666.0,1417088.0,1422680.0,1427996.0,1429746.0,1428887.0,1435899.0,1436240.0,1435126.0,1442445.0,1437392.0,1271722.0,1326419.0,1339054.0,1352599.0,1363913.0,1380445.0,1391037.0,1401271.0,1402310.0,1415241.0,1409483.0,1418501.0,1431127.0,1437803.0,1442322.0,1465924.0,1458679.0,1459651.0,1461034.0,1465673.0,1468871.0,1468303.0,1466161.0,1466005.0
