Market,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2026 Q1
Akron - OH,153.587809925021,154.672492760569,155.072764882841,155.852401610059,156.331966110925,157.993846604367,159.079084604051,159.775484249962,161.120334480973,162.502073823921,164.744748455933,166.498786202926,169.210533122221,171.647663660052,172.867565865588,173.950542215864,174.228946610189,176.728161547144,178.811988277358,183.124062896768,188.930889352472,196.590974811619,203.931693169665,211.050042680298,217.523141956698,223.483774368642,223.846911946369,220.675187357855,214.230841351525,209.116194525446,204.809035945545,203.29952680559,203.652117144859,206.144841436147,208.672542915435,211.492753274524,213.685749742484,215.576003988279,217.22515990694,219.019414539463,220.797631207164
Albany - NY,165.428575710159,168.679406070643,171.093033256744,174.640291713419,176.141821806379,177.897488761493,179.272904081133,180.543604232408,182.190777488513,184.011692424913,185.805659887136,187.555388067696,191.262694779003,195.439086139882,199.225263424768,201.849866065464,203.170047382819,205.74664335149,208.135325048683,213.03384335969,219.517516859171,226.879048759804,233.47576764553,236.632926880946,237.549563668607,235.086306184091,230.31658340821,223.776902860043,219.603552052029,216.162743545589,212.901706717105,209.131137265773,207.256009811395,207.383358736374,207.951525585697,209.214688399981,210.731406341266,213.191788492012,215.369289884532,217.680586238374,219.395031745005
Albuquerque - NM,154.146632112376,154.978195126413,155.808072392462,156.714051384199,157.994586985553,158.73511701628,159.953533342033,159.979577310842,160.222862555756,162.712592864573,166.036372515279,171.154556005669,174.011890570811,178.284465071134,182.277069272308,186.852764146912,192.482848358854,198.3953779207,205.517914808356,212.963598914558,222.763875419835,234.841948902745,245.115355206912,254.631147529709,259.401151003732,265.599536421805,265.967032184202,263.874608555764,257.405248400242,252.03137443038,247.749849008453,245.258344836882,244.741747800442,245.92605774608,244.770197529494,243.50338947565,244.197371013844,248.304316925187,250.745637782134,251.48660990369,251.083562776335
Anchorage - AK,153.377386499804,152.215014477891,150.575142557673,151.428005996394,151.899842581078,151.911535204874,150.324449161864,149.983377008207,150.879098109823,151.27732712033,150.894462743151,150.394073970058,150.787034780094,152.2404932946,154.113993822869,156.561059086142,159.242512090511,162.39967743975,166.177605420261,171.454400659774,177.429348114138,184.605757389133,190.803868960274,194.60225319324,195.335655407429,193.11331173154,189.785263259195,184.686402854499,180.952953976823,177.107693857885,173.703609848899,170.502082680671,170.069719716501,171.149555738689,171.873110457262,172.257551229267,174.224666477604,176.891355220812,178.268354574634,178.324958090032,178.725515715086
Asheville - NC,179.68299408206,183.358420707033,186.577447979129,188.92033014467,191.560722850988,193.645435753242,196.083001978412,199.74650954688,205.05088362565,210.812735456937,216.150394802081,220.356995729482,224.716257840012,228.097211498234,231.591743766401,236.820469445241,243.926456412219,252.675593541291,260.21838613786,269.033689401358,281.609311244353,297.929266609241,312.964201492409,322.97140277571,335.095485703641,344.499459824465,354.948866785043,354.419281212016,349.224249417193,339.454551464849,332.564876119037,325.665193018948,320.647824017874,318.45264954454,320.39421236416,322.442887107244,324.150249224532,325.217647845074,328.735151435729,329.453782900134,330.786135481193
Atlanta - GA,170.035056276276,173.065370704052,175.389932782432,177.570393716347,180.328177822266,183.886064263437,187.148420605483,190.109607291697,193.414864421289,197.988551113954,202.669487432996,207.316653089466,211.803343187083,216.611849542471,221.244538644416,225.662214499004,229.789249851278,235.401358487794,242.872054273987,253.383598711066,267.917129649985,285.21417053182,302.16432603003,314.981076467101,323.22870849971,324.86512820377,319.982177129132,310.205391913964,299.733879473874,290.490115483318,283.001810386018,278.209650044262,275.586787955923,274.554625572053,274.178718910076,274.869213518907,276.173750771353,277.320989990978,277.949209500204,277.729301579777,277.65749056221
Augusta - GA,168.87979984117,171.102335918591,173.265487957759,174.721418786534,176.573666206188,179.278472222341,181.761666764549,183.742540407083,186.397398763276,188.833220183868,190.090712812718,191.983942439687,194.481359085213,199.308431703457,202.125458390425,205.403118622287,208.531054195941,214.764213347551,221.353283160867,229.047237451323,237.097693868803,248.433488960717,257.253718205693,265.614559477129,268.280195458003,269.922466751963,265.439886560821,259.56786505207,251.753751988509,245.34462172521,239.290906920682,235.581068468001,234.520776128416,235.218673591854,237.155781794746,240.690675830145,245.874929925644,250.048003705714,254.820982242246,256.373037515788,258.103575287715
Austin - TX,184.990752436277,187.87405355888,189.792412875177,192.283926691438,194.223096819306,196.889439793259,198.771967148243,200.67740417838,203.673719409426,208.218056668783,212.331939435106,216.067111353598,219.737102367451,224.40581085613,229.088760517574,232.730705010763,235.549131258487,238.009230621085,242.434930039592,250.617498867696,263.540936572363,278.564360034068,293.29264546259,303.936313223979,309.889189458531,309.08481342785,302.901801419462,293.598687544637,283.886559868994,274.441450628881,265.465565143248,258.908743796231,255.250578282538,253.252474647633,251.704012796127,250.890077389045,250.670147738422,249.577366750689,247.073702098474,244.092498387866,242.022206980906
Bakersfield - CA,154.862438336833,156.123172231809,156.533792265968,157.616047946021,159.857268607448,162.077967544353,164.337105740994,165.921838253389,166.607605796072,168.755210349038,170.87989665584,173.87298343303,175.979291432773,178.166209460685,180.399094216328,182.657748634884,185.507057053225,190.165278258305,196.487322769898,204.01526118469,212.682448106736,222.508403835559,232.626749194886,240.82831179607,245.096656241081,246.615242787851,247.250532179252,245.988782238326,242.200870790397,236.424061073682,230.537815862495,227.338936068148,225.518315645396,227.824109569362,229.316903844065,231.550287872261,232.449726238123,232.115971219368,231.504218408313,231.115340216034,232.726218023536
Baltimore - MD,165.754429935808,167.613457149847,167.717567950397,168.229222653753,168.517412935655,170.046857762567,170.960950954052,171.759068757003,172.59825407428,174.394635842417,176.330657455564,178.536846688574,181.045933651149,182.515512990713,184.017888162152,185.066325198305,187.585018116237,191.141623704242,196.733580633137,204.060291413822,211.958509000041,221.269191770815,229.524446375939,237.542084235691,241.566753523142,245.509517590259,244.132150619421,240.106627425395,232.50812553304,226.016267760907,221.018738197934,218.25848341979,217.718216849067,217.245148778499,216.098422070889,215.396455318715,215.856641344913,217.026132767705,216.800851023834,216.305992034556,215.762900805057
Baton Rouge - LA,128.333349905856,130.148038942225,131.96248391678,133.576647919792,133.68902147661,133.592095561766,132.975846438864,132.273991775221,132.18031324335,132.283002704472,131.586806636174,130.665577265181,131.690828343634,134.545481119086,137.603713946754,139.439922771311,141.47866721934,144.630661434302,149.707484199048,157.511409224239,165.791118008341,172.88291863484,177.974201305032,181.905370358557,187.527040152502,191.584356835645,195.426468179386,194.356207424022,190.849251675964,184.407947811257,179.049648096786,174.587437087245,172.619861891794,171.771810272978,172.496455216402,172.438000011673,171.389871274554,170.225605324293,166.913667801696,164.492383400533,161.910490913932
Beaumont - TX,168.479829819767,168.123050094717,167.642336432269,167.509499533186,169.426422411896,170.802783340003,172.185920474079,172.31438792388,173.800935230904,174.264512707551,175.756405985658,176.843040621983,179.563975704243,182.260999430485,185.110475518981,190.097097253839,198.766795086338,207.274387997638,214.288594308307,219.560151880313,225.731874177141,233.188955514893,240.082805375337,245.250912246675,245.990351385407,242.473170160999,236.460516676771,229.40917560977,222.437035121845,216.257864318697,211.690161864778,209.114209620057,208.038468858135,207.255938407788,207.08810673557,208.011981255987,210.505595612845,212.836436844764,213.679284657416,213.675493392316,213.064595539932
Birmingham - AL,158.906606027011,160.795299057857,162.337638631359,163.0767302365,164.851601083831,166.989189523626,169.099895080441,170.724242712219,172.892709193696,175.328188944712,178.748838363525,180.685869320143,182.942704943541,184.900894656844,187.407833262274,189.466885404399,192.516701029504,196.104211059911,199.937101303753,204.126861884618,211.141086006495,219.619622236876,227.113602100104,231.986769833604,235.180166678707,234.743467835192,230.499787552349,223.245317325806,215.743152953772,208.895135797694,203.092589687919,199.418099340554,197.839600657705,197.832990087842,197.915901137087,200.103099690306,202.366825012648,204.79579893585,206.668141375196,209.783782877265,213.301738064333
Boise - ID,153.365198506125,155.025359659026,156.595378563238,158.531468813156,160.753448381248,163.673578328089,166.070617315927,168.144168220646,170.668456782262,173.425586792796,176.754326024804,180.796463455715,184.159491709623,190.03555599159,196.564569903422,207.759164275235,217.125900625309,226.231004105837,234.150571874335,244.597037131959,257.471249679203,273.569595556467,294.508858559477,315.265614688172,331.733527867014,338.292428864978,338.58247466446,332.396456687549,325.632438573734,316.601529307291,308.870769673729,302.816160396787,301.06411002993,302.332410216009,303.681889545292,305.212451007618,307.825812684856,309.871447304876,310.704086545864,312.008704124728,313.804396465069
Boston - MA,184.428682939051,186.517804138778,188.67929597613,190.469279507639,193.135307737328,195.712352603394,198.56571578728,200.914647276585,203.316802459523,206.275812530759,208.798973256327,212.395749167914,216.167459841854,220.433969253224,223.390654174836,226.062173740732,228.088794257416,230.178152462226,233.472687570061,240.010370735066,250.927271738412,263.119386891992,273.515455091499,280.567469064465,285.266696175415,290.096468598272,289.089944822068,284.486165163188,276.622431160323,270.362436884127,264.64719668294,260.731557196875,259.82978804225,260.489086585689,262.677763405427,264.561112378682,266.799400887175,266.94607131358,266.121659919236,266.506513318316,267.843385803844
Brownsville-Harlingen - TX,147.231965224578,148.734435517782,148.574456526076,149.278568463297,148.976534199312,150.725536223037,153.925422165371,156.450964406146,158.119935151335,158.435345036779,158.254222548668,159.442067284449,160.803649992915,163.286418442925,164.940367895609,166.64916967365,169.013914747054,172.17491515349,176.160913408715,181.428755741121,188.253597444517,196.2301924464,203.610887021005,209.120948295811,211.801243264795,211.212657895722,207.655152118888,202.05737112972,195.479334921657,189.407425169646,184.665312760162,180.523675625948,177.876509886082,176.373428667077,176.932887902608,178.12018276261,179.28164959814,179.948176632598,179.681546495418,179.148011974403,178.959552975328
Buffalo - NY,171.117173241253,171.453286563736,173.022044535601,173.960267505151,177.058068237579,179.50537886174,183.17345846995,185.928598219518,189.319267088722,190.566466396625,192.366178400676,193.002302929773,195.425167095416,198.385098598604,201.157813657284,203.106923353624,205.342259817768,208.139372880239,213.498235481846,219.510376945674,227.055956065849,234.16856593328,239.696920787905,243.552057133824,244.370619479238,243.212360535484,242.489007332453,239.407793450515,236.208537374718,229.944951002801,225.946897196592,223.314367199223,222.506029475187,222.816971095524,225.762426237652,229.467653333319,233.218186560983,235.732359515772,237.087812554059,242.429280566414,247.103174733457
Canton - OH,145.5628066602,144.863494441547,145.413309019297,146.066264328597,147.285713492782,148.260148758374,150.022430994648,152.855687663419,155.71798417764,156.732026133012,155.968290878846,155.642376604287,156.624499416682,158.125207813566,160.442043054633,162.924162737132,166.027016371912,169.343194942024,173.432559127517,178.729818200307,184.68868206139,189.840390847077,194.230935070416,197.28468543396,199.639131494741,198.661081325534,194.692894894861,189.169341838759,183.85161129627,179.57351526203,176.295994455935,174.543964823803,174.695352160517,175.698277931696,177.35935138489,179.883839450242,182.81747496107,184.795292716819,187.74290198432,190.179228597834,193.284191585116
Charleston - SC,168.268531474327,169.951699476895,173.445534885708,176.150238166963,179.614007093162,181.501747822813,183.413778155867,185.915609249097,189.236161992057,193.108250340445,196.215333039617,199.002370377823,202.422767760843,205.966612046093,210.04807721363,214.096057627979,218.552598531388,222.750026626982,227.801578549745,235.350521183652,246.529123688298,261.206050332453,274.549775404494,285.324804211769,291.776652664689,293.911308279717,292.419709226089,287.052974574844,281.78245451926,274.739836115196,268.358284200184,264.162928852239,263.866620909401,265.485348799738,267.783509357394,269.43513874966,271.683799535842,273.136474588356,271.983769670966,271.570001350615,271.656237016337
