Market,2026 Q2 EST,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2,2035 Q3,2035 Q4
Akron - OH,73881.328125,74005.34375,74325.6171875,74964.390625,75691.453125,76525.3671875,77344.8203125,78140.46875,78935.5078125,79685.09375,80438.921875,81207.8828125,81979.21875,82773.703125,83572.859375,84364.4765625,85152.4375,85932.2734375,86707.078125,87476.6171875,88241.2109375,89007.3203125,89777.65625,90551.8671875,91333.96875,92117.40625,92909.0,93712.6015625,94520.2421875,95335.3203125,96144.3515625,96946.1484375,97740.1015625,98522.1484375,99295.828125,100059.140625,100812.9921875,101562.75,102311.5625
Albany - NY,90249.8203125,90714.109375,91253.8515625,92075.5,92956.7421875,93932.109375,94891.921875,95839.6171875,96783.5703125,97683.25,98585.3203125,99503.078125,100427.5234375,101376.7265625,102334.9921875,103285.96875,104234.15625,105177.4609375,106117.7265625,107057.0703125,107993.15625,108931.9609375,109876.8125,110826.8828125,111787.3515625,112752.3828125,113728.1796875,114718.5703125,115715.953125,116722.3515625,117725.3515625,118710.5,119681.6015625,120633.7109375,121567.2734375,122486.2421875,123392.2890625,124290.3515625,125186.1328125
Albuquerque - NM,80437.40625,80779.4765625,81274.5078125,82014.75,82821.71875,83715.21875,84589.609375,85457.953125,86328.5,87165.5,88013.640625,88887.2578125,89773.7265625,90688.640625,91614.96875,92537.9921875,93460.7265625,94381.1328125,95299.921875,96217.0703125,97133.0,98052.40625,98979.3515625,99911.953125,100855.1171875,101803.4375,102763.390625,103740.1484375,104724.890625,105718.34375,106707.9296875,107688.34375,108660.6796875,109620.859375,110571.2734375,111510.71875,112440.3125,113365.71875,114290.8984375
Anchorage - AK,106242.3515625,106368.90625,106811.59375,107594.4609375,108487.5703125,109510.3984375,110508.8671875,111473.7421875,112435.1484375,113346.8984375,114270.53125,115216.7421875,116171.1796875,117155.390625,118147.6015625,119132.3828125,120116.03125,121092.75,122063.5078125,123032.5703125,123996.03125,124963.0,125937.5625,126914.90625,127902.109375,128890.328125,129888.4765625,130901.0390625,131918.796875,132944.015625,133960.4375,134964.71875,135958.40625,136936.125,137901.203125,138850.734375,139786.078125,140713.71875,141638.015625
Asheville - NC,78695.703125,78938.2578125,79243.21875,79850.84375,80538.90625,81325.84375,82108.0625,82876.8515625,83648.796875,84387.0078125,85132.7265625,85900.390625,86675.9375,87475.5625,88285.8984375,89092.5703125,89901.3515625,90709.3515625,91515.7265625,92321.09375,93123.359375,93927.1796875,94736.09375,95547.75,96367.8828125,97191.453125,98024.328125,98871.0,99723.609375,100583.421875,101438.8203125,102279.546875,103107.328125,103918.7578125,104716.09375,105502.4296875,106279.4765625,107051.921875,107823.3828125
Atlanta - GA,95678.609375,96017.0234375,96472.7265625,97262.6796875,98147.6328125,99124.3125,100089.53125,101034.7265625,101982.84375,102899.53125,103823.796875,104761.6484375,105702.890625,106662.8203125,107629.0390625,108591.2890625,109553.96875,110515.046875,111474.828125,112433.03125,113389.109375,114346.609375,115308.609375,116272.921875,117244.578125,118218.796875,119200.5703125,120196.78125,121197.3203125,122203.3515625,123204.5,124191.8671875,125170.3984375,126137.9765625,127096.53125,128046.40625,128989.75,129930.171875,130871.828125
Augusta - GA,74550.9921875,74841.078125,75121.96875,75645.65625,76231.6328125,76886.4609375,77549.0,78215.7734375,78893.5,79558.8203125,80237.8671875,80946.9375,81670.4765625,82417.1015625,83174.7265625,83932.2421875,84695.109375,85461.96875,86230.859375,86998.8984375,87766.9765625,88535.7734375,89311.046875,90091.6171875,90880.2734375,91675.8125,92479.9765625,93299.84375,94126.1171875,94957.4921875,95786.7265625,96604.65625,97418.4375,98225.8125,99027.609375,99818.7109375,100602.5625,101382.4765625,102162.0234375
Austin - TX,103588.859375,104077.2734375,104725.0390625,105823.9921875,107082.703125,108537.4296875,109956.5,111291.171875,112590.1171875,113779.390625,114940.84375,116096.5625,117241.1328125,118413.4609375,119589.296875,120755.09375,121911.6796875,123054.2421875,124188.7890625,125315.84375,126436.390625,127558.609375,128685.796875,129820.21875,130966.1171875,132114.15625,133274.953125,134452.015625,135637.21875,136836.4375,138029.0625,139204.59375,140359.65625,141486.484375,142590.5625,143681.875,144759.34375,145830.703125,146901.40625
Bakersfield - CA,75791.9609375,76249.796875,76749.3828125,77510.7421875,78333.5625,79243.4765625,80132.5703125,81001.7421875,81866.15625,82685.0703125,83507.671875,84348.7734375,85198.8828125,86077.65625,86967.578125,87852.2109375,88736.296875,89616.703125,90495.078125,91371.6328125,92245.0,93120.6015625,94001.796875,94890.03125,95788.5390625,96691.671875,97606.4921875,98535.75,99472.1015625,100417.046875,101358.4609375,102294.421875,103226.8203125,104151.53125,105070.09375,105978.890625,106878.390625,107774.796875,108671.796875
Baltimore - MD,101365.8515625,101574.1484375,102072.546875,102875.4375,103753.7109375,104723.4375,105677.7890625,106623.7265625,107579.1171875,108512.7578125,109459.8515625,110427.46875,111402.59375,112395.6484375,113398.4296875,114397.8984375,115397.5625,116395.703125,117392.40625,118389.9609375,119385.40625,120382.5625,121385.4921875,122391.0390625,123405.171875,124422.703125,125448.671875,126489.109375,127534.8671875,128587.8203125,129636.5625,130672.109375,131700.0,132716.203125,133723.234375,134718.59375,135704.453125,136686.328125,137667.59375
