Market,2026 Q2 EST,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2,2035 Q3,2035 Q4
Akron - OH,1,1.0016785787173477,1.0060135500237395,1.0146594887705263,1.0245004393659172,1.0357876493236091,1.0468791273167168,1.0576484036371674,1.0684094319331783,1.0785552422011229,1.0887584714084348,1.0991665265559951,1.109606727850089,1.120360248328982,1.1311770036619113,1.1418917161283773,1.1525569404482061,1.1631121911088411,1.1735993426958986,1.184015222892286,1.1943641671980298,1.2047336258209693,1.21516029189547,1.225639406945894,1.2362253233384197,1.2468293219383704,1.2575437171731272,1.2684206407869039,1.2793522339985681,1.2903844954059562,1.301334911032367,1.3121874078045346,1.3229337376980186,1.3335189138832229,1.343990838348238,1.354322440653878,1.3645259870928992,1.3746741237267113,1.3848094653482517
Albany - NY,1,1.0051444873894746,1.0111250221498882,1.0202291780878718,1.0299936539001073,1.0408010680769189,1.0514361308025457,1.061936930795482,1.0723962660244217,1.0823650358722148,1.092360294692415,1.102529376573378,1.112772558324865,1.123290065414777,1.1339079882170817,1.1444451456231257,1.1549513992280283,1.1654035495396156,1.1758220259614436,1.1862302876814939,1.1966024516842442,1.2070047404007123,1.217474030635622,1.2280011464704266,1.2386434806786752,1.2493363690041972,1.2601485442708205,1.2711224234605039,1.2821737785662142,1.2933250299927017,1.304438625527042,1.315354419421022,1.3261145689607934,1.3366642783308866,1.3470084817516517,1.3571909812493568,1.3672303017916327,1.37718115262868,1.3871067264070904
Albuquerque - NM,1,1.0042526273340644,1.0104068691610752,1.0196095799645455,1.0296418371893985,1.0407498532438073,1.051620301033762,1.0624155739109253,1.0732382360974002,1.0836438426307413,1.094187949714005,1.1050487821081376,1.1160693854732542,1.1274436217291628,1.1389597579173558,1.1504348101415813,1.161906268733025,1.1733487840117918,1.1847711943720214,1.196173208438083,1.2075600709713337,1.218990154223179,1.2305139633029876,1.242108091035071,1.2538335320515137,1.2656230757067704,1.2775572388002006,1.2897003182210391,1.3019426596068293,1.3142932956021316,1.3265958546183232,1.3387843886375936,1.3508724951893882,1.362809474913918,1.3746250481255418,1.3863042575418698,1.3978609920679783,1.4093656674813528,1.4208675262636281
Anchorage - AK,1,1.0011911886892446,1.0053579592236823,1.0127266514258637,1.0211329918528693,1.0307603025247185,1.0401583319858099,1.0492401622146181,1.0582893430343259,1.066871137267896,1.0755647777880482,1.0844709336061764,1.0934545214688616,1.1027183500929956,1.1120574782552362,1.1213266749128485,1.1305852090382094,1.139778517880074,1.1489157197418844,1.1580369645726702,1.1671054850198408,1.176207022549638,1.185380035812872,1.194579227431151,1.20387121984737,1.2131727717752623,1.2225677863134412,1.232098472382681,1.241678059030867,1.2513278713225018,1.2608948835361016,1.2703476228178485,1.2797006490393683,1.288903370323496,1.2979871124546392,1.30692452052247,1.3157283895656902,1.3244597533896005,1.3331596443596931
Asheville - NC,1,1.0030821846411961,1.006957376365649,1.0146785730240593,1.0234219029985954,1.0334216548116013,1.0433614446468547,1.0531305811050278,1.0629398245814325,1.0723203994817856,1.0817963774626354,1.0915512183499536,1.1014062275080536,1.1115672015923677,1.1218642814241961,1.1321148013759488,1.142392125523054,1.1526595221903992,1.1629062696998427,1.1731402107603952,1.1833347397262994,1.1935490243769264,1.2038280361955913,1.2141418934682147,1.224563463896238,1.2350287152352069,1.2456122028581214,1.2563710097736038,1.2672052655352648,1.2781310526603165,1.289000749524722,1.299684008319228,1.3102027687741051,1.320513747077598,1.3306456336462145,1.340637741299805,1.3505118112190448,1.3603274082824963,1.3701304967214498
Atlanta - GA,1,1.0035369876789662,1.0082998403999326,1.016556159447212,1.0258053859021192,1.0360133069189479,1.0461014421490173,1.0559802992799299,1.0658896948459124,1.0754705981009667,1.0851307053186359,1.0949328080940244,1.1047703485186655,1.114803204282044,1.1249017911690358,1.1349588980426168,1.145020495862532,1.1550653547006573,1.1650966590462113,1.1751114693706846,1.1851040699241977,1.1951115314273975,1.205166025386748,1.2152446888027317,1.2254001065742393,1.2355823067166103,1.2458434658608875,1.2562555208019817,1.2667128118206934,1.2772275052989084,1.287691165296057,1.298010788396244,1.308238061309093,1.3183508559172137,1.3283693406523238,1.3382971082714903,1.3481566135063823,1.3579855803062042,1.3678274483700397
Augusta - GA,1,1.0038911076699075,1.0076588727493252,1.0146834271467087,1.0225435044616589,1.0313271316916368,1.0402141906436313,1.049158047967797,1.0582488265424872,1.067173192174358,1.0762816809425848,1.0857928932241951,1.0954981840763982,1.1055131413303834,1.1156756485991604,1.125836688751313,1.136069512824014,1.1463558866535037,1.1566695069345887,1.1669717046648125,1.1772744263652595,1.1875867891178091,1.1979860261333293,1.2084563135110857,1.2190350627249993,1.2297061354922025,1.24049290088464,1.251490302306716,1.2625736348453611,1.2737253978951277,1.284848447376675,1.2958198598756911,1.3067356267370267,1.3175654624817934,1.328320475278718,1.3389320250285905,1.3494463259050773,1.3599078105830877,1.370364369941002
Austin - TX,1,1.0047149284724906,1.0109681648620816,1.0215769613256251,1.0337279874600416,1.0477712597894893,1.0614703228070947,1.0743546414785494,1.0868940720730857,1.0983747799858425,1.1095869231835531,1.1207437093184036,1.1317928734795473,1.143109999009003,1.1544609873739138,1.165715063169649,1.176880220740436,1.1879100023877447,1.1988624048163963,1.2097424810552897,1.2205597338154879,1.231393126100825,1.2422744844515283,1.2532256801867117,1.2642876654659563,1.2753703153708462,1.286576123427848,1.297938952472417,1.309380367429111,1.3209570828909418,1.3324701452723182,1.3438181923219,1.354968643316042,1.3658465324230238,1.376504803318769,1.3870398406440605,1.397441236667734,1.4077836555481427,1.4181197392878426
Bakersfield - CA,1,1.006040692599015,1.0126322351758323,1.0226776194828546,1.033533920102633,1.0455393366566437,1.0572700497692542,1.0687379134351216,1.080143002468414,1.090947763980988,1.1018011784107629,1.1128986820522584,1.1241150348749678,1.1357095816663438,1.147451221069682,1.1591230765218647,1.1707877164990392,1.1824038066372269,1.1939930964396681,1.2055583690181522,1.2170815856851573,1.2286342827214833,1.2402607837593265,1.251980158268352,1.2638350806293255,1.2757510252932291,1.2878211749658888,1.3000818131787766,1.3124360464103475,1.3249036656777686,1.337324693592277,1.3496737729131274,1.3619758485682074,1.374176495260309,1.3862960193976708,1.398286695767021,1.4101547090612245,1.4219819033825218,1.4338169316481144
Baltimore - MD,1,1.0020549018410956,1.0069717296466874,1.0148924506057073,1.0235568422520251,1.0331234423205116,1.0425383640894226,1.0518702789840235,1.0612954513697253,1.0705060544535885,1.0798493760495802,1.0893951665952593,1.0990150236276717,1.1088117616039488,1.1187044546020606,1.1285644689421341,1.1384264100898749,1.14827332213781,1.1581060528813134,1.1679471845062466,1.1777675066083722,1.187604707545664,1.197498864917603,1.207418841512285,1.2174235205720245,1.2274617260851761,1.237583169689558,1.247847351205939,1.2581640189631786,1.2685516703148842,1.2788977796932814,1.2891137139456712,1.2992541173375,1.3092792205585138,1.3192138408914675,1.3290333151982197,1.3387590695800307,1.3484455170854275,1.358125952950902
Baton Rouge - LA,1,1.0045106014498733,1.0096955958057012,1.019599027543713,1.0307650047465233,1.0435286862599302,1.055895089443796,1.067739314485063,1.0795145913050126,1.0905598540500527,1.1016666855741928,1.1129252912979746,1.1242213449374878,1.1358690785620926,1.1475676972957207,1.1591437291757922,1.1706285643669645,1.1819564487348497,1.1931582217394623,1.204243906205307,1.2151949984563748,1.2261261551993623,1.2370961916901533,1.248092001158242,1.2591926647903793,1.2702970732140897,1.2815245090550713,1.2929180374164155,1.3043917483737968,1.315971965609156,1.3274367551513189,1.33874977049384,1.3498632104736974,1.3607260798409389,1.3713861797585865,1.3818679615127945,1.3921844217331403,1.4023966886350092,1.4125721684667183
Beaumont - TX,1,1.00610494720783,1.0129719678745257,1.0226791976877974,1.0332184273564715,1.0446678298472747,1.0558718686332667,1.0669888100820533,1.078153988318112,1.089027938363101,1.1000713384804734,1.1115102350667887,1.1231828597862783,1.135222852262695,1.147440089514825,1.1596779996757856,1.1720109148439959,1.1844194047444891,1.1969148790154724,1.209442209900064,1.2219968787296667,1.2346093865173096,1.2473189327130707,1.260117044813331,1.2730554615735246,1.286071599433585,1.2992148248479327,1.3125822891914012,1.3260370768055045,1.339605395968105,1.353142084450527,1.3665232177665012,1.3798160111114062,1.3929716628643953,1.406017623937195,1.4189336732878342,1.4317562991652324,1.4445374662582544,1.457329139255764
Birmingham - AL,1,1.001740687543361,1.0061449132457938,1.0147577489419015,1.0246651151784487,1.0361123126432852,1.047246787004425,1.0579518339904919,1.068586535914883,1.0784900724775852,1.0884523642995385,1.098599387494059,1.1087894441288884,1.1193502736604304,1.1300038216113735,1.140582892484124,1.1511201392872534,1.161553279430338,1.1719265557243748,1.182259620443041,1.192555194670384,1.202895213270505,1.2133093058252564,1.22378547940865,1.2343722096290901,1.2449813132072551,1.2557137725955796,1.2666224977616565,1.277605397663254,1.288691295635099,1.2996974759224373,1.3106207135367682,1.321444077288462,1.3321263477932412,1.342711969423884,1.3531813906876038,1.3635447904543565,1.3738668700559415,1.3841977175950133
Boise - ID,1,1.0039747026500379,1.0091507477268618,1.0188945760452117,1.0301493598238165,1.0429656188684644,1.0553839606448183,1.0671274117935998,1.0787080019324036,1.0895560127171593,1.1003739140350262,1.1112839992389136,1.1221620351503145,1.1333047307454598,1.144497693125663,1.1556155926892528,1.166688285882388,1.1776661806419575,1.1885862179945645,1.1994448556499866,1.2102727934568165,1.2211429857255824,1.2321154827095755,1.2431785611149646,1.254362836450099,1.2655839684715928,1.2769228394728533,1.288429294537721,1.3000067640875195,1.3117075390731479,1.3233536615810624,1.334866189143454,1.3462267355872646,1.3573705276055736,1.3683368677517995,1.3791589860818356,1.3898567025528779,1.4004950434925767,1.4111230949225824
Boston - MA,1,1.0048752431178167,1.011155081470114,1.0215129775675087,1.0329967040609909,1.0456982636053653,1.0581041323873965,1.070075312667977,1.0820068708993102,1.0934121226544773,1.1048641771539007,1.1164466382037594,1.1280578220336548,1.1399178938816374,1.1518286152747743,1.1636388069377823,1.175384500572404,1.1870272281696614,1.1986041754715664,1.210133422442339,1.2215876567956045,1.2330406088819041,1.2445334394708443,1.2560701235900193,1.2677047729053912,1.279370068401249,1.2911457670828734,1.3030621304506604,1.315049787861753,1.3271391290432442,1.3391734609718968,1.3510184020696814,1.3626945968347497,1.3741516521753403,1.3854211118588153,1.396598889454226,1.4076702388914648,1.418698247705255,1.4297360017479863
