Market,2026 Q2 EST,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1
Akron - OH,700153.375,699683.25,699179.6875,698643.9375,698076.0,697473.0,696833.375,696157.5,695508.5,694897.5625,694323.75,693790.5625,693285.0,692810.4375,692365.3125,691949.8125,691562.0625,691204.5,690877.625,690579.25
Albany - NY,910455.375,909942.0625,909495.4375,909183.3125,908889.0,908596.375,908300.4375,907999.6875,907734.0625,907536.3125,907388.5,907238.25,907126.375,907053.6875,907030.0,907047.625,907107.4375,907209.3125,907349.5,907532.3125
Albuquerque - NM,926693.9375,926770.875,926768.8125,926759.5625,926763.4375,926766.4375,926743.75,926714.625,926716.6875,926762.6875,926833.125,926952.6875,927100.25,927279.8125,927471.5,927691.875,927945.625,928231.0,928568.1875,928948.125
Anchorage - AK,406094.40625,406073.21875,406074.875,406093.0,406128.6875,406179.0,406249.59375,406334.5,406436.5,406564.09375,406699.5,406856.28125,407040.40625,407250.09375,407481.125,407739.6875,408026.5,408342.8125,408646.90625,408982.09375
Asheville - NC,429459.8125,430296.90625,431077.0,431805.0,432487.5,433116.3125,433691.3125,434208.90625,434743.28125,435301.59375,435886.40625,436494.59375,437117.0,437756.59375,438386.8125,439033.90625,439698.3125,440378.28125,441075.8125,441789.0
Atlanta - GA,6540872.0,6555096.0,6569306.0,6583395.0,6597338.0,6611131.0,6624966.0,6638691.0,6652679.0,6667048.0,6681872.0,6696999.0,6712519.0,6728335.0,6744485.0,6760942.0,6777655.0,6794641.0,6812023.0,6829729.0
Augusta - GA,643843.375,644461.4375,645060.125,645641.75,646217.0,646772.1875,647303.5,647808.625,648328.9375,648876.75,649441.375,650020.875,650613.5625,651224.6875,651852.8125,652496.5,653158.3125,653832.0,654517.875,655215.0
Austin - TX,2641804.0,2652994.0,2664132.0,2675297.0,2686491.0,2697631.0,2708710.0,2719735.0,2730879.0,2742150.0,2753625.0,2765332.0,2777282.0,2789373.0,2801648.0,2814173.0,2826919.0,2839812.0,2852844.0,2866166.0
Bakersfield - CA,918356.3125,918429.3125,918651.9375,918983.0,919439.0,920023.3125,920706.1875,921485.6875,922300.4375,923165.875,924075.6875,925038.3125,926038.3125,927083.125,928177.5,929314.375,930499.5625,931724.5,932991.8125,934295.6875
Baltimore - MD,2856006.0,2855590.0,2855141.0,2854734.0,2854366.0,2854014.0,2853653.0,2853290.0,2853036.0,2852941.0,2853001.0,2853224.0,2853607.0,2854157.0,2854919.0,2855844.0,2856929.0,2858183.0,2859594.0,2861206.0
Baton Rouge - LA,889250.5,889270.3125,889266.4375,889263.1875,889264.25,889265.0625,889244.375,889216.9375,889219.75,889265.0625,889344.3125,889475.25,889644.4375,889853.1875,890119.3125,890424.375,890762.0,891139.5,891555.75,892018.1875
Beaumont - TX,398936.8125,398442.40625,397941.90625,397435.59375,396933.1875,396423.0,395903.40625,395371.09375,394849.21875,394345.78125,393869.59375,393409.5,392962.40625,392531.09375,392121.3125,391727.5,391349.78125,390986.6875,390637.3125,390322.90625
Birmingham - AL,1201670.0,1202352.0,1202992.0,1203596.0,1204201.0,1204797.0,1205380.0,1205953.0,1206557.0,1207221.0,1207927.0,1208682.0,1209452.0,1210237.0,1211047.0,1211878.0,1212729.0,1213601.0,1214495.0,1215411.0
Boise - ID,868600.5625,870914.6875,873234.0625,875534.125,877818.0,880089.875,882364.6875,884631.5625,886921.0625,889254.5625,891646.8125,894083.1875,896549.8125,899044.625,901560.4375,904104.6875,906671.0,909268.625,911882.5,914527.0
Boston - MA,5053147.0,5054600.0,5055869.0,5056984.0,5057796.0,5058469.0,5059026.0,5059516.0,5060184.0,5061130.0,5062383.0,5064006.0,5066184.0,5068842.0,5071986.0,5075613.0,5079629.0,5084170.0,5089274.0,5094918.0
Brownsville-Harlingen - TX,432395.28125,432216.40625,432041.28125,431871.5,431717.28125,431566.59375,431416.1875,431263.21875,431132.28125,431030.90625,430968.90625,430934.21875,430923.625,430938.5,430985.0,431057.40625,431155.21875,431277.0,431420.59375,431589.90625
Buffalo - NY,1157792.0,1155997.0,1154275.0,1153383.0,1152508.0,1151626.0,1150735.0,1149829.0,1148958.0,1148167.0,1147435.0,1146688.0,1145981.0,1145321.0,1144686.0,1144099.0,1143556.0,1143066.0,1142628.0,1142249.0
Canton - OH,398713.71875,398359.5,397986.5,397593.90625,397188.59375,396774.6875,396339.0,395879.09375,395428.8125,395007.5,394599.5,394205.90625,393816.8125,393449.8125,393184.125,392925.8125,392677.09375,392449.1875,392227.21875,392015.28125
Charleston - SC,896398.625,899147.1875,901795.0,904344.0,906794.375,909147.25,911402.75,913563.3125,915753.4375,917978.8125,920239.3125,922532.3125,924847.75,927210.3125,929614.375,932057.1875,934529.9375,937032.5625,939566.6875,942129.25
Charlotte - NC,2979434.0,2989876.0,2999954.0,3009663.0,3018969.0,3027901.0,3036452.0,3044622.0,3052931.0,3061446.0,3070174.0,3079126.0,3088281.0,3097630.0,3107020.0,3116603.0,3126348.0,3136301.0,3146440.0,3156725.0
Chattanooga - TN,594785.5,595313.0,595830.5,596337.25,596839.8125,597329.5,597806.0,598266.1875,598747.625,599260.625,599799.625,600363.5625,600942.375,601539.625,602155.5625,602788.3125,603438.1875,604103.5,604784.5,605483.875
Chicago - IL,9413953.0,9403831.0,9392041.0,9378619.0,9365192.0,9351838.0,9338261.0,9324769.0,9311711.0,9299230.0,9287106.0,9275597.0,9264696.0,9254391.0,9244315.0,9234827.0,9225847.0,9217467.0,9209947.0,9203142.0
Cincinnati - OH,2316975.0,2318013.0,2318952.0,2319774.0,2320466.0,2321033.0,2321478.0,2321802.0,2322211.0,2322745.0,2323385.0,2324156.0,2325037.0,2326021.0,2327110.0,2328302.0,2329583.0,2330969.0,2332430.0,2333997.0
Cleveland - OH,2164314.0,2162434.0,2160444.0,2158351.0,2156147.0,2153831.0,2151397.0,2148841.0,2146368.0,2144009.0,2141764.0,2139647.0,2137615.0,2135681.0,2133837.0,2132081.0,2130411.0,2128837.0,2127359.0,2125971.0
Colorado Springs - CO,786472.4375,787250.625,788130.125,789107.75,790194.5,791378.5,792658.5,794032.0,795457.25,796946.75,798516.125,800144.6875,801813.5,803526.625,805278.0,807071.75,808910.5625,810790.0,812695.375,814637.5625
Columbia - SC,888703.1875,890409.125,892031.8125,893566.3125,895012.0625,896365.625,897623.75,898787.1875,899981.0,901208.3125,902461.6875,903747.8125,905055.75,906407.75,907817.0625,909261.625,910737.1875,912240.4375,913788.3125,915358.8125
Columbus - OH,2264065.0,2268639.0,2273090.0,2277400.0,2281508.0,2285459.0,2289294.0,2293007.0,2296814.0,2300748.0,2304859.0,2309141.0,2313577.0,2318146.0,2322850.0,2327701.0,2332673.0,2337789.0,2343095.0,2348543.0
Corpus Christi - TX,453170.90625,453072.8125,452964.90625,452846.09375,452719.0,452579.5,452426.09375,452258.09375,452107.09375,451977.8125,451879.90625,451801.0,451737.6875,451692.28125,451674.59375,451675.90625,451697.8125,451736.0,451789.625,451874.6875
Dallas-Fort Worth - TX,8554717.0,8579822.0,8604909.0,8630188.0,8655607.0,8681085.0,8706277.0,8731272.0,8756674.0,8782555.0,8809093.0,8836274.0,8864163.0,8892599.0,8921807.0,8951698.0,8982148.0,9013180.0,9045046.0,9077762.0
Dayton - OH,820546.375,820180.75,819778.6875,819339.875,818862.6875,818344.75,817783.625,817180.1875,816609.0,816083.375,815602.0,815169.3125,814770.375,814409.125,814082.8125,813792.4375,813535.375,813314.5625,813130.8125,812981.8125
Daytona Beach - FL,746956.3125,748345.0,749776.5,751218.8125,752693.1875,754172.75,755672.625,757172.5,758690.625,760240.4375,761842.25,763473.0,765130.6875,766828.125,768575.0,770361.0,772193.625,774063.1875,775964.625,777897.6875
Denver - CO,3088620.0,3091021.0,3093778.0,3096869.0,3100279.0,3104009.0,3108076.0,3112464.0,3117041.0,3121855.0,3126970.0,3132328.0,3137876.0,3143611.0,3149511.0,3155587.0,3161834.0,3168271.0,3174842.0,3181573.0
Des Moines - IA,764946.5,766675.875,768392.375,770105.0,771826.0,773550.1875,775272.5625,776995.8125,778746.875,780538.5625,782372.0,784253.0,786167.3125,788120.625,790111.875,792140.9375,794203.9375,796305.625,798445.6875,800625.1875
Detroit - MI,4393200.0,4391054.0,4388841.0,4386566.0,4384230.0,4381862.0,4379448.0,4377019.0,4374743.0,4372696.0,4370882.0,4369317.0,4367957.0,4366797.0,4365843.0,4365073.0,4364474.0,4364079.0,4363893.0,4363905.0
Durham - NC,634200.0625,635559.6875,636829.5625,638009.6875,639085.3125,640070.125,640966.3125,641776.125,642616.375,643498.5,644430.0,645410.1875,646438.1875,647509.6875,648594.4375,649721.625,650882.375,652090.0,653343.8125,654639.875
East Bay - CA,2829752.0,2830310.0,2830406.0,2830741.0,2831252.0,2831657.0,2832286.0,2833181.0,2834209.0,2835421.0,2836822.0,2838449.0,2840336.0,2842453.0,2844793.0,2847359.0,2850104.0,2853102.0,2856356.0,2859869.0
El Paso - TX,889614.9375,890206.0,890779.1875,891337.25,891900.0,892443.5,892963.8125,893454.5625,893967.5625,894520.375,895133.0,895781.625,896460.5,897173.0,897933.875,898731.0625,899562.8125,900428.5625,901323.1875,902294.1875
Fayetteville - NC,399138.78125,399502.59375,399813.1875,400070.59375,400274.28125,400436.0,400544.0,400597.40625,400666.28125,400771.0,400901.40625,401055.0,401228.3125,401434.59375,401600.1875,401784.0,401983.71875,402217.71875,402471.09375,402745.3125
Flint - MI,396681.5,395939.6875,395201.5,394466.8125,393745.0,393029.125,392316.8125,391608.5,390915.90625,390245.09375,389595.6875,388966.71875,388349.625,387746.78125,387161.5,386589.8125,386033.28125,385489.5,384959.40625,384445.3125
Fort Lauderdale - FL,2036747.0,2036941.0,2037070.0,2037024.0,2036610.0,2036047.0,2035415.0,2034058.0,2032769.0,2031608.0,2030653.0,2029890.0,2029469.0,2029327.0,2029477.0,2029890.0,2030474.0,2031399.0,2032544.0,2033998.0
Fort Myers - FL,869167.8125,871517.1875,873874.8125,876219.4375,878548.0,880863.125,883189.0625,885507.0625,887849.8125,890235.4375,892694.8125,895206.4375,897786.625,900439.25,903176.5625,905987.125,908867.1875,911827.5625,914863.25,917960.875
Fort Wayne - IN,467970.40625,468242.625,468481.8125,468688.5,468900.3125,469113.90625,469327.6875,469542.59375,469769.28125,470016.59375,470275.6875,470546.59375,470833.40625,471134.40625,471450.0,471778.6875,472120.21875,472474.78125,472844.40625,473227.90625
Fresno - CA,1186476.0,1186788.0,1187290.0,1187940.0,1188751.0,1189733.0,1190845.0,1192089.0,1193385.0,1194755.0,1196186.0,1197694.0,1199261.0,1200894.0,1202597.0,1204362.0,1206199.0,1208095.0,1210052.0,1212067.0
Grand Rapids - MI,1189117.0,1190450.0,1191768.0,1193081.0,1194402.0,1195719.0,1197037.0,1198356.0,1199715.0,1201128.0,1202607.0,1204142.0,1205715.0,1207334.0,1209003.0,1210713.0,1212462.0,1214254.0,1216092.0,1217951.0
Greensboro - NC,812630.6875,813357.8125,813976.9375,814490.625,814897.6875,815196.875,815387.1875,815466.625,815580.3125,815741.0,815953.6875,816216.9375,816519.0,816861.5,817193.5,817564.875,817971.5,818418.0625,818902.5625,819435.5
Greenville - SC,1022027.0,1024484.0,1026817.0,1029026.0,1031105.9375,1033058.9375,1034886.0,1036586.0625,1038307.0,1040056.0,1041832.0,1043636.0,1045459.0,1047327.0,1049234.0,1051175.0,1053144.0,1055141.0,1057169.0,1059224.0
Gulfport-Biloxi-Pascagoula - MS,430707.09375,430703.1875,430625.625,430510.09375,430363.0,430185.90625,429967.1875,429724.09375,429476.59375,429232.5,428982.0,428738.90625,428494.28125,428251.59375,427996.0,427741.3125,427488.3125,427287.6875,427143.5,427049.0
