Market,2026 Q2 EST,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2,2035 Q3,2035 Q4,2036 Q1,2036 Q2
Akron - OH,1,0.9999733240856831,0.9999199722570491,0.9998666204284152,1.0001333795715848,1.0002667591431695,1.0005868701149732,1.0010403606583615,1.0016005548590179,1.002240776802625,1.0029610264891828,1.0037079520900578,1.0045082295195669,1.0053085069490757,1.0061621362072184,1.0070157654653613,1.0078693947235042,1.0087763758102808,1.0097367087256917,1.0106970416411023,1.0117374022994639,1.0128044388721424,1.013924827273455,1.0150718915890842,1.0162723077333475,1.0175260757062448,1.018806519593459,1.0201669912236242,1.0215274628537894,1.0229679622269052,1.0244351375143383,1.025955664630405,1.0275028676607891,1.0291300984341238,1.0307573292074586,1.0324645877237442,1.0341985221543468,1.0359858084135833,1.037799770587137,1.0396670845893243,1.0415877504201456
Albany - NY,1,1.001167912439936,1.0023525093432994,1.0119961292044848,1.0151161238654565,1.0181860651361452,1.0186031767218366,1.0193706620395089,1.0204050987720235,1.0216397490656701,1.0230412439935932,1.02455953016551,1.0261779231179926,1.0278630539241858,1.029598238120662,1.0313667912439937,1.0331687132941805,1.0349706353443673,1.0367892418579818,1.0385911639081686,1.0403930859583557,1.0421950080085425,1.0439802455953016,1.0457487987186331,1.0475173518419647,1.0492859049652963,1.0510210891617726,1.0527562733582487,1.054491457554725,1.056193272824346,1.0578950880939668,1.0595802189001602,1.0612653497063533,1.062933796049119,1.064585557928457,1.066237319807795,1.0678723972237052,1.0695074746396156,1.0711258675920983,1.072744260544581,1.0743626534970636
Albuquerque - NM,1,0.9999470899470899,1.0035449735449735,1.0034920634920634,1.0143209876543209,1.014920634920635,1.0158024691358025,1.0169135802469136,1.018183421516755,1.0195767195767196,1.0210758377425044,1.0226278659611994,1.0242504409171076,1.0259082892416225,1.0276014109347442,1.0293121693121694,1.0310229276895944,1.0327689594356262,1.0345149911816578,1.0362610229276896,1.0380246913580247,1.0398059964726631,1.0415873015873016,1.04336860670194,1.0451675485008818,1.046984126984127,1.0487830687830688,1.050599647266314,1.0524338624338625,1.0542680776014108,1.0561022927689594,1.0579541446208114,1.0598059964726632,1.061657848324515,1.0635273368606701,1.0653968253968253,1.0672663139329805,1.0691534391534392,1.0710405643738976,1.0729276895943562,1.074814814814815
Anchorage - AK,1,0.999924167740957,0.999924167740957,0.999924167740957,0.999848335481914,0.999924167740957,0.999924167740957,1.0,1.000075832259043,1.000075832259043,1.000151664518086,1.000227496777129,1.000303329036172,1.000379161295215,1.000454993554258,1.000530825813301,1.000606658072344,1.000682490331387,1.00075832259043,1.000834154849473,1.000985819367559,1.001061651626602,1.001137483885645,1.001213316144688,1.001289148403731,1.001364980662774,1.0014408129218169,1.001592477439903,1.0016683096989458,1.0017441419579889,1.001819974217032,1.001895806476075,1.0019716387351179,1.002123303253204,1.0021991355122468,1.0022749677712899,1.002350800030333,1.0025024645484188,1.002578296807462,1.002654129066505,1.0027299613255478
Asheville - NC,1,1.0043457459532732,1.0171836376684475,1.0206522605852804,1.0526273821864285,1.0558567897296867,1.0719639582170482,1.087114265210111,1.094928634080217,1.103460649071047,1.1125508332668845,1.1219998405230842,1.1317678016107169,1.1416952396140658,1.1517024160752731,1.1617893309943386,1.171876245913404,1.1819631608324694,1.1919703372936767,1.201977513754884,1.211904951758233,1.221832389761582,1.2316800893070727,1.2415277888525635,1.2513356191691252,1.2611035802567578,1.2708316721154613,1.2805597639741648,1.2903277250617973,1.3000558169205008,1.3097839087792043,1.3195120006379077,1.329240092496611,1.3389681843553145,1.3486564069850888,1.3583047603859342,1.3679929830157085,1.3776413364165536,1.3873295590463282,1.3969779124471733,1.4066262658480184
Atlanta - GA,1,1.0042157069839912,1.0100563117348311,1.0145175588258128,1.0175723666274885,1.0228352299501156,1.0273199477866184,1.0316259268687678,1.0355924828618421,1.039138370877499,1.043112148638426,1.0474199331625385,1.05163022382064,1.0558026001975154,1.059774572516479,1.0636003040364266,1.0673574287617738,1.071083860973747,1.0747723789044938,1.0784283988799037,1.0820555317839031,1.0856591939423812,1.0892484125651538,1.0928213822102582,1.0963835192035833,1.0999348235451298,1.1034771006768602,1.107012156040738,1.1105399896367631,1.1140606014649357,1.1175776024091817,1.1210909924695016,1.124598966203932,1.1281069399383623,1.1316113027888661,1.1351120547554439,1.1386110012800583,1.1421081423627097,1.145603478003398,1.1490970082021228,1.1525851220749583
Augusta - GA,1,1.0107294117647059,1.0150901960784313,1.0150274509803923,1.0150901960784313,1.0160941176470588,1.0211764705882354,1.0233411764705882,1.0258196078431372,1.028549019607843,1.031435294117647,1.0344470588235295,1.03758431372549,1.0407529411764707,1.0439529411764705,1.0471843137254901,1.0503843137254902,1.0536156862745099,1.0568156862745097,1.0599843137254903,1.0631529411764706,1.066321568627451,1.0694588235294118,1.0725960784313726,1.0757019607843137,1.078807843137255,1.081913725490196,1.0850196078431373,1.0880941176470589,1.0912,1.0942745098039215,1.0973803921568628,1.1004549019607843,1.1035294117647059,1.1066039215686274,1.109678431372549,1.112721568627451,1.1157960784313725,1.1188392156862745,1.1218823529411766,1.1249254901960783
Austin - TX,1,1.0064949970570924,1.0149941141848147,1.0222454384932314,1.028481459682166,1.0332460270747499,1.0392230723955267,1.0453972925250148,1.0505944673337257,1.0557239552678046,1.0605503237198353,1.0656768687463214,1.0710417892878163,1.0765803413772808,1.0822218952324898,1.087907592701589,1.093590347263096,1.0992466156562684,1.1048705120659212,1.1104649793996468,1.116044732195409,1.1216215420835787,1.1272012948793408,1.1327928193054737,1.138402001177163,1.144022954679223,1.1496586227192467,1.155306062389641,1.1609711595055916,1.1666509711595057,1.1723425544437904,1.1780488522660388,1.183766921718658,1.1894938198940552,1.1952354326074162,1.2009829311359623,1.2067392583872867,1.212504414361389,1.2182725132430843,1.2240464979399648,1.2298175397292526
Bakersfield - CA,1,0.999962421554996,1.0251775581526437,1.0251775581526437,1.0266055390627935,1.0275450001878923,1.0287099319830146,1.0300627560031566,1.0315658938033143,1.0331441884934802,1.0347976400736538,1.0365262485438353,1.0382924354590206,1.040058622374206,1.0418999661793995,1.043703731539589,1.0455450753447821,1.0473864191499755,1.049190184510165,1.0509939498703544,1.05276013678554,1.0545639021457291,1.0563300890609146,1.0580962759761001,1.0598624628912856,1.0615910713614671,1.0633572582766526,1.065085866746834,1.0668144752170154,1.068543083687197,1.0702716921573785,1.07200030062756,1.0736913306527376,1.075419939122919,1.0771109691480967,1.0788019991732742,1.0804554507534478,1.0821464807786254,1.083799932358799,1.0854909623839766,1.0871068355191462
Baltimore - MD,1,1.0025784370704527,1.0048616684655762,1.0076707349698797,1.0082196330224449,1.009017610863569,1.0120757571564314,1.0148617607173498,1.0163608520373804,1.0179937084290445,1.01973265436028,1.0215638520650558,1.02345962601131,1.0254153636103653,1.027417227096191,1.0294513787027555,1.0315085932527053,1.033579645568686,1.035659923062021,1.0377540383213868,1.0398481535807527,1.0419514940174726,1.0440548344541924,1.0461674000682664,1.0482799656823403,1.0504017564737682,1.0525281598538732,1.0546591758226551,1.0567948043801143,1.0589304329375733,1.0610798992610633,1.0632339781732303,1.0653880570853975,1.0675513611749186,1.0697054400870856,1.0718687441766068,1.0740366608548049,1.0762045775330031,1.0783771067998782,1.0805496360667535,1.0827221653336285
