Market,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2026 Q1
Akron - OH,34248,34248,34430,34541,34541,34531,34723,34723,34773,34773,34743,34743,34719,34888,34888,34960,35056,35038,35038,35038,35231,35555,35729,35729,35829,36130,36177,36327,36327,36425,36456,36740,36749,37095,37095,37095,37111,37111,37344,37344,37344
Albany - NY,48919,49154,49259,49870,50648,51112,51268,51879,51894,52170,52470,52843,53345,53429,53479,53479,54016,54578,54721,55260,55607,55721,55758,56000,56367,56367,56723,57063,57673,57894,57990,58067,58242,58541,58842,59056,59417,59498,59765,59837,59837
Albuquerque - NM,51395,51423,51652,51683,51752,51752,51551,51623,51692,51918,51978,52056,52183,52183,52308,52308,52366,52340,52340,52710,52730,52874,52976,52976,52976,52976,52976,53002,53017,53223,53712,54355,55154,55392,55405,55606,55549,55569,55844,56075,56666
Anchorage - AK,12890,12890,12942,12942,12942,12942,12975,12975,13055,13066,13066,13066,13066,13150,13150,13190,13190,13190,13132,13132,13132,13132,13132,13132,13132,13111,13111,13111,13122,13122,13122,13122,13170,13207,13211,13187,13187,13187,13187,13187,13187
Asheville - NC,12887,12887,12935,13103,13091,13403,13970,14789,14851,14851,15610,15966,15966,16134,16150,16492,17141,17510,17623,17623,17871,18079,18639,18901,18901,19383,19716,19809,20112,20280,20280,20280,20280,20873,21049,21049,21546,22576,22868,24113,24713
Atlanta - GA,409216,411750,413651,415580,418258,422019,424872,427762,429724,430879,433757,434960,438773,441538,443725,446151,449094,451925,458391,460899,464154,465596,467148,469244,471020,473673,477949,483188,486555,494088,498774,504858,510752,519395,525310,530134,535899,541436,544801,547511,550710
Augusta - GA,23026,23026,23278,23278,23278,23278,23716,23716,23716,23996,23996,24028,24256,24737,24849,24849,24849,24849,25153,25188,25736,25736,25891,26405,26867,27291,27581,28169,28481,28556,28866,28866,29405,29825,30334,30476,30968,30968,30968,31875,31875
Austin - TX,190051,192609,194805,198032,200492,201773,205373,208929,209818,212817,215221,216275,218789,220733,222867,226202,229750,233078,235009,238617,241115,243411,246216,250087,254442,257656,261326,265080,268270,273697,279974,284593,293138,300835,311609,316736,320760,327409,331258,334624,336637
Bakersfield - CA,23675,23887,23887,24001,24065,24065,24065,24065,24065,24065,24065,24065,24077,24077,24077,24305,24345,24774,24774,24774,24929,25385,25563,25563,25563,25563,25563,25563,25612,25612,25620,25620,25714,25919,26060,26060,26118,26391,26391,26391,26391
Baltimore - MD,187317,187850,188314,189407,189878,190557,192826,193456,195288,196090,196709,197070,197891,198411,198939,199763,201556,202931,203526,203611,204638,204850,205072,205395,205594,205819,206085,206579,207250,209281,209909,210282,211407,212859,214025,214345,215267,215361,215387,215883,216340
Baton Rouge - LA,36285,36616,36810,36877,37153,37277,37501,37501,38147,38501,38501,39481,39517,39732,40236,40236,40512,40512,40722,40722,40754,41024,41179,41179,41119,41288,41512,41522,41654,41654,41953,42673,42681,43488,43945,44047,44099,44463,44677,44677,44677
Beaumont - TX,16988,16988,16998,16998,16998,16998,16998,17024,17024,17024,17024,17024,17024,17104,17226,17226,17512,17610,17610,17610,17767,17767,17767,17987,18443,18443,18443,18443,18453,18463,18668,18728,18728,18728,18836,18836,18836,18836,19040,19040,19040
Birmingham - AL,59275,59275,60216,60359,60512,60643,60643,60643,60643,60643,60643,60643,60651,60707,60707,60667,61127,61167,61365,61684,61942,61978,62437,62651,62937,63130,63196,63312,63730,63812,64302,64906,65026,65606,65883,65857,66012,66576,67136,68265,68265
Boise - ID,21167,21545,21641,22082,22491,22729,23328,23490,24120,24633,25155,25583,26225,27454,27625,27985,29295,29487,30466,30920,31873,32407,32945,33307,33811,34470,35186,35667,36136,37790,38551,39024,39140,40826,41924,42280,42590,43315,43323,43443,44080
Boston - MA,214775,216205,217696,220244,221243,224716,227647,229328,231950,235595,236599,237971,238969,240997,243384,245880,249035,251333,255359,257598,258963,261903,264184,265867,266434,268836,270672,272565,274729,275718,279284,281098,282828,285012,286470,288847,290248,293318,296220,298186,299530
Brownsville-Harlingen - TX,9434,9434,9514,9668,9684,9684,9714,9794,9822,9934,9934,9934,9994,10034,10034,10050,10050,10130,10130,10130,10266,10266,10266,10328,10328,10340,10410,10446,10679,10679,10685,10701,10766,10766,10966,10990,11032,11038,11068,11068,11174
Buffalo - NY,41041,41215,41690,41877,42218,42521,42859,42908,43011,43288,43309,43556,43595,44202,44459,44626,44681,44870,45135,45462,45684,45971,46071,46527,46651,46717,46947,47257,47392,47392,47430,48188,48219,48327,48926,49040,49117,49210,49302,49357,49603
Canton - OH,12477,12467,12467,12467,12515,12515,12563,12563,12563,12563,12563,12563,12563,12563,12563,12563,12563,12563,12563,12563,12563,12740,12740,12740,12827,12827,12827,12827,12827,12827,12827,12827,12827,12816,12869,12869,12869,12869,12869,12869,12869
Charleston - SC,41016,41312,41990,42671,43141,45035,45775,46663,48070,48699,49704,50465,51059,51689,51910,52533,53547,54306,55585,56255,56951,58129,59688,60556,60950,61286,62308,63489,64039,64832,65568,66260,67202,68445,70180,71579,72801,74375,74632,74646,75576
Charlotte - NC,142816,145304,146591,147923,149430,152013,154423,156575,157890,160701,162598,165111,166305,167986,169748,171484,173019,175135,178737,181005,183382,185974,190054,191836,193129,195048,197182,199458,203263,205710,210509,213712,217740,221574,225665,230665,235151,239662,243182,245287,249435
Chattanooga - TN,21316,21324,21324,21379,21665,21801,21983,22524,22524,22640,23009,23059,23342,23532,23532,23832,24049,24737,24992,25089,25108,25279,25370,25533,25727,25889,26489,26647,26697,27165,27562,27562,28138,28502,29303,29812,30345,30460,30460,30556,30798
Chicago - IL,489218,491734,494943,496180,497786,500579,502840,504047,505268,507095,510403,513705,515722,519216,520696,522628,526655,530038,531819,532622,534497,537691,540382,542224,544349,545313,546733,547744,550359,554728,556118,558601,561875,565031,566687,567652,569214,570720,571934,573253,574118
Cincinnati - OH,125804,126237,126919,127397,127737,128524,128810,129157,129145,130082,130522,130653,130638,130860,131052,131506,132311,133140,133480,133870,134164,134677,134400,134639,134843,135286,136329,137034,137976,138916,140730,141118,141910,143419,144205,145040,145877,146882,147473,148342,149714
Cleveland - OH,125726,125751,126299,126484,126720,127127,127540,128261,128261,128771,129729,129788,129813,130095,130267,130856,130969,131262,132000,132369,132467,132692,132721,132902,133348,133466,134309,134835,135218,136507,136692,137059,137346,137781,138070,138480,139167,139472,140581,140581,141100
Colorado Springs - CO,40902,40902,41070,41348,41657,41657,41643,42179,42179,42227,42685,42685,42957,43269,43269,43701,44122,44554,45158,45716,45720,45750,45943,45943,45943,46437,46958,47274,48539,49439,50208,50582,52073,54269,55819,56644,56901,57750,58580,58996,59266
Columbia - SC,35484,35724,36148,36148,36148,35673,35673,35673,36061,36412,36616,36901,37031,37217,37217,37361,37617,37675,37791,37791,37911,37911,37943,37943,37943,38234,38284,38361,38361,38613,38916,38916,39486,39965,40021,40088,40088,40357,40740,41012,41608
Columbus - OH,170360,170951,171776,171865,172611,174028,176082,177364,177927,180057,181538,182160,183373,184928,185767,185926,187769,190387,191157,192595,193591,195086,197495,198638,199226,201109,202438,203410,205009,208515,209810,211979,213363,215117,216884,219037,221648,223806,226356,228385,229819
Corpus Christi - TX,26068,26814,26934,27449,27737,28377,28701,28773,28938,28896,28992,29216,29546,29762,29762,29828,29916,30465,30465,30825,31176,31176,31176,31176,31181,31237,31387,31877,31877,32005,32389,32461,32764,33004,33340,33456,33702,33702,33702,33702,34082
Dallas-Fort Worth - TX,647371,653620,661364,665530,672248,677415,686905,692440,698447,703189,711247,715876,722975,730397,733887,741391,748546,753209,759957,767164,775533,782714,787798,793569,798932,804006,813895,818909,824864,832169,840042,850056,860743,872863,882183,891527,898355,911006,919139,923740,931868
Dayton - OH,47349,47851,47851,48172,48172,48172,48305,48531,48739,48970,48964,48964,48944,49050,49362,49834,49918,50298,50261,50261,50261,50261,50201,50201,50159,50419,50419,50419,50805,51252,51705,51705,51846,52183,52196,52196,52320,52320,52630,52876,52987
Daytona Beach - FL,18453,18453,18453,18453,18717,18717,18717,18717,19077,19072,19072,19072,19072,19373,19373,20003,20442,20734,21776,22500,22859,23257,23314,23314,23592,24118,24412,24412,24652,24817,25724,26021,27004,27173,27475,28067,29377,30070,30070,30908,31096
Denver - CO,218062,219634,221216,223880,224523,227807,231477,233490,237349,240774,243027,244044,245820,247877,251159,253655,256029,257974,259278,261112,262427,264209,267357,270936,272110,274360,276647,279010,281499,283964,288021,290345,294059,299363,305553,308332,311638,315131,318331,320808,322739
Des Moines - IA,44408,44588,45279,45709,46511,47750,49168,50394,50448,51422,51578,52262,52835,52835,53251,53864,54083,54448,54757,54946,55377,56239,56450,56660,57164,57276,57624,57852,58038,58697,59446,59959,60379,60690,61640,61666,62192,62575,63803,64131,64355
Detroit - MI,211533,212672,212914,213545,214285,214663,215181,215697,215821,215822,216036,216060,216887,217271,217897,218298,219269,219746,220394,220601,221653,222546,223670,224004,224354,225289,225836,226210,226820,227702,228208,229467,230531,231107,231480,231901,232255,232750,233258,233499,233925
Durham - NC,46145,46130,46554,46866,47131,47378,48595,48491,48779,49397,49397,49597,50430,50842,51281,51883,51931,52885,53365,54118,54387,54394,54394,54394,55557,55557,56316,56609,56809,57419,57839,58607,59011,60569,61876,62453,63110,63694,64130,64440,64965
East Bay - CA,167092,167354,167760,168471,169188,169359,169719,169782,169970,170480,171120,171887,172817,173653,174619,175174,175954,176814,178738,179078,180147,181621,182687,182763,183026,183941,186167,187006,187514,188759,189170,189677,190077,190303,191320,192254,192542,192664,192776,193138,193138
