Market,2025 Q2,2025 Q3,2025 Q4,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2
Akron - OH,1181.44384765625,1183.50988769531,1185.93017578125,1203.77001953125,1223.56494140625,1223.81469726563,1224.51037597656,1240.82495117188,1259.41320800781,1258.32104492188,1257.84350585938,1273.39343261719,1291.2802734375,1288.86242675781,1287.08923339844,1301.986328125,1319.35827636719,1316.14965820313,1313.87438964844,1328.60888671875,1346.01550292969,1342.58117675781,1339.97937011719,1354.85852050781,1372.32348632813,1368.43054199219,1365.53295898438,1380.30456542969,1397.84387207031,1393.68005371094,1390.4013671875,1405.248046875,1422.91149902344,1418.50915527344,1415.02136230469,1429.9716796875,1447.7802734375,1443.17199707031,1439.64367675781,1454.72607421875,1472.72265625
Albany - NY,1646.11193847656,1653.71252441406,1661.58544921875,1685.19702148438,1710.02478027344,1715.61560058594,1721.82958984375,1743.64416503906,1767.23193359375,1771.72973632813,1777.04333496094,1798.52124023438,1821.50390625,1824.12854003906,1827.60485839844,1847.62963867188,1869.34008789063,1870.80493164063,1873.51037597656,1893.59558105469,1915.58837890625,1916.93994140625,1919.43896484375,1939.4755859375,1961.50427246094,1962.40966796875,1964.41333007813,1984.52319335938,2006.88415527344,2007.44506835938,2009.31848144531,2029.73205566406,2052.185546875,2052.556640625,2054.26293945313,2074.70922851563,2097.44702148438,2097.6298828125,2099.166015625,2119.83911132813,2142.85009765625
Albuquerque - NM,1285.21166992188,1290.95959472656,1286.47094726563,1303.52270507813,1327.76574707031,1332.58557128906,1326.73559570313,1342.55895996094,1367.37036132813,1372.58715820313,1366.81506347656,1382.99780273438,1407.94018554688,1412.29858398438,1405.1767578125,1420.79650878906,1445.52368164063,1449.24572753906,1441.51782226563,1457.26440429688,1482.48815917969,1486.32775878906,1478.42553710938,1494.37255859375,1520.03234863281,1523.59643554688,1515.12609863281,1531.17114257813,1557.15771484375,1560.69982910156,1551.92272949219,1568.25964355469,1594.74072265625,1598.19360351563,1588.9462890625,1605.57141113281,1632.61059570313,1635.90612792969,1626.29638671875,1643.16235351563,1670.67944335938
Anchorage - AK,1450.42175292969,1452.60473632813,1450.26135253906,1471.73571777344,1502.25378417969,1501.98767089844,1497.10131835938,1517.16821289063,1547.40417480469,1546.22778320313,1540.45190429688,1560.01354980469,1589.66455078125,1587.04614257813,1579.87353515625,1598.98107910156,1628.63464355469,1625.49206542969,1617.85607910156,1637.2763671875,1667.58874511719,1664.39184570313,1656.59814453125,1676.49621582031,1707.54187011719,1703.95861816406,1695.67358398438,1715.71752929688,1747.15063476563,1743.52038574219,1734.90686035156,1755.26171875,1787.26000976563,1783.22644042969,1774.27844238281,1794.92932128906,1827.47729492188,1823.38977050781,1814.28063964844,1835.240234375,1868.35046386719
Asheville - NC,1688.0380859375,1692.00952148438,1692.39575195313,1710.46105957031,1731.39794921875,1735.84436035156,1737.06384277344,1756.734375,1780.02905273438,1787.27160644531,1790.72668457031,1812.20715332031,1836.55004882813,1843.09899902344,1845.31237792969,1866.21411132813,1890.03894042969,1895.90539550781,1897.552734375,1918.42944335938,1942.68029785156,1948.32177734375,1949.42749023438,1970.29943847656,1994.43322753906,1999.44104003906,2000.11267089844,2021.0751953125,2045.37707519531,2050.24340820313,2050.3232421875,2071.40893554688,2096.12646484375,2100.69848632813,2100.56762695313,2121.76953125,2146.68041992188,2151.158203125,2150.60009765625,2172.11474609375,2197.20288085938
Atlanta - GA,1668.86853027344,1666.69506835938,1658.18969726563,1675.68981933594,1697.32019042969,1695.58142089844,1689.75769042969,1712.85656738281,1740.60559082031,1743.701171875,1740.31811523438,1764.697265625,1792.34008789063,1793.75805664063,1788.57531738281,1812.28271484375,1839.63586425781,1840.51293945313,1834.92272949219,1859.32958984375,1887.65490722656,1888.77307128906,1883.2333984375,1908.30615234375,1937.21667480469,1938.17822265625,1932.115234375,1957.47375488281,1986.77856445313,1987.39038085938,1980.99194335938,2006.84973144531,2036.74255371094,2037.19445800781,2030.46105957031,2056.794921875,2087.466796875,2087.728515625,2080.62133789063,2107.42236328125,2138.6787109375
Augusta - GA,1262.02844238281,1264.20031738281,1267.01037597656,1281.85070800781,1297.38513183594,1300.22521972656,1303.76110839844,1319.8310546875,1337.24743652344,1342.01708984375,1347.07043457031,1364.333984375,1381.98046875,1385.61999511719,1389.37219238281,1405.70764160156,1422.59118652344,1425.46691894531,1428.69055175781,1445.01391601563,1462.12451171875,1464.82641601563,1467.74389648438,1484.10266113281,1501.10400390625,1503.29089355469,1505.8515625,1522.20422363281,1539.21057128906,1541.09216308594,1543.21240234375,1559.59643554688,1576.79150390625,1578.39294433594,1580.39758300781,1596.89111328125,1614.26416015625,1615.81616210938,1617.6328125,1634.44995117188,1651.93591308594
Austin - TX,1597.64770507813,1592.85534667969,1591.55163574219,1620.13842773438,1650.95556640625,1652.9716796875,1653.46240234375,1683.18225097656,1716.40478515625,1718.50390625,1717.69458007813,1746.59387207031,1778.55151367188,1777.87194824219,1774.25463867188,1801.64636230469,1832.42297363281,1830.24731445313,1825.4072265625,1852.97583007813,1884.42272949219,1882.07604980469,1877.134765625,1905.55004882813,1937.76232910156,1935.18762207031,1929.76831054688,1958.4580078125,1991.2333984375,1988.18310546875,1982.2109375,2011.50012207031,2044.98205566406,2041.61950683594,2035.4716796875,2065.3740234375,2099.58081054688,2095.89599609375,2089.36157226563,2120.0615234375,2154.97412109375
Bakersfield - CA,1397.27124023438,1410.32885742188,1420.56567382813,1436.05041503906,1451.25573730469,1462.22436523438,1470.72412109375,1484.8681640625,1499.48864746094,1509.98449707031,1518.13220214844,1531.72595214844,1545.46606445313,1554.95520019531,1562.01293945313,1575.00537109375,1588.44580078125,1597.8271484375,1604.89233398438,1618.21850585938,1632.03564453125,1641.68127441406,1648.94262695313,1662.63500976563,1676.83227539063,1686.57678222656,1693.90100097656,1707.83520507813,1722.28869628906,1732.34008789063,1739.69750976563,1753.83752441406,1768.51123046875,1778.65942382813,1786.21960449219,1800.77941894531,1815.88989257813,1826.34729003906,1834.05529785156,1848.72229003906,1863.9365234375
Baltimore - MD,1748.91467285156,1748.10900878906,1749.61791992188,1781.29809570313,1811.5751953125,1809.37145996094,1808.97534179688,1837.53442382813,1866.84350585938,1863.75036621094,1863.08190917969,1893.93859863281,1924.87756347656,1921.47033691406,1919.80444335938,1950.44030761719,1981.29614257813,1976.97668457031,1974.8505859375,2006.15539550781,2037.49267578125,2032.85021972656,2030.26391601563,2061.8427734375,2093.212890625,2087.4013671875,2083.72192382813,2115.09545898438,2146.43286132813,2139.84204101563,2135.63989257813,2167.39184570313,2199.3076171875,2192.34838867188,2187.8349609375,2220.36352539063,2252.83740234375,2245.48608398438,2240.63745117188,2273.74267578125,2306.77221679688
Baton Rouge - LA,1198.89074707031,1201.85241699219,1201.15441894531,1215.44348144531,1231.49560546875,1234.99792480469,1234.90246582031,1250.23425292969,1268.0009765625,1273.25646972656,1274.47497558594,1290.83251953125,1308.88977050781,1313.21081542969,1313.15478515625,1328.68994140625,1346.13513183594,1349.72143554688,1349.0078125,1364.45959472656,1382.07165527344,1385.49780273438,1384.37048339844,1399.84582519531,1417.36047363281,1420.30017089844,1418.69775390625,1434.13000488281,1451.67150878906,1454.41259765625,1452.35925292969,1467.90710449219,1485.75244140625,1488.29455566406,1486.00988769531,1501.60229492188,1519.51086425781,1521.90051269531,1519.25610351563,1535.05358886719,1553.08801269531
Beaumont - TX,1069.57836914063,1073.29431152344,1079.27685546875,1092.9638671875,1105.19067382813,1107.99572753906,1113.13879394531,1125.78369140625,1138.10607910156,1141.15747070313,1146.60168457031,1159.46740722656,1171.62939453125,1173.84045410156,1178.42700195313,1190.71533203125,1202.43249511719,1204.07702636719,1208.40759277344,1220.75366210938,1232.58227539063,1234.19470214844,1238.56164550781,1251.02160644531,1263.00354003906,1264.37878417969,1268.58642578125,1281.11608886719,1293.09936523438,1294.33435058594,1298.48217773438,1311.07543945313,1323.16259765625,1324.23254394531,1328.2919921875,1341.19885253906,1353.58898925781,1354.50854492188,1358.48864746094,1371.51989746094,1383.98217773438
