Market,2025 Q2,2025 Q3,2025 Q4,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2
Akron - OH,1,1.0017487416292858,1.0037973265795916,1.0188973618333963,1.0356522181173147,1.0358636169577042,1.0364524546856335,1.0502614691620176,1.0659949776760325,1.065070546872066,1.0646663473297455,1.0778281465880497,1.0929679611935377,1.0909214427030596,1.0894205729301223,1.102029800830469,1.116733799058275,1.1140179542295723,1.1120921169930387,1.1245637186688526,1.1392970606262138,1.1363901715864233,1.1341879453479258,1.1467819847685359,1.161564715115786,1.1582696415973426,1.1558170637507033,1.1683200756159002,1.1831657296648965,1.1796413824285636,1.1768662302027981,1.1894327857077025,1.2043835192389498,1.200657278877435,1.1977051343674194,1.2103594110920124,1.2254329956600212,1.221532449412028,1.218546001668871,1.2313120738701528,1.246544775844903
Albany - NY,1,1.004617295920066,1.0094000355507478,1.023743879194505,1.038826546544599,1.0422229257225994,1.0459978751124697,1.0592500572304724,1.073579440307859,1.0763118199408883,1.079539789138249,1.0925874469380688,1.1065492350026702,1.1081436792975636,1.1102555152414773,1.1224204110820193,1.135609337491752,1.1364992184990885,1.1381427545628837,1.1503443579949797,1.163704808968875,1.1645258725116443,1.16604400951016,1.17821609855551,1.191598351614088,1.192148372233371,1.1933655811379091,1.2055821642336255,1.2191662719673648,1.2195070222364257,1.2206451058880536,1.2330461909792914,1.246686509529997,1.2469119460518556,1.2479485091119045,1.2603694682123059,1.2741824978351841,1.274293584647597,1.2752267731972902,1.2877855155403308,1.301764507971074
Albuquerque - NM,1,1.004472356530212,1.0009798209689666,1.0142474859081874,1.033110559252093,1.0368607774702665,1.0323090170693625,1.044620891158377,1.063926194672076,1.067985290148012,1.0634941274378875,1.076085624727049,1.0954928425388948,1.0988840336862369,1.0933426693035802,1.1054961155740373,1.1247358824002076,1.1276319391241993,1.1216189955334368,1.133871126758021,1.1534972750985066,1.1564847982429265,1.1503362222031832,1.1627443117479501,1.1827097311723005,1.1854828828620034,1.1788922666138761,1.1913766256660276,1.2115963084418615,1.2143523636043743,1.2075230608406486,1.220234518762201,1.240838968380348,1.2435255926463649,1.2363304242009272,1.2492661315706872,1.2703048329792759,1.2728690271145193,1.26539186095128,1.2785149652551067,1.2999255161299073
Anchorage - AK,1,1.0015050680217878,0.9998894112072533,1.0146950118478975,1.0357358341774074,1.0355523611422626,1.032183442736847,1.046018656177846,1.0668649802577121,1.0660539116156542,1.0620717051335855,1.0755585722936358,1.0960015923439546,1.0941963186724648,1.0892511312417108,1.1024249159748167,1.1228697034259378,1.120703038372375,1.1154383722070296,1.1288277798374056,1.1497267892934224,1.1475226721753478,1.1421492687799992,1.155868086254205,1.1772726565001843,1.1748021668333737,1.1690900116185576,1.1829094026143239,1.204581102866515,1.2020782108517565,1.1961395758490534,1.210173327312947,1.2322346973599674,1.229453734286439,1.223284495560664,1.2375223397356687,1.2599626910107904,1.2571445283585732,1.2508641958684057,1.265314885596565,1.2881428867798836
Asheville - NC,1,1.0023526930938138,1.0025814974507579,1.0132834524408,1.0256865432376598,1.0283206136237795,1.0290430395169148,1.0406959354974195,1.054495788669241,1.0587863042513628,1.060833105300334,1.0735582143656723,1.0879790356200107,1.0918586579163718,1.093169871759643,1.105552135864088,1.1196660526649214,1.1231413623318012,1.1241172519642175,1.1364846915132993,1.1508509873298487,1.1541930206282602,1.154848049030665,1.1672126682984751,1.1815096141218844,1.1844762607525017,1.1848741373555092,1.1972924142822514,1.2116889377287667,1.2145717713854003,1.2146190653327555,1.2271103079978578,1.2417530636932321,1.244461546115796,1.2443840245384747,1.256944110992386,1.2717014134960467,1.2743540688125488,1.2740234450704666,1.286768802308986,1.3016311060535704
Atlanta - GA,1,0.9986976434184999,0.9936011538272219,1.0040873735340807,1.017048473046339,1.0160065877811377,1.0125169597109172,1.0263580002327461,1.0429854474726754,1.0448403455659259,1.0428131896939978,1.0574213807817796,1.0739851913900968,1.0748348501404883,1.0717293093721147,1.0859349804785472,1.1023252166882134,1.1028507674906942,1.0995010668644716,1.1141258619929177,1.1310986293912992,1.131768642662097,1.12844922429506,1.1434730284182892,1.160796455600539,1.1613726231260915,1.157739629770853,1.172934667635013,1.1904943549553308,1.1908609604698766,1.1870269631333987,1.2025211663117001,1.220433195763614,1.2207039806029663,1.2166692718674634,1.232448742704735,1.2508275870795968,1.2509844111464734,1.24672573072591,1.2627851295967298,1.2815141948821354
Augusta - GA,1,1.0017209398196283,1.0039475604720474,1.0157066710696108,1.0280157627718547,1.0302661778934485,1.0330679282765096,1.0458013546791023,1.0596016631753644,1.0633810180299226,1.067385162910381,1.0810643711000911,1.0950470071345706,1.0979308774539418,1.1009040253954696,1.1138478297267789,1.1272259314833466,1.1295045904464047,1.1320589170401967,1.1449931455485496,1.1585511567062172,1.160692078579403,1.1630038176581527,1.175966096556989,1.1894375384060651,1.1911703754602847,1.1931993859479368,1.2061568285725537,1.2196322361664909,1.2211231627840617,1.2228031877237586,1.2357854887978894,1.2494104339908079,1.2506793756215262,1.2522678015274313,1.2653368653611266,1.2791028363104011,1.2803326041199123,1.2817720727797393,1.295097555872757,1.3089529978951613
Austin - TX,1,0.9970003659860635,0.9961843469517319,1.0140773980300932,1.0333664681886254,1.0346283942533279,1.0349355474853517,1.0535378016233228,1.0743324574627122,1.075646339795518,1.075139766181512,1.0932284173280218,1.1132313513290486,1.1128059975870879,1.1105418503919255,1.1276868840221468,1.1469505872968402,1.1455887982285964,1.1425592893604988,1.159815035685551,1.179498285825182,1.178029451563385,1.1749366018919685,1.1927223021516766,1.2128846196457292,1.2112730584592009,1.207881001808536,1.2258384633780857,1.2463532430262043,1.2444440029859534,1.240705902308459,1.259038595102505,1.2799956142797162,1.2778909269838674,1.2740428776743111,1.292759359195835,1.314170078843636,1.3118636789774965,1.3077736509898805,1.3269893711228549,1.3488418718620856
Bakersfield - CA,1,1.009345084054911,1.0166713755518524,1.0277535053238305,1.0386356603613014,1.0464856952105481,1.0525688060730778,1.0626914240455034,1.0731550212179375,1.0806666977680177,1.0864978526959352,1.0962266366346354,1.1060601692437981,1.1128513601514334,1.117902447624354,1.1272008796442103,1.1368199352008435,1.1435339842602632,1.1485904008982346,1.1581276843484862,1.1680163432387618,1.1749195339758673,1.1801163435358009,1.189915717070608,1.2000764254686556,1.2070503805285877,1.2122921822196977,1.2222646225736784,1.2326087066675482,1.2398022932183483,1.2450678577437915,1.2551875927252816,1.2656892803233377,1.2729521460198203,1.2783628210887439,1.288782998670498,1.299597272376071,1.307081429467271,1.312597901566995,1.3230947841801661,1.3339833167430262
Baltimore - MD,1,0.9995393348371957,1.0004021048489309,1.0185162966234194,1.0358282330371062,1.034568174221334,1.03434168051629,1.0506712833691754,1.0674297236099803,1.0656611183735702,1.0652789058839465,1.0829222420238445,1.100612621848553,1.0986644269964025,1.097711897075681,1.115228969082321,1.1328718166379599,1.130402023185557,1.1291863557400186,1.1470859194272902,1.1650040493165805,1.162349571012547,1.1608707660421977,1.178927025682573,1.1968639311671339,1.1935409997927722,1.1914371559537982,1.2093760157754132,1.2272942154624542,1.2235256952397071,1.221122977426923,1.2392782102795523,1.2575271117152822,1.253547941877183,1.250967239796949,1.2695665259474236,1.2881345427050235,1.283931182487693,1.2811588157806342,1.300087826511268,1.3189735626357046
