Market,2025 Q2 EST,2025 Q3,2025 Q4,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2
Akron - OH,1173.71472167969,1175.75207519531,1178.138671875,1195.88256835938,1215.5673828125,1215.79943847656,1216.47216796875,1232.70141601563,1251.18896484375,1250.08740234375,1249.59436035156,1265.06457519531,1282.85583496094,1280.43688964844,1278.65576171875,1293.478515625,1310.75842285156,1307.55383300781,1305.27380371094,1319.93530273438,1337.25048828125,1333.82116699219,1331.21630859375,1346.02172851563,1363.39587402344,1359.51049804688,1356.61047363281,1371.31030273438,1388.75866699219,1384.60388183594,1381.32531738281,1396.10021972656,1413.67224121094,1409.27917480469,1405.79321289063,1420.67077636719,1438.38806152344,1433.79040527344,1430.26354980469,1445.27233886719,1463.17626953125
Albany - NY,1637.15869140625,1644.72058105469,1652.55029296875,1676.03686523438,1700.73608398438,1706.30004882813,1712.47937011719,1734.17956542969,1757.64624023438,1762.12280273438,1767.40734863281,1788.77282714844,1811.63879394531,1814.25268554688,1817.70874023438,1837.62951660156,1859.23059082031,1860.69091796875,1863.38134765625,1883.36267089844,1905.244140625,1906.59204101563,1909.07690429688,1929.01037597656,1950.927734375,1951.83178710938,1953.82409667969,1973.83032226563,1996.07885742188,1996.63989257813,1998.50231933594,2018.81164550781,2041.15185546875,2041.52465820313,2043.22119140625,2063.56225585938,2086.18627929688,2086.3720703125,2087.89916992188,2108.46630859375,2131.3623046875
Albuquerque - NM,1274.33666992188,1280.02136230469,1275.53637695313,1292.45751953125,1316.54040527344,1321.30480957031,1315.46923828125,1331.17321777344,1355.82153320313,1360.97863769531,1355.21923828125,1371.28063964844,1396.06005859375,1400.36645507813,1393.26806640625,1408.77160644531,1433.33984375,1437.01513671875,1429.31469726563,1444.94421386719,1470.005859375,1473.79699707031,1465.923828125,1481.75158691406,1507.24780273438,1510.76550292969,1502.32666015625,1518.25415039063,1544.07434082031,1547.57067871094,1538.82641601563,1555.04370117188,1581.35620117188,1584.76318359375,1575.552734375,1592.05517578125,1618.92236328125,1622.17358398438,1612.60180664063,1629.3447265625,1656.68725585938
Anchorage - AK,1439.4951171875,1441.67590332031,1439.36645507813,1460.67126464844,1490.94934082031,1490.69958496094,1485.86694335938,1505.77673339844,1535.77355957031,1534.62243652344,1528.90698242188,1548.31286621094,1577.73229980469,1575.14672851563,1568.04626464844,1587.00317382813,1616.42321777344,1613.31970214844,1605.75793457031,1625.02575683594,1655.10021972656,1651.94458007813,1644.2275390625,1663.9677734375,1694.77026367188,1691.22802734375,1683.02661132813,1702.91101074219,1734.09948730469,1730.51293945313,1721.98315429688,1742.177734375,1773.92639160156,1769.94018554688,1761.07861328125,1781.56896972656,1813.86108398438,1809.82153320313,1800.80224609375,1821.59655761719,1854.44873046875
Asheville - NC,1660.38610839844,1664.30493164063,1664.64270019531,1682.39526367188,1703.04846191406,1707.4296875,1708.5830078125,1727.91198730469,1750.88647460938,1758.01806640625,1761.36889648438,1782.47778320313,1806.48486328125,1812.93469238281,1815.0625,1835.603515625,1859.10266113281,1864.88256835938,1866.45434570313,1886.97058105469,1910.89245605469,1916.45129394531,1917.48791503906,1937.99975585938,1961.80773925781,1966.74438476563,1967.353515625,1987.95581054688,2011.93200683594,2016.73071289063,2016.75708007813,2037.47863769531,2061.8662109375,2066.37524414063,2066.19262695313,2087.02880859375,2111.6083984375,2116.02587890625,2115.42260742188,2136.56591796875,2161.32202148438
Atlanta - GA,1638.7470703125,1636.55834960938,1628.13977050781,1645.38464355469,1666.71716308594,1664.95166015625,1659.16235351563,1681.90417480469,1709.24645996094,1712.22644042969,1708.83166503906,1732.83276367188,1760.07373046875,1761.40405273438,1756.23901367188,1779.58117675781,1806.53942871094,1807.3359375,1801.76818847656,1825.798828125,1853.71447753906,1854.74572753906,1849.22521972656,1873.91162109375,1902.40478515625,1903.28063964844,1897.24389648438,1922.21301269531,1951.09631347656,1951.62646484375,1945.2578125,1970.71887207031,2000.18249511719,2000.55383300781,1993.85388183594,2019.78454589844,2050.0166015625,2050.19921875,2043.13000488281,2069.521484375,2100.33081054688
Augusta - GA,1248.17443847656,1250.29626464844,1253.05285644531,1267.75769042969,1283.14916992188,1285.93115234375,1289.40588378906,1305.32775878906,1322.58178710938,1327.27124023438,1332.24609375,1349.34887695313,1366.83239746094,1370.40380859375,1374.09033203125,1390.27709960938,1407.00646972656,1409.82165527344,1412.98449707031,1429.16027832031,1446.11499023438,1448.75744628906,1451.61645507813,1467.82775878906,1484.67578125,1486.80834960938,1489.314453125,1505.52087402344,1522.37414550781,1524.2041015625,1526.27453613281,1542.51220703125,1559.55346679688,1561.10522460938,1563.060546875,1579.40808105469,1596.62548828125,1598.12841796875,1599.89660644531,1616.56518554688,1633.896484375
Austin - TX,1559.10131835938,1554.31225585938,1552.91967773438,1580.939453125,1611.15234375,1612.99938964844,1613.35034179688,1642.47827148438,1675.04309082031,1676.96606445313,1676.04333496094,1704.37622070313,1735.71337890625,1734.91979980469,1731.25219726563,1758.11853027344,1788.30737304688,1786.048828125,1781.18286132813,1808.2255859375,1839.07287597656,1836.64343261719,1831.67456054688,1859.5478515625,1891.14697265625,1888.49072265625,1883.05090332031,1911.19665527344,1943.34985351563,1940.2255859375,1934.24243164063,1962.9775390625,1995.82568359375,1992.39270019531,1986.23376464844,2015.57202148438,2049.13256835938,2045.38073730469,2038.83996582031,2068.96166992188,2103.21630859375
Bakersfield - CA,1388.49560546875,1401.47338867188,1411.64489746094,1427.0361328125,1442.15600585938,1453.0576171875,1461.50207519531,1475.56237792969,1490.10241699219,1500.53515625,1508.62927246094,1522.14392089844,1535.80639648438,1545.23913574219,1552.25146484375,1565.16796875,1578.53393554688,1587.85986328125,1594.8779296875,1608.12670898438,1621.86706542969,1631.45495605469,1638.66906738281,1652.28259277344,1666.40161132813,1676.08642578125,1683.36340332031,1697.21545410156,1711.591796875,1721.58203125,1728.89147949219,1742.94775390625,1757.54296875,1767.63012695313,1775.14147949219,1789.61682128906,1804.64501953125,1815.04016113281,1822.6982421875,1837.28015136719,1852.412109375
Baltimore - MD,1732.58056640625,1731.81518554688,1733.294921875,1764.69384765625,1794.67541503906,1792.52685546875,1792.11853027344,1820.42663574219,1849.44982910156,1846.42199707031,1845.74401855469,1876.32934570313,1906.96765136719,1903.6298828125,1901.96374511719,1932.3310546875,1962.88708496094,1958.64636230469,1956.52429199219,1987.55505371094,2018.58776855469,2014.02868652344,2011.45007324219,2042.75305175781,2073.81787109375,2068.10180664063,2064.43969726563,2095.5400390625,2126.57299804688,2120.08569335938,2115.90551757813,2147.38110351563,2178.98706054688,2172.1357421875,2167.646484375,2199.89233398438,2232.05102539063,2224.81274414063,2219.99096679688,2252.80908203125,2285.51806640625
