Market,2025 Q2 EST,2025 Q3,2025 Q4,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1
Akron - OH,1,1.0017358166153905,1.003769186935799,1.0188869120155244,1.035658291030818,1.0358560014793399,1.0364291641736165,1.050256415163239,1.0660077289080838,1.0650692022970998,1.0646491325961043,1.0778296904931808,1.09298776888907,1.0909268376697372,1.0894093241745149,1.102038248079497,1.1167606562655603,1.1140303592141916,1.112087783855158,1.1245793192790794,1.1393317844454791,1.1364100171491192,1.1341906887635023,1.1468048441867997,1.161607542991622,1.1582972190220975,1.1558264104341982,1.1683506029232666,1.1832165357905309,1.179676676334475,1.1768833532274443,1.1894715078026938,1.2044427961062374,1.2006999220286565,1.1977298971583275,1.2104055185863938,1.225500570926621,1.2215833871637554,1.2185785211570457,1.2313659462317017
Albany - NY,1,1.0046189106090533,1.0094014108976077,1.0237473459550432,1.0388339828703592,1.0422325323652593,1.0460069503990739,1.0592617408029659,1.0735955222059972,1.0763298707596824,1.0795577471568636,1.0926080877425266,1.106574948082271,1.108171550546828,1.1102825582980262,1.1224504540992994,1.1356446999180694,1.1365366886764625,1.1381800417012014,1.150384920401767,1.1637504358166257,1.164573752699531,1.166091542816209,1.1782671930963649,1.1916546298265294,1.1922068381977309,1.1934237694462213,1.2056438588553644,1.219233583097148,1.219576271413922,1.2207138683784595,1.2331190959709204,1.2467648164977134,1.2469925297525963,1.2480287965555799,1.2604534103452534,1.2742724882124494,1.2743859720284016,1.275318746363227,1.2878814495268425
Albuquerque - NM,1,1.0044609030854919,1.0009414364818707,1.0142198290585807,1.0331181989404317,1.0368569317332046,1.0322776306530452,1.044600888598022,1.0639429635861026,1.0679898568552857,1.063470329520007,1.0760740642678852,1.0955190190668624,1.0988983430602965,1.093328081417967,1.1054940501175967,1.1247732860405464,1.127657369231039,1.121614665105141,1.1338794903828426,1.1535459145699032,1.1565209036640667,1.150342654908349,1.162763045188753,1.1827704862536663,1.1855309029303094,1.1789087574858428,1.1914074092238927,1.211669080287053,1.2144127334935828,1.2075509183220505,1.2202769785061651,1.2409249757121257,1.2435985097179225,1.2363708677327674,1.2493206962951533,1.270403968976655,1.2729552733374794,1.2654440892291725,1.2785826265694629
Anchorage - AK,1,1.0015149659813163,0.9999106199751331,1.0147108157631783,1.0357446322800608,1.0355711298788453,1.0322139516961208,1.0460450441405051,1.0668834796542552,1.0660838082742516,1.0621133508316956,1.075594385645468,1.0960317134574789,1.0942355480810295,1.0893029409589832,1.1024720784943214,1.1229098303102436,1.1207538552131808,1.1155007859336514,1.1288859110622977,1.1497782798737877,1.1475860948425556,1.1422251589675472,1.1559384631248886,1.177336583803868,1.1748758346941033,1.1691784093137074,1.1829918631953087,1.204658123948896,1.202166592155049,1.1962410526694303,1.2102699853396408,1.232325396884621,1.2295562273285143,1.2234001993157595,1.2376346042822342,1.2600675489113988,1.2572613214132866,1.2509957307894004,1.2654412897045761
Asheville - NC,1,1.0023601879239823,1.0025636156405668,1.013255444117555,1.0256942365994441,1.0283329153764944,1.0290275250860472,1.0406687809327575,1.0545056151416696,1.0588007557483017,1.0608188586830234,1.0735320984601926,1.0879908318576168,1.0918753675502102,1.0931568812935664,1.105528109600706,1.119680929471306,1.123161991615427,1.1241086252543135,1.1364649291572348,1.1508723461303112,1.154220264944196,1.1548445902673885,1.1671982474779423,1.1815370710070037,1.1845102622923618,1.1848771232630053,1.1972852582249103,1.2117253912564896,1.2146155058090131,1.2146313859632534,1.2271113492153958,1.2417992420608217,1.2445148954743999,1.2444049107024384,1.2569539085139885,1.271757447112284,1.2744179611014133,1.2740546290539343,1.286788601254692
Atlanta - GA,1,0.9986643938269848,0.9935271891575878,1.0040503951844895,1.0170679742347952,1.0159906249832398,1.0124578609920791,1.0263354273969565,1.0430202994260707,1.0448387499500933,1.0427671823164237,1.0574131878334576,1.0740362331406723,1.0748480254481798,1.0716962034519304,1.0859401118065484,1.10239063821267,1.102876685634807,1.099479121041524,1.114143153144939,1.1311779048279653,1.1318071965708352,1.1284384596177632,1.1435026521428993,1.1608898161407373,1.1614242820800253,1.157740526805388,1.1729772382316173,1.19060247235377,1.190925982538346,1.1870396888819763,1.2025765951145253,1.2205559548220986,1.2207825534823475,1.2166940938943818,1.2325175632584218,1.2509658376820612,1.2510772747615275,1.2467634828437535,1.2628681520573848
Augusta - GA,1,1.001699943618834,1.0039084424567324,1.0156895153028707,1.0280207079773305,1.0302495490239918,1.0330333998530081,1.045789529532633,1.0596129405787518,1.0633699900587297,1.0673556937891249,1.0810579317743896,1.095065205092011,1.0979265127928555,1.100880045026699,1.11384839871121,1.1272514693089373,1.1295069117055274,1.1320408858836322,1.145000437650886,1.158584045351396,1.16070110204894,1.1629916543154641,1.175979665615164,1.1894777969192336,1.1911863468571595,1.1931941619816857,1.2061782613181697,1.2196805979826988,1.221146703999838,1.2228054742057375,1.2358146101068528,1.2494675573554999,1.2507107792679706,1.2522773249408707,1.265374480014518,1.2791685513364515,1.280372653616686,1.2817892732990424,1.2951436399546474
Austin - TX,1,0.9969283186130331,0.9960351257790578,1.01400687338819,1.0333852744383492,1.0345699606910577,1.0347950596915572,1.053477572075134,1.074364488757494,1.0755978746896175,1.075006040482742,1.0931786155479752,1.1132781163527694,1.1127691185780801,1.1104167361537491,1.127648671430464,1.1470116483056343,1.145563028581384,1.142442021152572,1.1597870931443184,1.1795723948920716,1.1780141617414983,1.1748271513709736,1.1927049446146807,1.21297246714298,1.2112687613166038,1.207779687661234,1.225832236024638,1.2464551409401599,1.2444512509162469,1.240613684860459,1.259044242954084,1.280112883038242,1.2779109841891971,1.2739606728948991,1.2927780880881672,1.3143036595695095,1.3118972533850557,1.3077020343782098,1.3270219488358965
Bakersfield - CA,1,1.0093466505417918,1.0166722112054325,1.0277570394835631,1.0386464315618158,1.046497814947678,1.0525795468412111,1.0627058322100678,1.0731776255706176,1.0806913254460218,1.0865207397985486,1.0962540427951668,1.10609381148592,1.1128873074254522,1.1179376144440276,1.1272401313950189,1.1368663532888705,1.1435829231488244,1.148637362196819,1.1581791851919354,1.1680750439841363,1.1749802805489744,1.1801759119213076,1.1899804264887368,1.2001489992224788,1.2071240407098087,1.2123649485746941,1.2223412500672535,1.2326951487161344,1.2398901548332963,1.2451544482263766,1.2552778323830838,1.2657893635584545,1.2730541745981154,1.2784638802604709,1.2888890783956737,1.2997124459187681,1.3071990678141616,1.3127144479309787,1.3232163963147239
Baltimore - MD,1,0.9995582422692426,1.0004123072153763,1.0185349425433128,1.0358395158278892,1.0345994236717324,1.0343637490928832,1.0507024441109551,1.0674538690790711,1.0657062839508769,1.0653149725574758,1.0829680201221732,1.1006516454947066,1.0987251731450756,1.0977635222252768,1.1152907357696942,1.1329268739475682,1.1304792402048869,1.129254436952648,1.1471645776528376,1.1650758456454822,1.1624444632326534,1.1609561553690841,1.179023412455171,1.1969532103175442,1.1936540480367526,1.1915403746838327,1.2094906751777248,1.2274020840819289,1.2236577821930095,1.2212450945164297,1.2394119760732205,1.2576541044013754,1.2536997033811728,1.2511086216736065,1.2697200791922978,1.2882812312851868,1.2841034854473619,1.2813204821993505,1.3002622364073189
Baton Rouge - LA,1,1.0024627563498867,1.0018777861659907,1.013801347868366,1.0272114474418261,1.030124884810536,1.0300423165107149,1.0428367012905062,1.0576777105280852,1.0620536247689247,1.0630673742931052,1.0767181866808546,1.0918027878266148,1.095399598695441,1.0953496258514617,1.1083145969443307,1.1228899069456222,1.125873573640332,1.1252749277604448,1.138170800599916,1.1528860551293005,1.1557353298341326,1.1547918096359522,1.1677078361326645,1.1823418590843897,1.1847863126231126,1.1834463000661504,1.1963269548379092,1.2109844218398942,1.2132625048816015,1.211546153623098,1.224523669339356,1.2394357305011814,1.2415476486954238,1.2396387066205328,1.252653239258254,1.2676181523579417,1.269603596070523,1.267393788683967,1.280580450006487
Beaumont - TX,1,1.003466086525089,1.0090633920856433,1.0218710254888792,1.0333076301315043,1.035922491816934,1.040735384790944,1.0525682710446902,1.0640938438937448,1.0669394489274855,1.072033825826892,1.0840744958917952,1.0954510613447839,1.0975094986475136,1.1018018989144436,1.113303479047184,1.1242639028894237,1.125792548872532,1.1298460551554714,1.1414019345935666,1.1524672835205538,1.1539665412961169,1.158054601682457,1.1697172429682714,1.1809252854186165,1.1822022948746167,1.1861416922579413,1.1978703422130497,1.2090799918309996,1.2102260171275903,1.2141090488472217,1.225897623194283,1.2372050804404608,1.2381960140636354,1.2419969654379808,1.2540782738836351,1.2656705441881027,1.2665210802416338,1.2702476427156295,1.2824455856099801
Birmingham - AL,1,1.0001851732922333,0.9978405855485041,1.0112483774226797,1.0273595242126525,1.0278853657634766,1.0259185198591767,1.0401655758665584,1.0578797414774592,1.059960046161958,1.0591724515075636,1.074527336170778,1.0927111004723253,1.0939772459681285,1.0920879529350425,1.1067801838304676,1.124466714541214,1.1250358572560102,1.122528865820883,1.1372041654746683,1.1551731754640988,1.1555786495096751,1.1526957650488554,1.1674843288708787,1.1855301132836313,1.1855035487493302,1.1821768516842732,1.1969878931891629,1.215130691670413,1.2148600837220727,1.2110416022014487,1.2259403164001437,1.2443668591379078,1.2438046251481523,1.239771097397458,1.254801077371884,1.2734371198984924,1.272766973569748,1.2684020216291787,1.2836848998624133
Boise - ID,1,1.0035401582222088,1.0068721253408983,1.0206253948582633,1.0361593917757905,1.0385740144762148,1.0405799854000952,1.0534459227587543,1.0686459196059481,1.070350024798007,1.0718489704279217,1.0842694227824003,1.0988518946527248,1.0995904539187507,1.100111121148883,1.1121474014233677,1.12665794997472,1.1271878634060246,1.1276704090034337,1.1400182559421272,1.1549033514296128,1.1555058702767085,1.1560556403039772,1.1687706826909916,1.1841380206217555,1.1847421310280684,1.1853092566296795,1.1983526149469526,1.214062971783624,1.2146867872088356,1.215133181675427,1.2284340694320013,1.2444675127900715,1.2451068648647978,1.2456983943744324,1.2594036897496341,1.275904369421209,1.2765488751162628,1.277210054288846,1.291199101936188
Boston - MA,1,0.9979443557167232,0.995158064133208,1.0141109959130443,1.0333484428038326,1.0295136131561233,1.0256305285618317,1.043213167829555,1.0616991692915072,1.0568480263480247,1.0522382403435047,1.0697561012502224,1.0881855449553606,1.0826899888495742,1.0775517824078429,1.0951774976415087,1.1138550391810438,1.108174519481025,1.1028815190624301,1.120917771269253,1.1400360193993107,1.1342369585868997,1.1288424337065834,1.147340848280858,1.166958004879093,1.160949729690093,1.1553467302875666,1.1742123592509255,1.1942010871584627,1.1880945757494166,1.182406082063334,1.2017540960804505,1.2222453495220047,1.2160237496543254,1.210237019748193,1.2300777767803446,1.2510808450386532,1.2446105718942821,1.2385835537277332,1.258791771767093
Brownsville-Harlingen - TX,1,1.006590165995374,1.0128569117515203,1.0234330343653149,1.0355458498284782,1.0414426533733379,1.0469912121973077,1.0565618475796021,1.0688238651973234,1.075093546496291,1.0810059849974667,1.0907143356276325,1.1028953067371,1.108556820143442,1.1137286084282623,1.1229492760536601,1.1348146124939864,1.1400706380944803,1.1450482976563887,1.1542920667274432,1.166370931999743,1.1717767979162748,1.1768902582416159,1.1862836123641205,1.1985789420112256,1.203891636351337,1.208896226327801,1.2182895804503056,1.2306588091970527,1.2359831180761445,1.2409968975779535,1.2505249037732251,1.2631031942215778,1.268450604546326,1.2734767643808889,1.2832623325504204,1.296173488027928,1.3015382563450053,1.3065674793546833,1.3164810627175556
Buffalo - NY,1,1.0063283228880038,1.0120450079565675,1.0254784810642423,1.038360897968729,1.0435620935187293,1.0482439790878753,1.060449901277435,1.0723791128413502,1.0769234617681769,1.0811139631165272,1.0931849866019967,1.104819840643056,1.1083620459266808,1.1114888214183098,1.1226565784631057,1.1336205775192696,1.1366004471396285,1.139382744281717,1.1506290936935568,1.161661497217333,1.1645976134481704,1.1672171770895183,1.1784024900681618,1.1893467500691715,1.1920275320705023,1.1943844844113287,1.2055922653467488,1.216696529946869,1.2192274042851352,1.2215547935249342,1.2329161206589305,1.2440239328311762,1.2464966815646474,1.2487819547559016,1.2601770293067596,1.2714387515311403,1.2738743872023963,1.2760958950588095,1.2876164990848145
Canton - OH,1,1.0070812878950481,1.0149122669418273,1.0249956352505454,1.0367378634140132,1.0423818766165356,1.048875055173112,1.057410834449552,1.067989150680329,1.072697532491401,1.0783693474581568,1.086179475181765,1.0960763931266433,1.0998348600710393,1.1045658786396924,1.1116472940657613,1.1209046439021277,1.1241059277824939,1.128514165317712,1.1353671726715335,1.144607688412112,1.1477800227489896,1.1520751402618103,1.1589165422920358,1.1680268488523975,1.1708317662958185,1.1748741173099235,1.1814492345523944,1.1905137574734797,1.1932735289327752,1.1971813347116855,1.203730563155344,1.2128036306553496,1.215407941790757,1.2191662812041373,1.2256725316911439,1.2347472570945186,1.2372987703840834,1.2411475292967513,1.2476022572481962
Charleston - SC,1,0.9994070823607744,0.9946395529023675,1.0107936613600734,1.0279136191766785,1.027996897154188,1.0237928415840603,1.0411105509087493,1.0598431099500418,1.0614173062821861,1.058265881652693,1.0766756374656286,1.0958759950488652,1.09661929816204,1.0923288652722005,1.1103669695285487,1.1292975495859379,1.1294263070414574,1.1245883012363853,1.1427916139076633,1.1621329915612335,1.162102402401207,1.1567718033165506,1.1751863428968041,1.1946434742440295,1.1941687358706194,1.188361377102422,1.2069323660870228,1.2265644081378198,1.2258380840297685,1.2195136741293673,1.2383287026241103,1.2583492404826118,1.2573862883349056,1.250878343474357,1.2700434628842663,1.290442929015831,1.2894089615054296,1.28247142086446,1.3019995675743863
Charlotte - NC,1,0.9976469921806064,0.9921277163360438,1.0041896611450885,1.0173394588668028,1.0153917664109304,1.0130612969806116,1.027302628885216,1.0434661848660245,1.0440001193032045,1.0435712888870776,1.0592085734830008,1.0760522629181233,1.076294400344744,1.0751709367773392,1.090668859000816,1.1074328376665732,1.1073854319215575,1.106073923061299,1.122019232307909,1.1394165397066671,1.1395145816991403,1.1382926253714778,1.154682466778602,1.172479079303801,1.1722782622571473,1.1706497885185403,1.1870837300402826,1.205060950189933,1.2045025240366283,1.20259344735404,1.21924263049145,1.2374701770157561,1.2366553391227408,1.2344514603110626,1.2514345872465935,1.2699088540033037,1.2689448119746172,1.2664257713557039,1.2835973192238992
Chattanooga - TN,1,1.0027414886542572,1.0022186260388788,1.01428757051988,1.0286705227227917,1.0322906628100725,1.0325974694375641,1.0457893528927216,1.0617768725868997,1.0669974834731826,1.0682258677439915,1.0821858809994573,1.0983845584625112,1.1027161871265718,1.1030062507508727,1.116449279253791,1.132228936344612,1.1360545344550037,1.135892180759245,1.1493411761835053,1.1654084032598624,1.1691683652354352,1.1686508461317113,1.182126113821607,1.1981646640520824,1.2015564580746754,1.2006681883206667,1.2141580616090841,1.230269639832176,1.233555632324006,1.2323719554340418,1.24608607809489,1.2626154298708174,1.265794017778399,1.264456893045426,1.2782813592219306,1.2949806346684734,1.2981064999277248,1.2964722759467784,1.310520724320129
Chicago - IL,1,1.0039752553144294,1.0087255044056458,1.0306499509616875,1.0493763457912506,1.0483207709901188,1.0484127381315225,1.0667992120073337,1.0830620573471954,1.079789781963131,1.0781744749911077,1.0956177494633081,1.1109553988611671,1.106395778480726,1.1036618520947357,1.1206527002267626,1.13568760549411,1.13062700792217,1.1275532905713177,1.1447339224863204,1.160022046116159,1.154657144546998,1.1514274405252067,1.1687567797331713,1.1841713825553601,1.1785168657338225,1.175042522616442,1.1926608271323185,1.2081761713461578,1.2023058729631548,1.1986625442855903,1.2165299075193992,1.232394271909462,1.2264527396133968,1.2227805534017087,1.2410523120799295,1.257254777579255,1.2512083442469808,1.247353783619189,1.265878110715436
