Market,EffRent_5YrGrowth,EffRent_5YrRank,EffRent_10YrGrowth,EffRent_10YrRank
Akron - OH,1.244183720857279,54,1.3777297459805329,100
Albany - NY,1.2273008164383534,75,1.367789253214667,105
Albuquerque - NM,1.3329810998833973,2,1.5925723787734267,9
Anchorage - AK,1.330637843492206,3,1.3418413556262405,116
Asheville - NC,1.2303962269019526,73,1.403297572582501,79
Atlanta - GA,1.1865798073978546,110,1.4276809916422,68
Augusta - GA,1.2229214205788008,77,1.4346482905447289,63
Austin - TX,1.0823011603897064,147,1.2221777135471545,145
Bakersfield - CA,1.2729139563713971,30,1.509163129124678,28
Baltimore - MD,1.2277340640580292,74,1.3514810240263524,112
Baton Rouge - LA,1.157362955492242,128,1.223795062705255,143
Beaumont - TX,1.1822708504301942,114,1.3470371317808731,115
Birmingham - AL,1.1816058634425133,116,1.3973302349702301,88
Boise - ID,1.1642056976213702,125,1.412409154887872,74
Boston - MA,1.2085656938873295,89,1.3521209924946485,111
Brownsville-Harlingen - TX,1.2585581307682405,43,1.3714895327181396,102
Buffalo - NY,1.2061315898564446,94,1.3297188647774012,119
Canton - OH,1.2186692993236607,80,1.350297751539923,113
Charleston - SC,1.281754844464141,26,1.4307862096723871,65
Charlotte - NC,1.2040829431569708,95,1.4060822820018275,77
Chattanooga - TN,1.1914414375815894,104,1.3854216330855766,96
Chicago - IL,1.2145863857505474,83,1.3294525814194322,120
Cincinnati - OH,1.2548979133915006,45,1.4511141731393495,56
Cleveland - OH,1.2085082394762394,90,1.3488184084974562,114
Colorado Springs - CO,1.120357918154675,142,1.4442925547969554,57
Columbia - SC,1.269998319671984,34,1.5003742595802783,33
Columbus - OH,1.231444128627265,72,1.4395388754571545,59
Corpus Christi - TX,1.1412157790677078,136,1.2306684218111668,142
Dallas-Fort Worth - TX,1.1820824618930579,115,1.367022067269362,106
Dayton - OH,1.2694544970093415,36,1.4753478230177408,46
Daytona Beach - FL,1.1922960712576904,102,1.4016181010874373,82
Denver - CO,1.1475111217741378,135,1.2910040089374561,132
Des Moines - IA,1.1380815127877095,139,1.2098524419505496,147
Detroit - MI,1.2134423909111425,85,1.4353526201021038,61
Durham - NC,1.1885949350393,106,1.427702963176459,67
East Bay - CA,1.0587288908310013,150,1.179842595885711,148
El Paso - TX,1.2679490159992497,37,1.4017732095354536,81
Fayetteville - NC,1.3246996728264093,4,1.6216085038488406,4
Flint - MI,1.270098192213049,33,1.5458541003864341,18
Fort Lauderdale - FL,1.309361925244226,10,1.4860844232464185,39
Fort Myers - FL,1.2110480541970807,88,1.3982888901222146,87
Fort Wayne - IN,1.2891087773385843,18,1.4781436005580857,42
Fresno - CA,1.278136258269798,28,1.6289991265507326,2
Grand Rapids - MI,1.2880191928798248,21,1.5462355722660366,17
Greensboro - NC,1.2953173025613913,13,1.5690136382837487,13
Greenville - SC,1.2522791872760035,49,1.3991631884527382,83
Gulfport-Biloxi-Pascagoula - MS,1.323295156194933,6,1.4989571292998065,34
Harrisburg - PA,1.2182907589384904,81,1.398522118299583,86
Hartford - CT,1.2518046611298332,50,1.3969648818413014,89
Honolulu - HI,1.1666253836259683,124,1.2708652160308749,136
Houston - TX,1.1509328672452324,133,1.2225798175085199,144
Huntsville - AL,1.0593858818788306,149,1.3018324946527,129
Indianapolis - IN,1.2879377324624424,22,1.517874576793441,22
Inland Empire - CA,1.2786073159758302,27,1.6273418645725837,3
Jackson - MS,1.2639291363679412,39,1.426982208724186,69
Jacksonville - FL,1.1730870263112174,121,1.4045349968427872,78
Kansas City - MO,1.2373405613244952,62,1.4113449086147674,75
Killeen - TX,1.207285858669577,92,1.3852277781037698,97
Knoxville - TN,1.323840756492544,5,1.5563164380983572,14
Lafayette - LA,1.2260585942939664,76,1.2661942868411347,137
Lakeland - FL,1.179573111043065,118,1.3932076168143537,91
Lancaster - PA,1.2638859522499906,40,1.4851785988038744,40
Lansing - MI,1.256104732201975,44,1.4516942227502467,55
Las Vegas - NV,1.2414467190952123,57,1.6022349501554065,7
Lehigh Valley - PA,1.2840938001596187,24,1.5117491263853473,26
Lexington - KY,1.3044000733954089,12,1.5127746447348274,24
Little Rock - AR,1.221631579305636,78,1.3795925324227096,99
Long Island - NY,1.1874879232431153,108,1.3890406120248635,95
Los Angeles - CA,1.1179535922078592,143,1.2823810720547228,134
Louisville - KY,1.233026283058218,70,1.3967206819806968,90
Madison - WI,1.2009124577968018,99,1.3289356660767602,121
Manchester - NH,1.291058931918336,16,1.5727492218623877,12
McAllen - TX,1.1019261514095298,144,1.1517464707456644,149
Melbourne - FL,1.2361771253739469,66,1.5125062522692658,25
Memphis - TN,1.234349656047688,68,1.4827163546354036,41
Miami - FL,1.2934511243813134,14,1.420874927308268,70
Milwaukee - WI,1.1809327002099528,117,1.2880898641275915,133
Minneapolis - MN,1.0949854289125904,146,1.2544011778762398,138
Mobile - AL,1.3134800780161604,7,1.5295281884201397,19
Modesto - CA,1.2327558767432634,71,1.708054951049301,1
Montgomery - AL,1.2871297464433327,23,1.4432709286478975,58
Myrtle Beach - SC,1.098851182653863,145,1.254241474967392,139
Naples - FL,1.3104648691026761,9,1.4591432782211156,50
Nashville - TN,1.1601023674670137,126,1.321618509064829,123
New Haven - CT,1.206226920469168,93,1.3178413152065236,126
New Orleans - LA,1.1824597009847906,113,1.2815340432163578,135
New York - NY,1.1411449241271452,137,1.233399855315152,141
Norfolk - VA,1.2885226951321516,20,1.4876407030902423,38
Northern New Jersey - NJ,1.1978548043355113,100,1.3364957849243482,118
Northwest Arkansas - AR,1.2412318789308452,58,1.3765647414672963,101
Ocala - FL,1.2010913151276619,97,1.4971399155561251,36
Ogden - UT,1.1728451875012131,122,1.4204689054184505,71
Oklahoma City - OK,1.2143663887364977,84,1.3387861973832431,117
Omaha - NE,1.2365934311608686,65,1.391809299986153,93
Orange County - CA,1.2905862896347073,17,1.4982845577719672,35
Orlando - FL,1.2372520056044647,63,1.4681169539537005,49
Palm Beach - FL,1.3459840511465087,1,1.5478411111139037,16
Pensacola - FL,1.1585325626586365,127,1.390642106612999,94
Philadelphia - PA,1.2009733400632947,98,1.3684469402931139,104
Phoenix - AZ,1.1761152530390278,120,1.5084495974714909,29
Pittsburgh - PA,1.1782677987045576,119,1.3019924879536104,128
Port St. Lucie - FL,1.2163535266956238,82,1.4922391669542425,37
