Market,1,3,5,10,Geography Name,1 Year Growth,3 Year Growth,5 Year Growth,10 Year Growth
Akron - OH,1.0019918535325174,1.002224365260006,1.0008258904890925,1.001643868034551,,146,146,146,145
Albany - NY,1.0039818401335234,1.0089076414529872,1.0114229844008267,1.0223063207401573,,115,117,119,121
Albuquerque - NM,1.0056019973508836,1.014242366146314,1.0200113429623612,1.0354614181031205,,77,86,89,100
Anchorage - AK,1.0036580191266598,1.008013901277231,1.0109515132280116,1.0232708446874705,,123,123,122,118
Asheville - NC,1.0062607162756811,1.0178533245587547,1.0276966805234773,1.0572324612915696,,61,61,59,58
Atlanta - GA,1.0075887907938883,1.0236076262222928,1.037426406203698,1.0749654888582405,,34,32,31,34
Augusta - GA,1.003763362513499,1.0104869453795247,1.0148774933369744,1.0278768033143075,,121,113,112,111
Austin - TX,1.0141817574740963,1.0464233395173304,1.0706001897839021,1.138939739636144,,1,1,1,2
Bakersfield - CA,1.006517843451567,1.0185724333636546,1.028514012731949,1.0588030932445232,,54,57,56,53
Baltimore - MD,1.0044773849504613,1.011260434790495,1.016549860264848,1.0303636183521159,,100,106,105,108
Baton Rouge - LA,1.0060271121901434,1.014135309576896,1.0199484024468517,1.0367167649126678,,66,87,90,97
Beaumont - TX,1.0037862617466975,1.0079952352577528,1.0100967910380267,1.022629641222576,,119,124,125,119
Birmingham - AL,1.0044306550281854,1.0110223903516005,1.0159475007232068,1.0313999015815805,,103,108,106,107
Boise - ID,1.01083095991434,1.0331414501449374,1.052987734588653,1.1061665133289282,,4,7,5,5
Boston - MA,1.0058345965790767,1.0158039520538502,1.023610690411217,1.0453699192680246,,70,75,77,79
Brownsville-Harlingen - TX,1.0067069102423747,1.021081845590517,1.0325932108390699,1.0634759282421047,,49,44,42,48
Buffalo - NY,1.0040917946700723,1.0088845358715286,1.0113923104467712,1.0209760289074847,,113,118,120,123
Canton - OH,1.0016585394103312,1.0006091596546647,0.9972276539661885,0.9919090893461306,,147,148,148,148
Charleston - SC,1.0073042383512463,1.0229000555285472,1.0370348539811602,1.0764314708522167,,39,34,32,32
Charlotte - NC,1.0097004659228213,1.0289919456087149,1.0439797377583482,1.086970829210993,,12,15,16,18
Chattanooga - TN,1.0053280570602305,1.0155761591212888,1.0231249157088058,1.0484032046871878,,84,77,78,73
Chicago - IL,1.0036111409281874,1.0081070734308755,1.010912636242494,1.0168346178116114,,124,122,123,128
Cincinnati - OH,1.0047977781221318,1.0119344198647597,1.0174959259328635,1.033476315919428,,96,103,101,102
Cleveland - OH,1.0023980193175837,1.0033477758092852,1.0024860455290097,1.0026009428997131,,142,144,143,144
Colorado Springs - CO,1.0091894342110685,1.029674337283436,1.0475943042874214,1.0937833897002984,,16,14,13,13
Columbia - SC,1.0056290442808464,1.0165082957526232,1.0259041643516496,1.0510923301472035,,76,70,68,70
Columbus - OH,1.0059697453475984,1.0169842020880067,1.0264047410755923,1.0531081821678643,,67,66,66,66
Corpus Christi - TX,1.0023847093418476,1.0063298269222312,1.0092350581439762,1.0190572273143585,,143,133,129,126
Dallas-Fort Worth - TX,1.0100814408290695,1.0325269430627586,1.0521275724925814,1.1045004872547777,,11,8,6,6
Dayton - OH,1.0026038826999104,1.0048192196308252,1.0054427313808678,1.008130060683828,,138,137,137,140
Daytona Beach - FL,1.0072639903461376,1.020145869982766,1.0301252131483292,1.0615310670807598,,41,50,50,51
Denver - CO,1.0087288871287703,1.0268283936650218,1.0419407964241687,1.0819111185701504,,18,17,19,25
Des Moines - IA,1.0067713279661659,1.0191319573512085,1.0295693938005026,1.0574956879755841,,48,55,54,57
Detroit - MI,1.0041281323439517,1.0085711258253167,1.0104105459198887,1.016332824603004,,112,119,124,129
Durham - NC,1.0061518060964147,1.0194078532973216,1.0317371625466008,1.06528774127546,,63,54,48,44
East Bay - CA,1.0060579835569017,1.016699277525111,1.0254200478365576,1.0528517600421055,,65,68,70,67
El Paso - TX,1.0065263856083384,1.021686059289058,1.0347287888283696,1.070483942785341,,53,38,38,38
Fayetteville - NC,1.0039168576901514,1.0111025548897015,1.015478942820925,1.0293914781526259,,117,107,109,110
Flint - MI,1.0025427844077872,1.0048044542327692,1.0052349007188097,1.0090744746541795,,140,138,139,138
Fort Lauderdale - FL,1.0076275800666101,1.0212301813779088,1.0322137858921816,1.0632906751462103,,33,42,46,49
Fort Myers - FL,1.0101749291918578,1.031414615147114,1.0497424245527036,1.101753230079992,,10,11,10,10
Fort Wayne - IN,1.0048786861740033,1.0122117168214109,1.0172380637007892,1.0357964455015647,,94,100,103,99
Fresno - CA,1.007680834683204,1.0225745867667226,1.0351624685229324,1.0719127709794865,,31,35,36,36
Grand Rapids - MI,1.006202943063605,1.017651860188701,1.0274527458425808,1.0522055095665346,,62,62,62,69
