Market,2025 Q2 EST,2025 Q3,2025 Q4,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2
Akron - OH,,1.0009351075134412,1.0017912696124838,1.0019918535325174,1.002315180089856,1.0024511723072,1.002566830099623,1.0026278333743857,1.002762997492977,1.0028412068195955,1.002720580434658,1.002224365260006,1.0016923578170545,1.0011971547630998,1.0009203857578424,1.0007925825170503,1.0008082243823742,1.0008185296112933,1.000840888277609,1.0008258904890925,1.000880913050643,1.0009206617907598,1.000943296489993,1.0009377758316436,1.000973936143833,1.0010328231662282,1.001092906331266,1.0011462726953115,1.0012057117835416,1.001262758586487,1.0013067398313384,1.001353757438282,1.0014008670561982,1.0014503689593992,1.0014915898750758,1.0015345589992297,1.001574031706429,1.0016040272834617,1.0016211413243452,1.001643868034551,1.001659785932792
Albany - NY,,1.0014875131398513,1.0030149110472086,1.0039818401335234,1.00505267782295,1.0058361239657614,1.0065384342112147,1.0071461401304784,1.007853265176577,1.0084555707113334,1.008867431361113,1.0089076414529872,1.0088670409718714,1.0088836975795086,1.009065358706552,1.0093823547706475,1.0099178386802345,1.0104083627621756,1.01092491279355,1.0114229844008267,1.011922227175828,1.012431945395476,1.0129134905248627,1.0134060966827585,1.0139333173534004,1.0145077751222633,1.0150875682107603,1.0156493383292746,1.0162133857183644,1.0167982538670006,1.017366270213379,1.0179260883856858,1.0184847353902682,1.0190465055087825,1.0195967591446728,1.0201479236887931,1.020700259400638,1.0212417943434682,1.0217717477388004,1.0223063207401573,1.0228364693301102
Albuquerque - NM,,1.0021531983843373,1.0042022801609842,1.0056019973508836,1.007116526565196,1.0083844791313867,1.0095800375503712,1.010604032754168,1.0117676504388577,1.012846359611196,1.0137271671951924,1.014242366146314,1.0146635618429731,1.0151263750795336,1.0157799596266208,1.0165557047497473,1.0174626324330873,1.01831193583041,1.0191614575015433,1.0200113429623612,1.0208257225499766,1.021651306859873,1.0224595020228526,1.0232010509156404,1.023960716534714,1.024750722213471,1.0255337431302864,1.0263169095629758,1.0271050235353736,1.0278833879442282,1.0286470552498308,1.0294004636863319,1.030151762142663,1.0309121553411056,1.0316663641149124,1.032426029733986,1.033190861166579,1.0339519819443903,1.0347068455396293,1.0354614181031205,1.0362173730674127
Anchorage - AK,,1.0015554626784917,1.0029575580778,1.0036580191266598,1.0045714344139915,1.005198983149797,1.0057632574070319,1.0061832155687735,1.0068740387831487,1.0075134043421043,1.0079215456806956,1.008013901277231,1.008105083572177,1.0082059037016073,1.008516409586511,1.0089219529001543,1.0094786006970584,1.0099704654847776,1.010454284775884,1.0109515132280116,1.011579061963817,1.0121894302120633,1.012763426111039,1.0133522558943948,1.01393530297706,1.01456343836366,1.0151909032922088,1.0158233128488843,1.016456811899893,1.0170875453114407,1.0177108198771705,1.0183453246152556,1.0189862825120823,1.019621373900962,1.0202462408045632,1.020863062211551,1.0214777046298733,1.0220853910459153,1.0226764836251936,1.0232708446874705,1.023853305119341
Asheville - NC,,1.002367503986028,1.0046320278550829,1.0062607162756811,1.0079776945660182,1.0095038480286505,1.0110133080285169,1.0125104519625205,1.0141163630805894,1.015613507014593,1.016904171362476,1.0178533245587547,1.0187882326668067,1.019732711693511,1.0209070411542083,1.0221672121101055,1.0235480953500915,1.0249412204627724,1.0263315262350752,1.0276966805234773,1.0291834374139823,1.0306867393809174,1.0321796543043538,1.0336815466010998,1.0351093941163334,1.0365685511483989,1.0380495951649797,1.0394783329982276,1.0409440932222316,1.0424160856723348,1.043910484459128,1.0453776543533213,1.046862037062455,1.0483682325629362,1.0498378508316684,1.0513288367327407,1.0527979356492978,1.054288031232356,1.0557471882644214,1.0572324612915696,1.0586982215155736
Atlanta - GA,,1.0027602547506334,1.005388735346889,1.0075887907938883,1.0099062971176154,1.0119949492940057,1.014042223112741,1.0161000006684195,1.0182227104161103,1.0202734854804933,1.0220896770864798,1.0236076262222928,1.0250501394291505,1.0265053844383636,1.0281754786123227,1.0299451991397122,1.0317951300219401,1.033674980639703,1.035557377617937,1.037426406203698,1.039319625213934,1.041194064815696,1.0430805996296955,1.0449929163434646,1.0468574887984012,1.04871856000769,1.0505831324626267,1.0524241510832058,1.0542880869480247,1.056142155666018,1.0580076830061313,1.059893581230013,1.0617794794538948,1.0636621947271878,1.0655375892141263,1.0674215776676548,1.0693084307767131,1.0711921009351828,1.073070996667769,1.0749654888582405,1.076865392064713
Augusta - GA,,1.001503158819707,1.002947478013062,1.003763362513499,1.004814730444241,1.0057117536650935,1.0066376345370867,1.0074347178405683,1.008417751852808,1.009343570262353,1.0100903088324589,1.0104869453795247,1.0107595315041538,1.011035802913236,1.011500710916356,1.012074366042065,1.0128063634743587,1.013508691243683,1.0142054598551034,1.0148774933369744,1.0156114271051673,1.0163913332353505,1.017137259793628,1.01778568247002,1.0184033736218208,1.0190681614596824,1.0197429432892813,1.020424908300441,1.0211001273671785,1.0217737224102585,1.0224301402800404,1.023076189383395,1.0236965664204751,1.024331809520264,1.0249318237991798,1.0255430188563512,1.0261438451470957,1.0267455459121169,1.0273040226628753,1.0278768033143075,1.0284261605476057
Austin - TX,,1.00485444962307,1.0097081765351645,1.0141817574740963,1.0186950875166856,1.0229966632434258,1.0272382539591913,1.0314075735773975,1.0356245921199931,1.0397729531199071,1.0437167869137278,1.0464233395173304,1.0489969133014232,1.0516239676977102,1.0545018028025286,1.0575523658305142,1.0607445802097162,1.0640076202645268,1.067301014180312,1.0706001897839021,1.0739347782252964,1.0772881571520563,1.0806357543910112,1.083974679098259,1.0873258898920921,1.090696613882266,1.094094078178537,1.0974922651857837,1.1009077972564445,1.1043269428819835,1.10774319766362,1.1111804110635486,1.1146262969951846,1.1180916961231615,1.1215440864535777,1.1250203262461886,1.1284980114607506,1.1319814783631175,1.135446154780119,1.138939739636144,1.1424311563592422
Bakersfield - CA,,1.0023609685475376,1.0047146751671217,1.006517843451567,1.0083566899037837,1.0100063052478796,1.0116268728801616,1.0131565085450265,1.014708456220415,1.0161832590669644,1.0175267157383554,1.0185724333636546,1.0195551090346908,1.0204981072153148,1.0215826603683649,1.0228256077470668,1.0242745202417822,1.025678913960783,1.0271047777276459,1.028514012731949,1.0299556632987108,1.0313736336656245,1.0327880256912276,1.034233570335298,1.0357409992349718,1.0372586369319132,1.0387856414634615,1.040328011813578,1.0418608048384226,1.043402543716543,1.0449346000240591,1.046470339918218,1.0480010280364094,1.049527295850629,1.0510758756753724,1.0526156148921724,1.0541705094368754,1.0557087752190182,1.0572616701024005,1.0588030932445232,1.0603448321226436
Baltimore - MD,,1.0017908144543213,1.0034804726578141,1.0044773849504613,1.0056033586665791,1.0065207412171957,1.007436030879864,1.0082836504988748,1.0092617267999884,1.010147018402066,1.0108481358647046,1.011260434790495,1.0116155281123687,1.012041081995164,1.0126494147587668,1.0133644848077263,1.014185594512727,1.014966939346712,1.0157629343963344,1.016549860264848,1.0173263216936208,1.0180923186826527,1.0188457583439954,1.0196152434796075,1.0202758984419147,1.020963063318232,1.021644647160021,1.0223213475965973,1.0230085124729145,1.0236796318749626,1.0243605180874353,1.025027451713587,1.0257041521501633,1.0263759691815273,1.027043600436995,1.0277084411751984,1.0283711890254537,1.0290360297636572,1.0296980799845963,1.0303636183521159,1.0310270638316872
