Market,2025 Q2 EST,2025 Q3,2025 Q4,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2
Akron - OH,222.257189432428,225.51293764468,228.91663047817,232.333631451654,236.224974711405,239.425401562001,242.309095948852,244.874929257873,247.811037348049,250.636066607526,253.359868796623,256.024891415682,258.576642837126,261.054735111471,264.021985981499,267.075913160258,269.8563556218,272.588247218084,275.330690502729,278.073684225635,280.826538933783,283.512703241891,285.355084356068,287.202130806329,288.62538030026,290.020053475496,291.411443381478,292.800149690252,294.190677237054,295.579509312675,296.923942629382,298.295646548471,299.673760293321,301.049816656741,302.45547171227,303.861787527853,305.271416407363,306.678406106808,308.089671495259,309.475428306586,310.866341203702
Albany - NY,211.643847508089,214.77314384224,218.021625338996,221.386163503141,225.251988740165,228.506383713829,231.412475162235,234.034143819744,237.08817819849,240.074151759334,242.950000268104,245.803253282419,248.515222975583,251.168477839842,254.401675171951,257.7255841008,260.76323962322,263.766974570027,266.795320252525,269.862443624478,272.935013552067,275.937526040589,278.026279939521,280.10664673664,281.727276516934,283.343785718265,284.935283250458,286.560673028548,288.18939156345,289.791929022716,291.393513832504,293.003748937358,294.611883161602,296.214149663324,297.876623655589,299.521168961218,301.169755286115,302.823821244129,304.494813427401,306.129757332219,307.770324000315
Albuquerque - NM,240.96055040351,244.244399340958,247.770491567029,251.523514878158,255.81255464081,259.52182979135,262.786275328255,265.796693481001,269.386913460404,272.872839345602,276.367574019889,279.798060625249,283.174674173192,286.439581230089,290.451815771256,294.588149094143,298.344926969413,302.084786853466,305.855806502605,309.676774052263,313.610439516866,317.301066097165,319.933367804775,322.549328943398,324.595741478167,326.592526524902,328.590543673402,330.587038722712,332.599166185896,334.610946668791,336.62464470934,338.6379332682,340.660679275315,342.676958654539,344.76365692611,346.858358301307,348.946461858291,351.113955517792,353.18516651408,355.263170422573,357.349148718919
Anchorage - AK,176.483063410473,179.051949334859,181.661112899373,184.217290295506,187.044388247771,189.508747042845,191.822378348092,193.927847123538,196.215961232616,198.392678197286,200.611468740412,202.673258978895,204.735707140488,206.738264975676,208.938554148133,211.169735900609,213.190189502304,215.175359597437,217.275922617226,219.259345158075,221.359964504996,223.407450891474,225.014602267601,226.622803425852,228.085782910586,229.522277399024,230.957870880355,232.41003451307,233.868045276215,235.326340201099,236.770453255965,238.230889351152,239.691227499787,241.139485307304,242.630739465493,244.130034521805,245.487373450101,246.994672042676,248.507044687927,250.009507239662,251.516323341587
Asheville - NC,320.258750106693,324.19606610666,328.464856221607,332.930766048681,338.556364328341,343.320875888612,347.957930051478,352.536595016961,358.030143747006,363.587163510806,369.123837249763,374.503029545763,379.848443668131,384.927002591175,390.801435406115,396.78563368227,402.370853313344,407.925823115918,413.50642034188,418.908187064229,424.513906313189,429.802927261316,433.743024959379,437.64936747639,440.762734753684,443.825636488618,446.873776748137,449.911290952779,452.916462285379,455.910427096836,458.864285216099,461.840882224787,464.850934236436,467.813181313712,470.85203723281,473.859491606383,476.868437110116,479.875509921812,483.087939363702,486.072647306584,489.016141967912
Atlanta - GA,294.878852673531,296.919718911729,299.287860102006,301.921097033256,305.789133257185,309.181159518374,312.017318356366,314.646775457722,318.197467263777,321.746659930875,325.257999174254,328.809567823311,332.222209139551,335.563257406698,340.410791587645,345.418346222228,350.041851199854,354.711812805396,359.440644720881,364.290325203592,369.19191936703,374.024230515273,377.377525388499,380.698519736122,383.312664124529,385.917972338472,388.48665868832,391.093930154929,393.676085777292,396.253224156237,398.828655808608,401.437563101311,403.96259401803,406.541363213309,409.219806166185,411.910181881938,414.608964391497,417.283526181973,420.031740276724,422.719869993561,425.422118836979
Augusta - GA,256.761636826729,259.758523571586,263.03013314691,266.46116575606,270.744666807049,274.482153297191,278.17256116283,281.798697593664,286.043803510526,290.312144994822,294.565390676863,298.771205079808,302.876303745878,306.833203985485,311.314010045587,315.842454650782,320.042534130423,324.208583133597,328.374834416442,332.491389566795,336.658875977515,340.67279467159,343.7204576253,346.73997644656,349.242271428485,351.706363962482,354.163242291209,356.606473490652,359.023307231547,361.432768318001,363.795529283323,366.178944184957,368.571106457805,370.924331563111,373.340142831107,375.730363907969,378.125393837578,380.514813278762,382.933141276699,385.295746111613,387.625434661051
Austin - TX,255.102357064152,257.061045762061,260.77958074849,265.166559555426,270.447818552768,275.391019400522,279.830592222135,283.76216828089,288.42058499108,292.940753182455,297.329101275311,301.678424829953,305.883791424383,309.967109890371,315.152624003147,320.514737206266,325.406950132017,330.312799809373,335.270115565091,340.3431259877,345.487344764581,350.576952969365,354.136184409016,357.730451463091,360.536383851177,363.336341842996,366.117369558584,368.911854365481,371.721906675277,374.475365616887,377.258116773817,380.080984005686,382.919974954048,385.75498667029,388.701767522785,391.632923356227,394.577124650631,397.537913872236,400.510600687466,403.494096575977,406.456012080477
Bakersfield - CA,240.272400312586,244.187460517976,248.193363164718,252.152259774718,256.600989142786,260.384679299585,263.868940334488,267.075786782274,270.654578699253,274.100634564674,277.51256372356,280.822242552312,284.029273235085,287.156567043162,290.685217947398,294.269919828936,297.5772996426,300.861270885422,304.193130465732,307.49921441207,310.851998831234,314.139875848993,316.681671274979,319.23062756557,321.449577375125,323.645749788727,325.842920656579,328.071217839892,330.309748598064,332.550797271885,334.770672836348,337.006279880497,339.252918234368,341.498721658457,343.807720816443,346.13027790133,348.40367094411,350.743084565553,353.091971149179,355.426543761179,357.758728079655
Baltimore - MD,214.681451475625,217.370279716345,220.296183824592,223.374943183457,226.931364001683,230.01273104396,232.720501096624,234.930428477288,237.777760175723,240.607225416628,243.455527612908,246.377302711403,249.257985442004,252.113444995293,255.813473944183,259.68617440779,263.298004792375,266.877178439668,270.494288262241,274.218467479226,277.917092357716,281.549698887137,284.033737026703,286.50154648007,288.355151695389,290.177497449122,291.932219528186,293.734247950996,295.510143033344,297.28347457858,299.056900586766,300.832664047971,302.620471244998,304.359216267072,306.223015237743,308.095077989556,309.945634228866,311.807261753456,313.674934924683,315.55288695611,317.411055724301
