Market,2025 Q2 EST,2025 Q3,2025 Q4,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2
Akron - OH,,1.014648561968079,1.0299627699906941,1.0453368552214575,1.062845144918129,1.0772447999248753,1.0902193830833098,1.1017638164290806,1.114974224144907,1.127684855763579,1.139940037231736,1.1519307522491653,1.163411827070458,1.1745614878786115,1.1879120160554741,1.2016525262570013,1.2141625488512866,1.2264541269246905,1.2387931801253913,1.2511347099085706,1.2635206071440115,1.2756064447943822,1.2838958554491369,1.2922062568133301,1.298609871911521,1.3048849138068928,1.3111451833150924,1.3173933785357748,1.323649768038193,1.3298985291206469,1.335947527221182,1.342119223725542,1.3483197599078327,0,1.36083549191206,1.367162917446299,1.3735052494226447,1.3798357069571703,1.3861854020651436,1.392420326635484,1.3986784499414968
Albany - NY,,1.0147856711687846,1.030134482556424,1.046031652276968,1.064297362726577,1.0796741148126006,1.093405161014144,1.1057923326157602,1.1202223971543916,1.1343308798530436,1.1479190306196756,1.161400419509121,1.174214256174325,1.1867506700389312,1.2020272649892543,1.2177324648709655,1.2320851406429552,1.2462775444485616,1.2605862319826147,1.275078140951694,1.2895957844540482,1.303782412243487,1.3136516048683855,1.3234811691180126,1.3311385132807436,1.3387763880423484,1.3462960846975143,1.3539759194634549,1.361671482335131,1.369243341749588,1.3768106999725895,1.3844189301376193,1.3920172338122987,0,1.4074428676420854,1.415213210720762,1.423002647287464,1.4308179746758531,1.438713277104657,1.446438254343863,1.4541897986831487
Albuquerque - NM,,1.0136281600118728,1.028261643460372,1.0438369038291098,1.0616366629825047,1.077030365994589,1.0905780007897385,1.1030714074810197,1.117971024756092,1.1324378156036414,1.1469411634273192,1.1611778781078566,1.1751910165335804,1.1887405666629673,1.2053915683910434,1.2225575871271408,1.238148429150779,1.2536690605478698,1.2693190067437266,1.2851762395698445,1.3015011751579137,1.316817485541994,1.3277416874630221,1.3385980750926252,1.3470908035966982,1.355377575200561,1.363669460096882,1.3719550281949242,1.380305471700363,1.388654475217852,1.3970114367087554,1.4053666988273412,1.4137612098945167,0,1.430788800692779,1.4394819306332993,1.4481476792526782,1.457142901316503,1.465738544847444,1.4743623793506988,1.4830193080174572
Anchorage - AK,,1.0145559912364575,1.0293402062998909,1.0438241876334862,1.0598432769309651,1.073806989637732,1.086916640278065,1.0988467866318201,1.1118118500484506,1.1241457076017234,1.1367179652464439,1.1484006173867662,1.1600869974945052,1.1714340230758233,1.1839014470310583,1.196543916565297,1.2079923443217653,1.2192408463409974,1.2311431953777625,1.2423817952893919,1.2542844634906756,1.2658860661992362,1.2749926135645717,1.2841051092747724,1.2923947403388667,1.3005343003662044,1.3086687550475131,1.3168971006159345,1.3251585775813128,1.3334216646827204,1.3416043935347646,1.3498796130768813,1.3581542776277706,0,1.3748103346391405,1.383305739395487,1.3909967829555088,1.3995375378780888,1.408107043733353,1.4166203963616475,1.425158417363812
Asheville - NC,,1.012294171505557,1.025623362709622,1.0395680553232858,1.0571338463525264,1.072010915468308,1.0864900020235422,1.1007867697588738,1.117940239346246,1.1352918956614872,1.1525800220190419,1.1693764164788587,1.1860673394297139,1.2019250136426811,1.2202677843335146,1.238953294953166,1.2563930046541918,1.2737382600163742,1.2911635363721425,1.308030418918051,1.325534138167228,1.3420489748309101,1.354351832119744,1.3665492896933769,1.3762707017586422,1.3858345364201887,1.3953522787410575,1.404836841469258,1.4142204143820944,1.423568995210751,1.4327923438882781,1.4420866941837698,1.451485506895823,0,1.4702238020848686,1.4796145037364896,1.4890098614050329,1.4983993716391613,1.5084301028551539,1.517749779341394,1.5269407683786878
Atlanta - GA,,1.0069210328909461,1.0149519281850852,1.0238818223005013,1.036999196397895,1.0485023144765062,1.0581203620654664,1.0670374379341359,1.0790786262861065,1.0911147307232985,1.1030224657525938,1.1150666276748766,1.1266396560060004,1.137969896329629,1.154408966602036,1.1713907019458285,1.1870700391912998,1.2029069212301493,1.218943445628596,1.2353897944892929,1.2520121942273463,1.2683996397984028,1.279771411096423,1.2910336441033445,1.2998987911449373,1.3087339727468794,1.3174449614344672,1.3262868008643554,1.3350434668610918,1.3437831182656579,1.3525169817795069,1.3613643686607606,1.3699273120316593,0,1.387755691722133,1.39687935620794,1.4060315300077577,1.4151015659436241,1.424421373280889,1.4335374210831135,1.4427013499946577
Augusta - GA,,1.0116718633745097,1.024413679542054,1.0377763946717498,1.0544591869452686,1.0690154366106508,1.083388330907665,1.0975109096372944,1.1140441658095426,1.1306679166823272,1.147232874495364,1.1636131034693022,1.1796010786076607,1.1950118708448096,1.212463099601097,1.2300998644276544,1.2464577578090374,1.2626831139590506,1.2789092579201773,1.294941852201896,1.3111728065696326,1.3268056664613295,1.3386752860484903,1.3504352937294573,1.3601808889548594,1.3697776985267653,1.3793464112016458,1.3888619729095335,1.3982747254171286,1.4076587639216036,1.4168609212007164,1.4261435185976257,1.4354601840559562,0,1.4540339726960416,1.4633430778505432,1.4726709118650352,1.4819768949188685,1.4913954670538052,1.5005970162576234,1.509670367628296
Austin - TX,,1.0076780501773899,1.0222546892536564,1.039451624857951,1.0601541344628072,1.0795314577641002,1.0969345616503436,1.112346320694837,1.1306072915608116,1.1483263289048622,1.1655286321033091,1.1825779593016001,1.1990629759154312,1.2150695644588727,1.2353967545815105,1.2564162122800941,1.2755936631749158,1.29482457006976,1.3142572237416794,1.3341433999455836,1.3543087125521909,1.3742599519815628,1.3882121219286085,1.402301631313938,1.4133008726395693,1.4242766943608671,1.4351783094913328,1.4461326763543338,1.4571480677530473,1.467941613423492,1.4788499844356429,1.4899156102666073,1.5010444409878698,0,1.523709039760209,1.5351991563831022,1.5467404111495706,1.5583466905100565,1.5699996083797354,1.5816948977641476,1.593305592148109
Bakersfield - CA,,1.016294256853041,1.0329665947558984,1.0494432962199434,1.0679586536321153,1.083706155849917,1.0982074511729343,1.1115541628369208,1.1264488902892753,1.1407911778801005,1.15499143206846,1.168766126225784,1.1821136046652583,1.1951292227887238,1.2098152662112946,1.2247345905984255,1.2384997163863278,1.252167417040043,1.2660344262178567,1.2797941586799992,1.2937482558413969,1.3074322121072082,1.3180110194220693,1.3286196298462165,1.337854772154148,1.3469951162417124,1.3561396158388093,1.3654136613821761,1.37473029847932,1.3840574149975113,1.3932964102444687,1.402600879010921,1.4119512594580643,0,1.4309080875254967,1.4405744373928364,1.450036169326352,1.4597726751355897,1.4695486068721113,1.4792649646766816,1.488971382540081
Baltimore - MD,,1.0125247347744213,1.0261537841782502,1.040494843164497,1.0570608799309746,1.0714140856741678,1.0840270526261424,1.0943210364122307,1.107584090480776,1.1207639214417489,1.1340314961516367,1.1476413123626412,1.161059717682712,1.1743606318215993,1.191595604491374,1.2096348921754652,1.22645903026359,1.2431310511703397,1.259979781219958,1.27732724739082,1.2945556798104227,1.311476594516617,1.3230474038366202,1.334542618893181,1.3431768311298609,1.3516654347852162,1.3598390430173335,1.3682330072393174,1.3765052406816631,1.3847655330033655,1.3930262653395606,1.401297885682162,1.4096256065203547,0,1.42640648799839,1.435126676626449,1.4437466865369006,1.4524182672058124,1.4611180088853541,1.4698656301563993,1.478521099715687
Baton Rouge - LA,,1.0103659503381888,1.021769423416113,1.033711322272337,1.0486786659933858,1.061905975474511,1.0752213713525485,1.0882617326373487,1.1033787688925312,1.1185768839316412,1.1336759828199359,1.1488468178826654,1.1632987814258835,1.1774473354234707,1.1932612389360604,1.209222941985614,1.2238858842626992,1.2383752700995647,1.252871483545219,1.267427475927698,1.2817902859006882,1.2958907433206717,1.3066635618002422,1.317316109903711,1.3263706061949363,1.335272878725301,1.3441425222727243,1.352979718140173,1.361716211466266,1.3704278844941669,1.3789965366077526,1.3876386772042475,1.3963103684224139,0,1.4134938803295138,1.422100288269421,1.430720317885148,1.4393396603544948,1.4476585526652088,1.4561681618239917,1.4645592337465225
Beaumont - TX,,1.0123375159398798,1.0256089325351592,1.0398633132344917,1.0562213172330726,1.0701326411265963,1.0828051509264072,1.0943616467872344,1.1079233747929207,1.1213834666591922,1.1344697780525193,1.1475486541137088,1.1600386076542404,1.1723959572966378,1.186988171643733,1.2020272305313253,1.2158753357396728,1.2296056184655961,1.243382315497712,1.2572802335353204,1.2711257141513879,1.2848112168017387,1.2946665944697842,1.3044554025743826,1.3124250062864438,1.3202494877321034,1.328047855065622,1.3358350485087476,1.3436553198470738,1.3513887582822535,1.3591318812803241,1.366858519258348,1.3746190593964067,0,1.3903904810691852,1.398437035554263,1.4065195659430116,1.4143319278243274,1.42227983241211,1.4302577353279844,1.438269305168171
Birmingham - AL,,1.0111394588302542,1.0232860051655026,1.0361598156139107,1.052099718711667,1.065970889629936,1.079708170589427,1.0931798999898032,1.109024931284412,1.1249700218374326,1.140870345015398,1.156649394717311,1.1719742900743546,1.1867948142102311,1.2035076244163925,1.2204399939391,1.2360905656610495,1.251593276486538,1.2671257067972639,1.2825479349414681,1.2980617583502914,1.3130671368949596,1.3244414027815203,1.3356816447125524,1.34502445122012,1.3542186529418756,1.3633208244353758,1.3723912201844801,1.3813569666988341,1.3902936334956588,1.3991072263996807,1.4079774411766899,1.4168791226239132,0,1.434643364741201,1.4435055781186028,1.4523817474173235,1.461271267951985,1.4701604166319844,1.4788695577902295,1.4874563787256951
Boise - ID,,1.018077019446188,1.0366918817985586,1.0552527075121814,1.076601241456897,1.0940083337352284,1.1096092175460004,1.1240444337874609,1.1407053580312578,1.156892130818238,1.1721763643971166,1.187840613197736,1.202425283511937,1.2167331786824027,1.2335920380672711,1.250768490685842,1.2669180202375625,1.283057447442092,1.2985908796703722,1.3149719949832832,1.3307075286745476,1.3462142401438717,1.3575978435260334,1.369024094565273,1.3781116257475619,1.3871400240832046,1.396166746582091,1.4053028623590462,1.4144797108458627,1.4236634629226452,1.4327594949801512,1.4419575460126122,1.4512390289763843,0,1.4701671172452624,1.4798261315042658,1.4903364704255453,1.5000644659250608,1.5098312813864285,1.5195240358687483,1.529251525651014
Boston - MA,,1.015447171728577,1.0305634270658137,1.0461966243840621,1.0636123311162673,1.0774972515642978,1.0897634008281398,1.1002605391408278,1.1129557443881903,1.1253304061550156,1.1374097386850397,1.149558091175165,1.1613628816124089,1.1727672715669155,1.1875598185187224,1.2029668073188242,1.2172670382322344,1.2312429489816152,1.245342930723311,1.2600695829148665,1.2744980576251825,1.2887207384742265,1.2986192183924938,1.3085885682302596,1.3162486588890674,1.3238016452495363,1.3313705239555076,1.3390734111754874,1.3468185342561092,1.3545849366566065,1.3623645737318946,1.3702709622073994,1.3782264553616952,0,1.3944386784960503,1.402744982498198,1.4111035964672034,1.4193971946716546,1.427733678253008,1.4361201564168309,1.4445413092032644
Brownsville-Harlingen - TX,,1.0119776679727364,1.0248651892328164,1.0387382915460397,1.0546554665861876,1.0680987401441517,1.0808173673547077,1.092442633208861,1.1057746827504937,1.1192288424943388,1.1320839369030018,1.1452400896957127,1.1575637197153807,1.170051131408498,1.1842406849295692,1.1988409252069214,1.2125270272675277,1.2260822589246352,1.2397004923258053,1.2534555716770808,1.2668159077178505,1.2806968508017396,1.291043032295993,1.3013261753813579,1.3101335873716924,1.3188052817210993,1.327489207751058,1.336170625814101,1.344886742740696,1.3535966448794372,1.362320746733788,1.3710440524883345,1.3798103471455228,0,1.397624847464912,1.4067191469049023,1.4158587226638049,1.424433045353032,1.433512492373682,1.4426261873984354,1.451780872820273
Buffalo - NY,,1.015341125191482,1.031262841476789,1.047760494069639,1.066817455547943,1.082813756144885,1.09686262600282,1.10956107160285,1.124452458322565,1.1390895655491928,1.153012542297859,1.1670709246796214,1.1802979994313025,1.1934690503224121,1.2096232703957004,1.226249035712961,1.2415913104207275,1.256585161900609,1.271957024781954,1.2872893779259444,1.3029304906558508,1.3180218057291233,1.3282617352641986,1.3384731202654303,1.346263597975823,1.3540293519932907,1.3616872094501293,1.3694541167098289,1.3772362560387217,1.384904486300054,1.392567112773621,1.399998857707872,1.407726683803894,0,1.4234034225833159,1.4313080700127059,1.4392306807021684,1.44717675038368,1.4554866234494883,1.463357967563667,1.471256658526423
Canton - OH,,1.0136848135043812,1.0279901076776707,1.0423300721451871,1.058189164904948,1.0717433895971027,1.0838761838726056,1.0948883170659425,1.1072598096220936,1.1188385846508906,1.1302723360409717,1.1417645620020003,1.1524018318533547,1.1626941610215016,1.1747587784961182,1.187120023208555,1.1982178949146824,1.2094795158936131,1.2203835603483748,1.2316319213937228,1.242513145605729,1.2534355373682884,1.2613994109104607,1.269287659940044,1.2756985279965383,1.2819890350157181,1.2882567967436225,1.2945240140015193,1.3007880213020027,1.3070406204070526,1.3135682504527497,1.3196909950297127,1.3258382455991964,0,1.3382421424610536,1.3445233678496493,1.3504299395368982,1.3567380969708176,1.363061117034369,1.3692406554357104,1.3753916067542387
Charleston - SC,,1.0127851415868767,1.026732535828069,1.0414710864527277,1.060061902911961,1.0757773713019452,1.0909722313411732,1.1059346124290754,1.123834707286061,1.1418680196761588,1.1599793285972926,1.1775455956743381,1.1951669314733961,1.2118336389148454,1.231038556488674,1.2505307685600617,1.2687873996260164,1.286966425371246,1.3052508100138656,1.322899668842149,1.3413338302644755,1.3586918287714458,1.3716962779303719,1.3846003956949287,1.3949102361073382,1.405068281735248,1.415186741325246,1.4252746623045804,1.4352598829665686,1.445212051631524,1.455035645972348,1.464968823652422,1.4749371910860434,0,1.494805500401276,1.5047678169852725,1.5147479823632692,1.5247235255519846,1.535423327428848,1.545294874545187,1.5550382889898886
Charlotte - NC,,1.0066790171212756,1.013789105553439,1.023956881772427,1.0374722258888145,1.0496821300780452,1.0617801912060305,1.0737198347388996,1.0885614343333037,1.1037609471452334,1.1193206375999314,1.1351439993006482,1.1506289793446374,1.1658932502460826,1.1839926322355534,1.2026554284172128,1.2201089190797654,1.2374660464585505,1.2551236509670751,1.2728848459655504,1.2908976824974825,1.3085254344832586,1.3219124255625851,1.335061811511869,1.3461392954431153,1.3570861759602195,1.3679066254750603,1.3787279894990505,1.3895475099249741,1.4002626228668775,1.4109718996241303,1.4216659849014053,1.4323901846313296,0,1.4538750270267684,1.4647963442765743,1.4756202393252058,1.4864615458180777,1.4972013764466943,1.507951956188828,1.5186108415361914
Chattanooga - TN,,1.0122195607988183,1.0255808373798434,1.0397364272719203,1.0574265608557658,1.0726777166745183,1.0876087113534132,1.1022959036263538,1.1196260884030196,1.1370261144596996,1.1543597395701157,1.1712909839899586,1.1880654226842573,1.204098259292921,1.22242302230747,1.2410152359684576,1.2583502265927626,1.2755807967534882,1.292882689031465,1.3097941778182736,1.3271558968862465,1.3437109351185776,1.3562336180497914,1.3686540539460315,1.378795438200426,1.388785640897929,1.3987898938352508,1.4087630390773007,1.418637833446089,1.428483839103588,1.4382063557186244,1.447995379181675,1.4578295349955284,0,1.4774541794569473,1.4872812366348473,1.4971225992409352,1.5069705358579104,1.5172132368226947,1.5269540734474831,1.5365748875024385
