Market,2025 Q2 EST,2025 Q3,2025 Q4,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2
Akron - OH,0.054619633292589655,0.05462941055633591,0.05464118513017069,0.0546562582217049,0.05467189197763876,0.05468939985631564,0.05479319298954663,0.05484093357271095,0.05489813690354902,0.05496479260447041,0.05503648755899623,0.05511145529293607,0.05519075864622652,0.0552700383319698,0.05535207558127756,0.05543516721568074,0.05551721021080207,0.05560004677212392,0.05568083880573216,0.055762518480049844,0.055844421226078925,0.05592535629173802,0.05600656095437319,0.056085412545166344,0.05616319341670603,0.05624142326341397,0.05631980367723549,0.05639846787660185,0.056477345563310646,0.056556391551880865,0.0566357552232389,0.05671537122540576,0.05679532299395077,0.05687555019919568,0.056956090211546996,0.057036856500172206,0.057118021056490303,0.0571994819224276,0.05728137046990043,0.057363647065833974,0.05744634487616762
Albany - NY,0.06553666678919516,0.06550973004812234,0.06561669879796374,0.06556377873930823,0.06560000621075647,0.06564417279928343,0.06568691906683498,0.06582870612552681,0.0659212291476004,0.06603327029629989,0.06616014906648057,0.06629996418180814,0.06644887842003169,0.06660365702921542,0.06676388367935361,0.06692836124686909,0.06745627992344462,0.06762211324767346,0.06778918100524721,0.06795677927631906,0.06812471661744926,0.06829143162015319,0.06845799222270174,0.0686232868173609,0.06878718485625382,0.06895030060810695,0.06911483743862724,0.06927950436567507,0.0694432444738572,0.06960818144441601,0.0697722291512781,0.06993640931562876,0.07010094999422752,0.0702657333427738,0.07043058728693209,0.0705946998325779,0.07076010253450848,0.07092589734053978,0.07109070589301356,0.07125711286365922,0.0714238763069322
Albuquerque - NM,0.06088700285208945,0.0613456877630491,0.061296137489280526,0.06160654421553466,0.06191293359279163,0.061868902466466966,0.06197819540831093,0.06223825333085155,0.06230069617344701,0.062385384813753025,0.06248707248234269,0.06260318629708077,0.06273081233019928,0.0628658494559475,0.06300962823976877,0.06315929524519497,0.06331333495416126,0.06346896153462057,0.06362976366059167,0.06379231244329453,0.06395724371050322,0.0641222204795483,0.06428693116604978,0.0644510657926416,0.06461444178210937,0.06477774178186173,0.06494291368042969,0.06510770533365173,0.06527207239387986,0.06543701534531746,0.06560165615694198,0.06576606853077806,0.06593120836907314,0.06609585537138164,0.06626016596699669,0.0664240867674364,0.06658869740299898,0.06675291532225484,0.06691585914373425,0.06708070546652876,0.06724405596242837
Anchorage - AK,0.032375808056117075,0.032334335045219285,0.03229784195062162,0.0322437886019848,0.03219083192211311,0.032138863403143654,0.03209076379032393,0.03204119792784232,0.03199594234834906,0.03195385801279227,0.03191304744663415,0.03187510179127494,0.03183722875823361,0.03179938707009778,0.03176593724484482,0.03172981260345141,0.03169529679664173,0.03166030919915266,0.0316275140100079,0.03159424646713059,0.03156110920040741,0.031527233522570156,0.031496010931039216,0.03146415839477082,0.0314315626123949,0.03140170294656688,0.031369830744685856,0.03133810556898875,0.031306414605364735,0.03127492790598216,0.031243818652247297,0.031215255745943624,0.031184422393143795,0.031153726280508796,0.031123033092134073,0.031092485563664427,0.031062094427118717,0.031034246720845204,0.031004341235474728,0.030974645969512937,0.03094514612993839
Asheville - NC,0.04690159545468121,0.04808431604424604,0.048601706535625656,0.04938435505076574,0.04972461309710791,0.050003293690808574,0.0501704447748814,0.05086880492523356,0.05097510806259316,0.05111759699309141,0.0512893538102984,0.051482615947142214,0.05169315194924531,0.051916866203042374,0.052149166263410034,0.05239034298077539,0.052635969965436416,0.05288432940877889,0.053136597096458155,0.05339160362503383,0.05364599052564297,0.05390087833906685,0.05415397857555453,0.05440759030609787,0.054660002643417645,0.054910001387751435,0.05516121857281663,0.05541186752184429,0.05565988300299009,0.0559092139980453,0.056156046816563526,0.05640233270757281,0.056650057137175615,0.05689530802462031,0.05714019449604277,0.057384569601923,0.0576284919252342,0.057871989353223144,0.058115249561829896,0.058356202752176144,0.0585987794936651
Atlanta - GA,0.08389393013729564,0.08405921664267417,0.08410977628798548,0.08419081366423437,0.08425559796400497,0.08427218673625528,0.08432145326227525,0.08421907055053457,0.0842048511287465,0.08418976794324588,0.08420328980069758,0.08428189784867908,0.08433719336231832,0.0844065815878967,0.08448518888753047,0.08460855984447568,0.08469464652161626,0.08478203507269709,0.08486780742374259,0.08495230761132315,0.08503657977280872,0.08511817998513696,0.08519521731439901,0.08526888692279486,0.08533892593320239,0.08540978425273148,0.08547989513342205,0.08554951369918691,0.08561802255112343,0.08568591120170807,0.08575211533895989,0.08581738798918785,0.08588193669697808,0.08594584981361865,0.08600830671035314,0.08606991918904053,0.08613108587382398,0.0861921188297733,0.08625165731719402,0.086311001984988,0.0863706099431936
Augusta - GA,0.04977680329118444,0.0497248262589153,0.049668277396840245,0.050101604418162304,0.05004252646763532,0.049974146188053646,0.049947954526543194,0.04995232587871261,0.04997960064244272,0.05002425618757649,0.050082286607775243,0.05015267934275364,0.05022917528850523,0.050313246315440395,0.05040238241491653,0.05049438829890253,0.05058888588614184,0.050686016395898884,0.05078231979229073,0.050879803691243876,0.050977283025314055,0.05107568108892871,0.05117339765888523,0.051270560797723276,0.05136742229668855,0.051464585191690344,0.051561922966431896,0.051661032950753666,0.051758778212610525,0.05185666881520208,0.05195487484709097,0.052051883819619095,0.05215078297455624,0.05224991420523629,0.052347854409714,0.05244762110285591,0.05254777990462449,0.05264680857025132,0.052747814687463715,0.052847738282257695,0.05294969090504697
Austin - TX,0.12728874664614367,0.12771234980913995,0.1279852504448426,0.128161325422169,0.1283111486326953,0.12840823632272738,0.12857180892538597,0.12878548976509946,0.12910539658997733,0.12940313359270947,0.1293438909719347,0.12939414964403825,0.12953063506666504,0.12973445898499136,0.1299852906732312,0.13026826633333588,0.13056905591199403,0.13088603833820775,0.13120946555152035,0.13153228128325853,0.13185286460932222,0.1321697467973641,0.1324818976949661,0.13278137631762138,0.1330704346326838,0.13335498283006955,0.13363513322047016,0.13390899236224316,0.13417577039992368,0.1344369759322936,0.13469157128437426,0.1349401920190151,0.13518162664856773,0.1354163313914191,0.1356451643047086,0.13586823818941127,0.136084892713457,0.136296765940441,0.13650430993802498,0.13670710904370106,0.13690587538387192
Bakersfield - CA,0.028642223360793754,0.028614337664268203,0.02882785710308748,0.02879134940164314,0.028753059429850233,0.02876156286728453,0.02872067927056545,0.028731956600525445,0.02870320662542937,0.028681608250046606,0.02866564974331431,0.02865279729260149,0.028644024411602246,0.028638175685994017,0.028633261240010966,0.028629978423245647,0.02862600982571705,0.028623722027405683,0.028621838278701527,0.028619587264102152,0.02861717846391785,0.028615307912026162,0.028612794220345284,0.028609849134591744,0.02860640072589418,0.028604340803994235,0.028602203663055163,0.028599069920624994,0.028597232864603025,0.028595448077169395,0.02859371532651363,0.02859113295709946,0.028589662175414195,0.028588309606557498,0.02858703178688546,0.028585917902377286,0.028584874145776082,0.02858402666364471,0.028583294782378043,0.028582831927945022,0.02858251291942956
Baltimore - MD,0.07560766941155746,0.07561747226652192,0.07569944887818733,0.07580087857777815,0.07588718779015216,0.0759026310315958,0.07594301313590184,0.0761327035658472,0.07622162336586344,0.07632602288312926,0.07644266634517789,0.0765696698747426,0.07670426662675804,0.07684564155257971,0.07699282006640734,0.07714391833929607,0.0772970478519589,0.07745283863494559,0.07760862561585409,0.07776608729463969,0.07792514985405939,0.07808460581679699,0.07824362010579669,0.0784014707381509,0.0785571532553344,0.07871380333607389,0.07887273154754128,0.0790320630492811,0.07919083361471457,0.07935000139288363,0.07950900823966897,0.07966809396106816,0.07982680358607155,0.07998561517085241,0.08014574881588507,0.08030521726004769,0.08046489628139748,0.08062399039320799,0.0807848370374898,0.08094540427152241,0.08110604262979176
Baton Rouge - LA,0.05178623601853453,0.05174135369469183,0.05188439957796072,0.05184059478587151,0.05219389236329339,0.0521528060058154,0.05226339221547889,0.05228477417832868,0.05232834264580713,0.05238668079222741,0.05245825844222645,0.05254073408026169,0.05262882140693678,0.05272262535800576,0.05282050808825565,0.052922537279071806,0.05302441124137222,0.053127802642167286,0.05323045503576486,0.05333347136884642,0.05343659979427565,0.05353964863743892,0.0536414788550866,0.05374166256814201,0.053840391315780174,0.05393895099528792,0.05403729922002186,0.05413555602504519,0.05423346600288057,0.05433108691742589,0.054428566146960955,0.05452584560601125,0.054621874494391716,0.05471877105845394,0.054814282410654856,0.054910718159643095,0.05500584835890557,0.055100741555528514,0.05519663132694453,0.05529133596659186,0.05538590217503021
