Market,2025 Q2 EST,2025 Q3,2025 Q4,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2
Akron - OH,38114,38112,38110,38108,38105,38105,38164,38183,38207,38237,38270,38305,38343,38381,38421,38462,38503,38545,38586,38628,38670,38712,38755,38797,38839,38881,38923,38965,39007,39049,39091,39133,39175,39217,39259,39301,39343,39385,39427,39469,39511
Albany - NY,58947,58945,59086,59083,59149,59216,59279,59428,59529,59646,59775,59915,60063,60216,60374,60536,61028,61193,61360,61528,61696,61864,62033,62202,62371,62539,62708,62877,63045,63214,63382,63550,63718,63886,64054,64221,64389,64557,64724,64892,65060
Albuquerque - NM,56446,56916,56914,57244,57568,57565,57699,57972,58059,58166,58287,58421,58566,58718,58877,59042,59212,59384,59560,59738,59918,60099,60282,60466,60651,60836,61023,61210,61397,61585,61773,61961,62150,62339,62528,62717,62907,63097,63286,63477,63667
Anchorage - AK,13071,13070,13070,13069,13068,13067,13067,13066,13066,13067,13068,13070,13072,13074,13077,13079,13082,13085,13088,13091,13094,13097,13100,13103,13106,13110,13113,13116,13119,13122,13125,13129,13132,13135,13138,13141,13144,13148,13151,13154,13157
Asheville - NC,22918,23544,23842,24272,24486,24670,24799,25191,25290,25407,25539,25682,25834,25993,26157,26326,26498,26672,26847,27024,27201,27379,27557,27736,27915,28093,28272,28451,28629,28808,28986,29164,29343,29521,29699,29877,30055,30233,30411,30588,30766
Atlanta - GA,539804,542410,544199,546181,548060,549635,551415,552190,553512,554820,556318,558250,560037,561925,563892,566174,568234,570319,572418,574526,576639,578754,580869,582985,585101,587219,589339,591457,593571,595681,597787,599888,601986,604079,606169,608255,610339,612420,614497,616573,618651
Augusta - GA,31488,31487,31486,31796,31794,31791,31814,31856,31912,31979,32054,32137,32224,32316,32411,32508,32607,32708,32809,32911,33013,33116,33219,33322,33425,33528,33631,33735,33838,33941,34044,34146,34249,34352,34454,34557,34660,34762,34865,34967,35070
Austin - TX,325494,328080,330290,332274,334215,336031,338032,340187,342623,345007,346448,348184,350159,352320,354626,357042,359539,362094,364687,367306,369938,372577,375220,377863,380502,383135,385762,388380,390989,393591,396183,398765,401336,403896,406445,408985,411515,414037,416550,419055,421554
Bakersfield - CA,26180,26179,26406,26405,26403,26446,26444,26489,26496,26510,26529,26551,26577,26606,26636,26668,26700,26734,26769,26804,26839,26875,26911,26947,26983,27020,27057,27093,27130,27167,27204,27240,27277,27314,27351,27388,27425,27462,27499,27536,27573
Baltimore - MD,215456,215645,216046,216503,216917,217132,217407,218102,218495,218927,219389,219878,220389,220920,221469,222032,222608,223196,223792,224397,225007,225625,226248,226877,227510,228147,228787,229430,230074,230721,231367,232015,232664,233315,233967,234619,235273,235927,236583,237239,237897
Baton Rouge - LA,44500,44499,44657,44653,44990,44986,45111,45158,45222,45298,45384,45479,45579,45684,45792,45904,46017,46132,46248,46365,46482,46600,46718,46836,46954,47072,47190,47308,47426,47544,47662,47780,47897,48015,48132,48250,48367,48484,48602,48719,48836
Beaumont - TX,18644,18643,18642,18642,18641,18640,18641,18645,18651,18658,18667,18676,18686,18697,18708,18720,18732,18744,18757,18769,18782,18795,18808,18821,18834,18848,18861,18874,18888,18901,18914,18928,18941,18955,18968,18982,18995,19009,19022,19036,19049
Birmingham - AL,67066,67220,67716,67710,68452,68447,68751,68817,68907,69014,69135,69268,69408,69556,69709,69865,70025,70186,70349,70513,70678,70843,71009,71175,71341,71507,71673,71839,72004,72170,72336,72501,72666,72831,72997,73162,73326,73491,73656,73821,73986
Boise - ID,42615,42614,42612,42874,42871,42891,43189,43267,43773,43922,44122,44360,44629,44922,45234,45560,45898,46245,46598,46956,47319,47685,48053,48424,48796,49169,49544,49919,50295,50672,51049,51426,51804,52182,52560,52938,53316,53695,54074,54453,54832
Boston - MA,287472,289146,290811,293480,295098,296881,298436,300114,301846,302931,303920,305106,306451,307925,309501,311158,312879,314650,316458,318294,320152,322026,323910,325800,327694,329589,331483,333377,335266,337152,339035,340914,342788,344657,346522,348382,350240,352093,353944,355791,357634
Brownsville-Harlingen - TX,10951,10950,10950,10949,10949,10948,10950,10953,10958,10964,10971,10978,10987,10995,11004,11014,11024,11034,11044,11054,11064,11075,11085,11096,11107,11117,11128,11139,11150,11160,11171,11182,11193,11204,11215,11226,11237,11247,11258,11269,11280
Buffalo - NY,48016,48164,48162,48257,48277,48570,48674,49036,49529,49637,49757,49887,50023,50165,50311,50460,50612,50765,50919,51074,51230,51385,51541,51697,51853,52009,52165,52321,52477,52632,52788,52943,53099,53254,53409,53564,53719,53874,54029,54184,54339
Canton - OH,13111,13110,13109,13108,13108,13107,13107,13107,13108,13109,13110,13112,13114,13115,13117,13119,13121,13123,13124,13126,13128,13130,13132,13134,13136,13138,13140,13141,13143,13145,13147,13149,13151,13153,13154,13156,13158,13160,13162,13164,13165
Charleston - SC,75931,76105,76450,76466,76765,76831,77427,77613,77862,78159,78493,78856,79242,79645,80063,80491,80926,81368,81813,82261,82711,83163,83615,84068,84522,84975,85429,85882,86335,86788,87240,87693,88145,88597,89048,89500,89951,90403,90854,91305,91757
Charlotte - NC,240995,244382,247209,250098,252346,254413,256503,258626,260740,261948,263360,264939,266654,268477,270386,272362,274385,276443,278523,280617,282717,284820,286921,289018,291109,293192,295266,297330,299384,301427,303456,305474,307479,309475,311465,313444,315413,317373,319325,321269,323204
Chattanooga - TN,30344,30502,30501,30498,30556,30554,30586,30646,30726,30821,31328,31444,31568,31697,31831,31968,32108,32249,32392,32536,32680,32825,32970,33115,33261,33406,33552,33697,33842,33988,34133,34278,34423,34568,34713,34857,35002,35147,35292,35436,35581
Chicago - IL,575161,576508,577830,578832,580216,581267,582938,584929,586497,588341,590069,591865,593707,595584,597486,599401,601326,603256,605188,607119,609050,610979,612906,614832,616754,618675,620594,622510,624423,626334,628242,630148,632053,633955,635855,637755,639653,641550,643446,645341,647236
