Market,2025 Q2 EST,2025 Q3,2025 Q4,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2
Akron - OH,697807.6875,697646.1875,697459.25,697230.3125,696976.0625,696752.9375,696509.875,696250.0,695961.6875,695663.5,695356.875,695046.0625,694735.875,694426.875,694120.3125,693819.5,693532.6875,693254.8125,692985.25,692723.375,692459.5,692208.375,691972.5,691748.5,691538.3125,691323.1875,691106.8125,690887.5625,690666.3125,690443.625,690217.6875,689989.3125,689757.5,689523.0,689285.375,689045.6875,688801.875,688555.1875,688304.0625,688049.0,687789.625
Albany - NY,899450.6875,899790.0,900472.0,901153.0625,901661.5,902075.5,902447.5625,902767.25,903032.3125,903271.9375,903489.5,903695.8125,903897.875,904094.5,904291.3125,904489.5,904704.5,904925.875,905159.1875,905399.0,905633.125,905882.3125,906146.9375,906427.0,906724.125,907015.625,907301.5625,907584.4375,907863.6875,908140.375,908413.0,908682.625,908946.3125,909205.625,909462.8125,909714.1875,909961.9375,910203.5,910442.5,910674.0,910899.875
Albuquerque - NM,927061.5625,927791.375,928508.75,929187.0,929821.875,930435.125,930956.4375,931452.875,931915.75,932365.8125,932784.9375,933195.3125,933608.1875,934020.625,934412.75,934810.9375,935221.625,935638.4375,936039.9375,936445.125,936844.625,937257.0,937702.25,938169.125,938660.125,939149.75,939640.625,940134.5,940632.0,941134.0,941637.8125,942142.375,942649.1875,943160.5,943674.0625,944190.625,944709.875,945232.125,945754.875,946278.0625,946804.875
Anchorage - AK,403727.375,404214.28125,404671.0,405318.375,405954.09375,406579.40625,407188.8125,407787.5,408364.28125,408933.40625,409487.6875,410037.90625,410588.5,411140.0,411667.375,412199.09375,412742.625,413293.5,413816.90625,414347.59375,414877.6875,415418.625,415925.6875,416442.09375,416969.40625,417493.28125,418013.09375,418532.0,419051.5,419569.3125,420083.09375,420595.625,421107.6875,421618.90625,422131.09375,422642.3125,423152.40625,423661.0,424166.40625,424669.90625,425171.6875
Asheville - NC,488640.09375,489639.90625,490558.90625,491491.6875,492432.1875,493367.5,494295.0,495215.09375,496124.5,497030.40625,497939.59375,498848.0,499756.71875,500665.8125,501580.40625,502497.1875,503420.0,504346.0,505245.0,506147.0,507046.28125,507950.90625,508863.8125,509781.8125,510702.5,511619.0,512534.0,513445.96875,514356.09375,515263.90625,516168.8125,517070.8125,517969.46875,518865.28125,519756.71875,520645.1875,521530.21875,522411.625,523287.78125,524160.21875,525028.0
Atlanta - GA,6434363.0,6452713.0,6470104.0,6487418.0,6504731.0,6522140.0,6539439.0,6556591.0,6573398.0,6590112.0,6606844.0,6623605.0,6640451.0,6657360.0,6674448.0,6691687.0,6709208.0,6726885.0,6744819.0,6762924.0,6781070.0,6799417.0,6818094.0,6837019.0,6856203.0,6875313.0,6894475.0,6913622.0,6932781.0,6951913.0,6971105.0,6990285.0,7009460.0,7028600.0,7047796.0,7066987.0,7086164.0,7105290.0,7124466.0,7143620.0,7162749.0
Augusta - GA,632583.8125,633224.9375,633925.75,634630.375,635339.625,636148.9375,636943.0,637728.0625,638500.5,639269.875,640026.6875,640783.3125,641539.5,642296.0625,643045.0,643794.3125,644548.6875,645306.1875,646071.3125,646838.1875,647602.1875,648371.1875,649145.875,649924.625,650704.25,651477.125,652244.875,653006.6875,653763.5,654515.625,655260.9375,655999.3125,656730.3125,657455.625,658174.0625,658885.9375,659590.1875,660286.9375,660975.25,661655.5625,662326.8125
Austin - TX,2557131.0,2568898.0,2580688.0,2592623.0,2604723.0,2616896.0,2629130.0,2641501.0,2653824.0,2666141.0,2678503.0,2690879.0,2703291.0,2715701.0,2728201.0,2740821.0,2753631.0,2766483.0,2779426.0,2792516.0,2805688.0,2818928.0,2832236.0,2845753.0,2859403.0,2873046.0,2886681.0,2900328.0,2914006.0,2927699.0,2941409.0,2955124.0,2968865.0,2982624.0,2996384.0,3010159.0,3023958.0,3037761.0,3051552.0,3065349.0,3079152.0
Bakersfield - CA,914035.1875,914891.0,915989.0,917115.75,918267.5,919491.0625,920730.3125,921935.125,923102.4375,924285.6875,925463.0625,926646.0,927837.5,929039.625,930246.8125,931471.1875,932718.1875,933980.5625,935264.875,936561.375,937863.25,939182.625,940523.3125,941878.4375,943250.4375,944611.875,945976.0625,947338.5,948693.1875,950046.3125,951397.875,952742.9375,954086.125,955425.5,956762.5,958094.125,959423.5,960746.375,962065.4375,963375.5,964680.75
Baltimore - MD,2849658.0,2851788.0,2853997.0,2856207.0,2858414.0,2860665.0,2862765.0,2864761.0,2866575.0,2868314.0,2869981.0,2871607.0,2873230.0,2874854.0,2876489.0,2878153.0,2879903.0,2881702.0,2883597.0,2885538.0,2887476.0,2889494.0,2891584.0,2893785.0,2896108.0,2898437.0,2900711.0,2902999.0,2905311.0,2907637.0,2909947.0,2912270.0,2914610.0,2916962.0,2919269.0,2921591.0,2923921.0,2926263.0,2928557.0,2930852.0,2933160.0
Baton Rouge - LA,859301.6875,860027.75,860701.875,861352.0,861978.25,862580.625,863147.1875,863693.125,864197.0625,864685.4375,865145.0,865595.0625,866046.375,866497.0625,866936.0,867380.9375,867845.5625,868321.25,868825.9375,869341.5,869853.25,870383.0,870930.5,871502.625,872096.1875,872690.3125,873285.6875,873880.375,874478.5,875079.125,875679.875,876281.6875,876883.125,877486.8125,878092.3125,878699.125,879306.5,879915.5625,880524.75,881132.625,881740.625
Beaumont - TX,409860.8125,409644.71875,409248.40625,408897.0,408582.875,408231.40625,407889.59375,407558.0,407217.0,406873.90625,406535.625,406193.21875,405847.59375,405500.5,405163.09375,404824.8125,404491.40625,404158.8125,403834.1875,403510.71875,403183.28125,402859.3125,402539.40625,402244.0,401960.90625,401679.1875,401401.875,401129.59375,400864.59375,400604.5,400350.0,400099.5,399854.625,399615.375,399380.0,399149.09375,398923.1875,398701.5,398481.40625,398264.71875,398051.6875
Birmingham - AL,1198992.0,1200663.0,1202154.0,1203615.0,1205048.0,1206402.0,1207710.0,1208975.0,1210198.0,1211394.0,1212564.0,1213715.0,1214848.0,1215972.0,1217076.0,1218168.0,1219257.0,1220334.0,1221408.0,1222473.0,1223516.0,1224557.0,1225595.0,1226633.0,1227667.0,1228686.0,1229689.0,1230682.0,1231661.0,1232626.0,1233581.0,1234521.0,1235450.0,1236369.0,1237275.0,1238170.0,1239053.0,1239925.0,1240788.0,1241633.0,1242467.0
Boise - ID,855903.3125,859781.5,863390.3125,866785.875,869975.25,872917.1875,875832.5,878717.0,881548.125,884354.375,887155.5,889944.8125,892725.125,895502.0625,898295.25,901088.625,903897.8125,906712.0,909464.875,912225.125,914973.375,917739.0625,920499.5,923269.6875,926048.8125,928811.5625,931544.125,934262.0,936969.5,939662.1875,942325.1875,944976.0,947609.625,950231.375,952819.375,955391.9375,957953.1875,960498.25,963011.0,965509.5625,967995.75
Boston - MA,4994051.0,5001636.0,5008316.0,5014467.0,5020240.0,5025191.0,5029831.0,5034160.0,5037791.0,5041166.0,5044358.0,5047459.0,5050589.0,5053775.0,5057081.0,5060581.0,5064512.0,5068707.0,5073174.0,5077906.0,5082709.0,5087881.0,5093460.0,5099417.0,5105855.0,5112276.0,5118699.0,5125121.0,5131545.0,5137972.0,5144400.0,5150823.0,5157241.0,5163664.0,5170077.0,5176492.0,5182897.0,5189300.0,5195688.0,5202063.0,5208423.0
Brownsville-Harlingen - TX,426303.59375,426190.40625,426061.5,425991.6875,425972.90625,425973.78125,425995.78125,426039.21875,426083.3125,426136.40625,426204.71875,426279.3125,426361.375,426451.59375,426561.5,426680.5,426814.21875,426957.0,427116.09375,427284.6875,427456.78125,427640.28125,427834.59375,428042.0,428256.28125,428466.0,428675.59375,428882.0,429087.1875,429290.3125,429491.90625,429690.5,429886.28125,430081.59375,430274.09375,430465.0,430652.71875,430838.5,431019.5,431197.8125,431372.59375
Buffalo - NY,1150135.0,1150324.0,1150753.0,1151170.0,1151357.0,1151380.0,1151351.0,1151251.0,1151075.0,1150858.0,1150606.0,1150332.0,1150043.0,1149741.0,1149435.0,1149119.0,1148815.0,1148515.0,1148195.0,1147878.0,1147545.0,1147230.0,1146939.0,1146673.0,1146432.0,1146193.0,1145954.0,1145719.0,1145486.0,1145258.0,1145032.0,1144808.0,1144586.0,1144365.0,1144143.0,1143923.0,1143702.0,1143484.0,1143268.0,1143050.0,1142832.0
Canton - OH,398326.375,398145.28125,397954.40625,397742.625,397517.0,397300.0,397071.28125,396831.78125,396581.5,396337.0,396086.6875,395830.1875,395568.375,395314.59375,395054.09375,394788.3125,394519.1875,394259.625,394089.5,393914.71875,393732.3125,393561.09375,393387.0,393213.5,393039.625,392876.5,392715.3125,392551.78125,392385.5,392232.5,392078.875,391922.59375,391763.3125,391616.78125,391469.5,391320.40625,391167.78125,391027.1875,390885.71875,390741.40625,390593.6875
Charleston - SC,866006.75,868228.375,870445.3125,872718.8125,875028.1875,877485.4375,879919.625,882334.25,884719.8125,887100.5,889479.125,891865.1875,894261.0,896664.9375,899079.0,901501.75,903947.1875,906406.6875,908880.375,911367.1875,913851.9375,916355.25,918878.3125,921418.5625,923978.0,926532.0,929085.375,931636.75,934187.625,936738.25,939287.1875,941834.625,944379.875,946924.3125,949467.25,952008.9375,954548.5,957086.125,959619.875,962150.8125,964677.625
