Market,Emp_5YrGrowth,Emp_5YrRank,Emp_10YrGrowth,Emp_10YrRank
Akron - OH,1.1309415169445625,139,1.0110516918105696,142
Albany - NY,1.1717793369782572,107,1.0546377737668482,122
Albuquerque - NM,1.1941732292517329,74,1.1306070319365629,74
Anchorage - AK,1.1985395682555378,69,1.02751585561564,136
Asheville - NC,1.2481689213687508,24,1.1660639060191413,56
Atlanta - GA,1.216520390714889,51,1.219593110560028,38
Augusta - GA,1.120197012354601,147,1.0996337610938056,95
Austin - TX,1.3307286305642299,3,1.438932219136909,1
Bakersfield - CA,1.1916886963448277,78,1.1564461147514324,60
Baltimore - MD,1.1310732702957684,138,1.0490906263661142,125
Baton Rouge - LA,1.1689145607346123,109,1.0576431131498143,120
Beaumont - TX,1.1294957863403012,143,1.0113122715782252,141
Birmingham - AL,1.1520004365490795,126,1.1167806498311788,84
Boise - ID,1.2548574340667757,15,1.4260298409781318,3
Boston - MA,1.2070921584448302,60,1.1002251423638583,94
Brownsville-Harlingen - TX,1.2156514858277117,54,1.2068884108735787,41
Buffalo - NY,1.2248195927648518,38,1.0246550533437366,137
Canton - OH,1.1267070884914578,144,1.003425197698644,146
Charleston - SC,1.3090122349302757,5,1.3181876480045716,10
Charlotte - NC,1.2158520113399534,53,1.2603852242314206,29
Chattanooga - TN,1.2006684206372817,67,1.20249686377534,43
Chicago - IL,1.1580171745173626,119,1.054487645944369,123
Cincinnati - OH,1.1804075105843839,97,1.1087627671099378,90
Cleveland - OH,1.130830739590784,140,1.0335375479014703,132
Colorado Springs - CO,1.219494043514847,47,1.2615955388833164,28
Columbia - SC,1.1810739458265993,96,1.1488893531398126,63
Columbus - OH,1.1618646310674703,115,1.131444273113654,73
Corpus Christi - TX,1.1533588567109454,125,1.0466330318926556,128
Dallas-Fort Worth - TX,1.242389346182617,25,1.2886735596095202,19
Dayton - OH,1.1335334695963208,136,1.0429664478328298,130
Daytona Beach - FL,1.2199683741876397,46,1.2315247903478677,34
Denver - CO,1.18568401393528,89,1.1887777479300006,50
Des Moines - IA,1.1786125622184302,100,1.1464211241666402,64
Detroit - MI,1.2728176187865305,9,1.0697233879001935,114
Durham - NC,1.1890717226545504,82,1.2041573850018046,42
East Bay - CA,1.1764524693504534,103,1.1158746944029223,86
El Paso - TX,1.1845168065468967,91,1.1799504436492654,52
Fayetteville - NC,1.1578679577612143,120,1.098788162500341,97
Flint - MI,1.3056496747149209,6,1.0579106221962251,119
Fort Lauderdale - FL,1.2361876373352028,29,1.194426705801349,45
Fort Myers - FL,1.2493451094258796,23,1.299948228825763,14
Fort Wayne - IN,1.192659559721113,75,1.1075114587988635,91
Fresno - CA,1.2089708792222702,58,1.2497962390198172,30
Grand Rapids - MI,1.2534638404464857,17,1.128022071191134,77
Greensboro - NC,1.1307905319418725,141,1.0473504932051387,127
Greenville - SC,1.2284457125991337,34,1.1893152109534755,49
Gulfport-Biloxi-Pascagoula - MS,1.2163115722145637,52,1.0988084180680484,96
Harrisburg - PA,1.2010254695311582,65,1.1160938990663762,85
Hartford - CT,1.1542570913850543,124,1.0189535739018503,139
Honolulu - HI,1.2200202013335217,45,1.014794916537448,140
Houston - TX,1.200788694347346,66,1.1685458925778205,53
Huntsville - AL,1.2373812718381785,27,1.2910455250523623,18
Indianapolis - IN,1.219206004347745,48,1.1904434374494255,47
Inland Empire - CA,1.2269911733372838,37,1.2921954125262756,17
Jackson - MS,1.1482609873876608,128,1.0494404566793933,124
Jacksonville - FL,1.2081228724636468,59,1.2739224270226082,23
Kansas City - MO,1.1589014481635174,118,1.117373043843142,83
Killeen - TX,1.145221130200194,130,1.1575426115565814,58
Knoxville - TN,1.1790353592815557,99,1.1674260963988532,54
Lafayette - LA,1.1222100725847923,145,0.9669976403015108,149
Lakeland - FL,1.2231143160142173,40,1.3679178971702453,4
Lancaster - PA,1.2130958551399211,56,1.1122252767168457,88
Lansing - MI,1.234022895939945,30,1.0927706822126295,100
Las Vegas - NV,1.4589128738524315,1,1.2833583479689,21
Lehigh Valley - PA,1.2532024488366134,18,1.1399168027598332,67
Lexington - KY,1.222406582783344,41,1.1322894248228732,71
Little Rock - AR,1.1813680317168467,94,1.1443155321693188,65
Long Island - NY,1.264532589703049,10,1.0457692007670807,129
Los Angeles - CA,1.181838410830998,93,1.089874651617433,104
Louisville - KY,1.1862833698107424,88,1.1093282611268152,89
Madison - WI,1.170046674500969,108,1.113444165621079,87
Manchester - NH,1.1870867531464715,86,1.103067826091151,93
McAllen - TX,1.2035754466651831,64,1.2416395461353393,32
Melbourne - FL,1.1877509884442843,85,1.2877869845943712,20
Memphis - TN,1.0839002174131624,150,1.0554653201680957,121
Miami - FL,1.2561130391947801,13,1.2074082627111058,40
Milwaukee - WI,1.1103237534192054,149,1.0094766329402982,143
Minneapolis - MN,1.1471897610324575,129,1.0630103524547296,116
Mobile - AL,1.1212334902566032,146,1.0634972146723434,115
Modesto - CA,1.1856101895555469,90,1.1899422108722768,48
Montgomery - AL,1.154550986315044,123,1.0855506571090576,107
Myrtle Beach - SC,1.3680349201685884,2,1.2984627999076175,15
Naples - FL,1.294792630391183,7,1.331446381742729,7
Nashville - TN,1.2493507014237557,22,1.2983552766160071,16
New Haven - CT,1.1959072156442672,72,1.0763523759453688,112
New Orleans - LA,1.1596883307659511,117,0.9906903713611299,147
New York - NY,1.2558202481462348,14,1.118832405166437,82
Norfolk - VA,1.1612363835530528,116,1.089975157125975,102
Northern New Jersey - NJ,1.2370576271440847,28,1.1066214389236648,92
Northwest Arkansas - AR,1.2305736354835821,32,1.337675904064117,6
Ocala - FL,1.1942871814680656,73,1.26816010283293,26
Ogden - UT,1.189386228654102,80,1.2766221335665993,22
Oklahoma City - OK,1.189122715544601,81,1.1490250251234966,62
Omaha - NE,1.1332972156313421,137,1.0754159148597817,113
Orange County - CA,1.1993466368685268,68,1.1253335159031337,79
Orlando - FL,1.3300175758745014,4,1.305194850310218,13
Palm Beach - FL,1.2498385265746588,21,1.2224119809694165,37
Pensacola - FL,1.1675599622396613,113,1.2372968578945551,33
Philadelphia - PA,1.2301230652776463,33,1.1247189041127135,80
Phoenix - AZ,1.2177278224720531,49,1.3099234671034958,12
Pittsburgh - PA,1.1755242451678314,104,1.030226443340761,134
Port St. Lucie - FL,1.2398769827728853,26,1.3133126453120008,11
Portland - ME,1.2165601701491504,50,1.13882431249967,68
Portland - OR,1.1548560960190488,122,1.1298092376367426,75
Poughkeepsie - NY,1.1667224942750607,114,1.0060528766192216,144
Providence - RI,1.2319674288045872,31,1.0611272352570258,117
Provo - UT,1.2216066924917093,43,1.432850664870157,2
Raleigh - NC,1.2758141857278198,8,1.3205083562609947,9
