Market,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1
Akron - OH,150.472837002122,152.355072177688,153.570299985074,154.013466027134,154.531763169989,155.888110228506,156.437354483108,157.219854992023,157.452663860198,159.194027516843,160.331040066009,161.06731247845,162.435155153901,163.820055069851,166.202492118813,168.069247047942,170.713119494154,172.918297750682,173.808783564288,174.826134792935,175.060279087213,177.626637633237,179.600628991474,183.79069691257,189.58255897651,197.388342755511,205.003846143468,212.012222810235,218.340202345039,224.021832068701,224.41820574001,221.386645209783,215.078309146374,209.994610072574,205.570108402023,204.400509292838,205.383635490207,208.57843893536,211.949459159158,215.684716043311,219.146552990145
Albany - NY,158.748328027793,161.677433539089,164.210645994906,166.73287893267,168.348973035388,170.422236887419,171.688307606144,173.765401210525,175.351237850548,177.403454582008,179.269574662511,180.838314898146,182.406191970607,183.977127550306,185.566601586985,187.225419786046,190.514137915053,194.382522964407,197.769776631553,200.255261970986,202.485166634033,205.593265932873,208.676215448095,213.204817625833,219.712283758556,227.56029389214,235.434328288499,239.514128757405,240.151288840053,236.304710181831,230.315501296776,223.127860359632,217.554563585563,212.95523154681,208.743630241354,204.947612173922,203.182972276135,203.268232980488,203.980711765876,205.343643789093,207.828698345983
Albuquerque - NM,151.106367899688,152.348210773183,153.742874543998,155.920661738744,157.216516659667,158.160589359515,158.996886964425,159.97395160475,161.400989941989,162.303284354518,163.613612559316,164.339068778014,165.516879380749,168.436978219104,171.157071140492,175.39746455429,177.776382111264,181.774457173163,185.293003522117,189.467436619208,194.881760890609,200.917331138176,208.223807918617,215.891411153093,225.9172359523,238.268586473059,248.939659646564,258.880689426978,263.833844498643,264.885953237095,259.513791872766,251.870109345216,245.100854814808,239.975206417678,235.99184201715,233.749583320942,233.560135462897,235.16932826283,234.521455780384,233.74423932142,234.783214654026
Anchorage - AK,147.476099619915,149.097632876952,150.507630340482,151.645053912006,151.824286348457,150.724311376631,149.116340889921,149.83107694191,150.428932244485,150.577030640861,149.270918414158,148.927458722536,149.803078730469,150.200665214609,149.820048204749,149.310622637756,149.646756619117,151.026199103635,152.840771124002,155.227039067401,157.870763144609,160.999795381641,164.751550125018,169.991049204021,175.922516274769,183.076730645589,189.303624295641,193.17773420178,193.99256514842,191.773975315905,188.441494296732,183.328070316949,179.590735840848,175.699748725691,172.277027123017,169.120431576605,168.809555843876,170.034915816942,170.941812410947,171.482242956342,173.015927848159
Asheville - NC,162.651589012351,166.82867360484,171.587509288215,175.971506772919,180.379619504805,184.981607400028,188.611134646702,191.251350755512,193.683911765924,195.802561032507,198.216294032145,202.270171137941,207.505624487428,213.226571921781,216.504409354373,219.033384330094,221.69604205835,224.782805092495,228.11145549647,231.070988814726,235.897999180021,242.35503135168,249.78194867455,258.364255195656,271.536172841683,289.40872152987,306.196480208923,317.125647018536,329.383950447618,338.557139676171,349.64226664224,349.579908092583,345.332494952832,335.154450408805,327.721204044281,320.345899340811,315.641280487359,312.666606569506,313.868769937104,315.125603456537,316.510384235018
Atlanta - GA,155.795638592644,159.86220034309,163.427867387549,166.608992100188,169.819284255248,172.989282887667,175.435793685177,177.57776554678,180.267096453974,183.722910977965,187.010339320684,189.956991422718,193.287771287196,197.915292764658,202.706714572627,207.458750079703,211.995693519446,216.739685107126,221.306417669949,225.561911399748,229.795098177038,235.461669354499,243.014969805174,253.512600750738,268.165363756701,285.53687437595,302.438144575801,315.131693578983,323.356980936633,324.945811857774,325.746671747223,321.462406552981,316.343593306585,306.480531655928,298.603680715227,293.656477094766,291.325944321691,290.468193501515,290.392103320585,291.512765908396,293.231874484157
Augusta - GA,153.754610446373,155.816313091786,158.181769939812,159.147056748595,161.81613664364,165.372258537613,168.261476038476,169.803470716147,172.203540159563,175.650268489674,178.968750622411,180.748621447709,183.178879605602,184.91343742545,185.958381488172,187.420765658137,189.927074504295,194.38518475944,197.437774932393,200.943111199694,204.794884705597,211.370210180846,219.232973856088,228.007709546321,238.14052418923,250.872865411698,261.200726308839,270.12803797257,273.013076736671,274.55955920676,269.66705106981,262.822594484048,254.202465654831,247.069277529162,240.890549791228,237.133759771689,236.474197106694,237.884706126517,240.997087640487,245.936507854121,251.907686689901
Austin - TX,171.353769869335,175.621625428148,179.244388703103,182.193263709252,184.682731837216,187.457963886137,189.262060408284,191.606075834753,193.562136923097,196.168480596499,197.945132383816,199.764530461548,202.831844328956,207.357284503612,211.442542417965,215.11899822758,218.935319181006,223.7364559352,228.487088641642,232.157641130817,234.970506759794,237.298276425357,241.624089293272,249.878839231283,263.268671462085,278.546247515651,293.961837667421,305.11415291464,311.884694409226,311.189247078849,304.997004103734,295.507988340472,285.703309776598,276.076452237251,266.947137863021,260.314872410077,256.933702242673,255.341682346899,254.435333108228,254.372397584873,254.959307638561
Bakersfield - CA,145.08726462707,147.61654927873,150.156549540021,153.0899946288,155.186980237468,156.783286913799,157.538713724583,158.619982281835,160.739907720448,163.039400372227,165.415259482455,167.407928845493,168.141223156316,170.106150044174,171.830410593354,174.54323815719,177.282462741017,180.075777355542,182.853592772201,185.18902757936,188.118393157569,192.341717037318,198.576986146162,206.08511792982,215.235049019845,224.969238735108,234.873746169744,242.999835218508,247.243000003958,249.164980836602,250.17137159308,249.321196253406,245.501531692065,239.590787022468,233.226858152434,229.695704071209,227.796320197135,230.432604375552,232.396501990845,235.216699853796,237.019047297547
Baltimore - MD,163.089764861251,165.769034244375,166.81442064755,168.60805006538,169.547631836301,171.621604243535,171.859166429639,172.546935661482,172.905695878044,174.328486491729,175.084421461215,175.852505621649,176.748902484219,178.715194010111,180.809746434679,182.763487767245,185.001013442848,186.245702623885,188.014950862376,189.289849132407,191.878903595509,195.463977549543,200.434229457275,207.304500419272,215.211289684794,225.374493273557,234.046504125229,240.536949189667,242.693418912014,241.270902865298,236.296296647539,229.008057066618,222.065453495748,215.962579788583,211.227263950064,208.637758018792,208.268288138668,209.015771103647,209.618830321308,210.62352802959,212.258564483372
