Market,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1
Akron - OH,,1.012508803668927,1.020584864648417,1.023530021069265,1.026974477578367,1.0359883772664409,1.0396384995446182,1.0448387770465566,1.0463859590683304,1.057958570387013,1.0655148348385828,1.0704078934603898,1.079498189773682,1.0887018436924984,1.1045348478175445,1.1169407741383375,1.1345112041168373,1.149166196343088,1.155084113698454,1.1618451427912506,1.1634011996779476,1.1804564941560323,1.1935750835145167,1.2214210921668085,1.2599121725460423,1.311787208163872,1.362397694014216,1.4089733870522103,1.451027352810261,1.4887858601718382,1.4914200477049901,1.4712731521547706,1.4293497313627506,1.3955649023192978,1.3661609131429084,1.3583880876118226,1.3649216668076156,1.386153428691044,1.4085562775437608,1.433379740426303,1.4563861315850286
Albany - NY,,1.0184512526694656,1.034408664550827,1.050296913385312,1.060477140936654,1.0735372082632717,1.081512540882229,1.0945967328871826,1.1045863602408978,1.1175138458840899,1.129269056812524,1.1391509891460752,1.1490274841740196,1.1589232455922058,1.168935785922084,1.1793851444738828,1.2001016973337733,1.2244697338190251,1.245806989519463,1.2614637549815715,1.2755105464706546,1.2950893309369442,1.3145096899008653,1.3430366182408293,1.3840289626237177,1.4334657676035472,1.483066506673885,1.5087663078597706,1.512779956951788,1.488549285007019,1.450821587591482,1.405544632385468,1.370436881372851,1.3414644059087455,1.314934354488496,1.291022177808642,1.2799062188583337,1.2804432998179396,1.2849314024281497,1.2935168914228958,1.3091709432656022
Albuquerque - NM,,1.0082183358038188,1.0174480181143672,1.0318602975240063,1.040436077214398,1.0466838132494187,1.0522183093565924,1.0586843812627986,1.068128313752701,1.074099567149037,1.08277112893039,1.0875720928393338,1.095366672373645,1.114691462446645,1.132692642404817,1.160754950252842,1.1764982811927616,1.2029569613759363,1.2262421901711238,1.2538679822215435,1.2896991940139897,1.329641721463089,1.377994923793327,1.4287380085557517,1.4950874611867795,1.576826905344146,1.6474465180171802,1.7132348095272598,1.7460140705240772,1.752976773374234,1.717424589578146,1.666839808580536,1.6220418650888246,1.5881210683125255,1.5617597411501098,1.54692079870596,1.5456670602918996,1.5563164645645327,1.5520289385558599,1.546885432893147,1.5537612207705696
Anchorage - AK,,1.0109952274383178,1.0205560814828982,1.028268677452384,1.0294840095428917,1.022025343530833,1.0111220819796112,1.0159685354309234,1.020022448601368,1.0210266682461628,1.0121702350338035,1.0098413173820133,1.0157786862857863,1.0184746247135361,1.015893752213918,1.012439459834977,1.0147187036055088,1.024072371678323,1.0363765485927088,1.0525572582097182,1.0704837160155698,1.0917009318566204,1.1171406794024688,1.1526684638536888,1.1928883170097933,1.2413993258394158,1.2836223956527641,1.3098918041611503,1.315416977045028,1.3003732524128138,1.2777764992591727,1.2431035997658877,1.2177616325879306,1.1913777837799875,1.168169130910165,1.1467650148903665,1.1446570412354475,1.1529659128168364,1.159115360736481,1.1627798904249378,1.173179439204501
Asheville - NC,,1.025681179125596,1.0549390284480125,1.081892330972288,1.1089938967095354,1.1372874284430223,1.1596021643070438,1.1758345056253294,1.1907901603790452,1.2038158509329944,1.2186557489892913,1.2435794348285252,1.2757675823976795,1.310940601420067,1.3310931093205163,1.346641527820928,1.3630118427033346,1.3819896040205673,1.4024545157019541,1.420650054621843,1.4503270494462124,1.4900255990322768,1.5356871100446656,1.5884520819285513,1.6694344917900792,1.7793169023875546,1.88252990375441,1.9497236328533805,2.0250890412303697,2.0814868255019787,2.1496394149318134,2.1492560276557615,2.1231424608253233,2.0605667146808813,2.0148662920187976,1.9695221011119999,1.9405975828701598,1.9223089578655363,1.9296999915154243,1.937427143319257,1.9459409290553178
Atlanta - GA,,1.0261018972493752,1.0489887192212155,1.0694072928178529,1.0900130824539407,1.1103602414697815,1.1260635745002192,1.1398121741462182,1.1570740880963624,1.1792558035487883,1.2003567045266044,1.2192702770030366,1.2406494368727612,1.270351946643022,1.3011064777149541,1.3316082013190471,1.3607293210161504,1.3911794133970032,1.420491739493394,1.4478063278107585,1.4749777352745992,1.5113495569035558,1.559831661530531,1.6272124370156005,1.7212636128914243,1.8327655186968232,1.9412491088186397,2.0227247465055944,2.075520109918536,2.085718283214615,2.0908587344922207,2.0633594717853616,2.030503524772749,1.967195836959705,1.9166369701528074,1.8848825278259824,1.8699236188723845,1.8644180037735,1.8639296063984687,1.8711227640371184,1.8821571459446629
Augusta - GA,,1.0134090460079705,1.0287936698651592,1.035071769793224,1.0524311184806958,1.075559673023867,1.0943507680842048,1.1043797010260812,1.1199894407044444,1.1424065137281711,1.163989490154718,1.1755655386395785,1.1913716217927117,1.2026529603802982,1.209449140733449,1.2189602972816622,1.2352610042255505,1.2642559738215997,1.2841096235046296,1.3069078749334775,1.331959309129309,1.3747243713031183,1.425862764177421,1.4829325044912798,1.548835013778591,1.6316445060305897,1.6988155708016406,1.756877645413996,1.775641562513622,1.7856996834740233,1.753879446521477,1.7093639905888616,1.6532997932019249,1.6069064648655567,1.566720822822068,1.5422871488747796,1.537997439037265,1.547171206352132,1.5674137311449448,1.5995390781462095,1.6383748491090753
Austin - TX,,1.0249066919395322,1.0460487028665022,1.0632579828747428,1.0777862195739547,1.0939821401599872,1.104510630566254,1.1181900227865502,1.129605360131247,1.1448156684623065,1.1551839946956413,1.1658017831406773,1.1837022581039476,1.2101121828935033,1.2339532569327158,1.2554086110367924,1.2776802013049033,1.3056990581871013,1.3334231795184532,1.3548440825541668,1.3712596281889196,1.3848442121017102,1.4100891359292609,1.4582628641425683,1.5364043152528206,1.6255624123592676,1.7155259431501284,1.7806095141490224,1.8201215803250326,1.8160630333149068,1.779925847772757,1.7245490925925366,1.6673301672584135,1.6111489840449484,1.5578714029261234,1.5191662991049386,1.4994341965081748,1.4901433597965694,1.4848540146052607,1.484486730457366,1.4879118669695974
Bakersfield - CA,,1.0174328508994999,1.0349395581065024,1.0551580458994807,1.0696113172741808,1.080613707321537,1.0858204138696668,1.0932729532778034,1.107884335221367,1.1237333668899256,1.1401087470194973,1.1538430287165153,1.1588971891399533,1.1724402584983056,1.1843245582927224,1.2030224610397966,1.22190230270521,1.2411549546985112,1.2603007799630448,1.2763975394764449,1.2965879096356632,1.3256967627841776,1.368672754680303,1.4204218299899576,1.4834868489186956,1.5505788141596395,1.6188446778803072,1.6748529641323855,1.7040985688128278,1.7173456366211861,1.7242820879979819,1.7184223363384596,1.6920956661709643,1.6513564277216772,1.6074936608110755,1.583155521345138,1.5700642008977084,1.5882345357316667,1.6017705109279803,1.6212084531222866,1.6336309593180145
Baltimore - MD,,1.016428188399213,1.0228380719628098,1.0338358768793596,1.039597009539771,1.05231376346359,1.0537703980127053,1.0579875187647532,1.0601872902640084,1.0689112627027169,1.0735463479892098,1.0782559271653613,1.0837522675600675,1.095808766185624,1.1086517083920213,1.1206312543446946,1.1343508502832047,1.141982777290371,1.1528310867474127,1.1606482435819672,1.1765232708425966,1.1985054838716238,1.2289810438306468,1.2711067466167283,1.3195879573919644,1.3819045815983293,1.4350778194103389,1.4748745845228508,1.4880971783758838,1.4793748894699785,1.448872630655692,1.4041841145668896,1.3616148976894453,1.3241945622541897,1.295159534565312,1.2792817390857791,1.277016300292374,1.2815995613303364,1.2852972747838693,1.2914576718457988,1.3014830493130667
Baton Rouge - LA,,1.0060860638276012,0.9981820395021317,0.995452018680526,0.9985973639987339,1.015198272795189,1.0304095407707519,1.043482755528763,1.050185764082411,1.0539755659808687,1.0639378056194166,1.0616492366783115,1.074778832123926,1.077139749313734,1.076576961127417,1.0617961210022255,1.0646268629526408,1.083717187241073,1.106865453515959,1.1205502295348335,1.1372780209812778,1.1634460535834759,1.2028012164633386,1.2643859849478993,1.3297522097691477,1.3860078048766242,1.4236046578545054,1.4530851677846168,1.4998122902472562,1.5357717030086688,1.5690000922053886,1.5607131189227237,1.533309036118412,1.480136914547749,1.4356474397607344,1.397922116587891,1.383941954508371,1.3808449205009725,1.391613633529437,1.3938239141147835,1.3965377754025214
Beaumont - TX,,1.0193640751197588,1.0361521315938158,1.0497676325213623,1.0583470460858757,1.0588834091391046,1.0582059491785738,1.0597896139114442,1.0720276805997149,1.0817247666774357,1.0908873644746917,1.0918185683116277,1.1007680422140895,1.1035240543934413,1.113254604987724,1.1207873504404429,1.1388186016338901,1.1560367803842302,1.1739168631782664,1.204690765899898,1.2577139497693794,1.3098231662865718,1.3534639456541462,1.3882954462854835,1.4298699868394025,1.4799562096435575,1.5265292221539126,1.561937622783377,1.5689158786351551,1.5479545751483303,1.509781016242738,1.4647181039892971,1.4199241154842732,1.3801991113438425,1.3505234282310983,1.3340251279078175,1.3284976868673861,1.3264816723680617,1.3301171241735916,1.340191468990743,1.3587635852969924
Birmingham - AL,,1.0119412974241664,1.0219699410495846,1.0368720540507366,1.048862751134829,1.0585448272653715,1.0651799884391953,1.071849615660611,1.084245142430599,1.099811279553059,1.116996413828434,1.1302874141241332,1.1471833893620222,1.1677081134548546,1.1953104799543424,1.2130572681882348,1.2294206650661217,1.2437935696565123,1.2573844049825265,1.2693248552389538,1.2873766579574566,1.312888987587378,1.3385800445093257,1.3669229397686289,1.4150161205316667,1.4734378968140964,1.527747826063658,1.5609858923059021,1.5819021738561312,1.575592464492593,1.546593291440763,1.4981108873921951,1.4487568497692742,1.4033974849235697,1.3647238077368529,1.3404122185660738,1.3285113366867713,1.328141428818271,1.3292336008113144,1.349548037826317,1.373359411367403
Boise - ID,,1.019557160890875,1.051540968654141,1.0711789001589154,1.094225227362555,1.1057525966464874,1.1171587192976857,1.12963607853052,1.1438236225532956,1.1623515261397552,1.1783482742159166,1.1920414497331449,1.2086027453579284,1.2272150934640964,1.2393189318341689,1.261297777032738,1.2816250480315186,1.3303507345264975,1.37880017221413,1.458772882830012,1.5257898144462652,1.591559933348033,1.6483804547975325,1.7230303181748485,1.8188009352405095,1.9364307979888342,2.0962784263515015,2.2503629182220735,2.3664953790504546,2.4038928574344647,2.396292338356376,2.3500009800064583,2.3024159080566937,2.240674984336657,2.1889942130070588,2.148334686396998,2.141317947193938,2.1571106866229006,2.176123645207828,2.1979115841837262,2.2295111922892654
Boston - MA,,1.028275373742298,1.0556137074110057,1.0748296662621417,1.0939185653970567,1.104969004364926,1.1168166095981713,1.1277202707898157,1.1439390006710646,1.1620430635660335,1.17868393495155,1.1915929451875742,1.2029210242203787,1.2187584699049894,1.2321517978604293,1.2530418027729147,1.2740541022744847,1.2993549094481094,1.3179878214823575,1.333837034998697,1.346224981029774,1.3572913453970046,1.3787917898151945,1.4168400849741811,1.4809869639450934,1.5514008541100395,1.6131627071291996,1.6542239696037828,1.6823970024750348,1.710524323030911,1.7045559813592546,1.6766824919571812,1.6302195710656613,1.5933173494457649,1.5604646825614565,1.5387827547353121,1.5375103507180803,1.5455131901903634,1.563789277414287,1.5794307128828788,1.6070011832397493
Brownsville-Harlingen - TX,,1.0147739924550265,1.0277176771503853,1.037137507330841,1.0396701186546284,1.05147617743038,1.0516432208024886,1.057610694968891,1.0558889951160522,1.0697845140625024,1.09283089716767,1.1086230800635455,1.117614289493457,1.1180218296239082,1.1178690122213346,1.1266375538340712,1.1345158230073862,1.1499148511994164,1.1596325271416918,1.1721702366936564,1.188656053046614,1.2104383139777604,1.2368695853338754,1.2721021329210043,1.3206719313567719,1.3793409261434302,1.4340704649948348,1.4740238082259538,1.4929751124012214,1.4885722990665768,1.4637103516546057,1.4234534650293678,1.377997384897368,1.3358623495082884,1.3044635069325492,1.265748053173857,1.2381914724782506,1.2187489098630413,1.2261567736251309,1.239402239366513,1.2551456575681288
Buffalo - NY,,1.0211106965292256,1.0413501078352934,1.0617302464857492,1.076010605292659,1.079522086043417,1.0934428314261875,1.1063081084837836,1.1295574804809356,1.1444431950904455,1.1684118917998216,1.1882505070215295,1.2177293135895821,1.2306409928187014,1.2451914979321992,1.248174966851687,1.2617666795817704,1.2782672289578723,1.293873350951171,1.3043217311111197,1.3166793258995029,1.3321118792772448,1.3640767795945332,1.4017355690755056,1.4498226770808045,1.4967869524016908,1.536213625997759,1.5601246953626595,1.5641577599216725,1.552144417131509,1.550150395814,1.5341266095320127,1.514181485624686,1.470494177180164,1.4393407216976675,1.4200317476241864,1.414237818758917,1.4178852164487086,1.440810126119912,1.4682848231590166,1.4983133217917184
