Market,2025 Q2 EST,2025 Q3,2025 Q4,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1
Akron - OH,1,1.0055523849903325,1.0117925330271753,1.0189292591836545,1.0260899550361948,1.0335924699032595,1.0421358270141596,1.0516759890203184,1.061774254740342,1.0731416879950508,1.084704223427,1.0959771157409663,1.1070669464692025,1.11727803699115,1.1274796511216312,1.1377598635578008,1.1482972764070518,1.1591316905135414,1.1700783719871626,1.1809300665722076,1.191690676312221,1.2023558532158245,1.2128788842474392,1.2233754928699072,1.2338180303175406,1.244284648948193,1.2548150381190635,1.265379765273128,1.276027104263384,1.2866471289488262,1.2972847685736995,1.308074141948986,1.3188309611324132,1.3295806451505012,1.3402390213496411,1.3507703024161788,1.361348630979171,1.3720071186652691,1.3827650527182807,1.3935410476585566
Albany - NY,1,1.010092547574958,1.0200198391244775,1.0310470452063025,1.0418769018200258,1.0526563498850643,1.063843603108964,1.0743711764590733,1.0849321034655626,1.0961986661393932,1.1074434691230417,1.1187571637898928,1.1298555299396114,1.1402247364326021,1.1505484072032808,1.1609723069715947,1.1716140556844754,1.182476761869092,1.1934463341769204,1.2043533158701318,1.2151992192051866,1.2259955541340344,1.2366677160046218,1.2473137494441406,1.2578969402262992,1.2684754262105802,1.279107849341954,1.289771861830504,1.3005131674270376,1.3112498522399416,1.3220151859113483,1.3329204033053557,1.3438146148329002,1.3547018531778767,1.3655212920248718,1.3761779952738624,1.3868571303270179,1.3976026366359418,1.4084164465283338,1.4192464711705528
Albuquerque - NM,1,1.006494536160615,1.0133610037390142,1.0208559331457852,1.0284930684578797,1.0366571514660825,1.0458737304139893,1.0560224523855122,1.06678628756144,1.078823839824263,1.091113724140136,1.103155797711077,1.1150471610114252,1.1261544003039181,1.1372811242813945,1.1485051640335968,1.1600186751555304,1.171829623761498,1.1837771804627386,1.1956891049500036,1.2075407453290312,1.2193614901025873,1.231086103253544,1.2428049032940636,1.2544961448851033,1.2662159137773623,1.2780162050141952,1.2898669841916768,1.3018296119199768,1.3137999904621929,1.3258232252493098,1.3380567008639035,1.3502807032614887,1.3624897422822078,1.374607170988445,1.3865372883583744,1.3985045450449853,1.4105531852777164,1.4226926822735764,1.4348453125930165
Anchorage - AK,1,1.0078615418202304,1.0162065062114938,1.0252019337510538,1.033915162225342,1.0426418359848397,1.051811292611489,1.0608477396652474,1.070033831983766,1.0800257298700913,1.0900126142602367,1.09996751862172,1.1097060070647757,1.118661022786644,1.127607682681546,1.1366421547216576,1.1458776223813407,1.1553276069078684,1.16484542555695,1.1742925235250712,1.183684776883468,1.1930353270690965,1.2022643379533966,1.2114970709788,1.220668730505286,1.2298634824990242,1.239126448425633,1.248390173972875,1.257718239387758,1.2670125016844587,1.2763177784803426,1.2857498359599242,1.2951560663379738,1.3045430023519373,1.3138469877927446,1.3230309531734898,1.3322521399652671,1.3415418445381682,1.3509046246159928,1.3602616315770044
Asheville - NC,1,1.0087008271721671,1.0170970120117733,1.0270851556892648,1.0369121026323498,1.0467044707724464,1.0571022244841526,1.0671038097734884,1.0772358094800303,1.088235767923902,1.0992657904309062,1.1103406525132993,1.1212303076538692,1.1313357319598947,1.141425354676424,1.1515996287652546,1.1619867112736646,1.1726261061753946,1.1833858599373785,1.1941002610853537,1.2047993736824527,1.2154877124685315,1.2260810365021848,1.2366949846883624,1.247248189101931,1.2578038561008758,1.2684149312707813,1.279032573335023,1.289741331058178,1.3004469079418892,1.3111902444680328,1.3221178644664835,1.3330287594059218,1.3439205693086957,1.3547145940504963,1.3653079180841496,1.3758986769247028,1.3865336596943008,1.3972290784133357,1.4079272675409187
Atlanta - GA,1,1.0077682485503845,1.0165189069799485,1.0256109939475433,1.034550906720987,1.043593753304993,1.0532518049597825,1.063372973126654,1.0737890697823584,1.0850217004511362,1.0963233532923875,1.1074200805024608,1.1183159925829425,1.1285341857143456,1.1387092185790904,1.1489184199882732,1.159293754169911,1.1698693896684427,1.1805091661188138,1.1910769231559712,1.2015775420005486,1.2120073403282081,1.2223176772035094,1.2325981273068585,1.2428255690668313,1.253046074355377,1.2632988642084668,1.273550026988012,1.2838541981109333,1.294137816725922,1.304437877347257,1.3148728138018997,1.325284371778769,1.3356836838863286,1.3460111478515735,1.3562052774216056,1.3664271528773468,1.3767198488500059,1.3870931277808507,1.3975028017778262
Augusta - GA,1,1.0066043709073078,1.014097748960934,1.022944660417513,1.0319381824119858,1.041227483936246,1.051163184425378,1.0612669642185748,1.0716909957102514,1.082884120721653,1.094247216068337,1.1056025248158914,1.1168602786000674,1.127617576534483,1.1383673103440297,1.1491596479745276,1.1601642260498672,1.1713942817885685,1.1827254520788217,1.194035709788556,1.2053296156401185,1.2166327541735058,1.2278793842446398,1.239147038133423,1.250383100677167,1.2616085956935212,1.272905727421866,1.2842575878183773,1.2957084492609627,1.3072118146291065,1.318774135676373,1.3305501432511766,1.342323703609111,1.354064337776441,1.3657006315154367,1.3770351389196027,1.388341948278294,1.3996675567120263,1.4110334329869705,1.422392968745481
Austin - TX,1,1.0117071135330438,1.0234386061419645,1.0352459708107449,1.0466065420312458,1.0577024596299693,1.0693613619777056,1.0807720978351067,1.092222684104999,1.1047425897767282,1.1171636507978677,1.1293123225289228,1.1409643487270529,1.1512959197865893,1.1613935454833855,1.1715886874836887,1.1820294955562882,1.1927844186449923,1.203654829791856,1.214427568359085,1.2250808338269055,1.235614860609508,1.2459668257036722,1.2562206493898198,1.266378441395671,1.2765084943889056,1.2866490178826773,1.296807122440783,1.3070382860884555,1.3172286616668725,1.3274275542942335,1.3377370904198045,1.3480239665069003,1.3583402225059502,1.36862444189888,1.3789280395316093,1.389349313088282,1.3999174862047248,1.410631464948046,1.421405297448167
Bakersfield - CA,1,1.006458989299337,1.012919884873697,1.0207962955569283,1.0288157827710651,1.037186342301969,1.0465490120782643,1.05688885961227,1.0677974125281877,1.079876947829171,1.0922009099497918,1.1042944246009452,1.1162357549627486,1.1274384037530742,1.138636286855842,1.149910950480376,1.1614779096084629,1.1733836561698339,1.1854449759539292,1.197450378337345,1.2094027227326156,1.22131450583156,1.2331276921501395,1.2449530574480336,1.256743792083007,1.2685561311682427,1.2804393201418396,1.2923813918328189,1.304417506424941,1.3164653763797063,1.328575729793564,1.3408633667845768,1.3531502624464138,1.3654332396540365,1.3776424016565954,1.3896883653363374,1.4017886578542396,1.413982993273285,1.4262761372810313,1.4386031706225226
Baltimore - MD,1,1.0059205182277167,1.0126863741252068,1.0200885794636336,1.0275326613113105,1.035255131252494,1.043711268172118,1.0527222885551737,1.0621743923962985,1.0724849252453048,1.0830168278899128,1.0935569323367091,1.104090569977934,1.1142131711479526,1.1243125075906102,1.1344142099377452,1.1445898073680574,1.1548314923967717,1.1651328770817988,1.1753870225407606,1.185619638268978,1.1958383740242615,1.2059857383278103,1.2161346799010107,1.2262257356779973,1.2363025960281195,1.2464162067611242,1.2565298963576113,1.26671700785638,1.2769081413927605,1.287129321916004,1.2974944282949556,1.3078448660661475,1.3181863922638077,1.328456625873216,1.3385524134591573,1.348663027379824,1.3588242716563066,1.3690560198862158,1.3793103230721426
Baton Rouge - LA,1,1.0103219252313365,1.0206868547319161,1.0320015931843411,1.0429376238835355,1.053752747291716,1.0652392776678716,1.0763216579744381,1.087473610632817,1.0997733945194774,1.1120081091191678,1.124220083241405,1.136161310590004,1.1469695668243003,1.1577549700045222,1.168638990304789,1.1797997239396099,1.1912782613756705,1.2028721898483132,1.214363335865932,1.2257229923901583,1.2369560002156967,1.247987495889546,1.2589560612322255,1.2697965143801435,1.2806134390142612,1.2914505148635476,1.302277458816939,1.3131817429089956,1.3240275997347244,1.3348796482746113,1.345865100110449,1.356812951354854,1.36773209556089,1.378537875109523,1.3892360314084269,1.3999833836907323,1.4108361076903453,1.4217936405241614,1.4327482463658296
