Market,2025 Q2 EST,2025 Q3,2025 Q4,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1
Akron - OH,0.9997685608758788,0.9995006682983841,0.999172587218022,0.9988082318167353,0.9984884803952522,0.9981401573481519,0.9977677409866598,0.9973545719930178,0.996927251535904,0.9964878396384821,0.9960424268040182,0.9955979096317995,0.9951550942178464,0.994715771886649,0.9942846896481059,0.9938736702438521,0.9934754588097024,0.993089159683412,0.9927138772027357,0.9923357286028752,0.9919758515128139,0.9916378285815316,0.9913168232329054,0.9910156120198949,0.9907073250751482,0.9903972468059117,0.9900830484903479,0.9897659840555999,0.9894468595976882,0.9891230776961023,0.9887958027117607,0.9884636015850714,0.9881275491107283,0.9877870183251599,0.987443531854183,0.9870941340123887,0.986740616124267,0.9863807390342056,0.9860152192720003,0.9856435194403043
Albany - NY,1.000377244138801,1.0011354847066032,1.001892682971572,1.0024579585415014,1.0029182394726892,1.0033318947238006,1.0036873199899579,1.0039820137443611,1.004248426348554,1.0044903100927365,1.0047196862029193,1.0049443372069244,1.0051629428544964,1.005381756962635,1.0056020997815958,1.0058411345647007,1.0060872570070718,1.006346651438854,1.0066132725036134,1.0068735702645177,1.0071506143576103,1.0074448217040248,1.007756192303761,1.0080865328150632,1.0084106195093658,1.008728521873524,1.00904301938176,1.0093534866523741,1.0096611049619104,1.0099642066258356,1.0102639729206944,1.0105571379642755,1.010845438927968,1.0111313773385715,1.0114108534716084,1.0116862993670235,1.0119548660637385,1.0122205837993759,1.0124779631123468,1.012729088608318
Albuquerque - NM,1.0007872319698294,1.0015610478942707,1.0022926605804563,1.0029774856510676,1.003638984331205,1.0042013121431728,1.0047368078643644,1.0052361004882024,1.0057215725627715,1.006173673067154,1.0066163351476456,1.0070616939206776,1.0075065807725148,1.007929556997462,1.0083590727018197,1.0088020718688788,1.0092516779326615,1.009684766754635,1.0101218331981054,1.0105527646660466,1.0109975841005705,1.0114778650419993,1.0119814723739018,1.0125111027888183,1.0130392500228376,1.013568745603127,1.014101477214465,1.0146381190299862,1.01517961489208,1.0157230658562657,1.0162673258282133,1.0168140128234473,1.0173655538652537,1.0179195219303465,1.0184767260264875,1.0190368290671095,1.0196001681387798,1.0201640465489583,1.0207283968803313,1.0212966574158877
Anchorage - AK,1.0012060273346588,1.0023372826774504,1.0039407781055223,1.0055154019466725,1.0070642503496325,1.0085737002599837,1.0100566006949616,1.011485241123419,1.0128949176408957,1.0142678273921852,1.0156306746600972,1.0169944507726285,1.0183604715929901,1.019666736742833,1.0209837610095178,1.022330043881716,1.023694516627712,1.024990951505332,1.0263054214493135,1.0276184207226473,1.0289582790862275,1.0302142318191825,1.0314933282639058,1.032799438606312,1.0340970345397065,1.0353845679897233,1.0366698567319097,1.0379566161447438,1.0392391957567901,1.0405117902891772,1.0417812886728328,1.043049626000714,1.0443158734282014,1.0455845203709557,1.046850767798443,1.0481142286920722,1.0493739742072234,1.050625824543109,1.051872953252179,1.0531158247567434
Asheville - NC,1.0020461122875266,1.0039268421166063,1.0058357752187623,1.007760504711961,1.0096746180071312,1.011572743052258,1.0134557112363438,1.0153168074943706,1.0171707410163782,1.0190313896034038,1.020890439365425,1.022750128657448,1.0246105853854732,1.0264822978415287,1.0283584870075964,1.0302470191026971,1.0321420744038157,1.033981874312785,1.035827813709771,1.0376681891957418,1.0395195006447422,1.0413877596387884,1.0432664429718628,1.0451506262629517,1.0470262398520178,1.0488987836970756,1.0507651241011167,1.0526276912781474,1.0544855259331654,1.0563374129591674,1.0581833523561532,1.0600224487821206,1.0618557254850722,1.0636800487679998,1.065498296515911,1.067309509433803,1.069113303803675,1.070906354069518,1.0726917939283405,1.0744677047901372
Atlanta - GA,1.0028518751584268,1.0055547068140234,1.0082455714730425,1.0109362807165216,1.0136419098518377,1.0163304432777573,1.0189961306193014,1.0216081995995563,1.024205814934594,1.0268062277493515,1.0294111476147678,1.0320292778010816,1.0346571991664133,1.0373129399133993,1.0399921484069208,1.0427151840827134,1.045462464582741,1.0482496868765407,1.0510634852276752,1.0538836556159483,1.0567350645277551,1.0596377605677516,1.0625789996616604,1.065560491380421,1.068530482349224,1.0715085549261054,1.074484296269887,1.0774619026001486,1.0804353127108308,1.0834180477539113,1.086398917810512,1.089379010789413,1.0923536642244152,1.0953370209296553,1.0983196005571958,1.1013000043671766,1.1042724819846192,1.10725273037906,1.1102295596316216,1.113202503495684
Augusta - GA,1.001013502064598,1.0021213592151474,1.0032352432350615,1.0043564385391224,1.0056358144637159,1.0068910829108515,1.0081321239942416,1.0093532072479328,1.0105694492459052,1.0117658322153162,1.0129619187813157,1.0141573137393554,1.0153533015042178,1.0165372355303512,1.0177217623633075,1.0189142920883705,1.0201117618702897,1.021321285390938,1.0225335753434253,1.0237413204436052,1.024956969634755,1.0261816097293828,1.0274126718979235,1.0286451172823838,1.029866892144035,1.0310805653124422,1.032284852372823,1.0334812353422338,1.0346702082263606,1.035848411786541,1.0370156484205009,1.0381712265202803,1.0393178137165817,1.0404535327877995,1.0415788777396198,1.0426921689527109,1.0437936040293474,1.0448817009524727,1.045957151330046,1.0470182755427369
Austin - TX,1.004601641448952,1.0092122773530179,1.0138796174306284,1.0186114829470998,1.0233718960819762,1.0281561640760681,1.0329940077375779,1.037813080362328,1.042629806607483,1.0474641306996004,1.0523039296774392,1.0571578069328478,1.0620109020617245,1.0668991928845257,1.0718344112992255,1.076843931734432,1.0818698768268031,1.0869314086763642,1.0920504268260014,1.0972015121634362,1.1023791898029471,1.107583459744534,1.112869461908678,1.118207475487177,1.1235427516228147,1.128874899252326,1.1342117396410274,1.1395607029909691,1.1449155322898983,1.1502770096643464,1.1556404423551239,1.1610140426908124,1.166394682165286,1.1717757127030253,1.177162609189752,1.1825588911948586,1.1879567374530284,1.1933498909520084,1.1987453908305832,1.204143237088753
Bakersfield - CA,1.0009363014812818,1.0021375681447713,1.003370288739568,1.0046303605789793,1.0059689988685474,1.0073248000641113,1.0086429249202182,1.0099200229094025,1.0112145573170288,1.0125026641821708,1.0137968566992395,1.0151004170175888,1.0164156016148995,1.0177363248392448,1.0190758520442629,1.0204401321256573,1.02182123322249,1.0232263350364725,1.0246447705822048,1.026069086645529,1.027512548580084,1.0289793274506733,1.0304619016650276,1.031962937969497,1.0334524183731164,1.0349449074136436,1.0364354818670478,1.0379175774346214,1.0393979635494066,1.0408766402114031,1.0423482055498001,1.0438177195448506,1.0452830624750975,1.046745807037106,1.0482026710815222,1.049657073513923,1.051104364622724,1.0525474846667213,1.0539807582626572,1.0554087667440046
Baltimore - MD,1.0007474581160265,1.0015226388570138,1.0022981705173042,1.0030726494196847,1.0038625687714104,1.004599499308338,1.0052999342377225,1.0059365018539066,1.0065467505223433,1.0071317330009426,1.0077023277881065,1.0082718698173605,1.0088417627659179,1.0094155158268114,1.0099994455475008,1.0106135543282737,1.0112448581549085,1.0119098502346597,1.0125909846023629,1.013271066212156,1.013979221366213,1.0147126427101076,1.0154850160966684,1.0163002016382316,1.0171174926956148,1.0179154831913162,1.018718386557264,1.019529711986491,1.0203459502859642,1.0211565738765844,1.0219717594181477,1.022792910587867,1.023618272789226,1.0244278436219363,1.0252426782441963,1.0260603202208827,1.0268821732292086,1.027687182110976,1.028492541912047,1.0293024636640606
