Market,2025 Q2 EST,2025 Q3,2025 Q4,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2
Akron - OH,1,0.9999475258435221,0.9998950516870442,0.9998425775305662,0.9997638662958493,0.9997638662958493,1.0013118539119483,1.0018103583984888,1.002440048276224,1.003227160623393,1.0040929842052788,1.0050112819436428,1.0060082909167236,1.0070052998898043,1.008054783019363,1.0091305032271607,1.0102062234349583,1.011308180720995,1.0123839009287925,1.0134858582148292,1.0145878155008659,1.0156897727869025,1.0168179671511781,1.0179199244372146,1.0190218817232513,1.020123839009288,1.0212257962953246,1.022327753581361,1.0234297108673978,1.0245316681534344,1.0256336254394711,1.0267355827255076,1.0278375400115443,1.028939497297581,1.0300414545836176,1.0311434118696543,1.0322453691556908,1.0333473264417274,1.0344492837277641,1.0355512410138008,1.0366531982998373
Albany - NY,1,0.9999660712165165,1.002358050452101,1.0023071572768758,1.0034268071318302,1.0045634213785264,1.0056321780582558,1.008159872427774,1.0098732759936893,1.0118581098274722,1.014046516362156,1.0164215312059985,1.0189322611837752,1.0215278131202605,1.0242081870154545,1.0269564184776154,1.0353028992145488,1.0381020238519347,1.0409350772728043,1.0437850950854157,1.0466351128980271,1.0494851307106383,1.0523521129149915,1.0552190951193445,1.0580860773236975,1.060936095136309,1.063803077340662,1.066670059545015,1.0695200773576263,1.0723870595619793,1.0752370773745907,1.0780870951872021,1.0809371129998133,1.0837871308124247,1.0866371486250361,1.0894702020459057,1.092320219858517,1.0951702376711283,1.098003291091998,1.1008533089046093,1.1037033267172205
Albuquerque - NM,1,1.0083265421819083,1.0082911100875174,1.0141374056620487,1.0198774049534067,1.01982425681182,1.0221982071360238,1.0270346880204089,1.0285759841264217,1.0304716011763455,1.032615242887007,1.0349891932112107,1.0375580200545653,1.040250859228289,1.0430677107323814,1.0459908585196471,1.0490025865428905,1.0520497466605252,1.0551677709669418,1.0583212273677498,1.0615101158629487,1.0647167204053432,1.0679587570421287,1.07121850972611,1.0744959784572865,1.0777734471884632,1.0810863480140311,1.0843992488395988,1.0877121496651667,1.09104276653793,1.0943733834106935,1.0977040002834568,1.1010523332034157,1.1044006661233745,1.1077489990433333,1.1110973319632924,1.1144633809304467,1.1178294298976013,1.12117776281756,1.12456152783191,1.1279275767990646
Anchorage - AK,1,0.999923494759391,0.999923494759391,0.999846989518782,0.999770484278173,0.9996939790375641,0.9996939790375641,0.9996174737969551,0.9996174737969551,0.9996939790375641,0.999770484278173,0.999923494759391,1.0000765052406089,1.000229515721827,1.000459031443654,1.0006120419248719,1.000841557646699,1.0010710733685257,1.0013005890903528,1.0015301048121796,1.0017596205340067,1.0019891362558335,1.0022186519776606,1.0024481676994874,1.0026776834213145,1.0029837043837504,1.0032132201055772,1.0034427358274043,1.0036722515492311,1.0039017672710582,1.004131282992885,1.004437303955321,1.004666819677148,1.0048963353989748,1.0051258511208019,1.0053553668426287,1.0055848825644558,1.0058909035268917,1.0061204192487185,1.0063499349705456,1.0065794506923724
Asheville - NC,1,1.027314774413125,1.0403176542455712,1.0590801989702416,1.0684178375076359,1.0764464612967972,1.0820752247141985,1.0991796840911074,1.1034994327602758,1.1086045902783839,1.1143642551706083,1.1206038921371848,1.127236233528231,1.134174011693865,1.1413299589842045,1.1487040753992495,1.1562090932891178,1.1638013788288681,1.1714372981935597,1.1791604852081334,1.186883672222707,1.194650493062222,1.2024173139017367,1.2102277685661924,1.2180382232306484,1.225805044070163,1.233615498734619,1.241425953399075,1.2491927742385898,1.2570032289030457,1.2647700497425605,1.2725368705820752,1.2803473252465312,1.288114146086046,1.2958809669255607,1.3036477877650754,1.3114146086045904,1.319181429444105,1.3269482502836198,1.3346714372981936,1.3424382581377083
Atlanta - GA,1,1.0048276781943075,1.008141844076739,1.0118135471393321,1.0152944402042223,1.0182121658972516,1.0215096590614372,1.0229453653548326,1.0253944024127275,1.027817504131129,1.0305925854569435,1.0341716623070596,1.0374821231409919,1.040979688924128,1.044623604122978,1.0488510644604339,1.0526672644144912,1.056529777474787,1.0604182258745767,1.064323346992612,1.0682377307318953,1.0721558195196774,1.0760739083074597,1.0799938496194914,1.0839137909315233,1.087837437292054,1.0917647887010842,1.095688435061615,1.0996046713251477,1.1035134974916823,1.1074149135612186,1.111307067009507,1.1151936628850472,1.1190709961393395,1.122942771820883,1.1268071374054287,1.130667797941475,1.1345229009047728,1.1383705937710724,1.1422164341131225,1.1460659795036716
Augusta - GA,1,0.9999682418699187,0.9999364837398373,1.0097815040650406,1.009717987804878,1.009622713414634,1.010353150406504,1.0116869918699187,1.0134654471544715,1.0155932418699187,1.0179751016260163,1.0206110264227641,1.0233739837398375,1.0262957317073171,1.0293127540650406,1.032393292682927,1.0355373475609757,1.038744918699187,1.0419524898373984,1.045191819105691,1.0484311483739837,1.0517022357723578,1.0549733231707317,1.0582444105691058,1.0615154979674797,1.0647865853658536,1.0680576727642277,1.0713605182926829,1.074631605691057,1.0779026930894309,1.0811737804878048,1.0844131097560976,1.0876841971544715,1.0909552845528456,1.0941946138211383,1.0974657012195121,1.1007367886178863,1.1039761178861789,1.1072472052845528,1.1104865345528456,1.1137576219512195
Austin - TX,1,1.0079448469096204,1.0147345265964964,1.0208298770484248,1.026793120610518,1.032372332516114,1.038519911273326,1.045140617031343,1.0526246259531666,1.059948877705887,1.0643759946419904,1.0697094262874278,1.0757771264600884,1.0824162657376173,1.0895008817366834,1.096923445593467,1.1045948619636614,1.1124444690224704,1.1204108217048547,1.1284570529717906,1.136543223531002,1.1446508998629774,1.152770865207961,1.1608908305529442,1.1689985068849196,1.177087749697383,1.1851585589903346,1.1932017180040184,1.2012172267384345,1.2092112297000865,1.217174510129219,1.2251070680258316,1.2330058311366723,1.2408707994617412,1.2487019730010385,1.2565054962610678,1.2642782969885773,1.272026519690071,1.279747092112297,1.2874430865085071,1.2951206473852053
Bakersfield - CA,1,0.9999618029029794,1.0086325439266617,1.008594346829641,1.0085179526355996,1.0101604278074867,1.0100840336134453,1.0118029029793736,1.012070282658518,1.0126050420168067,1.0133307868601986,1.0141711229946524,1.0151642475171887,1.0162719633307868,1.0174178762414057,1.0186401833460657,1.0198624904507256,1.021161191749427,1.022498090145149,1.0238349885408708,1.025171886936593,1.0265469824293354,1.027922077922078,1.0292971734148204,1.030672268907563,1.032085561497326,1.0334988540870893,1.034873949579832,1.036287242169595,1.0377005347593582,1.0391138273491214,1.0404889228418641,1.041902215431627,1.0433155080213903,1.0447288006111535,1.0461420932009167,1.0475553857906799,1.048968678380443,1.0503819709702062,1.0517952635599694,1.0532085561497326
Baltimore - MD,1,1.0008772092677856,1.0027383781375316,1.0048594608643993,1.0067809668795484,1.0077788504381404,1.0090552131293629,1.0122809297489974,1.014104968067726,1.0161100178226645,1.018254307143918,1.0205239120748553,1.0228956260210902,1.0253601663448686,1.027908250408436,1.030521312936284,1.033194712609535,1.0359238081093123,1.0386900341601069,1.041498032080796,1.0443292365958712,1.0471975716619635,1.0500891133224417,1.053008502896183,1.055946457745433,1.0589029778701915,1.0618734219515817,1.0648577899896035,1.0678467993465024,1.0708497326600326,1.073848024654686,1.0768555992870934,1.079867815238378,1.0828893138274172,1.0859154537353335,1.0889415936432496,1.0919770161889202,1.0950124387345908,1.0980571439180158,1.1011018491014406,1.1041558369226199
