Market,Inv.,Rank,Geography Name
Akron - OH,1.0528196321737204,26,
Albany - NY,1.0935255824364403,64,
Albuquerque - NM,1.0604580095072813,35,
Anchorage - AK,1.0023773006134968,2,
Asheville - NC,1.2581378174174858,124,
Atlanta - GA,1.1837204782664388,102,
Augusta - GA,1.2288,121,
Austin - TX,1.3796589948372866,137,
Bakersfield - CA,1.0514478493112174,22,
Baltimore - MD,1.0599058115738345,33,
Baton Rouge - LA,1.088417939871858,59,
Beaumont - TX,1.0673231051064804,42,
Birmingham - AL,1.075902989429998,50,
Boise - ID,1.4285665898929685,141,
Boston - MA,1.153898326981461,93,
Brownsville-Harlingen - TX,1.084794452699356,56,
Buffalo - NY,1.0986973602591494,67,
Canton - OH,1.0252580544260244,9,
Charleston - SC,1.3376021553659632,132,
Charlotte - NC,1.3454930866147996,134,
Chattanooga - TN,1.216741645244216,118,
Chicago - IL,1.0727574042414698,48,
Cincinnati - OH,1.0917869661904942,62,
Cleveland - OH,1.0653231248981871,40,
Colorado Springs - CO,1.2813746826260428,127,
Columbia - SC,1.0622385207375653,38,
Columbus - OH,1.1614600529308492,98,
Corpus Christi - TX,1.1016277610856142,69,
Dallas-Fort Worth - TX,1.1925443755699765,107,
Dayton - OH,1.0417245899034833,14,
Daytona Beach - FL,1.418909298020789,138,
Denver - CO,1.212558460061325,115,
Des Moines - IA,1.139765961043596,88,
Detroit - MI,1.0560875637049532,27,
Durham - NC,1.1958602894431771,110,
East Bay - CA,1.0943086392489283,65,
El Paso - TX,1.052509601377301,24,
Fayetteville - NC,1.0691070531077231,46,
Flint - MI,1.0231293912508335,7,
Fort Lauderdale - FL,1.1683956104563924,101,
Fort Myers - FL,1.6024280536267959,147,
Fort Wayne - IN,1.1212836656173488,81,
Fresno - CA,1.0486075105547736,19,
Grand Rapids - MI,1.1486440749672124,91,
Greensboro - NC,1.0970137941488556,66,
Greenville - SC,1.2274709302325582,120,
Gulfport-Biloxi-Pascagoula - MS,1.0571160013269933,29,
Harrisburg - PA,1.1144033477321815,75,
Hartford - CT,1.07228532966285,47,
Honolulu - HI,1.047816697037187,17,
Houston - TX,1.1569972252287086,96,
Huntsville - AL,1.6719433451364298,149,
