Market,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1
Akron - OH,1,1.0,1.0,1.005484156880124,1.0144582317748725,1.0192776423664969,1.0192776423664969,1.0220474185685797,1.0258974074894749,1.0271992023044538,1.031353866607578,1.031353866607578,1.0340682472856193,1.034926877908265,1.0427930423221803,1.0427930423221803,1.0523764679813872,1.0523764679813872,1.0523764679813872,1.0528196321737204
Albany - NY,1,1.0026673630411669,1.0127212698886423,1.0190445990561638,1.0211710283337374,1.021861185204529,1.0267482419652683,1.033314058681987,1.033314058681987,1.0401969745015016,1.046538956557423,1.0580850944768798,1.0611814739512413,1.0629721512376191,1.0644084236444014,1.0676913320027606,1.0732685456342914,1.0830240062673706,1.087015724384921,1.0935255824364403
Albuquerque - NM,1,1.0,1.0069795517995925,1.0071304610276919,1.0098468271334793,1.0117709197917453,1.0117709197917453,1.0117709197917453,1.0117709197917453,1.0117709197917453,1.012261374783068,1.0125443295857541,1.016430242209311,1.0256545687768808,1.0375763977967252,1.0517052742775221,1.0561948238134762,1.0561948238134762,1.0599864181694711,1.0604580095072813
Anchorage - AK,1,0.9950920245398773,0.9950920245398773,0.9950920245398773,0.9950920245398773,0.998159509202454,0.998159509202454,0.998159509202454,0.9965490797546013,0.9965490797546013,0.9965490797546013,0.9973926380368098,0.9973926380368098,0.9973926380368098,0.9973926380368098,1.001073619631902,1.0039110429447853,1.0042177914110428,1.0023773006134968,1.0023773006134968
Asheville - NC,1,1.0064193603363063,1.0064193603363063,1.031869567687326,1.0436857353860138,1.0754984945747883,1.0903823211952508,1.0903823211952508,1.1177640174970176,1.1366812475146282,1.1419644378799068,1.159177412940976,1.1759927285121854,1.1759927285121854,1.187468045219565,1.187468045219565,1.2208714423677782,1.2308697381128217,1.2308697381128217,1.2581378174174858
Atlanta - GA,1,1.0142799722616067,1.019288784060141,1.0264773565487786,1.0295449225047593,1.0329282997866618,1.0375572546057659,1.0416120070141033,1.0475572104363498,1.0577735964063764,1.0695447458270944,1.0768702435059916,1.0935066541225524,1.1030825835574931,1.1163002813591814,1.1293170083171011,1.14856383143184,1.161629144747594,1.1724815703110851,1.1837204782664388
Augusta - GA,1,1.0118634146341463,1.0122146341463414,1.0336,1.0336,1.039648780487805,1.0597073170731708,1.0777365853658536,1.094009756097561,1.1053268292682927,1.1282731707317073,1.1326439024390245,1.1355707317073171,1.147668292682927,1.147668292682927,1.1687024390243903,1.1850926829268293,1.2049560975609757,1.2104975609756097,1.2288
Austin - TX,1,1.0082869490208868,1.0237707978387842,1.0344910457176943,1.0443444040563563,1.0563821523751487,1.0743293407777115,1.0937442332533678,1.1079534969551579,1.1224159610672182,1.136363441293983,1.150851654600308,1.175815498440028,1.2044571855272361,1.2274383414085668,1.2651523279417383,1.2976006042477588,1.3405588433461937,1.3641751460193892,1.3796589948372866
Bakersfield - CA,1,1.0,1.0,1.0062251496044017,1.0245391381179967,1.0316880195991807,1.0316880195991807,1.0316880195991807,1.0316880195991807,1.0316880195991807,1.0316880195991807,1.033655970119282,1.033655970119282,1.03397726816338,1.03397726816338,1.0377525201815334,1.0457849712839873,1.0514478493112174,1.0514478493112174,1.0514478493112174
Baltimore - MD,1,1.0029341420716522,1.0033533052247454,1.0081317651700077,1.0091772073871341,1.0102719629163892,1.0118647828981433,1.0128855684592055,1.0139951179820992,1.0152476761101659,1.0176837537293193,1.0210419902852774,1.031096974628301,1.0341543999802747,1.0359937865226718,1.0415415341371403,1.0487018270582145,1.05445175925241,1.0565919569987918,1.0599058115738345
Baton Rouge - LA,1,1.0051749630359783,1.0051749630359783,1.0059635288319368,1.0126170527353375,1.016436668309512,1.016436668309512,1.0149581074420897,1.0191227205519962,1.0246426811237062,1.0248891079349434,1.0281419418432725,1.0281419418432725,1.0355101034992606,1.0532528339083291,1.0534499753573188,1.0733612617052735,1.0846229669788072,1.0871365204534253,1.088417939871858
Beaumont - TX,1,1.0,1.0,1.0,1.0,1.0,1.012594458438287,1.0392718113121135,1.048259674833982,1.048259674833982,1.048259674833982,1.0488321502175406,1.0494046256010992,1.0611403709640486,1.0611403709640486,1.0611403709640486,1.0611403709640486,1.0673231051064804,1.0673231051064804,1.0673231051064804
