Market,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2 QTD,2025 Q2 EST,2025 Q3,2025 Q4,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2
Akron - OH,34598,34917,34917,35153,35153,35335,35446,35446,35436,35628,35628,35678,35678,35648,35648,35624,35792,35792,35864,36122,36104,36104,36104,36302,36626,36800,36800,36900,37039,37086,37236,37236,37334,37365,37649,37649,37995,37995,37995,38011,38011,38114,38112,38110,38108,38105,38105,38164,38183,38207,38237,38270,38305,38343,38381,38421,38462,38503,38545,38586,38628,38670,38712,38755,38797,38839,38881,38923,38965,39007,39049,39091,39133,39175,39217,39259,39301,39343,39385,39427,39469,39511
Albany - NY,46152,46551,47067,48093,48328,48433,48840,49618,50042,50198,50876,50882,51162,51467,51840,52330,52414,52464,52464,53001,53611,53754,54293,54632,54746,54783,55045,55397,55397,55766,56106,56725,56891,56987,57064,57240,57539,58062,58276,58625,58625,58947,58945,59086,59083,59149,59216,59279,59428,59529,59646,59775,59915,60063,60216,60374,60536,61028,61193,61360,61528,61696,61864,62033,62202,62371,62539,62708,62877,63045,63214,63382,63550,63718,63886,64054,64221,64389,64557,64724,64892,65060
Albuquerque - NM,51116,51509,52094,52128,52156,52385,52416,52485,52485,52318,52364,52433,52659,52659,52728,52855,52855,52980,52980,53038,53012,53012,53382,53390,53534,53636,53636,53636,53636,53636,53662,53677,53883,54372,55004,55753,55991,55991,56192,56217,56237,56446,56916,56914,57244,57568,57565,57699,57972,58059,58166,58287,58421,58566,58718,58877,59042,59212,59384,59560,59738,59918,60099,60282,60466,60651,60836,61023,61210,61397,61585,61773,61961,62150,62339,62528,62717,62907,63097,63286,63477,63667
Anchorage - AK,12814,12814,12814,12814,12814,12866,12866,12866,12866,12899,12899,12979,12990,12990,12990,12990,12990,12990,13040,13040,13040,12976,12976,12976,12976,13016,13016,13016,12995,12995,12995,13006,13006,13006,13006,13054,13091,13095,13071,13071,13071,13071,13070,13070,13069,13068,13067,13067,13066,13066,13067,13068,13070,13072,13074,13077,13079,13082,13085,13088,13091,13094,13097,13100,13103,13106,13110,13113,13116,13119,13122,13125,13129,13132,13135,13138,13141,13144,13148,13151,13154,13157
Asheville - NC,12565,12894,12894,13086,13086,13122,13290,13278,13590,14157,14976,15038,15038,15797,16153,16153,16321,16321,16663,17312,17603,17716,17716,18164,18372,18932,19194,19194,19676,20009,20102,20405,20701,20701,20903,20903,21491,21667,21667,22147,22646,22918,23544,23842,24272,24486,24670,24799,25191,25290,25407,25539,25682,25834,25993,26157,26326,26498,26672,26847,27024,27201,27379,27557,27736,27915,28093,28272,28451,28629,28808,28986,29164,29343,29521,29699,29877,30055,30233,30411,30588,30766
Atlanta - GA,404529,407142,408671,409841,412522,414420,416347,418880,422802,425477,428367,430459,431614,434492,435665,439478,442436,444618,447038,449981,452802,459268,461536,464791,466180,467712,469808,471644,474336,478962,484292,487609,495142,499478,505463,511357,520072,525988,530902,535991,537168,539804,542410,544199,546181,548060,549635,551415,552190,553512,554820,556318,558250,560037,561925,563892,566174,568234,570319,572418,574526,576639,578754,580869,582985,585101,587219,589339,591457,593571,595681,597787,599888,601986,604079,606169,608255,610339,612420,614497,616573,618651
Augusta - GA,23350,23372,23422,23842,23842,24094,24094,24094,24094,24492,24492,24492,24772,24772,24804,25032,25513,25625,25625,25625,25625,25929,25938,26486,26486,26641,27155,27617,28034,28324,28912,29024,29099,29409,29409,29948,30368,30877,31019,31488,31488,31488,31487,31486,31796,31794,31791,31814,31856,31912,31979,32054,32137,32224,32316,32411,32508,32607,32708,32809,32911,33013,33116,33219,33322,33425,33528,33631,33735,33838,33941,34044,34146,34249,34352,34454,34557,34660,34762,34865,34967,35070
Austin - TX,183422,185635,187423,190013,192239,194435,198077,200123,201074,205006,208472,209361,212353,214699,215753,218372,220336,222470,226141,229689,233017,234948,238556,241054,243350,246155,250337,254861,258172,261542,264792,268168,273985,280659,286014,294802,302363,312373,317876,321484,323042,325494,328080,330290,332274,334215,336031,338032,340187,342623,345007,346448,348184,350159,352320,354626,357042,359539,362094,364687,367306,369938,372577,375220,377863,380502,383135,385762,388380,390989,393591,396183,398765,401336,403896,406445,408985,411515,414037,416550,419055,421554
Bakersfield - CA,23895,23895,23895,23895,24108,24108,24222,24286,24286,24286,24286,24286,24286,24286,24286,24286,24286,24286,24430,24470,24899,24899,24899,25054,25510,25688,25688,25688,25688,25688,25688,25737,25737,25745,25745,25839,26039,26180,26180,26180,26180,26180,26179,26406,26405,26403,26446,26444,26489,26496,26510,26529,26551,26577,26606,26636,26668,26700,26734,26769,26804,26839,26875,26911,26947,26983,27020,27057,27093,27130,27167,27204,27240,27277,27314,27351,27388,27425,27462,27499,27536,27573
Baltimore - MD,185326,186257,186510,187110,187643,188107,189200,189671,190350,192676,193306,195024,195826,196499,196864,197631,198142,198715,199617,201410,202785,203380,203465,204434,204646,204868,205191,205398,205623,205877,206371,207052,209091,209711,210084,211209,212661,213827,214261,214933,214933,215456,215645,216046,216503,216917,217132,217407,218102,218495,218927,219389,219878,220389,220920,221469,222032,222608,223196,223792,224397,225007,225625,226248,226877,227510,228147,228787,229430,230074,230721,231367,232015,232664,233315,233967,234619,235273,235927,236583,237239,237897
