Market,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1
Akron - OH,705914.625,705742.375,705495.5,705252.375,705031.9375,704727.3125,704826.75,704907.4375,704903.0,704886.125,704800.125,704661.3125,704519.4375,704354.9375,704159.4375,703939.5,703683.5,703459.75,703130.625,702750.1875,702219.0,701674.0,700322.3125,698873.5,697508.75,696512.0,696553.25,696833.6875,697072.8125,697511.0,697639.75,697863.25,698169.9375,698398.0,698229.125,698137.0,698068.3125,697983.5625,697936.5625,697896.0
Albany - NY,886272.0,886964.0,887639.375,888315.6875,888996.0,889662.1875,890349.9375,891034.4375,891704.5625,892372.9375,893043.375,893705.0625,894366.5,895024.3125,895643.125,896258.0,896866.875,897481.625,898089.125,898688.1875,899262.0,899724.0,900920.25,901990.75,903168.5,904824.0,904246.0,903978.875,903658.0,903595.0,903746.25,904020.0625,904402.0,904682.0,904226.9375,903059.5625,901774.4375,900672.8125,899899.0,899459.0
Albuquerque - NM,904400.3125,904558.25,905164.4375,905774.875,906414.1875,906944.8125,907553.5625,908138.125,908612.5,909070.375,909567.375,909995.9375,910420.125,910814.5625,911481.1875,912115.875,912703.1875,913331.5,914507.0625,915616.0625,916528.0,917579.0,917952.0,918197.0625,918551.8125,919392.0,919303.3125,919530.375,919702.875,920138.0,920554.8125,921096.375,921748.0,922296.0,922753.1875,923310.75,923965.875,924693.8125,925487.8125,926276.125
Anchorage - AK,400406.40625,400566.09375,401272.875,401981.90625,402703.78125,403377.59375,403209.28125,403030.3125,402802.625,402567.90625,401873.28125,401148.5,400422.09375,399682.90625,399340.90625,398985.1875,398609.0,398251.09375,398324.5,398369.0,398328.0,398397.0,398804.59375,399156.59375,399556.21875,400167.0,400119.1875,400208.90625,400274.8125,400455.0,400616.40625,400832.0,401095.625,401314.0,401310.40625,401440.5,401718.90625,402134.1875,402672.40625,403197.8125
Asheville - NC,445862.90625,447156.3125,448665.3125,450176.90625,451703.5,453176.21875,454459.28125,455730.71875,456947.28125,458155.90625,459358.0,460525.78125,461691.90625,462843.1875,463747.71875,464636.28125,465501.09375,466387.09375,467318.78125,468217.09375,469015.0,469781.0,470632.125,471417.375,472258.78125,473350.0,474016.59375,474845.875,475646.90625,476584.0,477417.125,478314.90625,479269.90625,480171.0,481323.3125,482571.0,483833.59375,485103.5,486339.6875,487531.71875
Atlanta - GA,5681309.0,5704653.0,5730552.0,5756483.0,5782600.0,5808024.0,5829766.0,5851356.0,5872239.0,5893015.0,5912030.0,5930603.0,5949149.0,5967502.0,5986444.0,6005178.0,6023602.0,6042297.0,6058860.0,6074989.0,6089815.0,6105757.0,6115171.0,6123730.0,6133018.0,6145550.0,6163178.0,6182919.0,6202293.0,6223443.0,6239852.0,6257104.0,6275106.0,6292404.0,6310491.0,6330022.0,6351223.0,6372389.0,6393851.0,6414516.0
Augusta - GA,588219.0,589767.5,591083.6875,592402.5625,593740.125,595006.25,596266.9375,597511.5,598683.5,599844.3125,600833.5,601777.3125,602718.0,603639.0,604763.3125,605866.25,606937.5,608035.875,609097.25,610114.3125,611000.0,612172.0,613122.0625,613986.5625,614924.1875,616187.0,617951.5,619927.9375,621867.375,623985.0,625262.5625,626625.0,628062.3125,629429.0,630025.1875,630397.5625,630647.1875,630953.0,631443.125,631982.4375
Austin - TX,1992832.0,2007760.0,2022761.0,2037773.0,2052850.125,2067680.875,2081137.0,2094540.0,2107688.0,2120798.0,2133601.0,2146243.0,2158876.0,2171437.0,2186731.0,2201948.0,2217050.0,2232250.0,2249557.0,2266707.0,2283371.0,2300135.0,2314557.0,2328653.0,2343022.0,2358634.0,2374057.0,2390292.0,2406385.0,2423170.0,2436353.0,2449376.0,2461711.0,2473275.0,2485843.0,2497629.0,2509418.0,2521289.0,2533181.0,2545105.0
Bakersfield - CA,880156.3125,881982.75,883275.1875,884572.875,885899.75,887120.8125,888906.5,890669.375,892325.3125,893965.8125,895750.0,897467.6875,899181.875,900867.6875,902339.8125,903781.125,905176.375,906613.25,907595.5,908512.6875,909235.0,905910.0,907530.375,909024.0,910625.625,912709.0,913446.0,914496.6875,915493.0,916751.0,915896.1875,915165.6875,914544.375,913820.0,913202.875,912957.1875,912813.0,912720.8125,912931.5,913370.5
Baltimore - MD,2813645.0,2817051.0,2819017.0,2820999.0,2823073.0,2824809.0,2827101.0,2829319.0,2831196.0,2833023.0,2834852.0,2836469.0,2838074.0,2839588.0,2840720.0,2841754.0,2842642.0,2843661.0,2844285.0,2844703.0,2844510.0,2842668.0,2842557.0,2842051.0,2841884.0,2843219.0,2840267.0,2838292.0,2836148.0,2834813.0,2834311.0,2834194.0,2834414.0,2834316.0,2836138.0,2838110.0,2840324.0,2842613.0,2844999.0,2847331.0
Baton Rouge - LA,835005.1875,836416.875,838183.6875,839956.125,841756.5625,843457.5,843231.625,842983.0625,842632.375,842266.75,842784.4375,843239.0625,843690.3125,844114.625,844948.625,845753.8125,846515.9375,847317.0,848155.875,848934.0,849530.0,849323.0,849905.5,850369.375,850934.8125,851950.0,851678.5,851699.6875,851670.3125,851884.0,852174.6875,852580.875,853088.9375,853501.0,854166.0625,854905.875,855777.5625,856688.5,857609.0625,858489.8125
Beaumont - TX,411238.40625,412098.6875,412634.0,413171.6875,413722.90625,414224.90625,414661.71875,415087.59375,415463.59375,415832.3125,414629.5,413394.90625,412158.125,410907.5,410756.1875,410590.6875,410404.0,410236.0,410134.0,410002.09375,409782.0,409395.0,408945.0,408438.1875,407980.40625,407738.0,407314.09375,407030.21875,406722.09375,406530.0,406886.6875,407215.78125,407430.21875,407518.0,408158.28125,408608.625,409029.5,409495.78125,409783.6875,409896.6875
