Market,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2026 Q1,2026 Q2 EST,2026 Q2 QTD,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1
Akron - OH,2209415680.0,2225285888.0,2262963968.0,2226692864.0,2258970368.0,2283621120.0,2298491648.0,2305865728.0,2313845760.0,2356826368.0,2365811712.0,2410893056.0,2432726272.0,2483137280.0,2516323840.0,2485509888.0,2530279168.0,2528769792.0,2594096128.0,2620752640.0,2714769408.0,2844780544.0,2951672832.0,3032717056.0,3153304576.0,3231976192.0,3093632256.0,2978977280.0,2909283072.0,2831452928.0,2770769664.0,2733786880.0,2769806080.0,2785062656.0,2835254272.0,2872708096.0,2899870720.0,2924627200.0,2949618432.0,2966793472.0,2997520128.0,3026039808.0,3010987264.0,3034663168.0,3046869504.0,3058904576.0,3078252800.0,3099318272.0,3118051072.0,3138621440.0,3160877824.0,3181289984.0,3201775616.0,3221991424.0,3242018560.0,3259900160.0,3277082368.0,3293628672.0,3309512192.0,3325049856.0,3340320512.0,3355430656.0
Albany - NY,7685609984.0,7643523072.0,7917157888.0,7933299200.0,8031133184.0,8124686336.0,8178044928.0,8225515520.0,8297483264.0,8388317696.0,8459478016.0,8533545472.0,8631484416.0,8952542208.0,9088112640.0,9130404864.0,9305911296.0,9264900096.0,9479780352.0,9628121088.0,9932348416.0,10363000832.0,10636961792.0,10907748352.0,10846294016.0,10797083648.0,10515534848.0,10161480704.0,9883726848.0,9940071424.0,9684527104.0,9427303424.0,9404807168.0,9408790528.0,9428825088.0,9471997952.0,9561797632.0,9620251648.0,10181651456.0,10244620288.0,10320195584.0,10404578304.0,10364936192.0,10447666176.0,10508251136.0,10566307840.0,10652261376.0,10742109184.0,10823007232.0,10910929920.0,11004140544.0,11088860160.0,11173917696.0,11257395200.0,11340886016.0,11417162752.0,11491223552.0,11564577792.0,11635568640.0,11706377216.0,11776202752.0,11845276672.0
Albuquerque - NM,5360376320.0,5342809600.0,5367101440.0,5446398976.0,5436705792.0,5499891712.0,5523194880.0,5563121664.0,5502656512.0,5548673536.0,5820679168.0,5846341632.0,6078292480.0,6116722688.0,6289710592.0,6492534784.0,6591479296.0,6873873920.0,7106142720.0,7330606080.0,7646287872.0,8122808832.0,8945579008.0,9079651328.0,9493870592.0,9460943872.0,8988958720.0,8790389760.0,8514856960.0,8344530944.0,8255114240.0,8088520192.0,8096685056.0,8203778048.0,8206872064.0,7981701632.0,8077264384.0,8274963456.0,8388678144.0,8315887616.0,8343556096.0,8362201088.0,8361794048.0,8362049536.0,8376072192.0,8392848896.0,8437338112.0,8493097472.0,8548139520.0,8610913280.0,8679341056.0,8740085760.0,8802150400.0,8862583808.0,8922910720.0,8976648192.0,9028404224.0,9079112704.0,9127965696.0,9175932928.0,9223459840.0,9269773312.0
Anchorage - AK,1150779008.0,1135563136.0,1119931264.0,1114083584.0,1154821248.0,1130606848.0,1114448896.0,1119234048.0,1122954368.0,1134490880.0,1128116096.0,1114327552.0,1123236096.0,1136878976.0,1146846464.0,1165159808.0,1191650176.0,1206872320.0,1235833472.0,1276209792.0,1324967552.0,1369697792.0,1436966656.0,1463795840.0,1454579456.0,1453202048.0,1413922688.0,1380102656.0,1339146496.0,1330422656.0,1294042240.0,1262959488.0,1258763520.0,1284365696.0,1287136512.0,1274932992.0,1292927872.0,1331066752.0,1334524032.0,1323581312.0,1332163712.0,1343032064.0,1339915392.0,1348390912.0,1354501120.0,1360166528.0,1369344896.0,1379319168.0,1388674304.0,1398670976.0,1409226112.0,1419047296.0,1429001216.0,1438923648.0,1448800640.0,1457875712.0,1466754816.0,1475604224.0,1484256896.0,1492864768.0,1501470592.0,1510075648.0
Asheville - NC,3553070080.0,3617953280.0,3683502080.0,3743323392.0,3756464384.0,3839499264.0,3866798848.0,3901071104.0,4056667136.0,4180329472.0,4241254144.0,4371918848.0,4429001728.0,4499203584.0,4571793408.0,4635592192.0,4808669696.0,4993053696.0,5154605056.0,5256351232.0,5515240448.0,5899699200.0,6223188992.0,6405831168.0,6491934720.0,6942143488.0,6964368384.0,6674401280.0,6485417984.0,6246506496.0,6131887104.0,6102981632.0,5863145984.0,5852696064.0,5980818944.0,5971604480.0,5966142976.0,6073987072.0,6027345920.0,6155913728.0,6107158016.0,6106329600.0,6110726144.0,6102055936.0,6106847744.0,6122339328.0,6155131392.0,6198482944.0,6240400384.0,6289224192.0,6342867968.0,6392586752.0,6442991616.0,6492535808.0,6541917696.0,6586345984.0,6629593088.0,6672376832.0,6713812480.0,6755156480.0,6796020224.0,6836730368.0
Atlanta - GA,74914496512.0,76367454208.0,77515415552.0,77985947648.0,79243001856.0,81159061504.0,82687074304.0,83550175232.0,85067268096.0,87049297920.0,89608331264.0,91260002304.0,93184401408.0,95519170560.0,97559871488.0,99270410240.0,101311643648.0,103017373696.0,106656997376.0,111162195968.0,116889968640.0,125874290688.0,134040354816.0,139308662784.0,142833074176.0,144965337088.0,141497794560.0,136407867392.0,132054638592.0,127660064768.0,124178702336.0,122150731776.0,121320947712.0,120728002560.0,120808521728.0,120843706368.0,121641959424.0,122509041664.0,122310737920.0,122376585216.0,122122739712.0,122508075008.0,122093748224.0,123109490688.0,123753218048.0,124257992704.0,125134225408.0,126051254272.0,126873419776.0,127780421632.0,128758964224.0,129631150080.0,130513928192.0,131384729600.0,132260954112.0,133047828480.0,133824241664.0,134600974336.0,135365459968.0,136131010560.0,136906891264.0,137688219648.0
Augusta - GA,2728143360.0,2812669184.0,2857443328.0,2834293248.0,2884077824.0,2948160000.0,2967045376.0,3005990400.0,3045478656.0,3097383424.0,3125272064.0,3107052032.0,3190176256.0,3248003584.0,3506335488.0,3490232064.0,3574805248.0,3667813632.0,3811428864.0,3914172160.0,4063995648.0,4226715136.0,4498510848.0,4519582720.0,4656722944.0,4634645504.0,4602419712.0,4425445888.0,4331236352.0,4198930432.0,4094313216.0,4019643392.0,4007960576.0,4039565312.0,4055593984.0,4107710208.0,4221319424.0,4321600000.0,4320998400.0,4464516608.0,4398924800.0,4404542976.0,4412242944.0,4405660672.0,4414400000.0,4428405760.0,4455633408.0,4489030144.0,4521613312.0,4558487040.0,4598019072.0,4634653696.0,4671586816.0,4707411968.0,4742904832.0,4774926336.0,4805752832.0,4836087808.0,4865316864.0,4894375936.0,4922666496.0,4950715904.0
Austin - TX,59284705280.0,59915071488.0,61156126720.0,61119664128.0,62298566656.0,63014854656.0,63672770560.0,64102862848.0,64841449472.0,66550755328.0,68475146240.0,68806852608.0,70150234112.0,71992713216.0,73283452928.0,74641276928.0,75492212736.0,75985920000.0,77002424320.0,79741599744.0,83853680640.0,89422708736.0,94199947264.0,98045394944.0,99697958912.0,99948888064.0,97278787584.0,93790642176.0,91045339136.0,88007680000.0,84742594560.0,82466996224.0,81725267968.0,81246707712.0,80547979264.0,80240918528.0,80460472320.0,80319086592.0,79336759296.0,78169604096.0,77565091840.0,77554442240.0,77392658432.0,78006624256.0,78475558912.0,78871904256.0,79533301760.0,80309903360.0,81029316608.0,81763401728.0,82511880192.0,83146227712.0,83757621248.0,84333314048.0,84898603008.0,85396119552.0,85876375552.0,86356598784.0,86822526976.0,87291256832.0,87764025344.0,88236589056.0
Bakersfield - CA,2582792704.0,2566520320.0,2578992896.0,2604363264.0,2620397056.0,2690371840.0,2714905600.0,2732705024.0,2769216512.0,2749517824.0,2839779840.0,2875141120.0,2898121728.0,2944551424.0,2983828224.0,3008871680.0,3056434432.0,3124993792.0,3239852800.0,3370395648.0,3498792960.0,3669934080.0,3857369088.0,4000329216.0,4076779776.0,4069619968.0,4075773440.0,3881816832.0,3785677568.0,3673607424.0,3610935296.0,3509713408.0,3523706112.0,3526049792.0,3618025984.0,3593658368.0,3630177536.0,3659788800.0,3577142016.0,3600320000.0,3642527488.0,3663277056.0,3653486592.0,3679223040.0,3695427840.0,3710666752.0,3736122624.0,3764293376.0,3790712064.0,3819456256.0,3850325248.0,3878850048.0,3908000768.0,3937146368.0,3966478592.0,3993471232.0,4019977216.0,4046428416.0,4072304640.0,4098129664.0,4124032256.0,4149968896.0
Baltimore - MD,32756162560.0,32782925824.0,33221421056.0,32795090944.0,33130098688.0,33378793472.0,33676619776.0,33629661184.0,33850275840.0,34192758784.0,34702864384.0,35026886656.0,35507216384.0,36216078336.0,35978571776.0,36491059200.0,36928962560.0,37485170688.0,38614351872.0,40261345280.0,41847345152.0,43293167616.0,45767397376.0,46715559936.0,47132884992.0,47285231616.0,45796831232.0,44104794112.0,42732535808.0,41619382272.0,40525176832.0,39989071872.0,40094568448.0,40219262976.0,40315129856.0,40135970816.0,40500920320.0,40636035072.0,40805842944.0,40382533632.0,40383746048.0,40501321728.0,40448671744.0,40561733632.0,40672473088.0,40784056320.0,41019645952.0,41315352576.0,41591865344.0,41897443328.0,42228645888.0,42531127296.0,42841440256.0,43150872576.0,43461603328.0,43743170560.0,44018896896.0,44291129344.0,44553375744.0,44813320192.0,45071826944.0,45327486976.0
Baton Rouge - LA,4017450496.0,4051633920.0,4187538432.0,4189977856.0,4205248768.0,4198297088.0,4181146368.0,4146989568.0,4132049664.0,4324824064.0,4307464704.0,4214546176.0,4236470016.0,4410563072.0,4493646336.0,4521516032.0,4578207232.0,4683113984.0,4832025600.0,5080013312.0,5453533696.0,5645678080.0,5770910720.0,5947472896.0,6028194304.0,6323070464.0,5922273280.0,5636160000.0,5470879744.0,5281257472.0,5080126976.0,5008217088.0,4893908480.0,4909912064.0,4933785600.0,4955804672.0,4901691392.0,4837816832.0,4849796096.0,4596029440.0,4611477504.0,4615216128.0,4623318528.0,4615080960.0,4622722048.0,4634862080.0,4659907584.0,4690898944.0,4722260480.0,4757711872.0,4795668480.0,4831369216.0,4867421696.0,4902615040.0,4937464320.0,4969353728.0,5000180736.0,5030486016.0,5059632128.0,5088742912.0,5117232640.0,5145592832.0
Beaumont - TX,1340227456.0,1343559808.0,1316966528.0,1328202880.0,1339875712.0,1362751616.0,1360928640.0,1372753536.0,1365758336.0,1396494336.0,1383706752.0,1401079040.0,1422268160.0,1448547840.0,1465430272.0,1490144384.0,1567330688.0,1672003584.0,1692792704.0,1734453760.0,1797512960.0,1839703424.0,1911920256.0,1961596928.0,1962608640.0,1929283456.0,1877602944.0,1819430400.0,1761480960.0,1711713920.0,1672398336.0,1652857472.0,1650527872.0,1646940544.0,1634088832.0,1646445184.0,1668743168.0,1693407232.0,1701580032.0,1687871488.0,1692395776.0,1683498880.0,1692718720.0,1683835392.0,1686648448.0,1690022528.0,1698955520.0,1709881600.0,1720918144.0,1733179392.0,1746410496.0,1758375296.0,1770553472.0,1782421376.0,1794185600.0,1804722048.0,1814951168.0,1824871808.0,1834479488.0,1843903872.0,1853243520.0,1862413824.0
Birmingham - AL,6387065344.0,6539550720.0,6504532480.0,6573747200.0,6628854272.0,6719352832.0,6836030464.0,6884446208.0,6916501504.0,7095272448.0,7178759680.0,7328907264.0,7328568320.0,7451419648.0,7565600256.0,7632226816.0,7700651520.0,7932284928.0,8062979584.0,8160430080.0,8437598208.0,8909760512.0,9183947776.0,9341191168.0,9496600576.0,9568569344.0,9286665216.0,8982158336.0,8690613248.0,8380390912.0,8155124224.0,7989722624.0,7936634368.0,7964434432.0,7988921856.0,7946822656.0,8229082112.0,8261838848.0,8238199808.0,8450679808.0,8623662080.0,8653045760.0,8644926464.0,8655484928.0,8673000448.0,8700300288.0,8753729536.0,8818705408.0,8881773568.0,8952734720.0,9028761600.0,9098966016.0,9169405952.0,9237955584.0,9305714688.0,9366666240.0,9425184768.0,9482690560.0,9537305600.0,9591502848.0,9644779520.0,9697243136.0
Boise - ID,5519241728.0,5610606592.0,5671699968.0,5689214976.0,5820012544.0,5912374784.0,6005849088.0,6080836608.0,6138061312.0,6280387584.0,6380213248.0,6499659264.0,6718372864.0,6744053248.0,7135879168.0,7426756608.0,7960122368.0,8153501184.0,8415569920.0,8818678784.0,9287724032.0,9813253120.0,10567740416.0,11564017664.0,12067983360.0,12355820544.0,12275799040.0,12103887872.0,11689361408.0,11542987776.0,11122569216.0,10849259520.0,10886169600.0,10932207616.0,10986795008.0,11032360960.0,11097882624.0,11268769792.0,11251329024.0,11183087616.0,11405052928.0,11439142912.0,11427764224.0,11481743360.0,11518271488.0,11553369088.0,11623218176.0,11703659520.0,11775783936.0,11857636352.0,11948888064.0,12031754240.0,12117927936.0,12204223488.0,12291838976.0,12371406848.0,12449628160.0,12527664128.0,12603616256.0,12679767040.0,12756414464.0,12833717248.0
Boston - MA,101814665216.0,103380582400.0,103957192704.0,105424764928.0,106335584256.0,108357558272.0,109690535936.0,111056175104.0,112293912576.0,113685299200.0,115976052736.0,116468342784.0,119660036096.0,122192101376.0,123479572480.0,124649709568.0,126718337024.0,126971846656.0,128056147968.0,132122230784.0,137702146048.0,146070044672.0,152371920896.0,154923876352.0,157751296000.0,159994183680.0,154531872768.0,148033667072.0,144573906944.0,142156087296.0,138172104704.0,135562321920.0,135965696000.0,136711380992.0,136568700928.0,139334533120.0,139604983808.0,140019924992.0,139474386944.0,137899245568.0,140109365248.0,140217909248.0,140736823296.0,139915640832.0,139863490560.0,139918114816.0,140554633216.0,141337493504.0,142082179072.0,142884634624.0,143817015296.0,144691576832.0,145613832192.0,146555666432.0,147527548928.0,148413104128.0,149294874624.0,150179086336.0,151049519104.0,151920312320.0,152791449600.0,153662046208.0
Brownsville-Harlingen - TX,597749440.0,591845760.0,611882432.0,595811392.0,600383104.0,608230080.0,616986432.0,639150400.0,638838848.0,637238976.0,642988736.0,636672064.0,651622208.0,659485760.0,666732224.0,671658304.0,680181760.0,695379328.0,709957120.0,728472000.0,759189888.0,792620928.0,825086784.0,848595200.0,859368256.0,857557184.0,841458624.0,816275712.0,789754880.0,761785664.0,742733504.0,732319808.0,711589824.0,710638208.0,714088704.0,718387264.0,725026752.0,728129536.0,726391232.0,721667456.0,721529728.0,725010944.0,724177856.0,724798016.0,725608384.0,726749120.0,730236480.0,734589120.0,739152192.0,744253312.0,749732608.0,754750144.0,759853120.0,764826432.0,769775808.0,774328576.0,778772608.0,783136640.0,787395136.0,791586688.0,795786048.0,799922496.0
