Market,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2026 Q1,2026 Q2 EST,2026 Q2 QTD,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1
Akron - OH,190.0,0.0,192.0,44.0,0.0,6.0,0.0,0.0,127.0,42.0,0.0,92.0,96.0,107.0,0.0,0.0,429.0,267.0,63.0,0.0,162.0,47.0,12.0,100.0,248.0,0.0,281.0,0.0,9.0,298.0,0.0,48.0,0.0,249.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
Albany - NY,579.0,410.0,116.0,89.0,57.0,330.0,495.0,195.0,183.0,116.0,535.0,399.0,350.0,478.0,310.0,326.0,180.0,6.0,143.0,141.0,194.0,147.0,0.0,857.0,117.0,359.0,287.0,357.0,141.0,400.0,221.0,84.0,188.0,107.0,72.0,46.0,0.0,0.0,83.0,136.0,692.0,,0.0,,,,,,,,,,,,,,,,,,,
Albuquerque - NM,69.0,33.0,27.0,36.0,304.0,82.0,0.0,129.0,0.0,128.0,0.0,52.0,0.0,92.0,376.0,102.0,72.0,0.0,48.0,0.0,248.0,439.0,146.0,288.0,235.0,0.0,469.0,589.0,455.0,215.0,30.0,11.0,141.0,70.0,255.0,344.0,0.0,0.0,0.0,190.0,420.0,,0.0,,,,,,,,,,,,,,,,,,,
Anchorage - AK,84.0,0.0,33.0,48.0,11.0,0.0,0.0,0.0,85.0,0.0,0.0,50.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,48.0,37.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
Asheville - NC,168.0,399.0,375.0,673.0,309.0,0.0,290.0,352.0,0.0,255.0,671.0,113.0,838.0,26.0,0.0,190.0,502.0,12.0,0.0,212.0,502.0,93.0,280.0,314.0,431.0,148.0,315.0,187.0,635.0,6.0,86.0,250.0,990.0,798.0,198.0,507.0,644.0,279.0,139.0,156.0,480.0,,0.0,,,,,,,,,,,,,,,,,,,
Atlanta - GA,4703.0,4936.0,2781.0,3008.0,2089.0,3039.0,2188.0,1018.0,2964.0,4288.0,3160.0,2457.0,3527.0,1980.0,1489.0,2685.0,2498.0,3879.0,2023.0,3548.0,4057.0,5021.0,4708.0,6604.0,6875.0,6406.0,5960.0,7317.0,5242.0,6496.0,2611.0,4940.0,4408.0,3180.0,2671.0,1253.0,4362.0,2496.0,3442.0,2649.0,1995.0,,303.0,,,,,,,,,,,,,,,,,,,
Augusta - GA,0.0,63.0,428.0,0.0,0.0,0.0,312.0,0.0,333.0,228.0,0.0,0.0,261.0,0.0,304.0,266.0,1107.0,0.0,155.0,0.0,1544.0,0.0,147.0,523.0,264.0,310.0,202.0,75.0,303.0,245.0,205.0,173.0,835.0,76.0,336.0,0.0,343.0,0.0,0.0,0.0,140.0,,0.0,,,,,,,,,,,,,,,,,,,
Austin - TX,4313.0,3256.0,1097.0,2542.0,2854.0,1375.0,2514.0,2247.0,2038.0,1923.0,3954.0,2644.0,4036.0,5286.0,2909.0,4361.0,4343.0,3362.0,3286.0,2124.0,7236.0,6591.0,5137.0,2630.0,8980.0,7688.0,6398.0,7622.0,9055.0,3262.0,3639.0,3854.0,2563.0,3067.0,4668.0,1371.0,3085.0,2701.0,2247.0,1496.0,1911.0,,0.0,,,,,,,,,,,,,,,,,,,
Bakersfield - CA,44.0,0.0,0.0,0.0,0.0,0.0,216.0,12.0,0.0,228.0,0.0,40.0,238.0,144.0,174.0,490.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,52.0,242.0,184.0,7.0,58.0,0.0,228.0,0.0,0.0,374.0,0.0,24.0,520.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
Baltimore - MD,1708.0,978.0,795.0,1634.0,350.0,914.0,915.0,105.0,1192.0,194.0,1184.0,1161.0,1482.0,263.0,90.0,684.0,604.0,206.0,532.0,840.0,66.0,1315.0,129.0,283.0,1320.0,320.0,1845.0,867.0,727.0,975.0,368.0,974.0,741.0,0.0,0.0,170.0,1411.0,293.0,206.0,150.0,739.0,,0.0,,,,,,,,,,,,,,,,,,,
Baton Rouge - LA,272.0,376.0,336.0,242.0,626.0,0.0,204.0,88.0,0.0,847.0,212.0,0.0,0.0,210.0,0.0,126.0,463.0,0.0,0.0,155.0,170.0,168.0,0.0,357.0,58.0,340.0,244.0,277.0,121.0,424.0,592.0,264.0,364.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,336.0,,0.0,,,,,,,,,,,,,,,,,,,
Beaumont - TX,0.0,0.0,26.0,0.0,0.0,0.0,80.0,0.0,286.0,122.0,0.0,10.0,98.0,0.0,0.0,157.0,0.0,0.0,624.0,170.0,84.0,0.0,0.0,0.0,0.0,118.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
