Market,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2026 Q1,2026 Q2 EST,2026 Q2 QTD,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2,2035 Q3,2035 Q4
Akron - OH,337786.1875,338697.375,338833.3125,339153.40625,339049.09375,341271.90625,340146.40625,339832.09375,339554.1875,338046.5,339375.21875,339592.90625,339994.59375,339478.5,339789.625,339985.09375,340955.1875,300036.5,317068.375,319068.375,320423.40625,322961.90625,324585.21875,327036.8125,327947.90625,332633.09375,335353.3125,338694.40625,340244.375,338916.09375,338338.0,338504.40625,339819.09375,339384.5,339524.59375,338803.0,340945.3125,342094.59375,342061.40625,341977.59375,341754.09375,341598.6875,,341530.5,341500.6875,341463.1875,341426.40625,341389.59375,341350.09375,341293.0,341236.6875,341168.78125,341104.1875,341063.59375,341050.90625,341047.0,341059.21875,341081.78125,341115.125,341141.6875,341158.125,341145.375,334380.0,334363.5,334344.6875,334327.3125,334306.875,334286.28125,334261.1875,334232.90625,334202.09375,334170.1875,334138.6875,334105.59375,334072.5,334037.90625,333999.125,333957.625,333914.3125,333869.1875,333822.125
Albany - NY,459046.21875,460073.90625,463015.6875,463873.40625,464782.0,465637.09375,467201.5,468334.40625,467914.5,469914.3125,470042.5,470569.21875,469635.1875,469988.3125,470700.90625,470225.5,470763.5,406680.375,432621.875,437060.40625,437932.0,440218.0,444876.0,451403.90625,453559.21875,454891.375,458067.90625,459333.09375,462885.71875,464531.90625,465414.71875,467274.09375,469477.21875,471077.90625,472934.28125,472819.09375,476667.59375,477053.71875,478156.0,478376.09375,478369.5,478444.09375,,478581.78125,478741.6875,478853.3125,478982.59375,479111.0,479214.1875,479287.6875,479332.3125,479368.1875,479409.78125,479512.90625,479686.0,479854.3125,480054.59375,480259.875,480474.40625,480687.71875,480893.1875,481086.3125,473595.0,473782.5,473973.125,474162.90625,474346.71875,474536.59375,474716.625,474891.125,475059.90625,475226.71875,475388.3125,475550.28125,475711.90625,475868.28125,476021.09375,476173.1875,476325.09375,476472.5,476616.21875
Albuquerque - NM,383956.6875,385539.21875,387176.3125,386139.71875,387518.0,388374.90625,389295.6875,389468.59375,391304.28125,393371.71875,394133.5,394693.5,395778.28125,397789.875,399497.71875,400655.09375,402092.5,357545.09375,372968.40625,375247.09375,377827.59375,383338.28125,390795.09375,396897.78125,399778.09375,400850.1875,406454.59375,410957.6875,412623.40625,414978.21875,415590.5,418034.6875,419888.3125,420657.71875,422391.6875,426263.0,429419.09375,430217.5,430702.59375,430268.5,430201.28125,430412.1875,,430692.40625,430957.625,431144.09375,431400.3125,431609.8125,431819.21875,431993.90625,432158.375,432332.09375,432600.90625,432926.21875,433295.28125,433665.0,434052.5,434441.40625,434828.09375,435217.5,435597.59375,435946.1875,427507.125,427838.71875,428170.0,428496.40625,428818.0,429134.3125,429441.40625,429737.6875,430030.90625,430328.1875,430621.0,430911.1875,431204.40625,431495.09375,431783.8125,432064.5,432348.375,432632.90625,432913.40625
Anchorage - AK,179829.09375,179322.09375,177978.109375,177496.5,177297.609375,177393.5,176737.5,176041.5,175817.390625,176101.296875,176032.8125,176455.09375,176271.296875,176799.1875,177225.0,176876.296875,176444.703125,155209.796875,160930.40625,165635.5,167512.296875,167342.109375,168840.296875,171096.09375,172732.09375,172572.5,173163.890625,174444.59375,176334.203125,177500.5,178667.203125,179076.703125,180114.109375,181245.5,182113.796875,183850.0,184041.5,184336.0,184761.703125,184450.8125,184329.40625,184269.0,,184235.109375,184229.203125,184232.5,184280.90625,184344.296875,184401.3125,184451.203125,184509.703125,184571.796875,184638.203125,184719.296875,184823.890625,184933.203125,185050.59375,185168.5,185292.890625,185416.390625,185534.296875,185646.8125,180119.0,180223.203125,180327.703125,180430.5,180532.0,180630.40625,180727.90625,180823.703125,180918.59375,181013.390625,181105.296875,181196.0,181286.703125,181377.296875,181465.296875,181553.09375,181639.890625,181727.0,181812.0
Asheville - NC,168128.59375,169049.5,170464.0,171373.59375,171971.296875,172267.109375,173871.90625,174643.296875,175817.390625,177167.203125,178364.296875,178519.296875,180198.8125,180395.796875,181390.0,181476.5,180578.203125,152731.203125,166259.0,171436.796875,173346.0,175034.8125,178770.09375,180069.703125,181223.90625,183420.703125,185202.609375,185072.5,187326.0,187857.5,189265.296875,190552.59375,190885.609375,191630.0,192175.5,188733.0,190299.0,190788.0,190903.0,190792.890625,190817.703125,190918.59375,,191054.796875,191221.5,191424.890625,191640.203125,191856.0,192076.40625,192296.5,192521.8125,192745.296875,192969.296875,193221.203125,193492.09375,193778.203125,194071.90625,194370.296875,194681.5,194992.203125,195297.890625,195588.203125,194554.90625,194835.609375,195120.296875,195398.890625,195680.296875,195959.0,196240.703125,196516.40625,196792.796875,197070.796875,197343.3125,197619.59375,197891.5,198167.09375,198437.8125,198711.203125,198981.5,199252.109375,199519.8125
Atlanta - GA,2632685.0,2657750.0,2680577.0,2697753.0,2711328.0,2727979.0,2747629.0,2762434.0,2771545.0,2789575.0,2810163.0,2820685.0,2849997.0,2855762.0,2872385.0,2888424.0,2896786.0,2581359.0,2693489.0,2747056.0,2787837.0,2810082.0,2868419.0,2916776.0,2951598.0,2980420.0,3011795.0,3034590.0,3049043.0,3057205.0,3068904.0,3081367.0,3095588.0,3115198.0,3121908.0,3127456.0,3121378.0,3131271.0,3134346.0,3135449.0,3138053.0,3142102.0,,3146657.0,3152088.0,3157810.0,3163542.0,3169197.0,3174766.0,3180629.0,3186393.0,3192042.0,3197492.0,3203153.0,3209028.0,3215059.0,3221225.0,3227453.0,3233758.0,3240022.0,3246298.0,3252555.0,3207867.0,3213765.0,3219648.0,3225427.0,3231226.0,3237006.0,3242799.0,3248584.0,3254359.0,3260125.0,3265871.0,3271622.0,3277378.0,3283122.0,3288856.0,3294604.0,3300360.0,3306100.0,3311833.0
Augusta - GA,230354.09375,232015.0,232006.609375,232435.890625,233988.796875,234749.296875,236449.703125,237296.5,239015.796875,239420.5,238785.0,238813.703125,240009.90625,241937.5,243630.296875,244780.0,245615.796875,222398.109375,233587.0,237250.90625,236884.0,235810.8125,239215.390625,240392.0,240965.8125,242353.609375,244298.40625,244675.59375,245782.109375,244537.796875,244688.5,245196.296875,246143.703125,247392.703125,247966.203125,247363.0,248188.40625,249157.703125,249328.59375,248956.796875,248900.203125,248927.90625,,249026.09375,249150.296875,249284.1875,249447.59375,249626.796875,249819.0,250006.609375,250163.5,250307.90625,250441.703125,250595.09375,250776.90625,250969.40625,251170.296875,251382.5,251604.203125,251833.203125,252047.8125,252231.0,249460.203125,249633.0,249803.890625,249973.0,250134.296875,250295.703125,250447.203125,250596.890625,250740.09375,250883.109375,251019.5,251157.890625,251294.296875,251430.609375,251558.0,251688.296875,251813.5,251938.203125,252057.40625
Austin - TX,986068.4375,994150.5625,1006658.0,1013833.0,1023239.0,1032303.9375,1040131.9375,1047959.9375,1059730.0,1072329.0,1082543.0,1092091.0,1102428.0,1112247.0,1126190.0,1137228.0,1146407.0,1033448.0,1085895.0,1110371.0,1124816.0,1151047.0,1187880.0,1219143.0,1238396.0,1259886.0,1292161.0,1306569.0,1317377.0,1325659.0,1333422.0,1343809.0,1350206.0,1357972.0,1367859.0,1370630.0,1376698.0,1378174.0,1381643.0,1386467.0,1391602.0,1396348.0,,1401202.0,1406260.0,1411432.0,1416682.0,1421975.0,1427212.0,1431220.0,1435194.0,1439220.0,1443286.0,1447494.0,1451889.0,1456402.0,1460997.0,1465630.0,1470345.0,1475096.0,1479830.0,1484533.0,1459232.0,1463851.0,1468507.0,1473171.0,1477841.0,1482511.0,1487165.0,1491839.0,1496510.0,1501201.0,1505871.0,1510571.0,1515269.0,1519971.0,1524650.0,1529352.0,1534052.0,1538764.0,1543449.0
Bakersfield - CA,255284.1875,254521.703125,254050.203125,255429.90625,256192.6875,258250.890625,259574.890625,259901.0,263210.21875,265367.71875,266996.875,268611.3125,269732.3125,272075.71875,273117.8125,276415.0,278884.625,248389.203125,257213.8125,261889.5,261419.09375,267947.21875,273170.09375,279842.5,284656.71875,285180.59375,286633.3125,287154.0,288483.3125,290761.1875,291146.59375,293101.28125,293965.21875,295108.1875,295968.40625,297832.21875,297812.71875,297297.6875,298272.09375,298443.5,298654.375,298990.375,,299359.90625,299731.28125,300085.125,300436.8125,300791.6875,301150.21875,301517.59375,301879.59375,302221.71875,302565.0,302946.0,303379.6875,303813.125,304266.0,304722.40625,305189.6875,305645.0,306096.71875,306540.8125,304224.625,304664.71875,305103.09375,305553.5,305996.875,306441.3125,306881.71875,307322.0,307760.09375,308195.0,308635.3125,309073.09375,309515.59375,309951.59375,310391.59375,310828.1875,311264.90625,311702.78125,312137.6875
Baltimore - MD,1386944.0,1392256.0,1396395.0,1402136.0,1403900.0,1408030.0,1415666.0,1417088.0,1422680.0,1427996.0,1429746.0,1428887.0,1435899.0,1436240.0,1435126.0,1442445.0,1437392.0,1271722.0,1326419.0,1339054.0,1352599.0,1363913.0,1380445.0,1391037.0,1401271.0,1402310.0,1415241.0,1409483.0,1418501.0,1431127.0,1437803.0,1442322.0,1465924.0,1458679.0,1459651.0,1461034.0,1465673.0,1468871.0,1468303.0,1466161.0,1466005.0,1466236.0,,1466494.0,1466960.0,1467353.0,1467856.0,1468349.0,1468806.0,1469312.0,1469878.0,1470521.0,1471215.0,1472075.0,1473113.0,1474164.0,1475289.0,1476428.0,1477581.0,1478716.0,1479824.0,1480948.0,1456800.0,1457830.0,1458851.0,1459870.0,1460881.0,1461864.0,1462847.0,1463812.0,1464774.0,1465722.0,1466665.0,1467607.0,1468542.0,1469469.0,1470390.0,1471313.0,1472239.0,1473158.0,1474072.0
