Market,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2026 Q1,2026 Q2 EST,2026 Q2 QTD,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2,2035 Q3,2035 Q4,2036 Q1,2036 Q2
Akron - OH,34248,34248,34430,34541,34541,34531,34723,34723,34773,34773,34743,34743,34719,34888,34888,34960,35056,35038,35038,35038,35231,35555,35729,35729,35829,36130,36177,36327,36327,36425,36456,36740,36749,37095,37095,37095,37111,37111,37344,37344,37344,37487,37344,37486,37484,37482,37492,37497,37509,37526,37547,37571,37598,37626,37656,37686,37718,37750,37782,37816,37852,37888,37927,37967,38009,38052,38097,38144,38192,38243,38294,38348,38403,38460,38518,38579,38640,38704,38769,38836,38904,38974,39046
Albany - NY,48919,49154,49259,49870,50648,51112,51268,51879,51894,52170,52470,52843,53345,53429,53479,53479,54016,54578,54721,55260,55607,55721,55758,56000,56367,56367,56723,57063,57673,57894,57990,58067,58242,58541,58842,59056,59417,59498,59765,59837,59837,59936,59936,60006,60077,60655,60842,61026,61051,61097,61159,61233,61317,61408,61505,61606,61710,61816,61924,62032,62141,62249,62357,62465,62572,62678,62784,62890,62994,63098,63202,63304,63406,63507,63608,63708,63807,63906,64004,64102,64199,64296,64393
Albuquerque - NM,51395,51423,51652,51683,51752,51752,51551,51623,51692,51918,51978,52056,52183,52183,52308,52308,52366,52340,52340,52710,52730,52874,52976,52976,52976,52976,52976,53002,53017,53223,53712,54355,55154,55392,55405,55606,55549,55569,55844,56075,56666,56700,56666,56697,56901,56898,57512,57546,57596,57659,57731,57810,57895,57983,58075,58169,58265,58362,58459,58558,58657,58756,58856,58957,59058,59159,59261,59364,59466,59569,59673,59777,59881,59986,60091,60196,60302,60408,60514,60621,60728,60835,60942
Anchorage - AK,12890,12890,12942,12942,12942,12942,12975,12975,13055,13066,13066,13066,13066,13150,13150,13190,13190,13190,13132,13132,13132,13132,13132,13132,13132,13111,13111,13111,13122,13122,13122,13122,13170,13207,13211,13187,13187,13187,13187,13187,13187,13187,13187,13186,13186,13186,13185,13186,13186,13187,13188,13188,13189,13190,13191,13192,13193,13194,13195,13196,13197,13198,13200,13201,13202,13203,13204,13205,13206,13208,13209,13210,13211,13212,13213,13215,13216,13217,13218,13220,13221,13222,13223
Asheville - NC,12887,12887,12935,13103,13091,13403,13970,14789,14851,14851,15610,15966,15966,16134,16150,16492,17141,17510,17623,17623,17871,18079,18639,18901,18901,19383,19716,19809,20112,20280,20280,20280,20280,20873,21049,21049,21546,22576,22868,24113,24713,25082,24926,25191,25513,25600,26402,26483,26887,27267,27463,27677,27905,28142,28387,28636,28887,29140,29393,29646,29897,30148,30397,30646,30893,31140,31386,31631,31875,32119,32364,32608,32852,33096,33340,33584,33827,34069,34312,34554,34797,35039,35281
Atlanta - GA,409216,411750,413651,415580,418258,422019,424872,427762,429724,430879,433757,434960,438773,441538,443725,446151,449094,451925,458391,460899,464154,465596,467148,469244,471020,473673,477949,483188,486555,494088,498774,504858,510752,519395,525310,530134,535899,541436,544801,547511,550710,553881,550890,556216,559451,561922,563614,566529,569013,571398,573595,575559,577760,580146,582478,584789,586989,589108,591189,593253,595296,597321,599330,601326,603314,605293,607266,609233,611195,613153,615107,617057,619005,620951,622894,624837,626778,628717,630655,632592,634528,636463,638395
Augusta - GA,23026,23026,23278,23278,23278,23278,23716,23716,23716,23996,23996,24028,24256,24737,24849,24849,24849,24849,25153,25188,25736,25736,25891,26405,26867,27291,27581,28169,28481,28556,28866,28866,29405,29825,30334,30476,30968,30968,30968,31875,31875,31875,31875,32217,32356,32354,32356,32388,32550,32619,32698,32785,32877,32973,33073,33174,33276,33379,33481,33584,33686,33787,33888,33989,34089,34189,34288,34387,34486,34585,34683,34782,34880,34979,35077,35175,35273,35371,35468,35566,35663,35760,35857
Austin - TX,190051,192609,194805,198032,200492,201773,205373,208929,209818,212817,215221,216275,218789,220733,222867,226202,229750,233078,235009,238617,241115,243411,246216,250087,254442,257656,261326,265080,268270,273697,279974,284593,293138,300835,311609,316736,320760,327409,331258,334624,336637,339800,338705,342007,344895,347359,349478,351097,353128,355226,356992,358735,360375,362117,363940,365822,367739,369671,371602,373524,375435,377336,379232,381127,383023,384923,386829,388739,390654,392573,394498,396428,398362,400301,402244,404190,406141,408094,410050,412009,413969,415931,417892
Bakersfield - CA,23675,23887,23887,24001,24065,24065,24065,24065,24065,24065,24065,24065,24077,24077,24077,24305,24345,24774,24774,24774,24929,25385,25563,25563,25563,25563,25563,25563,25612,25612,25620,25620,25714,25919,26060,26060,26118,26391,26391,26391,26391,26611,26391,26610,27281,27281,27319,27344,27375,27411,27451,27493,27537,27583,27630,27677,27726,27774,27823,27872,27920,27968,28015,28063,28110,28157,28204,28250,28297,28343,28389,28435,28481,28527,28572,28618,28663,28708,28752,28797,28841,28886,28929
Baltimore - MD,187317,187850,188314,189407,189878,190557,192826,193456,195288,196090,196709,197070,197891,198411,198939,199763,201556,202931,203526,203611,204638,204850,205072,205395,205594,205819,206085,206579,207250,209281,209909,210282,211407,212859,214025,214345,215267,215361,215387,215883,216340,216798,216340,217357,217852,218461,218580,218753,219416,220020,220345,220699,221076,221473,221884,222308,222742,223183,223629,224078,224529,224983,225437,225893,226349,226807,227265,227725,228186,228648,229111,229574,230040,230507,230974,231443,231910,232379,232849,233319,233790,234261,234732
