Market,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2026 Q1,2026 Q2 EST,2026 Q2 QTD,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2,2035 Q3,2035 Q4,2036 Q1,2036 Q2
Akron - OH,877.568359375,882.294311523438,883.140625,886.635131835938,891.720520019531,899.142395019531,899.7255859375,901.594604492188,906.076965332031,917.361145019531,917.207580566406,918.109313964844,929.754821777344,939.664367675781,940.036437988281,942.032470703125,950.048645019531,954.726867675781,965.072509765625,971.448486328125,984.170837402344,1012.10119628906,1028.09411621094,1038.05541992188,1056.712890625,1098.46179199219,1098.58044433594,1093.74755859375,1116.65258789063,1136.46008300781,1134.05139160156,1134.35729980469,1154.09130859375,1178.39379882813,1174.42297363281,1174.01745605469,1191.16162109375,1207.5654296875,1204.41613769531,1209.08715820313,1220.56457519531,1240.40356445313,1227.08764648438,1233.61853027344,1227.25891113281,1238.69201660156,1254.29187011719,1252.43188476563,1250.02648925781,1263.36975097656,1280.375,1278.30212402344,1276.92956542969,1291.5654296875,1308.77648925781,1305.66259765625,1302.95349121094,1316.57556152344,1333.27172851563,1329.64672851563,1326.77294921875,1340.73510742188,1357.80212402344,1354.05786132813,1350.99719238281,1364.99658203125,1382.09729003906,1378.00170898438,1374.6435546875,1388.65124511719,1405.89819335938,1401.52758789063,1397.82299804688,1411.77722167969,1428.95043945313,1424.19799804688,1420.24743652344,1434.58679199219,1452.18640136719,1447.57397460938,1443.72253417969,1458.24426269531,1476.02600097656
Albany - NY,1220.82202148438,1230.49389648438,1239.27478027344,1244.38891601563,1251.00817871094,1258.40588378906,1263.63903808594,1267.91711425781,1271.35107421875,1283.15576171875,1287.02844238281,1288.44482421875,1297.25280761719,1306.28259277344,1308.63732910156,1314.33911132813,1322.5673828125,1325.88159179688,1342.39709472656,1352.96240234375,1359.02978515625,1386.59106445313,1403.26257324219,1419.3056640625,1457.00109863281,1491.4248046875,1501.47790527344,1510.73400878906,1533.83020019531,1558.35168457031,1560.21557617188,1560.54797363281,1584.92407226563,1603.99743652344,1603.75219726563,1608.01330566406,1627.94140625,1647.47863769531,1657.14599609375,1664.86962890625,1684.27722167969,1702.427734375,1691.65002441406,1697.82287597656,1694.14477539063,1706.92028808594,1724.21496582031,1727.61169433594,1730.40600585938,1746.42333984375,1765.02307128906,1767.45666503906,1771.00073242188,1788.0859375,1806.84838867188,1808.44116210938,1810.83654785156,1826.91638183594,1845.06518554688,1845.97241210938,1848.13146972656,1864.53796386719,1883.15905761719,1884.19641113281,1886.37268066406,1903.02587890625,1921.88818359375,1922.73388671875,1924.77770996094,1941.63610839844,1960.64306640625,1961.32507324219,1963.27893066406,1980.17517089844,1999.36022949219,1999.86853027344,2001.56372070313,2019.390625,2039.71118164063,2041.04357910156,2043.69250488281,2061.43188476563,2081.5009765625
Albuquerque - NM,853.576538085938,862.763488769531,868.378662109375,869.23388671875,875.466857910156,884.562316894531,888.4697265625,890.995422363281,896.130187988281,907.92431640625,917.151550292969,920.0927734375,932.999145507813,950.722290039063,962.416931152344,961.075073242188,970.162963867188,984.987182617188,1007.63464355469,1018.79986572266,1044.791015625,1103.40173339844,1153.69885253906,1153.6015625,1178.88952636719,1221.87219238281,1241.89697265625,1238.53967285156,1248.63928222656,1267.228515625,1271.78723144531,1258.96166992188,1274.01904296875,1296.24084472656,1290.779296875,1294.900390625,1304.32104492188,1311.00317382813,1304.95654296875,1292.92944335938,1300.13562011719,1307.43713378906,1299.41674804688,1298.43896484375,1281.13000488281,1285.56823730469,1300.22924804688,1299.46594238281,1289.58532714844,1299.23693847656,1318.21252441406,1319.91674804688,1313.01318359375,1325.05004882813,1344.74389648438,1345.65625,1337.41882324219,1348.71740722656,1368.42224121094,1369.66345214844,1361.83776855469,1373.97827148438,1394.60144042969,1396.23986816406,1388.46240234375,1400.96838378906,1422.05676269531,1423.69885253906,1415.82385253906,1428.56225585938,1450.13696289063,1451.7919921875,1443.73608398438,1456.77990722656,1478.76831054688,1480.4716796875,1472.30493164063,1485.62292480469,1507.95703125,1509.55310058594,1501.04663085938,1514.84387207031,1537.91870117188
Anchorage - AK,1077.52465820313,1043.22143554688,1026.39587402344,1023.41802978516,1016.35571289063,1012.4267578125,1012.32653808594,1022.95690917969,1031.5029296875,1042.12976074219,1035.41381835938,1037.31005859375,1041.18969726563,1049.91137695313,1049.56567382813,1059.09497070313,1086.73083496094,1078.25146484375,1086.419921875,1094.75219726563,1106.24523925781,1136.48071289063,1179.82739257813,1201.06896972656,1240.39367675781,1307.32934570313,1305.83972167969,1303.19140625,1318.7568359375,1388.73828125,1395.78796386719,1379.59912109375,1394.84887695313,1423.44799804688,1439.10070800781,1434.49291992188,1440.57189941406,1468.48620605469,1464.68347167969,1465.11193847656,1469.33984375,1486.0751953125,1470.4716796875,1478.59350585938,1466.77966308594,1480.40612792969,1505.81359863281,1502.37622070313,1494.38671875,1509.80859375,1536.06103515625,1531.61010742188,1524.08532714844,1540.58190917969,1567.32727050781,1562.32153320313,1554.02160644531,1570.31579589844,1597.15075683594,1592.01501464844,1583.7841796875,1600.68664550781,1628.53100585938,1623.69079589844,1615.53405761719,1632.90051269531,1661.20715332031,1656.07543945313,1647.44897460938,1664.91455078125,1693.61315917969,1688.29211425781,1679.50964355469,1697.32983398438,1726.57958984375,1721.06286621094,1712.01867675781,1730.03015136719,1759.67614746094,1753.90393066406,1744.53540039063,1763.23986816406,1793.79736328125
Asheville - NC,1245.93005371094,1254.38806152344,1263.45471191406,1273.51733398438,1271.87133789063,1287.65100097656,1295.78271484375,1302.453125,1311.61938476563,1330.42224121094,1344.69421386719,1346.39135742188,1363.17639160156,1375.37109375,1377.92614746094,1373.31896972656,1388.18603515625,1388.76342773438,1407.099609375,1424.45056152344,1447.15795898438,1502.0322265625,1558.63623046875,1579.82421875,1607.3955078125,1654.22668457031,1672.52893066406,1674.37414550781,1683.69909667969,1688.88024902344,1694.71337890625,1701.11181640625,1706.19616699219,1725.92614746094,1709.2353515625,1707.46301269531,1686.94921875,1677.18493652344,1647.22253417969,1655.35034179688,1629.73229980469,1625.73266601563,1623.93139648438,1617.11218261719,1603.70471191406,1609.81311035156,1619.2802734375,1620.107421875,1618.12097167969,1630.50573730469,1646.56774902344,1651.10803222656,1653.65710449219,1669.50366210938,1686.30163574219,1689.13757324219,1689.32397460938,1703.16101074219,1718.79382324219,1721.14904785156,1721.47961425781,1736.03283691406,1752.42846679688,1753.11047363281,1753.2490234375,1767.8046875,1784.69396972656,1789.7421875,1791.15612792969,1807.36584472656,1824.53588867188,1827.47473144531,1827.68041992188,1842.85693359375,1860.46997070313,1863.38745117188,1863.96618652344,1880.00964355469,1898.0546875,1901.02807617188,1901.62475585938,1917.53942871094,1935.40942382813
Atlanta - GA,1215.74157714844,1232.03234863281,1245.24609375,1249.20336914063,1262.4091796875,1282.6357421875,1290.7333984375,1295.81091308594,1313.02197265625,1336.18225097656,1349.47424316406,1356.19213867188,1376.05041503906,1392.33947753906,1398.30834960938,1398.09020996094,1403.44958496094,1413.06860351563,1441.07702636719,1457.02026367188,1494.73620605469,1581.25268554688,1649.3115234375,1666.41748046875,1688.83618164063,1730.42492675781,1721.03283691406,1701.34704589844,1716.22058105469,1715.29479980469,1689.66662597656,1673.99987792969,1682.67614746094,1683.94006347656,1664.16467285156,1652.8232421875,1666.87670898438,1670.26086425781,1658.1484375,1644.38708496094,1651.01611328125,1663.38781738281,1653.91357421875,1654.6083984375,1638.47875976563,1649.97717285156,1666.90625,1665.27673339844,1656.59765625,1673.25036621094,1693.23828125,1692.81921386719,1686.81689453125,1706.0771484375,1726.79406738281,1725.31359863281,1717.73754882813,1736.20593261719,1756.94848632813,1755.7841796875,1748.96032714844,1768.7978515625,1790.94934082031,1790.70239257813,1784.37145996094,1805.18029785156,1828.11694335938,1828.02087402344,1821.81188964844,1843.22692871094,1866.87292480469,1867.05541992188,1860.96813964844,1883.12646484375,1907.40161132813,1907.73181152344,1901.54919433594,1924.25207519531,1949.14147949219,1949.45227050781,1943.05139160156,1966.17663574219,1991.53930664063
Augusta - GA,921.530883789063,927.768798828125,931.0673828125,933.492797851563,939.379455566406,947.548156738281,955.378112792969,962.08740234375,971.100769042969,981.4970703125,988.694152832031,992.659606933594,1002.63458251953,1012.13470458984,1017.5126953125,1027.22680664063,1033.72180175781,1046.06372070313,1066.0771484375,1077.05822753906,1094.67822265625,1122.96801757813,1149.53186035156,1165.29650878906,1189.54711914063,1213.08752441406,1220.78295898438,1209.16577148438,1223.28076171875,1231.36083984375,1230.68127441406,1222.5654296875,1228.88537597656,1240.71032714844,1244.22741699219,1259.78381347656,1273.24194335938,1279.40466308594,1273.01586914063,1270.11999511719,1285.12438964844,1294.5615234375,1292.58142089844,1287.31188964844,1278.68432617188,1285.54467773438,1294.43054199219,1294.30493164063,1293.70983886719,1305.11450195313,1318.00109863281,1319.88366699219,1322.05163574219,1335.69616699219,1349.11755371094,1350.03186035156,1350.81494140625,1363.38586425781,1376.22863769531,1376.88598632813,1377.87158203125,1391.05322265625,1404.462890625,1403.63940429688,1404.32751464844,1417.44213867188,1431.09594726563,1433.63415527344,1435.23718261719,1449.58654785156,1463.39294433594,1464.04162597656,1464.55432128906,1477.95275878906,1491.87646484375,1492.39758300781,1493.14416503906,1507.28430175781,1521.60583496094,1522.17736816406,1522.99157714844,1537.32592773438,1551.80261230469
Austin - TX,1340.34167480469,1349.12902832031,1355.79833984375,1356.37194824219,1366.72570800781,1382.06237792969,1379.54711914063,1380.48754882813,1392.4140625,1417.02099609375,1424.48950195313,1426.02270507813,1443.28784179688,1465.05017089844,1471.05529785156,1471.80908203125,1477.85266113281,1474.16711425781,1473.60290527344,1478.92895507813,1523.46850585938,1611.10046386719,1661.62670898438,1679.67565917969,1718.68395996094,1764.58361816406,1748.96240234375,1730.25317382813,1740.60864257813,1738.25305175781,1696.18041992188,1670.857421875,1668.32641601563,1660.5849609375,1625.78149414063,1600.50048828125,1604.1630859375,1590.65844726563,1555.46472167969,1528.23510742188,1529.18493652344,1542.78393554688,1533.80065917969,1529.11840820313,1511.84191894531,1523.0126953125,1537.29541015625,1529.64929199219,1518.85217285156,1533.07727050781,1551.05322265625,1545.31420898438,1536.96203613281,1552.80407714844,1570.19970703125,1562.30541992188,1551.90405273438,1566.85363769531,1584.4208984375,1577.34313964844,1568.32641601563,1585.12817382813,1604.53344726563,1598.6962890625,1590.52905273438,1608.39978027344,1628.76257324219,1623.42004394531,1615.58532714844,1634.11120605469,1655.24267578125,1650.05627441406,1642.44274902344,1661.54382324219,1683.23010253906,1678.18798828125,1670.513671875,1690.10241699219,1712.21545410156,1707.04455566406,1699.17895507813,1718.99438476563,1741.37426757813
Bakersfield - CA,949.636169433594,957.726745605469,964.733825683594,971.160339355469,977.361755371094,984.471130371094,991.96435546875,997.969543457031,1005.568359375,1014.83715820313,1026.16540527344,1036.32470703125,1045.83984375,1055.38000488281,1068.41638183594,1073.60070800781,1081.20458984375,1091.35131835938,1106.68615722656,1125.0810546875,1146.04248046875,1181.69006347656,1237.32214355469,1270.05932617188,1292.54626464844,1315.78466796875,1333.92358398438,1336.2421875,1350.39514160156,1354.47192382813,1371.36120605469,1374.52478027344,1373.55725097656,1383.25,1393.34826660156,1395.47985839844,1398.13537597656,1404.31286621094,1405.65295410156,1409.41223144531,1417.10925292969,1423.2490234375,1419.0771484375,1425.63635253906,1424.58813476563,1430.560546875,1439.87878417969,1447.11352539063,1451.26123046875,1460.18676757813,1471.09143066406,1478.40356445313,1483.95788574219,1494.30102539063,1505.64733886719,1512.59753417969,1517.54772949219,1527.49792480469,1538.689453125,1545.82861328125,1551.19775390625,1561.79760742188,1573.74645996094,1581.46203613281,1587.23645019531,1598.26037597656,1610.61291503906,1618.52099609375,1624.34094238281,1635.5625,1648.11645507813,1656.18774414063,1662.2041015625,1673.71838378906,1686.60168457031,1694.86706542969,1701.02954101563,1712.81372070313,1725.97290039063,1734.30676269531,1740.48852539063,1752.42077636719,1765.75183105469
Baltimore - MD,1301.97766113281,1311.29858398438,1304.05456542969,1307.91345214844,1319.98034667969,1332.92028808594,1332.75378417969,1334.11376953125,1342.72912597656,1358.70361328125,1362.73315429688,1363.33825683594,1380.24267578125,1395.03674316406,1393.02185058594,1390.85754394531,1400.21545410156,1411.14636230469,1427.66333007813,1440.90185546875,1474.82153320313,1530.90734863281,1570.529296875,1579.03015136719,1605.30981445313,1637.27209472656,1632.23693847656,1628.2353515625,1655.84631347656,1666.74389648438,1654.00537109375,1654.65808105469,1677.17541503906,1704.69702148438,1695.85961914063,1698.10339355469,1720.82153320313,1729.54638671875,1717.49047851563,1714.66662597656,1733.6884765625,1749.08837890625,1735.70483398438,1734.20300292969,1721.5439453125,1740.19140625,1761.34924316406,1755.39599609375,1750.615234375,1773.75634765625,1796.80603027344,1790.62133789063,1787.57360839844,1813.017578125,1837.45617675781,1831.01574707031,1827.0322265625,1852.04528808594,1876.05493164063,1868.79455566406,1864.53393554688,1890.1591796875,1914.86926269531,1907.88623046875,1903.84484863281,1930.07763671875,1955.35888671875,1948.16857910156,1943.97387695313,1970.63562011719,1996.36303710938,1988.9375,1984.43090820313,2011.61120605469,2037.72644042969,2030.01977539063,2025.3369140625,2052.86987304688,2079.35009765625,2071.32397460938,2066.33032226563,2094.25170898438,2121.02685546875
