Market,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2026 Q1,2026 Q2 EST,2026 Q2 QTD,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2,2035 Q3,2035 Q4,2036 Q1,2036 Q2
Akron - OH,153.587809925021,154.672492760569,155.072764882841,155.852401610059,156.331966110925,157.993846604367,159.079084604051,159.775484249962,161.120334480973,162.502073823921,164.744748455933,166.498786202926,169.210533122221,171.647663660052,172.867565865588,173.950542215864,174.228946610189,176.728161547144,178.811988277358,183.124062896768,188.930889352472,196.590974811619,203.931693169665,211.050042680298,217.523141956698,223.483774368642,223.846911946369,220.675187357855,214.230841351525,209.116194525446,204.809035945545,203.29952680559,203.652117144859,206.144841436147,208.672542915435,211.492753274524,213.685749742484,215.576003988279,217.22515990694,219.019414539463,220.797631207164,222.59977048326,221.849673363542,222.607271586592,222.531200994978,223.653285380507,225.398633219696,227.248337385352,228.273519805327,229.370909080596,230.72651621345,232.095674975929,233.471979075958,234.873904704745,236.234586225898,237.317511201287,238.355083651736,239.362552312388,240.346217066303,241.342753876644,242.346249581933,243.356321337637,244.369911870948,245.382506788598,246.390141457188,247.391658104228,248.381480348309,249.364017544282,250.342982260469,251.313949941595,252.285395648488,253.239483641515,254.129247430849,255.008535426089,255.876009099823,256.731556637391,257.585087697753,258.485218052152,259.394972828584,260.294323168631,261.200087839533,262.124950020905,263.038282417091
Albany - NY,165.428575710159,168.679406070643,171.093033256744,174.640291713419,176.141821806379,177.897488761493,179.272904081133,180.543604232408,182.190777488513,184.011692424913,185.805659887136,187.555388067696,191.262694779003,195.439086139882,199.225263424768,201.849866065464,203.170047382819,205.74664335149,208.135325048683,213.03384335969,219.517516859171,226.879048759804,233.47576764553,236.632926880946,237.549563668607,235.086306184091,230.31658340821,223.776902860043,219.603552052029,216.162743545589,212.901706717105,209.131137265773,207.256009811395,207.383358736374,207.951525585697,209.214688399981,210.731406341266,213.191788492012,215.369289884532,217.680586238374,219.395031745005,221.545789027302,220.302028146116,221.723101860584,222.010250651855,223.322245305034,225.335995636895,227.45192585074,228.738737476202,230.081465533252,231.615761709664,233.174447670424,234.721980878306,236.302732085392,237.871524738192,239.138584348498,240.351637450488,241.537366805873,242.69315348721,243.855252195606,245.026822449491,246.205288924555,247.401377156235,248.608752486964,249.816663283119,251.025326068125,252.240771530218,253.45679771384,254.670786119635,255.89123676448,257.106929019656,258.324067378583,259.494557151752,260.650192064109,261.808627115399,262.965049576218,264.111496058358,265.333529045541,266.621850369626,267.904601385117,269.212996109369,270.477025659588,271.725184633978
Albuquerque - NM,154.146632112376,154.978195126413,155.808072392462,156.714051384199,157.994586985553,158.73511701628,159.953533342033,159.979577310842,160.222862555756,162.712592864573,166.036372515279,171.154556005669,174.011890570811,178.284465071134,182.277069272308,186.852764146912,192.482848358854,198.3953779207,205.517914808356,212.963598914558,222.763875419835,234.841948902745,245.115355206912,254.631147529709,259.401151003732,265.599536421805,265.967032184202,263.874608555764,257.405248400242,252.03137443038,247.749849008453,245.258344836882,244.741747800442,245.92605774608,244.770197529494,243.50338947565,244.197371013844,248.304316925187,250.745637782134,251.48660990369,251.083562776335,251.110446925809,251.377284868317,250.488463174542,249.781377718183,250.337236146251,251.812396014018,253.383210957926,254.294376835572,255.509724457062,257.090688917147,258.707261207093,260.342568064938,261.983540047232,263.62326919135,264.86943727784,266.032949966131,267.196954079343,268.345074823658,269.545781367837,270.770150166507,272.022375816928,273.289801961424,274.582361496174,275.867675310277,277.163950767692,278.459388049712,279.768107851008,281.081164046709,282.391260253049,283.711063985514,285.028628723059,286.280256898094,287.541285026322,288.795488617345,290.048877576203,291.30623298336,292.565116280147,293.79972137801,295.028216373475,296.26070943555,297.56824812793,298.880449744938
Anchorage - AK,153.377386499804,152.215014477891,150.575142557673,151.428005996394,151.899842581078,151.911535204874,150.324449161864,149.983377008207,150.879098109823,151.27732712033,150.894462743151,150.394073970058,150.787034780094,152.2404932946,154.113993822869,156.561059086142,159.242512090511,162.39967743975,166.177605420261,171.454400659774,177.429348114138,184.605757389133,190.803868960274,194.60225319324,195.335655407429,193.11331173154,189.785263259195,184.686402854499,180.952953976823,177.107693857885,173.703609848899,170.502082680671,170.069719716501,171.149555738689,171.873110457262,172.257551229267,174.224666477604,176.891355220812,178.268354574634,178.324958090032,178.725515715086,180.226140305063,179.360919630464,180.791194600013,181.20949764085,182.239756694208,183.655868082499,185.076583695127,185.988871855776,186.923700625581,187.996609778879,189.07273275382,190.163934569279,191.282471634784,192.402244014656,193.356612672259,194.293515745674,195.232127665357,196.146549657282,197.084680929897,198.043114670722,199.015299221748,200.006639815089,201.008258930065,202.018543039171,203.027456105655,204.031135320308,205.034255670729,206.034199062294,207.037604251645,208.045732670011,209.05537337386,210.04141930512,211.031637011423,212.024921355835,213.012268465782,214.002195934893,214.991708902952,215.987362487406,216.976670346698,217.970262460555,219.008726887418,220.053855547214
Asheville - NC,179.68299408206,183.358420707033,186.577447979129,188.92033014467,191.560722850988,193.645435753242,196.083001978412,199.74650954688,205.05088362565,210.812735456937,216.150394802081,220.356995729482,224.716257840012,228.097211498234,231.591743766401,236.820469445241,243.926456412219,252.675593541291,260.21838613786,269.033689401358,281.609311244353,297.929266609241,312.964201492409,322.97140277571,335.095485703641,344.499459824465,354.948866785043,354.419281212016,349.224249417193,339.454551464849,332.564876119037,325.665193018948,320.647824017874,318.45264954454,320.39421236416,322.442887107244,324.150249224532,325.217647845074,328.735151435729,329.453782900134,330.786135481193,330.199504145317,329.847807894469,328.972591204579,327.72961595156,329.251906517888,331.635273052366,334.555254012305,336.413839412296,338.602329888349,341.294287420316,344.00584113975,346.66915920861,349.325884305711,351.866733055151,353.853546563938,355.71743744997,357.518865421362,359.252714183403,361.012944984308,362.79949913412,364.613101694966,366.437600621521,367.805990792473,369.434327437907,371.429417584645,373.24319577516,375.568683352709,377.730078850984,379.539400542776,381.464850075055,383.404867978168,385.131632698723,386.853710499845,388.643038729628,390.379514370499,392.125742415264,393.924569375037,395.749383124084,397.524215470562,399.31295240295,401.055216294727,402.771887718141
Atlanta - GA,170.035056276276,173.065370704052,175.389932782432,177.570393716347,180.328177822266,183.886064263437,187.148420605483,190.109607291697,193.414864421289,197.988551113954,202.669487432996,207.316653089466,211.803343187083,216.611849542471,221.244538644416,225.662214499004,229.789249851278,235.401358487794,242.872054273987,253.383598711066,267.917129649985,285.21417053182,302.16432603003,314.981076467101,323.22870849971,324.86512820377,319.982177129132,310.205391913964,299.733879473874,290.490115483318,283.001810386018,278.209650044262,275.586787955923,274.554625572053,274.178718910076,274.869213518907,276.173750771353,277.320989990978,277.949209500204,277.729301579777,277.65749056221,277.715009741195,277.487866606554,278.032598833007,277.876643616573,279.00867633929,281.26061957075,283.517379369659,284.88574631156,286.46698498758,288.364440572732,290.266409381368,292.165283037146,294.063267989658,295.962581387267,297.438984218941,298.802451384443,300.167152520095,301.531735697095,302.938802903207,304.405904213955,305.916670213577,307.483024218659,309.086997215281,310.701897212296,312.342069686652,314.001739939867,315.672979255643,317.370108648367,319.075206757199,320.805534606323,322.552646273516,324.24810408818,325.949475314175,327.648141584785,329.367067347827,331.08792602348,332.814141245913,334.543594041275,336.277688706901,338.009093068578,339.748964975812,341.501751256362
Augusta - GA,168.87979984117,171.102335918591,173.265487957759,174.721418786534,176.573666206188,179.278472222341,181.761666764549,183.742540407083,186.397398763276,188.833220183868,190.090712812718,191.983942439687,194.481359085213,199.308431703457,202.125458390425,205.403118622287,208.531054195941,214.764213347551,221.353283160867,229.047237451323,237.097693868803,248.433488960717,257.253718205693,265.614559477129,268.280195458003,269.922466751963,265.439886560821,259.56786505207,251.753751988509,245.34462172521,239.290906920682,235.581068468001,234.520776128416,235.218673591854,237.155781794746,240.690675830145,245.874929925644,250.048003705714,254.820982242246,256.373037515788,258.103575287715,258.645174859312,256.930460117681,257.684380910225,256.805876367469,257.75269130573,259.504860803172,261.539680329679,262.820928976656,264.301596225212,266.144863481695,268.007682290943,269.872136673646,271.757039965052,273.597814317635,275.083015955527,276.497978429128,277.873164368396,279.215772657555,280.582228107898,281.973247297226,283.369742667329,284.771636270808,285.809581489924,287.042812215298,288.549002944901,289.897188996006,291.644273106383,293.244998577666,294.571071267244,295.986893187328,297.39524064814,298.647235458263,299.876953655664,301.141894227469,302.384437090782,303.63746150118,304.932108058779,306.238310007133,307.517449188986,308.809530049947,310.104557658714,311.373496055285
Austin - TX,184.990752436277,187.87405355888,189.792412875177,192.283926691438,194.223096819306,196.889439793259,198.771967148243,200.67740417838,203.673719409426,208.218056668783,212.331939435106,216.067111353598,219.737102367451,224.40581085613,229.088760517574,232.730705010763,235.549131258487,238.009230621085,242.434930039592,250.617498867696,263.540936572363,278.564360034068,293.29264546259,303.936313223979,309.889189458531,309.08481342785,302.901801419462,293.598687544637,283.886559868994,274.441450628881,265.465565143248,258.908743796231,255.250578282538,253.252474647633,251.704012796127,250.890077389045,250.670147738422,249.577366750689,247.073702098474,244.092498387866,242.022206980906,241.172890496882,241.267930834613,241.90561011493,242.293961486291,243.862985238455,245.838105159452,248.107930903139,249.685139373274,251.279504068511,253.064736306338,254.778486576484,256.37091559274,257.907450538696,259.393585005125,260.404776194703,261.250058928227,262.131378904953,263.013863459716,263.96299203755,264.98467220856,266.078524779034,267.218283292965,268.391635961098,269.591319463756,270.836370628266,272.100406358184,273.388538212651,274.682893767217,275.998486117729,277.339521840942,278.679091444579,279.963032897066,281.247621293473,282.546486674295,283.8475243666,285.142570317339,286.442731664181,287.739704747111,289.03523981068,290.328920494092,291.622075234917,292.912605712192
Bakersfield - CA,154.862438336833,156.123172231809,156.533792265968,157.616047946021,159.857268607448,162.077967544353,164.337105740994,165.921838253389,166.607605796072,168.755210349038,170.87989665584,173.87298343303,175.979291432773,178.166209460685,180.399094216328,182.657748634884,185.507057053225,190.165278258305,196.487322769898,204.01526118469,212.682448106736,222.508403835559,232.626749194886,240.82831179607,245.096656241081,246.615242787851,247.250532179252,245.988782238326,242.200870790397,236.424061073682,230.537815862495,227.338936068148,225.518315645396,227.824109569362,229.316903844065,231.550287872261,232.449726238123,232.115971219368,231.504218408313,231.115340216034,232.726218023536,233.468108821893,233.709011098534,234.323698053843,234.789243736425,236.103847568784,238.103634516783,240.132402569355,241.454737590648,242.879957488961,244.545368780252,246.225368081073,247.921920621951,249.647161383733,251.371701618195,252.818658837306,254.224303097375,255.623249333357,256.993396079282,258.395265026501,259.825574484006,261.278594398816,262.756142621192,264.252937193568,265.764927569357,267.284493299277,268.815177481043,270.350724654595,271.886324849302,273.432349175798,274.986783875618,276.550738535814,278.073773763864,279.604066299685,281.139952067217,282.680870405427,284.225113759631,285.775714311171,287.331095989669,288.878282526254,290.432379235258,291.995597889289,293.568261573846
Baltimore - MD,165.754429935808,167.613457149847,167.717567950397,168.229222653753,168.517412935655,170.046857762567,170.960950954052,171.759068757003,172.59825407428,174.394635842417,176.330657455564,178.536846688574,181.045933651149,182.515512990713,184.017888162152,185.066325198305,187.585018116237,191.141623704242,196.733580633137,204.060291413822,211.958509000041,221.269191770815,229.524446375939,237.542084235691,241.566753523142,245.509517590259,244.132150619421,240.106627425395,232.50812553304,226.016267760907,221.018738197934,218.25848341979,217.718216849067,217.245148778499,216.098422070889,215.396455318715,215.856641344913,217.026132767705,216.800851023834,216.305992034556,215.762900805057,216.320471534854,215.840016072531,216.692629495991,216.882468103933,218.003900007702,219.846741755754,221.831215523977,222.944209667123,224.08643182206,225.551297251709,227.13101580963,228.7605260308,230.433119685656,232.125340527637,233.44597069922,234.653688134455,235.858248945061,237.022198156496,238.183596830071,239.361537242462,240.559682411392,241.763825292675,242.989568030519,244.22104853415,245.446661087649,246.676707077878,247.913161605089,249.149813311156,250.372415771205,251.603342270707,252.834273978725,253.986349401133,255.147253135173,256.301385729535,257.454249738781,258.59453352128,259.729800764058,260.864680143051,261.998642915129,263.116422138137,264.236518369742,265.372090687089
