Market,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2026 Q1,2026 Q2 EST,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2,2035 Q3,2035 Q4
Akron - OH,51527.6015625,51457.75,51479.2109375,51598.0,52460.328125,53624.98828125,54833.4296875,56106.0,57297.9296875,58283.01953125,59296.48828125,60019.0,59685.9609375,59008.75,58045.37890625,57158.0,57001.890625,56254.8984375,56371.921875,56854.671875,57731.140625,59980.12890625,61761.359375,63367.01171875,64380.94140625,65107.0,65870.84375,66652.0,67798.109375,68773.671875,69530.0390625,70124.9921875,70553.6796875,70911.4609375,71149.1171875,71364.0,71777.25,72275.2734375,72941.7890625,73543.390625,73715.1328125,73881.328125,74005.34375,74325.6171875,74964.390625,75691.453125,76525.3671875,77344.8203125,78140.46875,78935.5078125,79685.09375,80438.921875,81207.8828125,81979.21875,82773.703125,83572.859375,84364.4765625,85152.4375,85932.2734375,86707.078125,87476.6171875,88241.2109375,89007.3203125,89777.65625,90551.8671875,91333.96875,92117.40625,92909.0,93712.6015625,94520.2421875,95335.3203125,96144.3515625,96946.1484375,97740.1015625,98522.1484375,99295.828125,100059.140625,100812.9921875,101562.75,102311.5625
Albany - NY,63828.28125,64493.8515625,65081.19140625,65855.0,66382.3984375,67004.15625,67692.4921875,68681.0,69334.0703125,70075.640625,70899.546875,71301.0,72097.5234375,72719.5,73024.25,73397.9921875,73372.5390625,72763.4375,72885.8515625,73119.6796875,73937.828125,75538.1875,76792.2578125,78272.0,79264.6796875,79984.5,80679.9765625,80970.0,81174.0703125,81615.546875,81976.921875,82409.9921875,83517.0078125,84611.6484375,85614.390625,86637.0,87435.640625,88053.59375,88739.578125,89446.296875,89779.671875,90249.8203125,90714.109375,91253.8515625,92075.5,92956.7421875,93932.109375,94891.921875,95839.6171875,96783.5703125,97683.25,98585.3203125,99503.078125,100427.5234375,101376.7265625,102334.9921875,103285.96875,104234.15625,105177.4609375,106117.7265625,107057.0703125,107993.15625,108931.9609375,109876.8125,110826.8828125,111787.3515625,112752.3828125,113728.1796875,114718.5703125,115715.953125,116722.3515625,117725.3515625,118710.5,119681.6015625,120633.7109375,121567.2734375,122486.2421875,123392.2890625,124290.3515625,125186.1328125
Albuquerque - NM,49473.6796875,50043.41015625,50580.9296875,50953.98828125,51141.359375,51082.30078125,51001.12890625,50905.98828125,50737.9609375,50673.48046875,50725.8203125,51133.98828125,52684.921875,54584.78125,56667.6484375,58511.98828125,59300.94921875,58657.21875,58221.80859375,57862.8515625,57535.578125,58472.8203125,59168.76171875,60070.01171875,61717.26953125,63270.73046875,64948.75,66392.0078125,66711.15625,67094.6328125,67181.796875,67640.0,69407.1171875,71485.109375,73869.796875,76097.0,77491.34375,78520.7578125,79273.3671875,79734.53125,80091.3671875,80437.40625,80779.4765625,81274.5078125,82014.75,82821.71875,83715.21875,84589.609375,85457.953125,86328.5,87165.5,88013.640625,88887.2578125,89773.7265625,90688.640625,91614.96875,92537.9921875,93460.7265625,94381.1328125,95299.921875,96217.0703125,97133.0,98052.40625,98979.3515625,99911.953125,100855.1171875,101803.4375,102763.390625,103740.1484375,104724.890625,105718.34375,106707.9296875,107688.34375,108660.6796875,109620.859375,110571.2734375,111510.71875,112440.3125,113365.71875,114290.8984375
Anchorage - AK,79609.6875,80836.4296875,81749.1875,82203.0,80971.359375,79430.0703125,77976.09375,76871.0,77450.0078125,78457.796875,79766.640625,81037.0,81324.1796875,81279.296875,81004.6484375,80676.0078125,80577.578125,79911.71875,79852.453125,79889.65625,80048.21875,81497.9921875,82717.6015625,84476.0,87552.15625,90652.2890625,93533.65625,95790.9921875,95614.9375,95027.21875,94451.890625,94150.0,96043.2421875,98180.9375,100514.0234375,102697.9921875,104139.34375,105268.8515625,105916.6328125,106289.390625,106278.046875,106242.3515625,106368.90625,106811.59375,107594.4609375,108487.5703125,109510.3984375,110508.8671875,111473.7421875,112435.1484375,113346.8984375,114270.53125,115216.7421875,116171.1796875,117155.390625,118147.6015625,119132.3828125,120116.03125,121092.75,122063.5078125,123032.5703125,123996.03125,124963.0,125937.5625,126914.90625,127902.109375,128890.328125,129888.4765625,130901.0390625,131918.796875,132944.015625,133960.4375,134964.71875,135958.40625,136936.125,137901.203125,138850.734375,139786.078125,140713.71875,141638.015625
Asheville - NC,46040.609375,47476.08984375,49071.640625,50541.0,50658.41015625,50566.80078125,50246.0390625,50015.0,50264.98828125,50776.44140625,51496.01953125,52410.01171875,53897.1015625,55320.73046875,56581.76171875,57428.0,57216.37109375,55285.48828125,54286.26953125,53868.5,54054.05078125,56467.69140625,58471.51171875,60261.0,62287.6015625,63785.421875,64995.6484375,66022.9921875,66393.0078125,66731.609375,67115.5703125,67836.9921875,69794.609375,72094.46875,74420.3984375,76275.0,77171.78125,77568.1328125,77813.8984375,78191.671875,78359.578125,78695.703125,78938.2578125,79243.21875,79850.84375,80538.90625,81325.84375,82108.0625,82876.8515625,83648.796875,84387.0078125,85132.7265625,85900.390625,86675.9375,87475.5625,88285.8984375,89092.5703125,89901.3515625,90709.3515625,91515.7265625,92321.09375,93123.359375,93927.1796875,94736.09375,95547.75,96367.8828125,97191.453125,98024.328125,98871.0,99723.609375,100583.421875,101438.8203125,102279.546875,103107.328125,103918.7578125,104716.09375,105502.4296875,106279.4765625,107051.921875,107823.3828125
Atlanta - GA,60951.78125,61503.46875,62030.37890625,62613.0,63137.26171875,63794.87109375,64489.53125,65381.01171875,66303.109375,67338.7109375,68541.328125,69464.0,70376.9765625,71045.6484375,71382.2109375,71742.0,71747.4296875,70598.8203125,70322.859375,70406.34375,70960.171875,73422.2265625,75548.9609375,77589.0078125,79788.25,81648.4609375,83335.640625,84876.0,85428.078125,85855.5,86132.1328125,86504.9921875,88052.6875,89548.78125,90990.4921875,92344.0,93132.7265625,93753.21875,94418.2421875,94964.4296875,95291.7421875,95678.609375,96017.0234375,96472.7265625,97262.6796875,98147.6328125,99124.3125,100089.53125,101034.7265625,101982.84375,102899.53125,103823.796875,104761.6484375,105702.890625,106662.8203125,107629.0390625,108591.2890625,109553.96875,110515.046875,111474.828125,112433.03125,113389.109375,114346.609375,115308.609375,116272.921875,117244.578125,118218.796875,119200.5703125,120196.78125,121197.3203125,122203.3515625,123204.5,124191.8671875,125170.3984375,126137.9765625,127096.53125,128046.40625,128989.75,129930.171875,130871.828125
Augusta - GA,49697.76171875,49391.62109375,48833.26171875,48543.01171875,48590.69921875,48984.421875,49748.21875,50492.0,51174.609375,51760.9609375,52237.78125,52696.0,53330.328125,54001.9609375,54632.01171875,55143.0,55149.51953125,54179.921875,53822.4296875,53772.0,53560.76171875,54673.08984375,55631.9296875,56515.0,58660.8984375,60737.01171875,62642.3515625,64581.01171875,65363.8515625,66005.6171875,66599.8125,67152.0,68648.2734375,70030.75,71131.75,72175.9921875,72589.8203125,72966.3984375,73449.7734375,73920.1328125,74238.34375,74550.9921875,74841.078125,75121.96875,75645.65625,76231.6328125,76886.4609375,77549.0,78215.7734375,78893.5,79558.8203125,80237.8671875,80946.9375,81670.4765625,82417.1015625,83174.7265625,83932.2421875,84695.109375,85461.96875,86230.859375,86998.8984375,87766.9765625,88535.7734375,89311.046875,90091.6171875,90880.2734375,91675.8125,92479.9765625,93299.84375,94126.1171875,94957.4921875,95786.7265625,96604.65625,97418.4375,98225.8125,99027.609375,99818.7109375,100602.5625,101382.4765625,102162.0234375
Austin - TX,68074.453125,68999.046875,69956.2109375,71000.0078125,71693.8984375,72478.0390625,73160.8125,73800.0,74607.6015625,75311.2265625,76099.6484375,76925.0,78011.3125,79064.5390625,80025.7734375,80954.0078125,81156.6171875,79984.5234375,79438.65625,79135.0,79522.0390625,81944.4296875,84151.75,86530.0078125,88946.6171875,90992.7734375,93046.2265625,94604.0,96100.2265625,97191.2734375,97773.78125,98508.0,98716.171875,99077.4375,99552.09375,99896.9921875,100750.3828125,101497.609375,102163.3671875,102848.3984375,103160.7421875,103588.859375,104077.2734375,104725.0390625,105823.9921875,107082.703125,108537.4296875,109956.5,111291.171875,112590.1171875,113779.390625,114940.84375,116096.5625,117241.1328125,118413.4609375,119589.296875,120755.09375,121911.6796875,123054.2421875,124188.7890625,125315.84375,126436.390625,127558.609375,128685.796875,129820.21875,130966.1171875,132114.15625,133274.953125,134452.015625,135637.21875,136836.4375,138029.0625,139204.59375,140359.65625,141486.484375,142590.5625,143681.875,144759.34375,145830.703125,146901.40625
Bakersfield - CA,51235.05078125,50821.76953125,50282.859375,49902.98828125,49564.4296875,49508.71875,49652.26171875,49854.0,50262.5703125,50692.21875,51127.69921875,51579.0,51979.87109375,52373.01171875,52650.12890625,53067.0,53751.37109375,53629.390625,54241.421875,55084.921875,55163.609375,56340.94921875,57224.69921875,58217.0,60513.328125,62595.94140625,64690.1015625,66234.0,66945.859375,67784.8515625,68259.3828125,68892.9921875,69655.0078125,70229.2578125,70861.3828125,71596.0,72472.4296875,73202.8203125,74065.53125,74817.0625,75216.0703125,75791.9609375,76249.796875,76749.3828125,77510.7421875,78333.5625,79243.4765625,80132.5703125,81001.7421875,81866.15625,82685.0703125,83507.671875,84348.7734375,85198.8828125,86077.65625,86967.578125,87852.2109375,88736.296875,89616.703125,90495.078125,91371.6328125,92245.0,93120.6015625,94001.796875,94890.03125,95788.5390625,96691.671875,97606.4921875,98535.75,99472.1015625,100417.046875,101358.4609375,102294.421875,103226.8203125,104151.53125,105070.09375,105978.890625,106878.390625,107774.796875,108671.796875
Baltimore - MD,73495.8671875,74627.25,75723.9609375,76787.9921875,76972.59375,77043.203125,77160.171875,77394.0078125,78086.8671875,78903.390625,79785.671875,80469.0078125,81332.7578125,82078.78125,82569.5,83160.0,83359.890625,82440.0390625,82191.7421875,82116.5,82360.7890625,83902.71875,85104.0625,86302.0,87470.3203125,88524.28125,89687.9296875,90505.0,91385.84375,92336.6015625,93227.90625,94288.9921875,95625.7265625,96759.0,97668.5703125,98666.0,99195.890625,99821.34375,100501.5625,100867.0078125,101113.5390625,101365.8515625,101574.1484375,102072.546875,102875.4375,103753.7109375,104723.4375,105677.7890625,106623.7265625,107579.1171875,108512.7578125,109459.8515625,110427.46875,111402.59375,112395.6484375,113398.4296875,114397.8984375,115397.5625,116395.703125,117392.40625,118389.9609375,119385.40625,120382.5625,121385.4921875,122391.0390625,123405.171875,124422.703125,125448.671875,126489.109375,127534.8671875,128587.8203125,129636.5625,130672.109375,131700.0,132716.203125,133723.234375,134718.59375,135704.453125,136686.328125,137667.59375
