Market,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2026 Q1,2026 Q2 EST,2026 Q2 QTD,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1
Akron - OH,0.0486373167107076,0.04864681600868449,0.04892105139765298,0.0490693701866214,0.04906325837932585,0.04904419495390611,0.04931312692346474,0.0493169090400367,0.04939386495398711,0.04940066724925633,0.04936382430041986,0.04937345693513978,0.04934923880568773,0.04960080895609654,0.04961072756617631,0.04973774224652833,0.04989789495924472,0.04989671900377451,0.04993537709757212,0.05003348161393963,0.05042072579347463,0.05098543185031822,0.05131613944398599,0.05130003111219315,0.05142023111764267,0.05182506565990536,0.05184886336519575,0.05204652839576394,0.0520222444608355,0.05212897861370191,0.05214199310537421,0.05252251287129474,0.05250244817184269,0.05295685593740113,0.05292718490280408,0.05288772861587721,0.05287603656982546,0.05289383178475884,0.0532505239014379,0.05327281463226356,0.05330043447368738,0.0535411258997359,,0.05357567156281074,0.05361139728476451,0.05364964610460103,0.05370761922770587,0.05376122086446357,0.05382778917556869,0.05390446845720975,0.05398496208169994,0.05406696184806375,0.05415053136235078,0.05423250478417974,0.05431532486639694,0.05439583176025693,0.05447702147845542,0.0545559798095906,0.05463284070762629,0.05471029196135153,0.05478828468355738,0.05486408692412927
Albany - NY,0.05489877725820481,0.05511405066169672,0.05519023989082732,0.05580358860043576,0.05660578742988959,0.05705700069664921,0.05716503018368899,0.057806339181166,0.0577856637541988,0.05805644854532332,0.05835238747675691,0.05878014350066967,0.05935192691407391,0.05946048173712881,0.05952952098321276,0.05951063328737995,0.06008774244288471,0.06069329731784011,0.06076445411021837,0.06128930895430731,0.06161586802234984,0.06166950560900069,0.06161329639644318,0.0618999641311815,0.06231616454382757,0.06232232679086371,0.06270216478635295,0.06300503214643152,0.0635964356090638,0.06374652898448495,0.06376148213834615,0.06367572937157062,0.06368883212605232,0.06382897528659309,0.06398275003659663,0.06436507693767528,0.06487982444873729,0.06511037160326343,0.06550826967918115,0.065633167580893,0.06566988090975563,0.06583079373879253,,0.0659448578903341,0.06605530662708795,0.0667137189674277,0.06694106761111643,0.06716513699496104,0.06721454430654725,0.06728746809177728,0.06737545997950253,0.06747168036871252,0.06757524478214127,0.06768674050063475,0.0678020193162171,0.06791880221533193,0.06803523587973936,0.06815077653722978,0.0682653426044696,0.06837672315009442,0.06848628891072293,0.06859149712093585
Albuquerque - NM,0.0568447015362835,0.05682885161332388,0.05704213997477654,0.05703509881415292,0.05707380011969871,0.05703785879335838,0.0567818583554178,0.05682737925365285,0.05687203270042861,0.05709026371175784,0.0571246448805095,0.05716345071239838,0.05725627058231837,0.05721132479004374,0.05730173127735931,0.05722310335757582,0.05720671806961465,0.05709973389276672,0.05703527579774571,0.05740915067934774,0.05741601917006876,0.05754423235358457,0.05760341166687644,0.05761462551880053,0.05761770774356906,0.05761679518268516,0.05759759111252512,0.0575903647349473,0.05756349039123497,0.05773359986521993,0.05821260179764409,0.05888295577163396,0.05971337358731511,0.0599281893852822,0.05991097157175469,0.0600687880849779,0.05995524996655788,0.05998784325613439,0.06030695596957222,0.06053561196969603,0.06115479645971618,0.06118524974163867,,0.06117693329540595,0.06139718906434392,0.06139456478497356,0.06205682882261958,0.0620933146384037,0.06214878708380823,0.06221872240335044,0.06229627757728275,0.0623784284582562,0.06246539796470912,0.06255227562517855,0.06264155359681976,0.06273079518810294,0.06282133736723985,0.06291097461643716,0.06299830337580395,0.06308558968618803,0.06316929740822076,0.06325003347199823
Anchorage - AK,0.03211576625004205,0.03205407166285781,0.03212570279629147,0.03213758172736864,0.03215161591091354,0.03216648679632606,0.03226416079612283,0.03231850226470815,0.03257406201422729,0.03265859840442213,0.0327152178594142,0.0327406000918997,0.03276619891732802,0.03300359023846663,0.03302941250345365,0.03312500711228623,0.0331193590060677,0.03311428696956573,0.03296460374839952,0.03293155267556327,0.0329067962357151,0.03287430583202408,0.03282863812446531,0.03282392757339892,0.03281460021066676,0.03275056266221033,0.03272861163636818,0.03270150221980215,0.0326974814847116,0.03266028940209761,0.03262459364354036,0.03256721859523157,0.03262451041752545,0.0326502989233198,0.03260087677628632,0.03250109156205013,0.032465232418333,0.03246292969816793,0.03246681104430457,0.03246865213590662,0.03246957900594385,0.0324727447535483,,0.03247197645929463,0.0324718440164514,0.03247039471254121,0.03246507918749276,0.03246351977822585,0.03245787861172476,0.0324535573523784,0.03244787316099809,0.03243768990605802,0.0324293489419092,0.03241931022786686,0.03240710208975722,0.03239287160998965,0.03237695979169587,0.03235888093429708,0.03233858585165424,0.0323159845013802,0.03229438372874015,0.03227036146982902
Asheville - NC,0.03305217324467035,0.03293445214719556,0.03294391511752585,0.0332746610205808,0.03314992850297818,0.03384490194277388,0.03517890373772704,0.03714947079148292,0.03721509502992669,0.03712604396296332,0.03892952533910584,0.03973125227026229,0.03964573422617558,0.0399779964913324,0.0399318562255371,0.04069456130956934,0.04220918908956733,0.04303027701278398,0.04323687757514794,0.04314980013024455,0.04368003233656918,0.04410040257107006,0.0453577590507455,0.04591517741238545,0.04582886219956898,0.04690610264234021,0.04760414746547256,0.04772551504477655,0.04834477018048086,0.0486287459461995,0.04851153475811548,0.04838647263464477,0.04825546127108109,0.04952612746132477,0.04981259487287497,0.04968277047121803,0.05071674609915743,0.05303623005457336,0.05361142050087955,0.05640238186208354,0.05766703778558388,0.05840360208325662,,0.05854329797426937,0.05918432205847216,0.05928602031009367,0.06104685106505969,0.06114523797807777,0.06199570806482318,0.06279696157199677,0.06317061397944261,0.06358120530083633,0.06401897283301664,0.06447273437736593,0.06494142300573988,0.06541534818400437,0.06589386171373483,0.06637300578649784,0.06684810735997537,0.06731939621511478,0.0677819983611094,0.06824072124928417
Atlanta - GA,0.07103577462681204,0.07114609753935584,0.07115543136618098,0.07121430866445325,0.0714053533955349,0.07178100906287989,0.07200165941801065,0.0722566551960157,0.07235689810488385,0.07232230363050818,0.07257473780655326,0.07253908131394866,0.07293790620751746,0.07316259222829934,0.07328824524099194,0.07347789195751978,0.07374965082990403,0.07400278211488219,0.07488924457258787,0.0751778974870726,0.07560620866351886,0.0757205426100035,0.07582183002852724,0.07589880784375887,0.07591309013273267,0.07606288159062541,0.0764469733285157,0.07704139658856943,0.0773242569843802,0.07825124724367898,0.07872588736181609,0.07941696272881074,0.08006253866931017,0.0811227154536356,0.08176634354036391,0.08224631447353867,0.08287193625328457,0.08353597508960543,0.0838701443770775,0.08409235074483591,0.08438264497937742,0.08467999373783801,,0.08485245677561397,0.08516135494373378,0.08535444098371736,0.08543051758148514,0.08569320438514984,0.08588919550681468,0.08607088355219425,0.08622015281362591,0.0863289119862344,0.0864667865532294,0.08662775670117316,0.08677487542307143,0.0869143703457096,0.0870324420619217,0.08713401179894754,0.08722618663829894,0.08731189771468427,0.08738901791729124,0.08745896067032821
Augusta - GA,0.0389397393539476,0.03884745328780801,0.03918466010951774,0.03909979598079864,0.03901789814917248,0.03893734404592593,0.03958915154418724,0.03952213397192676,0.03945707014907975,0.03985798226854639,0.03979244779272639,0.03976796777748607,0.04006755287660326,0.04078426070799115,0.04088983817832965,0.04081684612702763,0.04074316640635832,0.04067045529522302,0.04108578912620316,0.04107479704560863,0.04190952470322704,0.04184087833979375,0.0420071341632153,0.04270732151361104,0.04331324478141659,0.04385116057107255,0.04415689337579558,0.04499040256519882,0.04537412825547541,0.04537122557303148,0.0457426736906534,0.04562083685021279,0.04634290657926841,0.0468680144854772,0.0475386972325936,0.04766447810868552,0.04833935890799378,0.0482902498503502,0.04824389901932529,0.04960420705924279,0.04955197244055318,0.04950738213311584,,0.04999057837343449,0.05015966534902463,0.0501113814278584,0.05006986817121803,0.05007636479421125,0.05028553066683557,0.05035283375549376,0.05043427511671111,0.05052577396246668,0.05062350701015931,0.05072606322066195,0.0508335545187778,0.05094094348196835,0.0510483338598773,0.05115582995464343,0.05126016060616238,0.05136487660438767,0.05146689080111067,0.05156627977076227
Austin - TX,0.09340474093529083,0.09395634880298753,0.09433623624906379,0.09527480264193305,0.0958409120785879,0.09584227323833007,0.09694040590989399,0.09802356743122882,0.09785420135342483,0.09866676062750385,0.09919353203288185,0.09897507992600953,0.09942369529376907,0.09961167633527157,0.09987935619590188,0.1005931474525967,0.101387653874244,0.1020754676491829,0.102172628609762,0.1030817341898962,0.1035288651949966,0.103860057244189,0.1043609620421206,0.1052281899978793,0.1062703348383028,0.1068168853394181,0.1075088687020696,0.1083907119611285,0.1090183230594864,0.1105221288967857,0.1123528592645742,0.1135256402329447,0.1162253043332423,0.1185430982882997,0.1220608414198917,0.1233366341375847,0.1241846943409551,0.1261593995994915,0.127067944897765,0.1277794622038964,0.1279711241289911,0.1286242279896616,,0.1289135972414563,0.1294586754710352,0.1298394159601719,0.1300871657489268,0.1301501206058204,0.1303675919533653,0.1306105190395388,0.1307242100437258,0.1308225297667888,0.1308729402151709,0.130948833630103,0.1310417883383826,0.1311484695664581,0.1312581023740313,0.1313604387505672,0.1314512371949815,0.1315312422089913,0.1316002557447936,0.1316518303545573
Bakersfield - CA,0.02680352597978456,0.02700022557175517,0.02696043575522403,0.02703379470729921,0.02705245312156391,0.02699992756356438,0.02694821664731262,0.02689388732617877,0.02684094973630635,0.02678868048842171,0.02673606674850988,0.0266908102134634,0.02665913740079777,0.02661506223828451,0.02657036284982784,0.02679194191423217,0.0268054007184442,0.02724712441529566,0.02733658249960517,0.02728652816473688,0.0274139230623999,0.02786481148236598,0.02799818022233543,0.0279746834750416,0.02794730321315271,0.02791805739444433,0.02788002145833518,0.02788992056846865,0.02794954633276787,0.02795073590035866,0.02796186376135772,0.02792917930850617,0.02799505644580554,0.02817787972842956,0.02829614916935031,0.02830272567140573,0.02836947609258205,0.02869241112307942,0.02871544530341339,0.02872572455656377,0.02873194608146733,0.02897677038616751,,0.02897337839486694,0.02969677511837828,0.0296860768915203,0.02971268349504426,0.02972098601034091,0.02973261217493447,0.0297465282118123,0.02976362027368116,0.02978121347910526,0.02979950708853597,0.02981822442083987,0.02983677848641926,0.02985384940535942,0.02987144161542377,0.02988654942521469,0.0299011424844168,0.02991442212800028,0.02992523581229176,0.0299348486503637
Baltimore - MD,0.06649681284461251,0.0666302745124746,0.06674743344538601,0.06707823462560998,0.0671928772252036,0.06738260634338585,0.06813540863895612,0.06831203702330482,0.06891560125587257,0.06915635175821622,0.06933089059155541,0.06942580242868768,0.06968299661076632,0.06983600360283115,0.06998964961374272,0.07022672175223867,0.07080216766564246,0.07123125243953464,0.0714839650514408,0.07152351612529288,0.07191206288852889,0.07199728951380654,0.07205702945359892,0.07221297368943798,0.07231522761846976,0.0724216762205427,0.07251953525001531,0.07270421720287665,0.07294144974870835,0.07364418010363905,0.07385625353388252,0.07393962451770747,0.07427682625700759,0.07471880275245621,0.07507410070680674,0.07510662691721715,0.07535692381797865,0.07539001444011727,0.07540782727274319,0.07557917673476447,0.07573723373902266,0.0759095043917975,,0.0761163192194958,0.07630166075861052,0.07652586896012027,0.07657742559994059,0.07664748666264426,0.07688951670017342,0.07711098416214265,0.07723176293604427,0.07735841715619075,0.0774889318300274,0.07762201635763613,0.0777556264755448,0.07788919810648118,0.07802042719951074,0.0781495767976122,0.0782760089592706,0.07839875893181088,0.07851778958831218,0.07863222710982712
