Market,err_2025 Q3,err_2025 Q4,err_2026 Q1,MAE,MeanError,Variable
Akron - OH,0.0010321201544075675,0.0021332802789414407,0.002987192266951877,0.0020508642334336282,0.0020508642334336282,Employment
Albany - NY,-0.0008230888042823903,0.00024294858674411834,0.0012236994917365074,0.000763245627587672,0.00021451975806607848,Employment
Albuquerque - NM,0.0010256437172211363,0.004083735471379635,0.0056396963054822224,0.003583025164694331,0.003583025164694331,Employment
Anchorage - AK,-0.0007539241206144798,0.0023347144661343133,0.0036937894048474362,0.0022608093305320764,0.0017581932501224233,Employment
Asheville - NC,0.001764740709511603,0.004606394036394068,0.006105029728309175,0.004158721491404949,0.004158721491404949,Employment
Atlanta - GA,0.0017782254085547677,0.004054452878204717,0.005422897136009519,0.0037518584742563346,0.0037518584742563346,Employment
Augusta - GA,0.0008172854838370824,0.0037538197294937348,0.004796844508116682,0.0031226499071491665,0.0031226499071491665,Employment
Austin - TX,0.0023373509112962765,0.0036907941146571144,0.004438430434114515,0.003488858486689302,0.003488858486689302,Employment
Bakersfield - CA,-0.000916575446140433,0.0008605836347077567,0.0019544460319351753,0.0012438683709277882,0.000632818073500833,Employment
Baltimore - MD,0.0021775060017750203,0.005325427047954356,0.006428543357155814,0.00464382546896173,0.00464382546896173,Employment
Baton Rouge - LA,0.0016005322189411864,0.0023979731121279713,0.003240967628061364,0.0024131576530435073,0.0024131576530435073,Employment
Beaumont - TX,0.0013466776313648676,0.002376095669696321,0.0031585306471040298,0.0022937679827217394,0.0022937679827217394,Employment
Birmingham - AL,0.001915646128952453,0.004294200460886799,0.00549176188281153,0.0039005361575502606,0.0039005361575502606,Employment
Boise - ID,0.0017606342247074025,0.004000810127265275,0.005234951213348937,0.0036654651884405385,0.0036654651884405385,Employment
Boston - MA,0.002413418539294665,0.004419152898339718,0.005630708192992273,0.004154426543542218,0.004154426543542218,Employment
Brownsville-Harlingen - TX,-0.0004364668082705858,-0.00010669192352952273,0.0005882583472598402,0.00037713902635331625,1.5033205153243875e-05,Employment
Buffalo - NY,1.34175582000573e-06,0.0013130658743365498,0.0020281818068226265,0.0011141964789930607,0.0011141964789930607,Employment
Canton - OH,0.0010274548524850102,0.001914035793156188,0.0026056461190872016,0.0018490455882427999,0.0018490455882427999,Employment
Charleston - SC,0.0001163755336293093,0.0027521035235518188,0.0038688551897929635,0.0022457780823246973,0.0022457780823246973,Employment
Charlotte - NC,0.00068131086943235,0.002405621011196235,0.003616006310140474,0.002234312730256353,0.002234312730256353,Employment
Chattanooga - TN,0.0006257194773251484,0.002078254668076873,0.002655080185507863,0.0017863514436366283,0.0017863514436366283,Employment
Chicago - IL,0.0007395013587569998,0.002621727144962449,0.0035695393777521733,0.0023102559604905406,0.0023102559604905406,Employment
Cincinnati - OH,0.0009558202385662184,0.00197224992337941,0.002757669918816541,0.0018952466935873897,0.0018952466935873897,Employment
Cleveland - OH,0.0012404745698891828,0.0028775078150377054,0.0036394500099456994,0.0025858107982908627,0.0025858107982908627,Employment
Colorado Springs - CO,0.0007445568495030308,0.0034159619731317648,0.004921201974151135,0.00302724026559531,0.00302724026559531,Employment
Columbia - SC,-9.196587476956175e-05,0.002447787671656876,0.0033563991170233454,0.0019653842211499275,0.0019040736379702199,Employment
Columbus - OH,-0.003614777819203052,-0.002204563893784206,-0.0012241596429518609,0.0023478337853130395,-0.0023478337853130395,Employment
Corpus Christi - TX,0.000134534019514021,0.0006412601176162269,0.0009837918135677803,0.0005865286502326761,0.0005865286502326761,Employment
Dallas-Fort Worth - TX,0.0016345921471585534,0.0032302250695503965,0.0042668113287192,0.003043876181809383,0.003043876181809383,Employment
Dayton - OH,0.0005377421523338199,0.003269958922678451,0.004232087505387949,0.0026799295268000733,0.0026799295268000733,Employment
Daytona Beach - FL,0.0015267742238227466,0.003132847359972102,0.004590132761500998,0.0030832514484319487,0.0030832514484319487,Employment
Denver - CO,0.0006104003662377178,0.0028317597965048513,0.004414386931219871,0.0026188490313208135,0.0026188490313208135,Employment
Des Moines - IA,0.0025864518760514432,0.005000591793981712,0.0064723672211470795,0.004686470297060079,0.004686470297060079,Employment
Detroit - MI,0.00165901814911662,0.0036247635821988755,0.004628720491230087,0.003304167407515194,0.003304167407515194,Employment
Durham - NC,0.0014354195533787806,0.0033438254605808737,0.004188919489859444,0.0029893881679396994,0.0029893881679396994,Employment
East Bay - CA,0.0015126773096958424,0.003339892462880467,0.00473182376100989,0.003194797844528733,0.003194797844528733,Employment
El Paso - TX,0.0009321269685211853,0.0027270026055628005,0.003418603598466907,0.002359244390850298,0.002359244390850298,Employment
Fayetteville - NC,0.0020526321744557263,0.009117902171679959,0.011067833968241403,0.007412789438125696,0.007412789438125696,Employment
Flint - MI,0.0005971205853581019,0.0013394268647253238,0.0018583804256655512,0.0012649759585829923,0.0012649759585829923,Employment
Fort Lauderdale - FL,0.002587035123279957,0.004675568732358748,0.006246751341535184,0.004503118399057963,0.004503118399057963,Employment
Fort Myers - FL,0.00222745766789445,0.003998143490441253,0.005608384919205234,0.003944662025846979,0.003944662025846979,Employment
Fort Wayne - IN,0.00035278849491748865,0.0016096529229117085,0.002230465684484484,0.001397635700771227,0.001397635700771227,Employment
Fresno - CA,0.0007406167270194164,0.002903711088929839,0.004244703694522567,0.002629677170157274,0.002629677170157274,Employment
Grand Rapids - MI,0.002020708377045155,0.003581836161041574,0.004448071212936444,0.0033502052503410575,0.0033502052503410575,Employment
Greensboro - NC,0.0021137560762120033,0.00410137763469387,0.005503751005002555,0.0039062949053028095,0.0039062949053028095,Employment
Greenville - SC,-0.0001308537944777477,0.0015543182959392166,0.002745278390213768,0.0014768168268769106,0.0013895809638917456,Employment
Gulfport-Biloxi-Pascagoula - MS,0.0009708173333939918,0.005092628927320431,0.006804285342560057,0.0042892438677581595,0.0042892438677581595,Employment
Harrisburg - PA,0.00027315619636891775,0.0011774657952230427,0.0017586459230944929,0.0010697559715621512,0.0010697559715621512,Employment
Hartford - CT,0.0016082246678356116,0.0029980937564804133,0.004021774589465399,0.002876031004593808,0.002876031004593808,Employment
Honolulu - HI,0.0009127191004119073,0.004441013863731302,0.006215298531379143,0.003856343831840784,0.003856343831840784,Employment
Houston - TX,0.001260435886184741,0.0025810219285808955,0.0034022289385746696,0.0024145622511134355,0.0024145622511134355,Employment
Huntsville - AL,0.0016230668258994108,0.005527595413512776,0.006634895768566018,0.004595186002659402,0.004595186002659402,Employment
Indianapolis - IN,-0.00470834575936796,-0.0027669246337092,-0.0017628065485990607,0.0030793589805587405,-0.0030793589805587405,Employment
Inland Empire - CA,0.0022218684409585077,0.004304435492931358,0.00613226378365761,0.004219522572515825,0.004219522572515825,Employment
Jackson - MS,0.00020689433400855606,0.0022250005030490794,0.003051504960040363,0.0018277999323659995,0.0018277999323659995,Employment
Jacksonville - FL,0.0017284436674340764,0.0038673270217699507,0.005170548057008562,0.003588772915404196,0.003588772915404196,Employment
Kansas City - MO,1.0160416235027725e-05,0.0024653750946153075,0.0035508268686950117,0.002008787459848449,0.002008787459848449,Employment
Killeen - TX,0.000703583647118089,0.0034902185882057513,0.004489796110571209,0.0028945327819650166,0.0028945327819650166,Employment
Knoxville - TN,0.0007192553187420625,0.002180496027255563,0.002959844757751906,0.001953198701249844,0.001953198701249844,Employment
Lafayette - LA,0.0009326047039390772,0.0008539467446777582,0.0010009406034394708,0.0009291640173521021,0.0009291640173521021,Employment
Lakeland - FL,0.0019098424276802195,0.0035113466205012323,0.004789589147397688,0.0034035927318597134,0.0034035927318597134,Employment
Lancaster - PA,0.0005688873698213026,0.001182971254888976,0.0017655215348055808,0.0011724600531719531,0.0011724600531719531,Employment
Lansing - MI,0.0009055818937535598,0.0018902679252479349,0.002474873714371162,0.001756907844457552,0.001756907844457552,Employment
Las Vegas - NV,0.00429291349687666,0.006415261695951635,0.008666622550499659,0.006458265914442651,0.006458265914442651,Employment
Lehigh Valley - PA,0.00010517885053129561,-8.836142296853033e-05,0.0003424529352828998,0.00017866440292757524,0.00011975678761522168,Employment
Lexington - KY,0.0012205752948968307,0.0028349985023676805,0.003547025253999969,0.0025341996837548266,0.0025341996837548266,Employment
Little Rock - AR,-0.0001950867056934591,0.00267024904019153,0.003947016281716342,0.002270784009200444,0.0021407262054048046,Employment
Long Island - NY,-0.002475009094993874,-0.0022137866574249987,-0.0016988663790902248,0.0021292207105030325,-0.0021292207105030325,Employment
Los Angeles - CA,0.0029678023100963014,0.005366006835855086,0.00686263729429426,0.00506548214674855,0.00506548214674855,Employment
Louisville - KY,0.0013170096282224542,0.003264066685422229,0.0042304718000616415,0.002937182704568775,0.002937182704568775,Employment
Madison - WI,-0.0005133418194049888,0.0011702872416401444,0.0021252368944384425,0.0012696219851611918,0.0009273941055578661,Employment
Manchester - NH,0.0029804117519567352,0.004936817654496495,0.005759313473314043,0.004558847626589091,0.004558847626589091,Employment
McAllen - TX,-0.00020442713145052416,0.00024544831364869957,0.0009132827848878922,0.00045438607666237196,0.00031810132236202254,Employment
Melbourne - FL,0.0019274491019920514,0.004403702718537739,0.005738445684649873,0.004023199168393221,0.004023199168393221,Employment
Memphis - TN,0.0011179149407491984,0.0033460059966139433,0.004476696137972969,0.0029802056917787034,0.0029802056917787034,Employment
Miami - FL,0.0022121766687415167,0.0044527044286755135,0.005865183767582938,0.004176688288333323,0.004176688288333323,Employment
Milwaukee - WI,0.004026062627185079,0.004520026777044883,0.0054135683763105735,0.004653219260180179,0.004653219260180179,Employment
Minneapolis - MN,0.0004595577927921646,0.001328016370159224,0.0021282124670207736,0.0013052622099907207,0.0013052622099907207,Employment
