Market,err_2025 Q3,err_2025 Q4,err_2026 Q1,MAE,MeanError,Variable
Akron - OH,0.006998564342412417,0.01398970022653212,0.021115109190907422,0.014034457919950652,0.014034457919950652,SalePrice
Albany - NY,0.0045718566127816995,0.009079273169078528,0.016934643912476233,0.010195257898112153,0.010195257898112153,SalePrice
Albuquerque - NM,0.0037961889564419593,0.015445543370328885,0.032644001967538916,0.01729524476476992,0.01729524476476992,SalePrice
Anchorage - AK,0.006771555687851372,0.021235780465002296,0.03345533443551929,0.020487556862790985,0.020487556862790985,SalePrice
Asheville - NC,0.0014783267506293107,0.012597824018443893,0.022445713799028377,0.01217395485603386,0.01217395485603386,SalePrice
Atlanta - GA,0.004655717491464317,0.013479585291702678,0.022668424889641825,0.01360124255760294,0.01360124255760294,SalePrice
Augusta - GA,-0.0074163855448834415,-0.0008815986298846834,0.005560294312549452,0.004619426162439193,-0.0009125632874062243,SalePrice
Austin - TX,0.017709667566462084,0.04423131491579835,0.069723439438518,0.043888140640259476,0.043888140640259476,SalePrice
Bakersfield - CA,0.01892980497082586,0.037277504505354164,0.046814236267876286,0.03434051524801877,0.03434051524801877,SalePrice
Baltimore - MD,0.01356277448419263,0.029472005463240913,0.046315487648818654,0.029783422532084065,0.029783422532084065,SalePrice
Baton Rouge - LA,0.029822115679986383,0.05544956168225568,0.08255893479525966,0.05594353738583391,0.05594353738583391,SalePrice
Beaumont - TX,0.008377443007129282,0.021666672647750795,0.038791322467542244,0.02294514604080744,0.02294514604080744,SalePrice
Birmingham - AL,0.001996974223270165,-0.0010698847860164395,-0.005373942269215393,0.002813600426167332,-0.0014822842773205558,SalePrice
Boise - ID,0.015389972129534746,0.029794644771911294,0.04256051145991524,0.02924837612045376,0.02924837612045376,SalePrice
Boston - MA,0.018535478629994273,0.03221004427617735,0.04283521701871451,0.031193579974962044,0.031193579974962044,SalePrice
Brownsville-Harlingen - TX,0.013459373106789463,0.029311828666283457,0.04423222694327633,0.02900114290544975,0.02900114290544975,SalePrice
Buffalo - NY,0.009591159250992076,0.002853839571414385,-0.0004756294776002701,0.004306876100002244,0.003989789781602064,SalePrice
Canton - OH,-0.00226585939516033,-0.0011444866177876545,-0.0036066979072049143,0.002339014640050966,-0.002339014640050966,SalePrice
Charleston - SC,0.017005394188171485,0.03246766600466611,0.046890492902378456,0.03212118436507202,0.03212118436507202,SalePrice
Charlotte - NC,0.008023694092341493,0.018455225771972228,0.030113208365775024,0.018864042743362914,0.018864042743362914,SalePrice
Chattanooga - TN,0.006578655020938573,0.012907660729528425,0.018553174565990815,0.012679830105485937,0.012679830105485937,SalePrice
Chicago - IL,0.007317501250273972,0.017250837806866093,0.024350183782457124,0.01630617427986573,0.01630617427986573,SalePrice
Cincinnati - OH,0.001036249624154273,0.001515843930492533,0.014960650799652253,0.00583758145143302,0.00583758145143302,SalePrice
Cleveland - OH,0.01212238721230996,0.011418407540769726,0.010191267868610021,0.011244020873896568,0.011244020873896568,SalePrice
Colorado Springs - CO,0.01961269484791217,0.04555995087569198,0.0709216577829408,0.045364767835514984,0.045364767835514984,SalePrice
Columbia - SC,-0.0021199964648619396,0.003963678235313628,0.0145842187069678,0.0068892978023811224,0.005475966825806496,SalePrice
Columbus - OH,0.004612471032641174,0.007564862459112254,0.011902992332144091,0.008026775274632506,0.008026775274632506,SalePrice
Corpus Christi - TX,0.013569723332177763,0.024446490306254454,0.03651528554321737,0.024843833060549863,0.024843833060549863,SalePrice
Dallas-Fort Worth - TX,0.012502192236159337,0.029213703313736294,0.048117212337998705,0.02994436929596478,0.02994436929596478,SalePrice
Dayton - OH,0.000752093445522517,0.0018069367797921565,0.003456675437414125,0.0020052352209095994,0.0020052352209095994,SalePrice
Daytona Beach - FL,0.0046839831892662165,0.013766906124734746,0.024141071996085728,0.014197320436695563,0.014197320436695563,SalePrice
Denver - CO,0.012140254813913898,0.02981813531019517,0.04047198598171098,0.02747679203527335,0.02747679203527335,SalePrice
Des Moines - IA,0.0032948884226142727,0.005685192879376855,0.00697859006048307,0.005319557120824732,0.005319557120824732,SalePrice
Detroit - MI,0.005773213539502553,0.011569354672402277,0.02214983674505122,0.013164134985652018,0.013164134985652018,SalePrice
Durham - NC,0.013924513715725784,0.028231820050760748,0.04304357951575344,0.02839997109407999,0.02839997109407999,SalePrice
East Bay - CA,0.01865869790718122,0.0363838037396641,0.05002173986773639,0.035021413838193904,0.035021413838193904,SalePrice
El Paso - TX,0.006393789707593411,0.016600348252284736,0.030199521442670685,0.017731219800849612,0.017731219800849612,SalePrice
Fayetteville - NC,0.008431643736037442,0.017584294841655357,0.030418168371141086,0.018811368982944627,0.018811368982944627,SalePrice
Flint - MI,0.00531776906139525,0.01553634119152214,0.026975292198189837,0.015943134150369076,0.015943134150369076,SalePrice
Fort Lauderdale - FL,0.018302457252620696,0.0347430157480777,0.05184192009083399,0.03496246436384413,0.03496246436384413,SalePrice
Fort Myers - FL,0.03535423354546463,0.06100947963904413,0.07894865831559084,0.05843745716669987,0.05843745716669987,SalePrice
Fort Wayne - IN,0.0067061786274749124,0.007092660731990108,0.011612149250657122,0.00847032953670738,0.00847032953670738,SalePrice
Fresno - CA,0.003513432539981709,0.012270525254315379,0.017579014714570906,0.011120990836289332,0.011120990836289332,SalePrice
Grand Rapids - MI,0.002531861628242149,0.007477035901518159,0.011121609339087568,0.007043502289615959,0.007043502289615959,SalePrice
Greensboro - NC,0.0009196818109724614,-0.0012228875304196585,0.00628207757433441,0.00280821563857551,0.0019929572849624044,SalePrice
Greenville - SC,0.012495804301238644,0.02468367746285982,0.03479769355126394,0.02399239177178747,0.02399239177178747,SalePrice
Gulfport-Biloxi-Pascagoula - MS,-0.006411784464525061,-0.0016347540239052272,0.006650124981345096,0.004898887823258462,-0.00046547116902839747,SalePrice
Harrisburg - PA,-0.005292419230781498,-0.010218841585720062,-0.013602052576410228,0.009704437797637263,-0.009704437797637263,SalePrice
Hartford - CT,0.010156661618265783,0.01770010255225629,0.01816509750045614,0.015340620556992738,0.015340620556992738,SalePrice
Honolulu - HI,0.01006469605707716,0.018977766564976406,0.0224794933488357,0.017173985323629754,0.017173985323629754,SalePrice
Houston - TX,0.010483487638091038,0.023362104259173178,0.044483069223823946,0.026109553707029387,0.026109553707029387,SalePrice
Huntsville - AL,0.009333658351178942,0.01692740493756517,0.026017777632286965,0.01742628030701036,0.01742628030701036,SalePrice
Indianapolis - IN,0.016514621941462804,0.03192376660858598,0.04026188337969128,0.029566757309913354,0.029566757309913354,SalePrice
Inland Empire - CA,0.017543598457890552,0.03428847577390748,0.05068387901990956,0.034171984417235866,0.034171984417235866,SalePrice
Jackson - MS,0.005173963593494868,0.014512736144935756,0.02612245086892151,0.015269716869117378,0.015269716869117378,SalePrice
Jacksonville - FL,0.00901422643263472,0.02369343930142731,0.040585071177873355,0.024430912303978463,0.024430912303978463,SalePrice
