Market,err_2025 Q3,err_2025 Q4,err_2026 Q1,MAE,MeanError,Variable
Akron - OH,-0.006330936068040582,-0.006383410224518382,-0.006435884380996404,0.006383410224518456,-0.006383410224518456,Supply
Albany - NY,-0.0045214745833424,-0.003339620057832171,-0.0033905132330573906,0.0037505359580773203,-0.0037505359580773203,Supply
Albuquerque - NM,0.0033777397920866647,-0.0008146863097544532,-0.005603816962076014,0.0032654143546390437,-0.0010135878265812674,Supply
Anchorage - AK,-7.650524060898167e-05,-7.650524060898167e-05,-0.00015301048121796335,0.00010200698747864223,-0.00010200698747864223,Supply
Asheville - NC,0.014380685114754987,-0.02776349387632826,-0.0355778449702262,0.025907341320436483,-0.016320217910599826,Supply
Atlanta - GA,-0.0013872761123880917,-0.003078318601767993,-0.005314977746342375,0.0032601908201661534,-0.0032601908201661534,Supply
Augusta - GA,-3.175813008116091e-05,-0.029351813857682707,-0.019506793532479305,0.016296788506747723,-0.016296788506747723,Supply
Austin - TX,-0.0038110913816300496,-0.007302130917499872,-0.0073550537262332405,0.0061560920084543875,-0.0061560920084543875,Supply
Bakersfield - CA,-3.819709702057583e-05,0.008632543926661684,0.008594346829640997,0.005755029284441086,0.005729564553094035,Supply
Baltimore - MD,0.000756481745160853,0.0003145409525260323,0.00031360530095003725,0.0004615426662123075,0.0004615426662123075,Supply
Baton Rouge - LA,-0.004835462486546649,-0.001284900688793833,-0.001374788329243204,0.0024983838348612286,-0.0024983838348612286,Supply
Beaumont - TX,-0.01088396146842563,-0.010937598027104034,-0.010937598027104034,0.010919719174211232,-0.010919719174211232,Supply
Birmingham - AL,-0.006115194068280871,-0.015677557275467047,-0.015767021385448388,0.012519924243065436,-0.012519924243065436,Supply
Boise - ID,-0.00020815943994079156,-0.0030254941342049424,-0.011583646068872078,0.004939099881005937,-0.004939099881005937,Supply
Boston - MA,-0.0040705231664697195,-0.004981277832684761,-0.00027895305216607547,0.003110251350440185,-0.003110251350440185,Supply
Brownsville-Harlingen - TX,-0.0028091995361438915,-0.0028091995361438915,-0.012503704381220615,0.006040701151169466,-0.006040701151169466,Supply
Buffalo - NY,0.0012127671863899625,5.3455391588297374e-05,-0.002967021390485325,0.001411081322821195,-0.000566932937502355,Supply
Canton - OH,-7.627183281200267e-05,-0.00015254366562444943,-0.0002288154984364521,0.0001525436656243014,-0.0001525436656243014,Supply
Charleston - SC,-0.0011639080106895516,0.0031914554888345936,-0.009102028566625675,0.004485797355383274,-0.0023581603628268777,Supply
Charlotte - NC,-0.0006331178628344869,0.0023142129547613077,-0.00300569482439772,0.001984341880664505,-0.0004415332441569664,Supply
