Scheme,Market,WeightedAvg,Rank
baseline,Inland Empire - CA,19.65,1.0
baseline,Fresno - CA,24.266666666666666,2.0
baseline,Las Vegas - NV,26.958333333333336,3.0
baseline,Stockton - CA,28.033333333333335,4.0
baseline,Indianapolis - IN,31.333333333333336,5.0
baseline,Sacramento - CA,32.225,6.0
baseline,Modesto - CA,33.43333333333334,7.0
baseline,Salem - OR,35.25833333333333,8.0
baseline,Phoenix - AZ,35.775,9.0
baseline,Springfield - MA,36.16666666666667,10.0
baseline,Salinas - CA,36.46666666666667,11.0
baseline,Bakersfield - CA,39.05,12.0
baseline,Reno - NV,39.06666666666667,13.0
baseline,Palm Beach - FL,39.400000000000006,14.0
baseline,Honolulu - HI,40.70833333333333,15.0
baseline,East Bay - CA,42.11666666666667,16.0
baseline,Memphis - TN,42.425000000000004,17.0
baseline,Richmond - VA,42.50833333333333,18.0
baseline,Visalia - CA,42.76666666666667,19.0
baseline,Manchester - NH,43.2,20.0
baseline,Columbus - OH,43.741666666666674,21.0
baseline,Norfolk - VA,44.72500000000001,22.0
baseline,Harrisburg - PA,45.225,23.0
baseline,Cincinnati - OH,45.25,24.0
baseline,Vallejo-Fairfield - CA,45.925,25.0
baseline,Reading - PA,46.0,26.0
baseline,Spokane - WA,46.558333333333344,27.0
baseline,Worcester - MA,47.225,28.0
baseline,Port St. Lucie - FL,47.50833333333334,29.0
baseline,Kansas City - MO,47.650000000000006,30.0
baseline,Springfield - MO,48.25,31.0
baseline,Miami - FL,48.891666666666666,32.0
baseline,Portland - ME,49.10000000000001,33.0
baseline,Santa Barbara - CA,49.233333333333334,34.0
baseline,Ventura - CA,50.025000000000006,35.0
baseline,San Francisco - CA,50.18333333333334,36.0
baseline,Boise - ID,50.224999999999994,37.0
baseline,Lehigh Valley - PA,50.26666666666667,38.0
baseline,Lexington - KY,50.59166666666667,39.0
baseline,Dallas-Fort Worth - TX,50.80833333333333,40.0
baseline,Youngstown - OH,50.925000000000004,41.0
baseline,San Jose - CA,51.125,42.0
baseline,Salisbury - MD,51.13333333333334,43.0
baseline,Fayetteville - NC,51.31666666666667,44.0
baseline,Seattle - WA,51.34166666666666,45.0
baseline,Detroit - MI,51.525,46.0
baseline,Anchorage - AK,51.85000000000001,47.0
baseline,Tulsa - OK,51.983333333333334,48.0
baseline,Lansing - MI,52.141666666666666,49.0
baseline,Columbia - SC,52.733333333333334,50.0
baseline,Winston-Salem - NC,52.78333333333334,51.0
baseline,Gulfport-Biloxi-Pascagoula - MS,53.125,52.0
baseline,Myrtle Beach - SC,53.97500000000001,53.0
baseline,Grand Rapids - MI,54.81666666666667,54.0
baseline,Providence - RI,54.983333333333334,55.0
baseline,Orange County - CA,55.266666666666666,56.0
baseline,Des Moines - IA,55.34166666666667,57.0
baseline,Lancaster - PA,55.575,58.0
baseline,Greenville - SC,55.94166666666667,59.0
baseline,Orlando - FL,57.224999999999994,60.0
baseline,Northwest Arkansas - AR,57.466666666666676,61.0
baseline,Fort Wayne - IN,57.59166666666667,62.0
baseline,Knoxville - TN,57.666666666666664,63.0
baseline,Atlanta - GA,58.49166666666667,64.0
baseline,Houston - TX,58.525000000000006,65.0
baseline,Charleston - SC,58.900000000000006,66.0
baseline,Albany - NY,59.13333333333334,67.0
baseline,York - PA,59.15833333333334,68.0
baseline,El Paso - TX,59.56666666666667,69.0
baseline,Cleveland - OH,59.733333333333334,70.0
baseline,Oklahoma City - OK,59.800000000000004,71.0
baseline,Tallahassee - FL,59.900000000000006,72.0
baseline,Trenton - NJ,60.01666666666668,73.0
baseline,Daytona Beach - FL,60.675000000000004,74.0
baseline,Jacksonville - FL,60.79166666666667,75.0
baseline,Canton - OH,60.875,76.0
baseline,Raleigh - NC,60.89166666666667,77.0
baseline,Lakeland - FL,61.73333333333334,78.0
baseline,Naples - FL,62.09166666666667,79.0
baseline,Montgomery - AL,62.125,80.0
baseline,Rochester - NY,62.60833333333334,81.0
baseline,Madison - WI,62.88333333333334,82.0
baseline,New Orleans - LA,62.891666666666666,83.0
baseline,San Diego - CA,63.13333333333334,84.0
baseline,Scranton - PA,63.525,85.0
baseline,Long Island - NY,63.69166666666667,86.0
baseline,Buffalo - NY,63.775,87.0
baseline,Little Rock - AR,64.45833333333334,88.0
baseline,San Antonio - TX,64.96666666666668,89.0
baseline,Wichita - KS,65.13333333333333,90.0
baseline,Chicago - IL,65.60833333333335,91.0
baseline,Melbourne - FL,65.66666666666667,92.0
baseline,Milwaukee - WI,65.74166666666666,93.0
baseline,Louisville - KY,65.85000000000001,94.0
baseline,Akron - OH,65.95,95.0
baseline,Chattanooga - TN,66.14166666666668,96.0
baseline,Omaha - NE,66.44166666666666,97.0
baseline,Hartford - CT,66.70833333333334,98.0
baseline,Greensboro - NC,66.775,99.0
baseline,Austin - TX,66.875,100.0
baseline,Baltimore - MD,67.225,101.0
baseline,Dayton - OH,67.31666666666666,102.0
baseline,Pensacola - FL,67.78333333333333,103.0
baseline,Ocala - FL,68.01666666666668,104.0
baseline,Tucson - AZ,68.55000000000001,105.0
baseline,Fort Lauderdale - FL,69.2,106.0
baseline,Birmingham - AL,69.28333333333335,107.0
baseline,Boston - MA,70.06666666666668,108.0
baseline,Toledo - OH,70.225,109.0
baseline,Mobile - AL,70.26666666666668,110.0
baseline,Santa Rosa - CA,70.75,111.0
baseline,New York - NY,71.19166666666668,112.0
baseline,New Haven - CT,71.39166666666667,113.0
baseline,Flint - MI,71.60833333333333,114.0
baseline,Salt Lake City - UT,71.80833333333334,115.0
baseline,Killeen - TX,72.03333333333333,116.0
baseline,Augusta - GA,72.08333333333334,117.0
baseline,Provo - UT,72.25833333333334,118.0
baseline,Portland - OR,72.48333333333333,119.0
baseline,Brownsville-Harlingen - TX,72.60000000000001,120.0
baseline,Charlotte - NC,72.80833333333334,121.0
baseline,Syracuse - NY,73.375,122.0
baseline,McAllen - TX,73.42500000000001,123.0
baseline,Denver - CO,73.45833333333333,124.0
baseline,Albuquerque - NM,74.30000000000001,125.0
baseline,Savannah - GA,74.54166666666667,126.0
baseline,Fort Myers - FL,74.61666666666667,127.0
baseline,Asheville - NC,75.24166666666667,128.0
baseline,Durham - NC,75.43333333333334,129.0
baseline,Saint Louis - MO,75.95,130.0
baseline,Sarasota - FL,76.09166666666667,131.0
baseline,Philadelphia - PA,76.60833333333335,132.0
baseline,Tampa - FL,76.93333333333334,133.0
baseline,Nashville - TN,77.69166666666668,134.0
baseline,Huntsville - AL,77.96666666666667,135.0
baseline,Ogden - UT,78.21666666666667,136.0
baseline,Jackson - MS,79.125,137.0
baseline,Washington - DC,79.94166666666668,138.0
baseline,Colorado Springs - CO,80.04166666666667,139.0
baseline,Minneapolis - MN,80.65833333333333,140.0
baseline,Shreveport - LA,81.3,141.0
baseline,Baton Rouge - LA,83.85000000000001,142.0
baseline,Beaumont - TX,84.9,143.0
baseline,Northern New Jersey - NJ,85.96666666666667,144.0
baseline,Los Angeles - CA,87.76666666666667,145.0
baseline,Lafayette - LA,88.18333333333332,146.0
baseline,Corpus Christi - TX,91.31666666666666,147.0
baseline,Pittsburgh - PA,96.75,148.0
baseline,Stamford - CT,104.30833333333334,149.0
baseline,Poughkeepsie - NY,,
equal,Fresno - CA,33.764583333333334,1.0
equal,Stockton - CA,34.42916666666667,2.0
equal,Inland Empire - CA,35.59375,3.0
equal,Salinas - CA,38.41458333333333,4.0
equal,Sacramento - CA,39.265625,5.0
equal,Modesto - CA,39.36666666666667,6.0
equal,Las Vegas - NV,40.276041666666664,7.0
equal,East Bay - CA,43.53958333333333,8.0
equal,Indianapolis - IN,46.87916666666667,9.0
equal,Honolulu - HI,47.05104166666666,10.0
equal,Salem - OR,47.25729166666667,11.0
equal,Visalia - CA,48.27708333333333,12.0
equal,Bakersfield - CA,48.6625,13.0
equal,San Francisco - CA,50.38541666666667,14.0
equal,Reno - NV,50.91458333333333,15.0
equal,Vallejo-Fairfield - CA,51.328125,16.0
equal,Phoenix - AZ,51.728125,17.0
equal,Palm Beach - FL,53.099999999999994,18.0
equal,Santa Barbara - CA,53.197916666666664,19.0
equal,San Jose - CA,53.915625,20.0
equal,Manchester - NH,56.24375,21.0
equal,Springfield - MA,57.545833333333334,22.0
equal,Orange County - CA,58.35208333333334,23.0
equal,Memphis - TN,58.871874999999996,24.0
equal,Tulsa - OK,59.74166666666667,25.0
equal,Seattle - WA,59.89895833333333,26.0
equal,Miami - FL,60.061458333333334,27.0
equal,Richmond - VA,61.219791666666666,28.0
equal,Ventura - CA,62.484375,29.0
equal,Reading - PA,62.6625,30.0
equal,Harrisburg - PA,62.715624999999996,31.0
equal,Boise - ID,63.54687499999999,32.0
equal,Norfolk - VA,64.134375,33.0
equal,Dallas-Fort Worth - TX,65.46979166666667,34.0
equal,El Paso - TX,65.53333333333333,35.0
equal,Cincinnati - OH,66.50625,36.0
equal,Lancaster - PA,66.728125,37.0
equal,Youngstown - OH,66.859375,38.0
equal,Lansing - MI,67.58645833333333,39.0
equal,Detroit - MI,67.603125,40.0
